Tap Time,ITI,Asynchornies,Tone Time,IOI
0.73,0.48,-0.04,0.77,0.5
1.23,0.5,0.01,1.22,0.4499999999999999
1.7,0.47,-0.01,1.71,0.49
2.15,0.4499999999999999,-0.0300000000000002,2.18,0.4700000000000002
2.67,0.52,0.0099999999999997,2.66,0.48
3.16,0.4900000000000002,0.02,3.14,0.48
3.64,0.48,0.0100000000000002,3.63,0.4899999999999997
4.11,0.4700000000000002,0.0100000000000006,4.1,0.4699999999999997
4.62,0.5099999999999998,0.0200000000000004,4.6,0.5
5.08,0.4599999999999999,-0.0099999999999997,5.09,0.4900000000000002
5.54,0.4599999999999999,-0.04,5.58,0.4900000000000002
6.05,0.5099999999999998,0.0,6.05,0.4699999999999997
6.53,0.4800000000000004,0.0100000000000006,6.52,0.4699999999999997
7.0,0.4699999999999997,0.0,7.0,0.4800000000000004
7.46,0.4599999999999999,-0.0200000000000004,7.48,0.4800000000000004
7.94,0.4800000000000004,-0.0199999999999995,7.96,0.4799999999999995
8.44,0.4999999999999991,-0.0099999999999997,8.45,0.4899999999999993
8.91,0.4700000000000006,-0.0199999999999995,8.93,0.4800000000000004
9.39,0.4800000000000004,-0.0299999999999993,9.42,0.4900000000000002
9.87,0.4799999999999986,-0.0200000000000013,9.89,0.4700000000000006
10.35,0.4800000000000004,-0.0199999999999995,10.37,0.4799999999999986
10.83,0.4800000000000004,-0.0099999999999997,10.84,0.4700000000000006
11.32,0.4900000000000002,-0.0099999999999997,11.33,0.4900000000000002
11.79,0.4699999999999988,-0.0300000000000011,11.82,0.4900000000000002
12.3,0.5100000000000016,-0.0099999999999997,12.31,0.4900000000000002
12.76,0.4599999999999991,-0.0199999999999995,12.78,0.4699999999999988
13.25,0.4900000000000002,-0.0299999999999993,13.28,0.5
13.71,0.4600000000000008,-0.0399999999999991,13.75,0.4700000000000006
14.22,0.5099999999999998,-0.0099999999999997,14.23,0.4800000000000004
14.7,0.4799999999999986,0.0099999999999997,14.69,0.4599999999999991
15.18,0.4800000000000004,0.0099999999999997,15.17,0.4800000000000004
15.65,0.4700000000000006,-0.0099999999999997,15.66,0.4900000000000002
16.12,0.4700000000000006,-0.0299999999999975,16.15,0.4899999999999984
16.63,0.509999999999998,0.0299999999999975,16.6,0.4500000000000028
17.1,0.4700000000000024,0.0,17.1,0.5
17.59,0.4899999999999984,0.0,17.59,0.4899999999999984
,,,18.07,0.4800000000000004
18.53,,-0.009999999999998,18.54,0.4699999999999988
19.05,0.5199999999999996,0.0500000000000007,19.0,0.4600000000000008
19.5,0.4499999999999993,0.0,19.5,0.5
20.0,0.5,0.0100000000000015,19.99,0.4899999999999984
20.46,0.4600000000000008,0.0100000000000015,20.45,0.4600000000000008
20.92,0.4600000000000008,-0.0299999999999975,20.95,0.5
21.41,0.4899999999999984,-0.0300000000000011,21.44,0.490000000000002
21.95,0.5399999999999991,0.0399999999999991,21.91,0.4699999999999988
22.4,0.4499999999999993,0.009999999999998,22.39,0.4800000000000004
22.86,0.4600000000000008,-0.0100000000000015,22.87,0.4800000000000004
23.35,0.490000000000002,-0.0199999999999995,23.37,0.5
23.84,0.4899999999999984,-0.0100000000000015,23.85,0.4800000000000004
24.32,0.4800000000000004,-0.009999999999998,24.33,0.4799999999999969
24.8,0.4800000000000004,-0.009999999999998,24.81,0.4800000000000004
25.27,0.4699999999999988,0.0,25.27,0.4600000000000008
25.77,0.5,0.0,25.77,0.5
26.23,0.4600000000000008,-0.0300000000000011,26.26,0.490000000000002
26.72,0.4899999999999984,-0.0100000000000015,26.73,0.4699999999999988
27.2,0.4800000000000004,0.009999999999998,27.19,0.4600000000000008
27.69,0.490000000000002,0.0199999999999995,27.67,0.4800000000000004
28.17,0.4800000000000004,0.0100000000000015,28.16,0.4899999999999984
