Tap Time,ITI,Asynchornies,Tone Time,IOI
0.39,0.25,-0.01,0.4,
0.57,0.1799999999999999,,,
0.8,0.2300000000000001,-0.0199999999999999,0.82,
,,,1.02,0.2
1.27,,0.04,1.23,0.2099999999999999
,,,1.46,0.2299999999999999
1.67,,0.0,1.67,0.2099999999999999
1.87,0.2000000000000001,-0.0099999999999997,1.88,0.2099999999999999
2.1,0.2299999999999999,0.0,2.1,0.2200000000000002
2.31,0.2099999999999999,0.0,2.31,0.2099999999999999
2.54,0.2299999999999999,0.0100000000000002,2.53,0.2199999999999997
,,,2.74,0.2100000000000004
2.95,,0.0,2.95,0.2099999999999999
,,,3.16,0.2099999999999999
3.4,,0.02,3.38,0.2199999999999997
3.61,0.2099999999999999,0.02,3.59,0.2099999999999999
3.83,0.2200000000000002,0.0100000000000002,3.82,0.2299999999999999
4.03,0.2000000000000001,0.0100000000000006,4.02,0.1999999999999997
4.26,0.2299999999999995,-0.0200000000000004,4.28,0.2600000000000007
,,,4.46,0.1799999999999997
4.69,,,,
,,,4.89,
5.1,,-0.0200000000000004,5.12,0.2300000000000004
,,,5.33,0.2099999999999999
5.55,,-0.0099999999999997,5.56,0.2299999999999995
5.74,0.1900000000000004,-0.0299999999999993,5.77,0.2099999999999999
5.98,0.2400000000000002,-0.0099999999999997,5.99,0.2200000000000006
,,,6.21,0.2199999999999997
6.42,,-0.0099999999999997,6.43,0.2199999999999997
6.64,0.2199999999999997,0.0099999999999997,6.63,0.2000000000000001
6.85,0.2099999999999999,-0.0200000000000004,6.87,0.2400000000000002
7.07,0.2200000000000006,0.0100000000000006,7.06,0.1899999999999995
7.29,0.2199999999999997,0.0,7.29,0.2300000000000004
7.51,0.2199999999999997,0.0099999999999997,7.5,0.2099999999999999
7.73,0.2200000000000006,0.0100000000000006,7.72,0.2199999999999997
7.94,0.2099999999999999,0.0100000000000006,7.93,0.2099999999999999
8.16,0.2199999999999997,0.0,8.16,0.2300000000000004
8.37,0.209999999999999,0.0,8.37,0.209999999999999
8.6,0.2300000000000004,0.0099999999999997,8.59,0.2200000000000006
8.8,0.200000000000001,0.0,8.8,0.2100000000000008
9.03,0.2299999999999986,0.0099999999999997,9.02,0.2199999999999988
9.25,0.2200000000000006,0.0199999999999995,9.23,0.2100000000000008
9.46,0.2100000000000008,0.0,9.46,0.2300000000000004
9.71,0.25,0.0500000000000007,9.66,0.1999999999999993
9.9,0.1899999999999995,0.0099999999999997,9.89,0.2300000000000004
10.12,0.2199999999999988,0.0199999999999995,10.1,0.209999999999999
10.33,0.2100000000000008,0.0,10.33,0.2300000000000004
10.55,0.2200000000000006,0.0200000000000013,10.53,0.1999999999999993
10.76,0.209999999999999,0.0,10.76,0.2300000000000004
10.97,0.2100000000000008,0.0,10.97,0.2100000000000008
11.2,0.2299999999999986,0.0,11.2,0.2299999999999986
11.42,0.2200000000000006,0.0099999999999997,11.41,0.2100000000000008
11.65,0.2300000000000004,0.0199999999999995,11.63,0.2200000000000006
11.86,0.209999999999999,0.0299999999999993,11.83,0.1999999999999993
12.1,0.2400000000000002,0.0399999999999991,12.06,0.2300000000000004
12.3,0.200000000000001,0.0400000000000009,12.26,0.1999999999999993
12.51,0.209999999999999,0.0099999999999997,12.5,0.2400000000000002
12.71,0.200000000000001,0.0200000000000013,12.69,0.1899999999999995
12.94,0.2299999999999986,0.0199999999999995,12.92,0.2300000000000004
13.13,0.1900000000000012,0.0100000000000015,13.12,0.1999999999999993
13.36,0.2299999999999986,,,
13.57,0.2100000000000008,0.0099999999999997,13.56,
13.75,0.1799999999999997,-0.0199999999999995,13.77,0.209999999999999
13.99,0.2400000000000002,0.0099999999999997,13.98,0.2100000000000008
14.22,0.2300000000000004,0.0099999999999997,14.21,0.2300000000000004
14.41,0.1899999999999995,0.0099999999999997,14.4,0.1899999999999995
,,,14.62,0.2199999999999988
,,,,
15.05,,0.0,15.05,
,,,15.26,0.209999999999999
,,,15.48,0.2200000000000006
15.7,,0.0099999999999997,15.69,0.209999999999999
15.92,0.2200000000000006,0.0199999999999995,15.9,0.2100000000000008
16.14,0.2200000000000006,0.0100000000000015,16.13,0.2299999999999986
16.36,0.2199999999999988,,,
16.57,0.2100000000000008,0.0100000000000015,16.56,
16.81,0.2399999999999984,0.0299999999999975,16.78,0.2200000000000024
17.02,0.2100000000000008,0.0199999999999995,17.0,0.2199999999999988
17.24,0.2199999999999988,0.0199999999999995,17.22,0.2199999999999988
17.44,0.2000000000000028,0.0,17.44,0.2200000000000024
17.66,0.2199999999999988,0.0,17.66,0.2199999999999988
17.89,0.2300000000000004,0.0399999999999991,17.85,0.1900000000000012
18.1,0.2100000000000008,-0.009999999999998,18.11,0.259999999999998
18.32,0.2199999999999988,0.0100000000000015,18.31,0.1999999999999993
18.54,0.2199999999999988,0.0299999999999975,18.51,0.2000000000000028
18.75,0.2100000000000008,0.0199999999999995,18.73,0.2199999999999988
