Tap Time,ITI,Asynchornies,Tone Time,IOI
0.45,0.31,0.02,0.43,0.29
0.77,0.32,0.03,0.74,0.31
1.07,0.3,0.02,1.05,0.31
1.37,0.3,0.01,1.36,0.31
1.68,0.3099999999999998,0.03,1.65,0.2899999999999998
1.97,0.29,0.01,1.96,0.31
2.27,0.3,0.0,2.27,0.31
2.6,0.33,0.02,2.58,0.31
2.89,0.29,0.0300000000000002,2.86,0.2799999999999998
3.19,0.2999999999999998,0.0099999999999997,3.18,0.3200000000000003
3.49,0.3000000000000002,0.0100000000000002,3.48,0.2999999999999998
3.8,0.3099999999999996,0.0099999999999997,3.79,0.31
4.09,0.29,0.0,4.09,0.2999999999999998
,,,4.4,0.3100000000000005
4.71,,0.0099999999999997,4.7,0.2999999999999998
5.01,0.2999999999999998,0.0,5.01,0.3099999999999996
5.31,0.2999999999999998,0.0,5.31,0.2999999999999998
5.62,0.3100000000000005,0.0099999999999997,5.61,0.3000000000000007
5.92,0.2999999999999998,0.0,5.92,0.3099999999999996
6.24,0.3200000000000003,0.0099999999999997,6.23,0.3100000000000005
6.53,0.29,0.0,6.53,0.2999999999999998
6.84,0.3099999999999996,0.0099999999999997,6.83,0.2999999999999998
7.13,0.29,0.0,7.13,0.2999999999999998
7.45,0.3200000000000003,0.0099999999999997,7.44,0.3100000000000005
7.74,0.29,0.0099999999999997,7.73,0.29
8.05,0.3100000000000005,0.0100000000000015,8.04,0.3099999999999987
8.34,0.2899999999999991,0.0099999999999997,8.33,0.2900000000000009
8.65,0.3100000000000005,0.0199999999999995,8.63,0.3000000000000007
8.96,0.3100000000000005,,,
9.26,0.2999999999999989,,,
9.55,0.2900000000000009,0.0100000000000015,9.54,
9.86,0.3099999999999987,0.0199999999999995,9.84,0.3000000000000007
10.15,0.2900000000000009,0.0199999999999995,10.13,0.2900000000000009
10.46,0.3100000000000005,0.0300000000000011,10.43,0.2999999999999989
10.75,0.2899999999999991,0.0299999999999993,10.72,0.2900000000000009
11.05,0.3000000000000007,0.0100000000000015,11.04,0.3199999999999985
11.33,0.2799999999999993,0.0199999999999995,11.31,0.2700000000000013
11.62,0.2899999999999991,-0.0100000000000015,11.63,0.3200000000000003
11.93,0.3100000000000005,0.0199999999999995,11.91,0.2799999999999993
12.23,0.3000000000000007,0.0199999999999995,12.21,0.3000000000000007
12.51,0.2799999999999993,0.0,12.51,0.2999999999999989
12.82,0.3100000000000005,0.0099999999999997,12.81,0.3000000000000007
13.12,0.2999999999999989,0.0199999999999995,13.1,0.2899999999999991
13.43,0.3100000000000005,0.0099999999999997,13.42,0.3200000000000003
13.71,0.2800000000000011,0.0100000000000015,13.7,0.2799999999999993
14.01,0.2999999999999989,0.0099999999999997,14.0,0.3000000000000007
14.3,0.2900000000000009,0.0,14.3,0.3000000000000007
