Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
1.06,,0.01,1.05,
1.51,0.4499999999999999,0.01,1.5,0.4499999999999999
1.97,0.4599999999999999,,,
2.42,0.4499999999999999,,,
2.87,0.4500000000000002,0.0100000000000002,2.86,
3.33,0.4599999999999999,,,
3.79,0.4599999999999999,0.04,3.75,
4.24,0.4500000000000002,0.0300000000000002,4.21,0.4599999999999999
4.68,0.4399999999999995,0.0,4.68,0.4699999999999997
5.15,0.4700000000000006,0.0300000000000002,5.12,0.4400000000000004
5.61,0.4599999999999999,0.04,5.57,0.4500000000000002
6.06,0.4499999999999993,0.0299999999999993,6.03,0.4599999999999999
6.51,0.4500000000000002,,,
6.95,0.4400000000000004,0.0099999999999997,6.94,
7.41,0.4599999999999999,0.0099999999999997,7.4,0.4599999999999999
7.86,0.4500000000000002,0.0200000000000004,7.84,0.4399999999999995
8.32,0.4599999999999999,0.0,8.32,0.4800000000000004
8.76,0.4399999999999995,-0.0099999999999997,8.77,0.4499999999999993
9.23,0.4700000000000006,0.0099999999999997,9.22,0.450000000000001
9.69,0.4599999999999991,0.0099999999999997,9.68,0.4599999999999991
10.14,0.450000000000001,0.0,10.14,0.4600000000000008
10.59,0.4499999999999993,0.0099999999999997,10.58,0.4399999999999995
11.05,0.4600000000000008,0.0100000000000015,11.04,0.4599999999999991
11.49,0.4399999999999995,0.0199999999999995,11.47,0.4300000000000015
11.94,0.4499999999999993,0.0099999999999997,11.93,0.4599999999999991
12.38,0.4400000000000013,0.0100000000000015,12.37,0.4399999999999995
12.79,0.4099999999999983,-0.0400000000000009,12.83,0.4600000000000008
13.28,0.4900000000000002,0.0199999999999995,13.26,0.4299999999999997
13.73,0.450000000000001,0.0,13.73,0.4700000000000006
14.18,0.4499999999999993,0.0099999999999997,14.17,0.4399999999999995
14.63,0.450000000000001,0.0,14.63,0.4600000000000008
15.08,0.4499999999999993,0.0299999999999993,15.05,0.4199999999999999
15.53,0.4499999999999993,0.0399999999999991,15.49,0.4399999999999995
15.97,0.4400000000000013,0.0200000000000013,15.95,0.4599999999999991
16.4,0.4299999999999979,-0.0200000000000031,16.42,0.4700000000000024
16.86,0.4600000000000008,0.0,16.86,0.4399999999999977
17.31,0.4499999999999993,-0.0100000000000015,17.32,0.4600000000000008
17.75,0.4400000000000013,0.0,17.75,0.4299999999999997
18.2,0.4499999999999993,-0.0100000000000015,18.21,0.4600000000000008
18.67,0.4700000000000024,0.0300000000000011,18.64,0.4299999999999997
19.11,0.4399999999999977,0.0199999999999995,19.09,0.4499999999999993
19.55,0.4400000000000013,0.0199999999999995,19.53,0.4400000000000013
19.99,0.4399999999999977,-0.0100000000000015,20.0,0.4699999999999988
20.43,0.4400000000000013,-0.0100000000000015,20.44,0.4400000000000013
20.87,0.4400000000000013,-0.0199999999999995,20.89,0.4499999999999993
21.31,0.4399999999999977,0.009999999999998,21.3,0.4100000000000001
21.73,0.4200000000000017,-0.0199999999999995,21.75,0.4499999999999993
22.19,0.4600000000000008,0.0100000000000015,22.18,0.4299999999999997
22.64,0.4499999999999993,0.0100000000000015,22.63,0.4499999999999993
23.08,0.4399999999999977,0.009999999999998,23.07,0.4400000000000013
23.54,0.4600000000000008,0.009999999999998,23.53,0.4600000000000008
24.0,0.4600000000000008,0.0300000000000011,23.97,0.4399999999999977
24.44,0.4400000000000013,0.0199999999999995,24.42,0.4500000000000028
24.9,0.4599999999999973,0.0499999999999971,24.85,0.4299999999999997
25.33,0.4299999999999997,0.009999999999998,25.32,0.4699999999999988
25.78,0.4500000000000028,0.0100000000000015,25.77,0.4499999999999993
26.24,0.4599999999999973,0.0199999999999995,26.22,0.4499999999999993
26.69,0.4500000000000028,0.0100000000000015,26.68,0.4600000000000008
27.13,0.4399999999999977,-0.0199999999999995,27.15,0.4699999999999988
27.59,0.4600000000000008,0.0100000000000015,27.58,0.4299999999999997
28.04,0.4499999999999993,-0.0100000000000015,28.05,0.4700000000000024
28.49,0.4499999999999993,0.0,28.49,0.4399999999999977
28.95,0.4600000000000008,-0.0100000000000015,28.96,0.4700000000000024
29.41,0.4600000000000008,0.0899999999999998,29.32,0.3599999999999994
29.86,0.4499999999999993,0.009999999999998,29.85,0.5300000000000011
30.31,0.4499999999999993,0.0299999999999975,30.28,0.4299999999999997
30.76,0.4500000000000028,-0.009999999999998,30.77,0.4899999999999984
31.21,0.4499999999999993,0.0100000000000015,31.2,0.4299999999999997
,,,31.54,0.3399999999999998
,,,,
,,,32.45,
,,,,
,,,33.35,
,,,,
,,,34.25,
,,,,
,,,35.16,
,,,,
,,,36.07,
,,,,
,,,36.94,
,,,,
,,,,
,,,38.14,
,,,,
,,,,
39.47,,,,
,,,,
,,,,
,,,,
,,,,
41.62,,0.009999999999998,41.61,
42.06,0.4400000000000048,0.0100000000000051,42.05,0.4399999999999977
42.52,0.4600000000000008,-0.1499999999999985,42.67,0.6200000000000045
,,,42.97,0.2999999999999971
43.43,,0.0,43.43,0.4600000000000008
43.87,0.4399999999999977,0.0,43.87,0.4399999999999977
44.34,0.4700000000000059,0.0,44.34,0.4700000000000059
44.81,0.4699999999999988,0.0500000000000042,44.76,0.4199999999999946
45.26,0.4499999999999957,0.019999999999996,45.24,0.480000000000004
45.69,0.4299999999999997,0.0,45.69,0.4499999999999957
46.15,0.4600000000000008,0.0,46.15,0.4600000000000008
46.59,0.4400000000000048,0.0200000000000031,46.57,0.4200000000000017
47.04,0.4499999999999957,0.009999999999998,47.03,0.4600000000000008
47.49,0.4500000000000028,0.0100000000000051,47.48,0.4499999999999957
47.94,0.4499999999999957,-0.0100000000000051,47.95,0.4700000000000059
48.36,0.4200000000000017,-0.009999999999998,48.37,0.4199999999999946
48.83,0.4699999999999988,0.009999999999998,48.82,0.4500000000000028
49.28,0.4500000000000028,0.009999999999998,49.27,0.4500000000000028
49.73,0.4499999999999957,-0.0300000000000011,49.76,0.4899999999999949
50.18,0.4500000000000028,0.0,50.18,0.4200000000000017
50.64,0.4600000000000008,-0.009999999999998,50.65,0.4699999999999988
51.09,0.4500000000000028,0.0100000000000051,51.08,0.4299999999999997
51.55,0.4599999999999937,0.009999999999998,51.54,0.4600000000000008
51.98,0.4299999999999997,0.0,51.98,0.4399999999999977
52.43,0.4500000000000028,-0.0200000000000031,52.45,0.4700000000000059
52.89,0.4600000000000008,0.009999999999998,52.88,0.4299999999999997
53.34,0.4500000000000028,0.0,53.34,0.4600000000000008
53.79,0.4499999999999957,0.019999999999996,53.77,0.4299999999999997
54.23,0.4399999999999977,-0.0100000000000051,54.24,0.4699999999999988
54.67,0.4400000000000048,0.0100000000000051,54.66,0.4199999999999946
55.13,0.4600000000000008,0.0300000000000011,55.1,0.4400000000000048
55.58,0.4499999999999957,0.0300000000000011,55.55,0.4499999999999957
56.02,0.4400000000000048,0.0,56.02,0.4700000000000059
56.46,0.4399999999999977,0.0200000000000031,56.44,0.4199999999999946
56.89,0.4299999999999997,-0.019999999999996,56.91,0.4699999999999988
57.34,0.4500000000000028,0.0,57.34,0.4300000000000068
57.78,0.4399999999999977,-0.009999999999998,57.79,0.4499999999999957
58.24,0.4600000000000008,0.0200000000000031,58.22,0.4299999999999997
58.69,0.4499999999999957,0.009999999999998,58.68,0.4600000000000008
59.11,0.4200000000000017,0.009999999999998,59.1,0.4200000000000017
59.56,0.4500000000000028,0.0200000000000031,59.54,0.4399999999999977
59.99,0.4299999999999997,0.0,59.99,0.4500000000000028
60.44,0.4499999999999957,-0.0200000000000031,60.46,0.4699999999999988
60.9,0.4600000000000008,0.009999999999998,60.89,0.4299999999999997
61.34,0.4400000000000048,0.0100000000000051,61.33,0.4399999999999977
61.79,0.4499999999999957,0.0399999999999991,61.75,0.4200000000000017
62.24,0.4500000000000028,0.0100000000000051,62.23,0.4799999999999969
62.67,0.4299999999999997,0.0200000000000031,62.65,0.4200000000000017
63.12,0.4499999999999957,0.019999999999996,63.1,0.4500000000000028
63.54,0.4200000000000017,0.009999999999998,63.53,0.4299999999999997
63.99,0.4500000000000028,0.0,63.99,0.4600000000000008
64.43,0.4400000000000048,0.0200000000000102,64.41,0.4199999999999946
64.86,0.4299999999999926,0.0100000000000051,64.85,0.4399999999999977
65.29,0.4300000000000068,0.0200000000000102,65.27,0.4200000000000017
65.74,0.4499999999999886,0.0099999999999909,65.73,0.4600000000000079
66.17,0.4300000000000068,0.019999999999996,66.15,0.4200000000000017
66.62,0.4500000000000028,0.0100000000000051,66.61,0.4599999999999937
67.07,0.4499999999999886,0.0499999999999971,67.02,0.4099999999999966
67.5,0.4300000000000068,0.019999999999996,67.48,0.4600000000000079
67.92,0.4200000000000017,0.019999999999996,67.9,0.4200000000000017
68.36,0.4399999999999977,0.0,68.36,0.4599999999999937
68.81,0.4500000000000028,0.0499999999999971,68.76,0.4000000000000057
69.25,0.4399999999999977,0.019999999999996,69.23,0.4699999999999988
69.68,0.4300000000000068,0.0100000000000051,69.67,0.4399999999999977
70.11,0.4299999999999926,-0.019999999999996,70.13,0.4599999999999937
70.54,0.4300000000000068,-0.0099999999999909,70.55,0.4200000000000017
71.02,0.4799999999999897,0.019999999999996,71.0,0.4500000000000028
71.45,0.4300000000000068,0.0300000000000011,71.42,0.4200000000000017
71.89,0.4399999999999977,-0.0100000000000051,71.9,0.480000000000004
72.33,0.4399999999999977,0.0100000000000051,72.32,0.4199999999999875
72.77,0.4399999999999977,0.0,72.77,0.4500000000000028
73.19,0.4200000000000017,-0.019999999999996,73.21,0.4399999999999977
73.66,0.4699999999999988,0.0,73.66,0.4500000000000028
74.09,0.4300000000000068,0.0,74.09,0.4300000000000068
74.55,0.4599999999999937,0.0099999999999909,74.54,0.4500000000000028
74.99,0.4399999999999977,0.019999999999996,74.97,0.4299999999999926
75.43,0.4400000000000119,-0.0099999999999909,75.44,0.4699999999999988
75.88,0.4499999999999886,0.0499999999999971,75.83,0.3900000000000005
76.32,0.4399999999999977,0.039999999999992,76.28,0.4500000000000028
76.74,0.4200000000000017,0.019999999999996,76.72,0.4399999999999977
77.18,0.4400000000000119,0.0,77.18,0.4600000000000079
77.62,0.4399999999999977,0.0200000000000102,77.6,0.4199999999999875
78.06,0.4399999999999977,0.0100000000000051,78.05,0.4500000000000028
78.48,0.4200000000000017,0.0,78.48,0.4300000000000068
78.94,0.4599999999999937,0.0,78.94,0.4599999999999937
79.38,0.4399999999999977,0.0099999999999909,79.37,0.4300000000000068
79.82,0.4399999999999977,0.0099999999999909,79.81,0.4399999999999977
80.26,0.4400000000000119,0.0200000000000102,80.24,0.4299999999999926
80.7,0.4399999999999977,0.0,80.7,0.4600000000000079
81.13,0.4299999999999926,0.0,81.13,0.4299999999999926
81.57,0.4399999999999977,-0.0100000000000051,81.58,0.4500000000000028
82.03,0.4600000000000079,0.0300000000000011,82.0,0.4200000000000017
82.47,0.4399999999999977,0.0100000000000051,82.46,0.4599999999999937
82.91,0.4399999999999977,0.0,82.91,0.4500000000000028
83.35,0.4399999999999977,0.0,83.35,0.4399999999999977
83.79,0.4400000000000119,0.0100000000000051,83.78,0.4300000000000068
84.24,0.4499999999999886,0.0099999999999909,84.23,0.4500000000000028
84.69,0.4500000000000028,0.0300000000000011,84.66,0.4299999999999926
85.13,0.4399999999999977,0.0099999999999909,85.12,0.4600000000000079
85.55,0.4200000000000017,0.0,85.55,0.4299999999999926
86.0,0.4500000000000028,-0.019999999999996,86.02,0.4699999999999988
86.44,0.4399999999999977,0.0,86.44,0.4200000000000017
86.89,0.4500000000000028,0.0100000000000051,86.88,0.4399999999999977
87.32,0.4299999999999926,0.0099999999999909,87.31,0.4300000000000068
87.77,0.4500000000000028,-0.0100000000000051,87.78,0.4699999999999988
88.21,0.4399999999999977,0.0099999999999909,88.2,0.4200000000000017
88.66,0.4500000000000028,0.0,88.66,0.4599999999999937
89.09,0.4300000000000068,0.0100000000000051,89.08,0.4200000000000017
89.53,0.4399999999999977,0.0,89.53,0.4500000000000028
89.97,0.4399999999999977,0.019999999999996,89.95,0.4200000000000017
90.42,0.4500000000000028,0.0100000000000051,90.41,0.4599999999999937
90.85,0.4299999999999926,0.0099999999999909,90.84,0.4300000000000068
91.3,0.4500000000000028,-0.0100000000000051,91.31,0.4699999999999988
91.73,0.4300000000000068,-0.019999999999996,91.75,0.4399999999999977
92.15,0.4200000000000017,-0.039999999999992,92.19,0.4399999999999977
92.62,0.4699999999999988,0.0100000000000051,92.61,0.4200000000000017
93.06,0.4399999999999977,-0.019999999999996,93.08,0.4699999999999988
93.5,0.4399999999999977,-0.019999999999996,93.52,0.4399999999999977
93.94,0.4399999999999977,-0.019999999999996,93.96,0.4399999999999977
94.39,0.4500000000000028,0.0100000000000051,94.38,0.4200000000000017
94.82,0.4299999999999926,0.0,94.82,0.4399999999999977
95.27,0.4500000000000028,0.0099999999999909,95.26,0.4400000000000119
95.72,0.4500000000000028,0.0100000000000051,95.71,0.4499999999999886
96.15,0.4300000000000068,0.0,96.15,0.4400000000000119
96.61,0.4599999999999937,0.019999999999996,96.59,0.4399999999999977
97.06,0.4500000000000028,0.0400000000000062,97.02,0.4299999999999926
97.5,0.4399999999999977,0.0300000000000011,97.47,0.4500000000000028
97.94,0.4399999999999977,0.039999999999992,97.9,0.4300000000000068
98.38,0.4399999999999977,0.039999999999992,98.34,0.4399999999999977
98.81,0.4300000000000068,0.0499999999999971,98.76,0.4200000000000017
99.24,0.4299999999999926,0.0099999999999909,99.23,0.4699999999999988
99.67,0.4300000000000068,0.0100000000000051,99.66,0.4299999999999926
100.1,0.4299999999999926,0.0099999999999909,100.09,0.4300000000000068
100.55,0.4500000000000028,0.039999999999992,100.51,0.4200000000000017
100.99,0.4399999999999977,0.0300000000000011,100.96,0.4499999999999886
101.42,0.4300000000000068,0.0300000000000011,101.39,0.4300000000000068
101.85,0.4299999999999926,0.019999999999996,101.83,0.4399999999999977
102.29,0.4400000000000119,0.0400000000000062,102.25,0.4200000000000017
102.72,0.4299999999999926,0.0100000000000051,102.71,0.4599999999999937
103.21,0.4899999999999949,,,
