Tap Time,ITI,Asynchornies,Tone Time,IOI
0.48,0.42,0.01,0.47,0.42
0.87,0.39,0.0,0.87,0.4
1.28,0.41,-0.01,1.29,0.42
1.71,0.4299999999999999,0.0,1.71,0.4199999999999999
2.11,0.3999999999999999,-0.0100000000000002,2.12,0.4100000000000001
2.51,0.3999999999999999,-0.0100000000000002,2.52,0.3999999999999999
2.91,0.4000000000000003,-0.02,2.93,0.4100000000000001
3.33,0.4199999999999999,0.0,3.33,0.3999999999999999
3.75,0.4199999999999999,0.0,3.75,0.4199999999999999
4.15,0.4000000000000003,0.0,4.15,0.4000000000000003
4.56,0.4099999999999992,0.0,4.56,0.4099999999999992
4.97,0.4100000000000001,0.0099999999999997,4.96,0.4000000000000003
5.35,0.3799999999999999,-0.04,5.39,0.4299999999999997
5.77,0.4199999999999999,-0.0200000000000004,5.79,0.4000000000000003
6.19,0.4200000000000008,-0.0299999999999993,6.22,0.4299999999999997
6.61,0.4199999999999999,-0.0099999999999997,6.62,0.4000000000000003
7.03,0.4199999999999999,-0.0199999999999995,7.05,0.4299999999999997
7.44,0.4100000000000001,-0.0199999999999995,7.46,0.4100000000000001
7.85,0.4099999999999992,-0.0200000000000004,7.87,0.4100000000000001
8.26,0.4100000000000001,-0.0199999999999995,8.28,0.4099999999999992
8.67,0.4100000000000001,-0.0299999999999993,8.7,0.4199999999999999
9.08,0.4100000000000001,-0.0199999999999995,9.1,0.4000000000000003
,,,9.54,0.4399999999999995
9.92,,-0.0099999999999997,9.93,0.3900000000000005
10.34,0.4199999999999999,0.0099999999999997,10.33,0.4000000000000003
10.74,0.4000000000000003,-0.0199999999999995,10.76,0.4299999999999997
11.15,0.4100000000000001,-0.0199999999999995,11.17,0.4100000000000001
11.58,0.4299999999999997,0.0,11.58,0.4100000000000001
11.99,0.4100000000000001,0.0099999999999997,11.98,0.4000000000000003
12.4,0.4100000000000001,0.0099999999999997,12.39,0.4100000000000001
12.81,0.4100000000000001,0.0,12.81,0.4199999999999999
13.22,0.4100000000000001,0.0,13.22,0.4100000000000001
13.62,0.3999999999999986,-0.0100000000000015,13.63,0.4100000000000001
14.04,0.4199999999999999,0.0,14.04,0.4099999999999983
14.46,0.4200000000000017,-0.0199999999999995,14.48,0.4400000000000013
14.88,0.4199999999999999,0.0,14.88,0.4000000000000003
15.28,0.3999999999999986,-0.0200000000000013,15.3,0.4199999999999999
15.71,0.4300000000000015,0.0100000000000015,15.7,0.3999999999999986
16.13,0.4199999999999981,0.009999999999998,16.12,0.4200000000000017
16.54,0.4100000000000001,0.0,16.54,0.4199999999999981
16.97,0.4299999999999997,0.0,16.97,0.4299999999999997
17.38,0.4100000000000001,0.009999999999998,17.37,0.4000000000000021
17.79,0.4100000000000001,-0.0100000000000015,17.8,0.4299999999999997
18.2,0.4100000000000001,0.009999999999998,18.19,0.3900000000000005
18.6,0.4000000000000021,-0.0199999999999995,18.62,0.4299999999999997
19.01,0.4100000000000001,0.0,19.01,0.3900000000000005
19.41,0.3999999999999986,-0.0300000000000011,19.44,0.4299999999999997
19.84,0.4299999999999997,-0.0199999999999995,19.86,0.4199999999999981
20.25,0.4100000000000001,0.0,20.25,0.3900000000000005
20.67,0.4200000000000017,0.0,20.67,0.4200000000000017
21.06,0.389999999999997,-0.0100000000000015,21.07,0.3999999999999986
21.48,0.4200000000000017,0.0100000000000015,21.47,0.3999999999999986
21.87,0.3900000000000005,0.0,21.87,0.4000000000000021
22.28,0.4100000000000001,0.0,22.28,0.4100000000000001
22.66,0.379999999999999,-0.0300000000000011,22.69,0.4100000000000001
23.06,0.3999999999999986,-0.0300000000000011,23.09,0.3999999999999986
23.5,0.4400000000000013,0.0,23.5,0.4100000000000001
23.9,0.3999999999999986,0.0,23.9,0.3999999999999986
24.31,0.4100000000000001,0.009999999999998,24.3,0.4000000000000021
24.71,0.4000000000000021,0.0199999999999995,24.69,0.3900000000000005
25.1,0.3900000000000005,-0.009999999999998,25.11,0.4199999999999981
25.5,0.3999999999999986,-0.0100000000000015,25.51,0.4000000000000021
25.91,0.4100000000000001,-0.0100000000000015,25.92,0.4100000000000001
26.32,0.4100000000000001,0.0,26.32,0.3999999999999986
26.72,0.3999999999999986,0.009999999999998,26.71,0.3900000000000005
27.13,0.4100000000000001,0.0199999999999995,27.11,0.3999999999999986
27.5,0.370000000000001,-0.0300000000000011,27.53,0.4200000000000017
27.93,0.4299999999999997,0.0,27.93,0.3999999999999986
28.34,0.4100000000000001,0.0199999999999995,28.32,0.3900000000000005
28.72,0.379999999999999,0.009999999999998,28.71,0.3900000000000005
29.09,0.370000000000001,-0.0100000000000015,29.1,0.3900000000000005
29.51,0.4200000000000017,0.0,29.51,0.4100000000000001
29.95,0.4399999999999977,0.0199999999999995,29.93,0.4199999999999981
30.35,0.4000000000000021,0.0100000000000015,30.34,0.4100000000000001
30.75,0.3999999999999986,0.0199999999999995,30.73,0.3900000000000005
31.15,0.3999999999999986,0.009999999999998,31.14,0.4100000000000001
31.54,0.3900000000000005,-0.0199999999999995,31.56,0.4199999999999981
31.96,0.4200000000000017,0.0,31.96,0.4000000000000021
32.36,0.3999999999999986,0.009999999999998,32.35,0.3900000000000005
32.77,0.4100000000000037,-0.009999999999998,32.78,0.4299999999999997
33.18,0.4099999999999966,0.0,33.18,0.3999999999999986
33.59,0.4100000000000037,0.0100000000000051,33.58,0.3999999999999986
34.0,0.4099999999999966,0.0200000000000031,33.98,0.3999999999999986
