Tap Time,ITI,Asynchornies,Tone Time,IOI
0.57,0.35,0.0,0.57,0.3399999999999999
0.91,0.3400000000000001,-0.01,0.92,0.3500000000000001
1.26,0.35,,,
1.63,0.3699999999999999,0.0299999999999998,1.6,
1.98,0.3500000000000001,0.02,1.96,0.3599999999999999
2.32,0.3399999999999998,0.0099999999999997,2.31,0.3500000000000001
2.65,0.33,-0.02,2.67,0.3599999999999999
3.0,0.3500000000000001,0.0099999999999997,2.99,0.3200000000000003
3.36,0.3599999999999999,,,
3.7,0.3400000000000003,-0.0099999999999997,3.71,
4.06,0.3599999999999994,0.0099999999999997,4.05,0.3399999999999998
4.4,0.3400000000000007,0.0,4.4,0.3500000000000005
4.74,0.3399999999999998,-0.0099999999999997,4.75,0.3499999999999996
5.1,0.3599999999999994,0.0199999999999995,5.08,0.33
5.42,0.3200000000000003,0.0,5.42,0.3399999999999998
5.77,0.3499999999999996,0.0,5.77,0.3499999999999996
6.14,0.3700000000000001,0.0099999999999997,6.13,0.3600000000000003
6.47,0.33,0.0,6.47,0.3399999999999998
6.81,0.3399999999999998,-0.0200000000000004,6.83,0.3600000000000003
7.14,0.33,-0.0300000000000002,7.17,0.3399999999999998
7.49,0.3500000000000005,-0.0299999999999993,7.52,0.3499999999999996
7.84,0.3499999999999996,-0.0200000000000004,7.86,0.3400000000000007
8.19,0.3499999999999996,-0.0400000000000009,8.23,0.3700000000000001
8.53,0.3399999999999998,-0.0099999999999997,8.54,0.3099999999999987
8.88,0.3500000000000014,-0.0299999999999993,8.91,0.370000000000001
9.23,0.3499999999999996,-0.0099999999999997,9.24,0.33
9.57,0.3399999999999998,-0.0299999999999993,9.6,0.3599999999999994
9.9,0.33,-0.0199999999999995,9.92,0.3200000000000003
10.26,0.3599999999999994,-0.0099999999999997,10.27,0.3499999999999996
10.6,0.3399999999999998,-0.0099999999999997,10.61,0.3399999999999998
10.94,0.3399999999999998,0.0099999999999997,10.93,0.3200000000000003
11.3,0.3600000000000012,0.0200000000000013,11.28,0.3499999999999996
11.64,0.3399999999999998,0.0200000000000013,11.62,0.3399999999999998
11.96,0.3200000000000003,0.0,11.96,0.3400000000000016
12.32,0.3599999999999994,-0.0099999999999997,12.33,0.3699999999999992
,,,12.69,0.3599999999999994
13.0,,0.0,13.0,0.3100000000000005
13.35,0.3499999999999996,0.0099999999999997,13.34,0.3399999999999998
,,,,
14.03,,-0.0200000000000013,14.05,
,,,,
14.73,,-0.0199999999999995,14.75,
15.08,0.3499999999999996,-0.0299999999999993,15.11,0.3599999999999994
15.42,0.3399999999999998,-0.0099999999999997,15.43,0.3200000000000003
15.77,0.3499999999999996,-0.0099999999999997,15.78,0.3499999999999996
16.12,0.3500000000000014,0.0100000000000015,16.11,0.33
16.46,0.3399999999999998,,,
16.79,0.3299999999999983,,,
,,,17.14,
17.46,,-0.0199999999999995,17.48,0.3399999999999998
17.83,0.3699999999999974,0.009999999999998,17.82,0.3399999999999998
18.18,0.3500000000000014,0.0199999999999995,18.16,0.3399999999999998
18.52,0.3399999999999998,0.0199999999999995,18.5,0.3399999999999998
18.86,0.3399999999999998,0.0199999999999995,18.84,0.3399999999999998
19.21,0.3500000000000014,0.0199999999999995,19.19,0.3500000000000014
19.54,0.3299999999999983,0.009999999999998,19.53,0.3399999999999998
19.88,0.3399999999999998,0.0,19.88,0.3499999999999978
20.23,0.3500000000000014,0.0199999999999995,20.21,0.3300000000000018
20.57,0.3399999999999998,,,
20.89,0.3200000000000003,-0.009999999999998,20.9,
21.22,0.3299999999999983,0.0,21.22,0.3200000000000003
21.56,0.3399999999999998,-0.0100000000000015,21.57,0.3500000000000014
21.91,0.3500000000000014,-0.0100000000000015,21.92,0.3500000000000014
22.26,0.3500000000000014,0.0,22.26,0.3399999999999998
22.62,0.3599999999999994,0.0199999999999995,22.6,0.3399999999999998
22.94,0.3200000000000003,-0.0199999999999995,22.96,0.3599999999999994
23.29,0.3499999999999978,0.009999999999998,23.28,0.3200000000000003
23.64,0.3500000000000014,0.0,23.64,0.3599999999999994
23.98,0.3399999999999998,-0.009999999999998,23.99,0.3499999999999978
24.35,0.370000000000001,0.0300000000000011,24.32,0.3300000000000018
24.67,0.3200000000000003,,,
24.99,0.3199999999999967,-0.0400000000000027,25.03,
,,,25.37,0.3399999999999998
25.69,,-0.0299999999999975,25.72,0.3499999999999978
26.05,0.3599999999999994,-0.0199999999999995,26.07,0.3500000000000014
26.4,0.3499999999999978,0.0,26.4,0.3299999999999983
26.75,0.3500000000000014,0.0,26.75,0.3500000000000014
27.11,0.3599999999999994,0.0399999999999991,27.07,0.3200000000000003
27.41,0.3000000000000007,0.0100000000000015,27.4,0.3299999999999983
27.75,0.3399999999999998,-0.0100000000000015,27.76,0.360000000000003
28.1,0.3500000000000014,-0.009999999999998,28.11,0.3499999999999978
28.45,0.3499999999999978,-0.0100000000000015,28.46,0.3500000000000014
28.81,0.3599999999999994,0.0,28.81,0.3499999999999978
29.14,0.3300000000000018,-0.009999999999998,29.15,0.3399999999999998
