Tap Time,ITI,Asynchornies,Tone Time,IOI
0.58,0.3199999999999999,0.0199999999999999,0.56,0.3400000000000001
0.91,0.33,0.01,0.9,0.3399999999999999
1.24,0.3299999999999999,0.02,1.22,0.3199999999999999
1.57,0.33,0.02,1.55,0.33
1.89,0.3199999999999998,0.01,1.88,0.3299999999999998
2.21,0.32,0.0,2.21,0.33
2.54,0.33,0.0,2.54,0.33
2.86,0.3199999999999998,-0.0100000000000002,2.87,0.33
3.19,0.33,0.0,3.19,0.3199999999999998
3.51,0.3199999999999998,-0.02,3.53,0.3399999999999998
3.85,0.3400000000000003,0.0,3.85,0.3200000000000003
4.14,0.2899999999999996,-0.04,4.18,0.3299999999999996
4.51,0.3700000000000001,0.0299999999999993,4.48,0.3000000000000007
4.82,0.3100000000000005,0.0300000000000002,4.79,0.3099999999999996
5.16,0.3399999999999998,0.0300000000000002,5.13,0.3399999999999998
5.48,0.3200000000000003,0.0,5.48,0.3500000000000005
5.8,0.3199999999999994,0.0199999999999995,5.78,0.2999999999999998
6.11,0.3100000000000005,0.0100000000000006,6.1,0.3199999999999994
6.42,0.3099999999999996,0.0300000000000002,6.39,0.29
6.74,0.3200000000000003,-0.0099999999999997,6.75,0.3600000000000003
7.09,0.3499999999999996,0.0099999999999997,7.08,0.33
,,,,
,,,,
8.02,,-0.0099999999999997,8.03,
8.33,0.3100000000000005,-0.0199999999999995,8.35,0.3200000000000003
8.67,0.3399999999999998,0.0,8.67,0.3200000000000003
8.99,0.3200000000000003,0.0199999999999995,8.97,0.3000000000000007
9.3,0.3100000000000005,0.0200000000000013,9.28,0.3099999999999987
9.61,0.3099999999999987,0.0,9.61,0.33
9.94,0.33,-0.0099999999999997,9.95,0.3399999999999998
10.27,0.33,0.0,10.27,0.3200000000000003
10.59,0.3200000000000003,-0.0099999999999997,10.6,0.33
10.92,0.33,0.0099999999999997,10.91,0.3100000000000005
11.24,0.3200000000000003,0.0099999999999997,11.23,0.3200000000000003
11.56,0.3200000000000003,0.0099999999999997,11.55,0.3200000000000003
11.86,0.2999999999999989,-0.0200000000000013,11.88,0.33
12.17,0.3100000000000005,0.0099999999999997,12.16,0.2799999999999993
12.51,0.3399999999999998,0.0,12.51,0.3499999999999996
12.82,0.3100000000000005,-0.0099999999999997,12.83,0.3200000000000003
13.15,0.33,0.0,13.15,0.3200000000000003
13.48,0.33,0.0300000000000011,13.45,0.2999999999999989
13.79,0.3099999999999987,-0.0100000000000015,13.8,0.3500000000000014
14.12,0.33,-0.0100000000000015,14.13,0.33
14.44,0.3200000000000003,-0.0099999999999997,14.45,0.3199999999999985
14.77,0.33,0.0099999999999997,14.76,0.3100000000000005
15.09,0.3200000000000003,0.0,15.09,0.33
15.41,0.3200000000000003,-0.0099999999999997,15.42,0.33
15.73,0.3200000000000003,-0.0399999999999991,15.77,0.3499999999999996
16.07,0.3399999999999998,0.0,16.07,0.3000000000000007
16.4,0.3299999999999983,-0.0200000000000031,16.42,0.3500000000000014
16.72,0.3200000000000003,-0.0199999999999995,16.74,0.3199999999999967
17.06,0.3399999999999998,-0.0100000000000015,17.07,0.3300000000000018
17.37,0.3100000000000023,-0.0299999999999975,17.4,0.3299999999999983
,,,17.74,0.3399999999999998
18.05,,-0.009999999999998,18.06,0.3200000000000003
18.36,0.3099999999999987,-0.0300000000000011,18.39,0.3300000000000018
18.69,0.3300000000000018,-0.009999999999998,18.7,0.3099999999999987
19.03,0.3399999999999998,-0.0199999999999995,19.05,0.3500000000000014
19.36,0.3299999999999983,0.0,19.36,0.3099999999999987
19.68,0.3200000000000003,-0.0300000000000011,19.71,0.3500000000000014
20.0,0.3200000000000003,-0.0199999999999995,20.02,0.3099999999999987
20.36,0.3599999999999994,0.0,20.36,0.3399999999999998
20.69,0.3300000000000018,0.0,20.69,0.3300000000000018
21.02,0.3299999999999983,0.0,21.02,0.3299999999999983
21.36,0.3399999999999998,0.009999999999998,21.35,0.3300000000000018
21.69,0.3300000000000018,0.0,21.69,0.3399999999999998
22.02,0.3299999999999983,0.0199999999999995,22.0,0.3099999999999987
22.35,0.3300000000000018,-0.0199999999999995,22.37,0.370000000000001
22.68,0.3299999999999983,0.0199999999999995,22.66,0.2899999999999991
23.02,0.3399999999999998,0.009999999999998,23.01,0.3500000000000014
23.34,0.3200000000000003,0.0199999999999995,23.32,0.3099999999999987
23.66,0.3200000000000003,-0.0100000000000015,23.67,0.3500000000000014
23.98,0.3200000000000003,-0.009999999999998,23.99,0.3199999999999967
24.3,0.3200000000000003,-0.009999999999998,24.31,0.3200000000000003
24.63,0.3299999999999983,-0.0199999999999995,24.65,0.3399999999999998
24.96,0.3300000000000018,-0.0299999999999975,24.99,0.3399999999999998
25.3,0.3399999999999998,-0.009999999999998,25.31,0.3200000000000003
25.65,0.3499999999999978,0.0199999999999995,25.63,0.3200000000000003
25.99,0.3399999999999998,0.0399999999999991,25.95,0.3200000000000003
26.3,0.3100000000000023,0.0,26.3,0.3500000000000014
26.61,0.3099999999999987,0.0199999999999995,26.59,0.2899999999999991
26.95,0.3399999999999998,0.0,26.95,0.3599999999999994
27.27,0.3200000000000003,0.0199999999999995,27.25,0.3000000000000007
27.58,0.3099999999999987,-0.0100000000000015,27.59,0.3399999999999998
27.92,0.3400000000000034,0.0100000000000015,27.91,0.3200000000000003
28.24,0.3199999999999967,-0.0100000000000015,28.25,0.3399999999999998
28.56,0.3200000000000003,-0.0100000000000015,28.57,0.3200000000000003
28.9,0.3399999999999998,-0.0200000000000031,28.92,0.3500000000000014
29.23,0.3300000000000018,0.0,29.23,0.3099999999999987
29.58,0.3499999999999978,0.0199999999999995,29.56,0.3299999999999983
29.9,0.3200000000000003,0.0199999999999995,29.88,0.3200000000000003
30.2,0.3000000000000007,,,
30.53,0.3300000000000018,-0.0199999999999995,30.55,
30.87,0.3399999999999998,-0.009999999999998,30.88,0.3299999999999983
31.22,0.3499999999999978,0.0,31.22,0.3399999999999998
31.55,0.3300000000000018,-0.009999999999998,31.56,0.3399999999999998
31.88,0.3299999999999983,0.0199999999999995,31.86,0.3000000000000007
32.2,0.3200000000000038,-0.009999999999998,32.21,0.3500000000000014
32.52,0.3200000000000003,-0.009999999999998,32.53,0.3200000000000003
32.86,0.3399999999999963,0.009999999999998,32.85,0.3200000000000003
33.2,0.3400000000000034,0.0300000000000011,33.17,0.3200000000000003
33.53,0.3299999999999983,-0.0300000000000011,33.56,0.3900000000000005
33.86,0.3299999999999983,0.019999999999996,33.84,0.2800000000000011
34.19,0.3299999999999983,-0.0100000000000051,34.2,0.3599999999999994
34.51,0.3200000000000003,-0.0100000000000051,34.52,0.3200000000000003
34.85,0.3400000000000034,,,
35.17,0.3200000000000003,-0.019999999999996,35.19,
35.5,0.3299999999999983,-0.0200000000000031,35.52,0.3300000000000054
35.83,0.3299999999999983,,,
36.15,0.3200000000000003,-0.0200000000000031,36.17,
36.49,0.3400000000000034,-0.019999999999996,36.51,0.3399999999999963
36.82,0.3299999999999983,-0.009999999999998,36.83,0.3200000000000003
37.15,0.3299999999999983,-0.009999999999998,37.16,0.3299999999999983
37.5,0.3500000000000014,-0.009999999999998,37.51,0.3500000000000014
37.81,0.3100000000000023,,,
38.14,0.3299999999999983,0.0,38.14,
38.43,0.2899999999999991,-0.009999999999998,38.44,0.2999999999999971
38.76,0.3299999999999983,,,
39.09,0.3300000000000054,0.0200000000000031,39.07,
39.4,0.3099999999999951,0.0,39.4,0.3299999999999983
39.71,0.3100000000000023,0.0,39.71,0.3100000000000023
40.08,0.3699999999999974,0.0399999999999991,40.04,0.3299999999999983
40.39,0.3100000000000023,0.0200000000000031,40.37,0.3299999999999983
40.73,0.3399999999999963,0.019999999999996,40.71,0.3400000000000034
41.04,0.3100000000000023,0.009999999999998,41.03,0.3200000000000003
41.37,0.3299999999999983,0.019999999999996,41.35,0.3200000000000003
41.72,0.3500000000000014,0.0399999999999991,41.68,0.3299999999999983
42.04,0.3200000000000003,0.009999999999998,42.03,0.3500000000000014
42.37,0.3299999999999983,0.019999999999996,42.35,0.3200000000000003
42.69,0.3200000000000003,0.0,42.69,0.3399999999999963
43.02,0.3300000000000054,0.0,43.02,0.3300000000000054
43.36,0.3399999999999963,0.009999999999998,43.35,0.3299999999999983
43.68,0.3200000000000003,0.009999999999998,43.67,0.3200000000000003
44.01,0.3299999999999983,0.0,44.01,0.3399999999999963
44.35,0.3400000000000034,0.0200000000000031,44.33,0.3200000000000003
44.68,0.3299999999999983,0.009999999999998,44.67,0.3400000000000034
45.0,0.3200000000000003,0.009999999999998,44.99,0.3200000000000003
45.33,0.3299999999999983,0.009999999999998,45.32,0.3299999999999983
45.65,0.3200000000000003,0.009999999999998,45.64,0.3200000000000003
45.97,0.3200000000000003,0.0,45.97,0.3299999999999983
46.31,0.3400000000000034,0.0200000000000031,46.29,0.3200000000000003
46.64,0.3299999999999983,0.009999999999998,46.63,0.3400000000000034
46.98,0.3399999999999963,0.019999999999996,46.96,0.3299999999999983
47.31,0.3300000000000054,0.0200000000000031,47.29,0.3299999999999983
47.63,0.3200000000000003,0.0300000000000011,47.6,0.3100000000000023
47.95,0.3200000000000003,0.0200000000000031,47.93,0.3299999999999983
48.27,0.3200000000000003,0.0200000000000031,48.25,0.3200000000000003
48.59,0.3200000000000003,0.0100000000000051,48.58,0.3299999999999983
48.91,0.3199999999999932,0.0,48.91,0.3299999999999983
49.24,0.3300000000000054,-0.009999999999998,49.25,0.3400000000000034
49.59,0.3500000000000014,0.0200000000000031,49.57,0.3200000000000003
49.92,0.3299999999999983,0.0200000000000031,49.9,0.3299999999999983
50.25,0.3299999999999983,0.0200000000000031,50.23,0.3299999999999983
