Tone Time,IOI,Asynchornies,Tap Time,ITI
0.54,0.35,-0.04999999999999993,0.59,0.38
0.96,0.4199999999999999,,,
1.33,0.3700000000000001,-0.06999999999999984,1.4,
1.73,0.3999999999999999,0.040000000000000036,1.69,0.29
2.11,0.3799999999999999,-0.020000000000000018,2.13,0.4399999999999999
2.5,0.3900000000000001,,,
2.89,0.3900000000000001,,,
3.28,0.3899999999999997,-0.020000000000000018,3.3,
3.67,0.3900000000000001,-0.03000000000000025,3.7,0.4000000000000003
4.05,0.3799999999999999,,,
4.43,0.3799999999999999,,,
4.79,0.3600000000000003,0.009999999999999787,4.78,
5.17,0.3799999999999999,-0.020000000000000462,5.19,0.4100000000000001
5.55,0.3799999999999999,,,
5.93,0.3799999999999999,,,
6.32,0.3900000000000005,-0.02999999999999936,6.35,
6.71,0.3899999999999997,0.019999999999999574,6.69,0.3400000000000007
7.09,0.3799999999999999,-0.009999999999999787,7.1,0.4099999999999992
7.48,0.3900000000000005,-0.019999999999999574,7.5,0.4000000000000003
7.86,0.3799999999999999,-0.019999999999999574,7.88,0.3799999999999999
8.25,0.3899999999999997,-0.019999999999999574,8.27,0.3899999999999997
8.62,0.3699999999999992,-0.02000000000000135,8.64,0.370000000000001
9.01,0.3900000000000005,0.0,9.01,0.3699999999999992
9.39,0.3800000000000008,0.0,9.39,0.3800000000000008
9.78,0.3899999999999988,-0.08000000000000007,9.86,0.4699999999999988
10.17,0.3900000000000005,-0.040000000000000924,10.21,0.3500000000000014
10.57,0.4000000000000003,0.009999999999999787,10.56,0.3499999999999996
10.96,0.3900000000000005,-0.049999999999998934,11.01,0.4499999999999993
11.34,0.379999999999999,-0.019999999999999574,11.36,0.3499999999999996
11.74,0.4000000000000003,-0.03999999999999915,11.78,0.4199999999999999
12.12,0.379999999999999,,,
12.51,0.3900000000000005,-0.019999999999999574,12.53,
12.9,0.3900000000000005,-0.02999999999999936,12.93,0.4000000000000003
13.3,0.4000000000000003,-0.05999999999999872,13.36,0.4299999999999997
13.69,0.3899999999999988,,,
14.07,0.3800000000000008,-0.02999999999999936,14.1,
14.46,0.3900000000000005,0.02000000000000135,14.44,0.3399999999999998
14.85,0.3899999999999988,0.009999999999999787,14.84,0.4000000000000003
15.22,0.370000000000001,-0.03999999999999915,15.26,0.4199999999999999
15.62,0.3999999999999986,,,
16.0,0.3800000000000008,0.019999999999999574,15.98,
16.39,0.3900000000000005,-0.03999999999999915,16.43,0.4499999999999993
16.78,0.3900000000000005,,,
17.15,0.3699999999999974,,,
17.54,0.3900000000000005,,,
17.94,0.4000000000000021,0.019999999999999574,17.92,
18.31,0.3699999999999974,,,
18.67,0.360000000000003,-0.03999999999999915,18.71,
19.06,0.389999999999997,-0.010000000000001563,19.07,0.3599999999999994
19.43,0.370000000000001,-0.019999999999999574,19.45,0.379999999999999
19.82,0.3900000000000005,,,
20.2,0.379999999999999,-0.060000000000002274,20.26,
20.57,0.370000000000001,-0.05999999999999872,20.63,0.3699999999999974
20.94,0.370000000000001,-0.04999999999999716,20.99,0.3599999999999994
21.33,0.389999999999997,,,
21.72,0.3900000000000005,,,
22.1,0.3800000000000025,-0.03999999999999915,22.14,
22.48,0.379999999999999,-0.05000000000000071,22.53,0.3900000000000005
22.87,0.3900000000000005,-0.029999999999997584,22.9,0.3699999999999974
23.27,0.3999999999999986,-0.030000000000001137,23.3,0.4000000000000021
23.64,0.370000000000001,-0.030000000000001137,23.67,0.370000000000001
24.03,0.3900000000000005,-0.04999999999999716,24.08,0.4099999999999966
24.41,0.379999999999999,,,
24.82,0.4100000000000001,-0.00999999999999801,24.83,
25.19,0.370000000000001,-0.029999999999997584,25.22,0.3900000000000005
25.58,0.389999999999997,,,
25.96,0.3800000000000025,,,
26.37,0.4100000000000001,-0.03999999999999915,26.41,
26.75,0.379999999999999,-0.010000000000001563,26.76,0.3500000000000014
27.13,0.379999999999999,,,
27.51,0.3800000000000025,-0.08999999999999986,27.6,
27.93,0.4199999999999981,,,
28.32,0.3900000000000005,-0.00999999999999801,28.33,
28.69,0.370000000000001,,,
29.06,0.3699999999999974,0.00999999999999801,29.05,
29.44,0.3800000000000025,-0.00999999999999801,29.45,0.3999999999999986
29.81,0.3699999999999974,-0.019999999999999574,29.83,0.379999999999999
30.2,0.3900000000000005,,,
30.57,0.370000000000001,,,
30.95,0.379999999999999,0.0,30.95,
31.33,0.379999999999999,-0.020000000000003126,31.35,0.4000000000000021
31.73,0.4000000000000021,-0.05999999999999872,31.79,0.4399999999999977
32.12,0.389999999999997,,,
32.5,0.3800000000000025,-0.00999999999999801,32.51,
32.88,0.3800000000000025,,,
33.29,0.4099999999999966,-0.05000000000000426,33.34,
33.67,0.3800000000000025,-0.030000000000001137,33.7,0.3599999999999994
34.05,0.3799999999999954,-0.04000000000000625,34.09,0.3900000000000005
34.43,0.3800000000000025,-0.020000000000003126,34.45,0.3599999999999994
34.83,0.3999999999999986,-0.030000000000001137,34.86,0.4099999999999966
35.21,0.3800000000000025,-0.030000000000001137,35.24,0.3800000000000025
35.59,0.3800000000000025,-0.00999999999999801,35.6,0.3599999999999994
35.98,0.3899999999999934,-0.060000000000002274,36.04,0.4399999999999977
