Tone Time,IOI,Asynchornies,Tap Time,ITI
0.34,0.26,-0.009999999999999953,0.35,0.2699999999999999
,,,0.63,0.28
,,,0.89,0.26
1.15,,0.029999999999999805,1.12,0.2300000000000001
1.4,0.25,0.0,1.4,0.2799999999999998
1.65,0.25,-0.06000000000000005,1.71,0.31
1.92,0.27,-0.010000000000000009,1.93,0.2199999999999999
,,,2.21,0.28
,,,,
2.71,,0.020000000000000018,2.69,
2.94,0.2299999999999999,-0.020000000000000018,2.96,0.27
3.21,0.27,-0.010000000000000231,3.22,0.2600000000000002
3.47,0.2600000000000002,-0.020000000000000018,3.49,0.27
,,,3.76,0.2699999999999996
,,,,
4.27,,0.02999999999999936,4.24,
4.51,0.2400000000000002,0.009999999999999787,4.5,0.2599999999999998
4.78,0.2700000000000004,0.040000000000000036,4.74,0.2400000000000002
5.02,0.2399999999999993,-0.010000000000000675,5.03,0.29
5.27,0.25,0.0,5.27,0.2399999999999993
,,,,
5.81,,0.04999999999999982,5.76,
6.05,0.2400000000000002,0.0,6.05,0.29
6.31,0.2599999999999998,0.0699999999999994,6.24,0.1900000000000004
6.56,0.25,0.019999999999999574,6.54,0.2999999999999998
,,,6.8,0.2599999999999998
7.06,,0.009999999999999787,7.05,0.25
7.32,0.2600000000000007,0.020000000000000462,7.3,0.25
7.56,0.2399999999999993,0.009999999999999787,7.55,0.25
7.82,0.2600000000000007,0.03000000000000025,7.79,0.2400000000000002
8.07,0.25,0.019999999999999574,8.05,0.2600000000000007
,,,8.31,0.2599999999999998
,,,8.56,0.25
8.82,,-0.009999999999999787,8.83,0.2699999999999996
9.08,0.2599999999999998,0.0,9.08,0.25
9.33,0.25,0.0,9.33,0.25
9.6,0.2699999999999996,0.02999999999999936,9.57,0.2400000000000002
,,,9.82,0.25
,,,10.07,0.25
10.35,,0.009999999999999787,10.34,0.2699999999999996
10.6,0.25,0.009999999999999787,10.59,0.25
10.86,0.2599999999999998,0.009999999999999787,10.85,0.2599999999999998
,,,11.09,0.2400000000000002
,,,11.36,0.2699999999999996
,,,11.6,0.2400000000000002
11.88,,0.010000000000001563,11.87,0.2699999999999996
12.15,0.2699999999999996,0.009999999999999787,12.14,0.2700000000000013
12.38,0.2300000000000004,-0.009999999999999787,12.39,0.25
12.65,0.2699999999999996,0.019999999999999574,12.63,0.2400000000000002
,,,12.88,0.25
,,,13.15,0.2699999999999996
13.41,,0.019999999999999574,13.39,0.2400000000000002
13.66,0.25,0.0,13.66,0.2699999999999996
13.92,0.2599999999999998,0.0,13.92,0.2599999999999998
