Tone Time,IOI,Asynchornies,Tap Time,ITI
0.85,0.42,-0.030000000000000027,0.88,0.5
1.29,0.44,0.0,1.29,0.41
1.78,0.49,,,
2.23,0.4499999999999999,-0.010000000000000231,2.24,
2.69,0.4599999999999999,,,
3.13,0.4399999999999999,,,
3.6,0.4700000000000002,-0.009999999999999787,3.61,
4.04,0.4399999999999999,0.009999999999999787,4.03,0.4200000000000004
4.5,0.4599999999999999,0.03000000000000025,4.47,0.4399999999999995
4.95,0.4500000000000002,0.040000000000000036,4.91,0.4400000000000004
5.4,0.4500000000000002,,,
5.85,0.4499999999999993,0.0,5.85,
6.3,0.4500000000000002,,,
6.75,0.4500000000000002,-0.009999999999999787,6.76,
7.18,0.4299999999999997,-0.0600000000000005,7.24,0.4800000000000004
7.65,0.4700000000000006,-0.02999999999999936,7.68,0.4399999999999995
8.11,0.4599999999999991,0.009999999999999787,8.1,0.4199999999999999
8.54,0.4299999999999997,,,
9.02,0.4800000000000004,0.0,9.02,
9.48,0.4600000000000008,-0.02999999999999936,9.51,0.4900000000000002
9.93,0.4499999999999993,,,
10.38,0.450000000000001,0.0,10.38,
,,,10.88,0.5
11.3,,-0.03999999999999915,11.34,0.4599999999999991
11.75,0.4499999999999993,,,
12.2,0.4499999999999993,-0.040000000000000924,12.24,
12.65,0.450000000000001,-0.049999999999998934,12.7,0.4599999999999991
13.13,0.4800000000000004,0.010000000000001563,13.12,0.4199999999999999
13.58,0.4499999999999993,-0.08999999999999986,13.67,0.5500000000000007
13.99,0.4100000000000001,-0.019999999999999574,14.01,0.3399999999999998
14.46,0.4700000000000006,,,
14.91,0.4499999999999993,0.0,14.91,
15.38,0.4700000000000006,-0.02999999999999936,15.41,0.5
15.83,0.4499999999999993,0.040000000000000924,15.79,0.379999999999999
16.28,0.450000000000001,,,
16.74,0.4599999999999973,0.029999999999997584,16.71,
17.19,0.4500000000000028,0.010000000000001563,17.18,0.4699999999999988
17.6,0.4100000000000001,-0.00999999999999801,17.61,0.4299999999999997
18.05,0.4499999999999993,0.010000000000001563,18.04,0.4299999999999997
18.52,0.4699999999999988,,,
18.98,0.4600000000000008,,,
19.43,0.4499999999999993,,,
19.88,0.4499999999999993,0.00999999999999801,19.87,
20.32,0.4400000000000013,,,
20.81,0.4899999999999984,,,
21.24,0.4299999999999997,,,
21.68,0.4400000000000013,0.0,21.68,
22.16,0.4800000000000004,0.010000000000001563,22.15,0.4699999999999988
22.61,0.4499999999999993,-0.010000000000001563,22.62,0.4700000000000024
23.04,0.4299999999999997,0.00999999999999801,23.03,0.4100000000000001
23.49,0.4499999999999993,-0.08000000000000185,23.57,0.5399999999999991
23.93,0.4400000000000013,-0.03999999999999915,23.97,0.3999999999999986
24.39,0.4600000000000008,-0.00999999999999801,24.4,0.4299999999999997
24.84,0.4499999999999993,0.030000000000001137,24.81,0.4100000000000001
25.28,0.4400000000000013,,,
25.73,0.4499999999999993,0.03999999999999915,25.69,
26.17,0.4400000000000013,0.020000000000003126,26.15,0.4599999999999973
26.61,0.4399999999999977,0.030000000000001137,26.58,0.4299999999999997
27.06,0.4499999999999993,,,
27.52,0.4600000000000008,,,
27.95,0.4299999999999997,,,
28.38,0.4299999999999997,0.029999999999997584,28.35,
,,,,
29.29,,-0.05000000000000071,29.34,
29.77,0.4800000000000004,0.00999999999999801,29.76,0.4200000000000017
30.2,0.4299999999999997,,,
30.66,0.4600000000000008,-0.07000000000000028,30.73,
31.1,0.4400000000000013,,,
31.57,0.4699999999999988,-0.00999999999999801,31.58,
31.96,0.3900000000000005,-0.019999999999999574,31.98,0.4000000000000021
32.47,0.509999999999998,,,
32.89,0.4200000000000017,-0.0799999999999983,32.97,
33.34,0.4500000000000028,,,
33.79,0.4499999999999957,-0.060000000000002274,33.85,
34.27,0.480000000000004,-0.04999999999999716,34.32,0.4699999999999988
34.68,0.4099999999999966,-0.07000000000000028,34.75,0.4299999999999997
35.14,0.4600000000000008,-0.10000000000000142,35.24,0.490000000000002
35.58,0.4399999999999977,-0.010000000000005116,35.59,0.3500000000000014
36.03,0.4500000000000028,,,
36.49,0.4600000000000008,,,
36.94,0.4499999999999957,0.03999999999999915,36.9,
37.4,0.4600000000000008,0.00999999999999801,37.39,0.490000000000002
37.86,0.4600000000000008,0.01999999999999602,37.84,0.4500000000000028
38.32,0.4600000000000008,0.03999999999999915,38.28,0.4399999999999977
38.74,0.4200000000000017,,,
39.18,0.4399999999999977,-0.060000000000002274,39.24,
39.63,0.4500000000000028,-0.00999999999999801,39.64,0.3999999999999986
40.06,0.4299999999999997,-0.01999999999999602,40.08,0.4399999999999977
40.53,0.4699999999999988,0.0,40.53,0.4500000000000028
40.96,0.4299999999999997,-0.01999999999999602,40.98,0.4499999999999957
41.42,0.4600000000000008,,,
41.87,0.4499999999999957,,,
42.3,0.4299999999999997,,,
42.73,0.4299999999999997,-0.04000000000000625,42.77,
43.2,0.4700000000000059,-0.00999999999999801,43.21,0.4399999999999977
43.65,0.4499999999999957,0.0,43.65,0.4399999999999977
44.1,0.4500000000000028,0.020000000000003126,44.08,0.4299999999999997
44.59,0.490000000000002,0.020000000000003126,44.57,0.490000000000002
45.02,0.4299999999999997,-0.00999999999999801,45.03,0.4600000000000008
45.45,0.4299999999999997,0.010000000000005116,45.44,0.4099999999999966
45.9,0.4499999999999957,0.01999999999999602,45.88,0.4400000000000048
46.33,0.4299999999999997,0.0,46.33,0.4499999999999957
,,,,
47.24,,0.0,47.24,
47.67,0.4299999999999997,-0.030000000000001137,47.7,0.4600000000000008
48.11,0.4399999999999977,-0.020000000000003126,48.13,0.4299999999999997
48.56,0.4500000000000028,-0.01999999999999602,48.58,0.4499999999999957
49.01,0.4499999999999957,0.00999999999999801,49.0,0.4200000000000017
49.44,0.4299999999999997,-0.020000000000003126,49.46,0.4600000000000008
49.89,0.4500000000000028,-0.00999999999999801,49.9,0.4399999999999977
50.34,0.4500000000000028,,,
50.77,0.4299999999999997,-0.02999999999999403,50.8,
51.24,0.4699999999999988,0.0,51.24,0.4400000000000048
51.68,0.4399999999999977,-0.00999999999999801,51.69,0.4499999999999957
52.12,0.4399999999999977,0.0,52.12,0.4299999999999997
52.57,0.4500000000000028,0.0,52.57,0.4500000000000028
53.01,0.4399999999999977,-0.030000000000001137,53.04,0.4699999999999988
53.47,0.4600000000000008,0.01999999999999602,53.45,0.4100000000000037
53.92,0.4500000000000028,,,
54.39,0.4699999999999988,0.030000000000001137,54.36,
54.84,0.4500000000000028,0.0,54.84,0.480000000000004
55.29,0.4499999999999957,0.00999999999999801,55.28,0.4399999999999977
,,,55.75,0.4699999999999988
56.19,,0.00999999999999801,56.18,0.4299999999999997
56.67,0.480000000000004,,,
57.12,0.4499999999999957,,,
57.56,0.4400000000000048,,,
58.01,0.4499999999999957,0.0,58.01,
58.46,0.4500000000000028,0.0,58.46,0.4500000000000028
58.88,0.4200000000000017,-0.01999999999999602,58.9,0.4399999999999977
59.35,0.4699999999999988,,,
,,,59.8,
60.24,,0.0,60.24,0.4400000000000048
60.66,0.4199999999999946,-0.020000000000003126,60.68,0.4399999999999977
61.12,0.4600000000000008,,,
61.57,0.4500000000000028,-0.020000000000003126,61.59,
62.01,0.4399999999999977,-0.03999999999999915,62.05,0.4599999999999937
62.48,0.4699999999999988,0.0,62.48,0.4299999999999997
62.93,0.4500000000000028,,,
63.34,0.4100000000000037,0.010000000000005116,63.33,
63.81,0.4699999999999988,0.0,63.81,0.480000000000004
64.23,0.4200000000000017,0.0,64.23,0.4200000000000017
64.69,0.4599999999999937,,,
65.16,0.4699999999999988,,,
65.62,0.4600000000000079,0.020000000000010232,65.6,
66.04,0.4200000000000017,0.020000000000010232,66.02,0.4200000000000017
66.51,0.4699999999999988,,,
66.95,0.4399999999999977,-0.01999999999999602,66.97,
67.4,0.4500000000000028,-0.009999999999990905,67.41,0.4399999999999977
67.84,0.4399999999999977,0.07000000000000739,67.77,0.3599999999999994
68.28,0.4399999999999977,,,
68.74,0.4599999999999937,0.009999999999990905,68.73,
69.17,0.4300000000000068,0.0,69.17,0.4399999999999977
