Tone Time,IOI,Asynchornies,Tap Time,ITI
,,,,
,,,,
,,,,
,,,1.61,
1.93,,-0.020000000000000018,1.95,0.3399999999999998
2.27,0.3400000000000001,-0.04999999999999982,2.32,0.3699999999999999
2.6,0.33,-0.040000000000000036,2.64,0.3200000000000003
2.94,0.3399999999999998,-0.08999999999999986,3.03,0.3899999999999997
3.27,0.33,-0.040000000000000036,3.31,0.2800000000000002
3.64,0.3700000000000001,0.0,3.64,0.33
3.97,0.33,,,
4.3,0.3299999999999996,0.0,4.3,
4.63,0.33,-0.0600000000000005,4.69,0.3900000000000005
4.94,0.3100000000000005,-0.02999999999999936,4.97,0.2799999999999993
5.28,0.3399999999999998,-0.02999999999999936,5.31,0.3399999999999998
5.6,0.3199999999999994,-0.03000000000000025,5.63,0.3200000000000003
5.94,0.3400000000000007,,,
6.26,0.3199999999999994,-0.040000000000000036,6.3,
6.59,0.33,-0.08000000000000007,6.67,0.3700000000000001
6.91,0.3200000000000003,-0.05999999999999961,6.97,0.2999999999999998
7.24,0.33,-0.05999999999999961,7.3,0.33
7.56,0.3199999999999994,-0.040000000000000036,7.6,0.2999999999999998
7.89,0.33,-0.03000000000000025,7.92,0.3200000000000003
8.22,0.3300000000000009,-0.049999999999998934,8.27,0.3499999999999996
8.54,0.3199999999999985,-0.040000000000000924,8.58,0.3100000000000005
8.87,0.33,-0.05000000000000071,8.92,0.3399999999999998
9.19,0.3200000000000003,,,
9.52,0.33,-0.05000000000000071,9.57,
9.84,0.3200000000000003,,,
10.17,0.33,-0.009999999999999787,10.18,
10.51,0.3399999999999998,0.019999999999999574,10.49,0.3100000000000005
10.82,0.3100000000000005,,,
11.14,0.3200000000000003,,,
11.47,0.33,-0.02999999999999936,11.5,
11.8,0.33,-0.06999999999999851,11.87,0.3699999999999992
12.12,0.3199999999999985,-0.0600000000000005,12.18,0.3100000000000005
12.47,0.3500000000000014,-0.02999999999999936,12.5,0.3200000000000003
12.78,0.3099999999999987,-0.030000000000001137,12.81,0.3100000000000005
13.11,0.33,-0.02000000000000135,13.13,0.3200000000000003
13.43,0.3200000000000003,-0.030000000000001137,13.46,0.33
13.78,0.3499999999999996,-0.009999999999999787,13.79,0.3299999999999983
14.1,0.3200000000000003,-0.009999999999999787,14.11,0.3200000000000003
14.42,0.3200000000000003,-0.08000000000000007,14.5,0.3900000000000005
14.75,0.33,,,
15.08,0.33,-0.009999999999999787,15.09,
15.41,0.33,-0.03999999999999915,15.45,0.3599999999999994
15.75,0.3399999999999998,,,
16.07,0.3200000000000003,-0.03999999999999915,16.11,
16.4,0.3299999999999983,-0.020000000000003126,16.42,0.3100000000000023
16.73,0.3300000000000018,-0.00999999999999801,16.74,0.3199999999999967
17.06,0.3299999999999983,,,
17.39,0.3300000000000018,0.0,17.39,
17.71,0.3200000000000003,-0.019999999999999574,17.73,0.3399999999999998
18.04,0.3299999999999983,,,
18.37,0.3300000000000018,-0.019999999999999574,18.39,
18.69,0.3200000000000003,-0.03999999999999915,18.73,0.3399999999999998
19.02,0.3299999999999983,-0.03999999999999915,19.06,0.3299999999999983
19.36,0.3399999999999998,-0.019999999999999574,19.38,0.3200000000000003
