Tone Time,IOI,Asynchornies,Tap Time,ITI
0.52,,-0.040000000000000036,0.56,0.36
0.87,0.35,0.020000000000000018,0.85,0.2899999999999999
1.22,0.35,-0.030000000000000027,1.25,0.4
1.57,0.3500000000000001,-0.040000000000000036,1.61,0.3600000000000001
1.92,0.3499999999999998,-0.06000000000000005,1.98,0.3699999999999999
2.27,0.3500000000000001,0.020000000000000018,2.25,0.27
2.62,0.3500000000000001,0.0,2.62,0.3700000000000001
2.98,0.3599999999999999,0.009999999999999787,2.97,0.3500000000000001
3.33,0.3500000000000001,-0.08999999999999986,3.42,0.4499999999999997
3.68,0.3500000000000001,-0.040000000000000036,3.72,0.3000000000000002
4.05,0.3699999999999996,-0.03000000000000025,4.08,0.3599999999999999
4.39,0.3399999999999998,0.009999999999999787,4.38,0.2999999999999998
4.74,0.3500000000000005,-0.04999999999999982,4.79,0.4100000000000001
5.1,0.3599999999999994,,,
5.45,0.3500000000000005,-0.04999999999999982,5.5,
5.78,0.33,-0.08000000000000007,5.86,0.3600000000000003
6.13,0.3499999999999996,-0.08000000000000007,6.21,0.3499999999999996
6.5,0.3700000000000001,-0.04999999999999982,6.55,0.3399999999999998
6.85,0.3499999999999996,-0.03000000000000025,6.88,0.33
7.18,0.33,-0.07000000000000028,7.25,0.3700000000000001
7.54,0.3600000000000003,-0.07000000000000028,7.61,0.3600000000000003
,,,7.93,0.3199999999999994
8.25,,-0.03999999999999915,8.29,0.3599999999999994
8.59,0.3399999999999998,,,
8.94,0.3499999999999996,-0.040000000000000924,8.98,
9.28,0.3399999999999998,,,
9.61,0.33,-0.0600000000000005,9.67,
,,,,
10.31,,0.009999999999999787,10.3,
10.66,0.3499999999999996,-0.05000000000000071,10.71,0.4100000000000001
,,,11.06,0.3499999999999996
11.36,,-0.040000000000000924,11.4,0.3399999999999998
11.71,0.3500000000000014,-0.03999999999999915,11.75,0.3499999999999996
12.06,0.3499999999999996,-0.02999999999999936,12.09,0.3399999999999998
12.39,0.33,-0.049999999999998934,12.44,0.3499999999999996
12.73,0.3399999999999998,0.0,12.73,0.2900000000000009
13.09,0.3599999999999994,-0.040000000000000924,13.13,0.4000000000000003
13.45,0.3599999999999994,-0.02000000000000135,13.47,0.3399999999999998
13.79,0.3399999999999998,-0.040000000000000924,13.83,0.3599999999999994
14.13,0.3400000000000016,-0.03999999999999915,14.17,0.3399999999999998
14.47,0.3399999999999998,-0.03999999999999915,14.51,0.3399999999999998
14.83,0.3599999999999994,-0.02999999999999936,14.86,0.3499999999999996
15.17,0.3399999999999998,-0.019999999999999574,15.19,0.33
15.5,0.33,,,
15.86,0.3599999999999994,0.019999999999999574,15.84,
16.21,0.3500000000000014,,,
16.56,0.3499999999999978,-0.030000000000001137,16.59,
16.91,0.3500000000000014,-0.05000000000000071,16.96,0.370000000000001
17.25,0.3399999999999998,-0.05000000000000071,17.3,0.3399999999999998
17.6,0.3500000000000014,-0.04999999999999716,17.65,0.3499999999999978
17.96,0.3599999999999994,0.019999999999999574,17.94,0.2900000000000027
18.3,0.3399999999999998,,,
18.65,0.3499999999999978,,,
18.99,0.3399999999999998,0.00999999999999801,18.98,
19.33,0.3399999999999998,-0.07000000000000028,19.4,0.4199999999999981
19.68,0.3500000000000014,0.0,19.68,0.2800000000000011
20.01,0.3300000000000018,-0.03999999999999915,20.05,0.370000000000001
20.36,0.3499999999999978,-0.03999999999999915,20.4,0.3499999999999978
20.71,0.3500000000000014,-0.029999999999997584,20.74,0.3399999999999998
21.05,0.3399999999999998,-0.03999999999999915,21.09,0.3500000000000014
21.38,0.3299999999999983,-0.030000000000001137,21.41,0.3200000000000003
21.74,0.3599999999999994,,,
22.09,0.3500000000000014,-0.03999999999999915,22.13,
22.43,0.3399999999999998,,,
22.77,0.3399999999999998,-0.05999999999999872,22.83,
23.13,0.3599999999999994,-0.0400000000000027,23.17,0.3400000000000034
23.44,0.3100000000000023,-0.04999999999999716,23.49,0.3199999999999967
23.81,0.3699999999999974,-0.07000000000000028,23.88,0.3900000000000005
24.15,0.3399999999999998,-0.060000000000002274,24.21,0.3300000000000018
24.51,0.360000000000003,-0.019999999999999574,24.53,0.3200000000000003
24.86,0.3499999999999978,-0.030000000000001137,24.89,0.3599999999999994
25.21,0.3500000000000014,-0.05999999999999872,25.27,0.379999999999999
25.56,0.3499999999999978,-0.030000000000001137,25.59,0.3200000000000003
25.9,0.3399999999999998,0.019999999999999574,25.88,0.2899999999999991
26.24,0.3399999999999998,-0.030000000000001137,26.27,0.3900000000000005
26.59,0.3500000000000014,,,
26.94,0.3500000000000014,-0.019999999999999574,26.96,
27.27,0.3299999999999983,-0.05000000000000071,27.32,0.3599999999999994
27.63,0.3599999999999994,-0.030000000000001137,27.66,0.3399999999999998
27.99,0.3599999999999994,-0.030000000000001137,28.02,0.3599999999999994
28.33,0.3399999999999998,,,
28.67,0.3400000000000034,-0.029999999999997584,28.7,
29.01,0.3399999999999998,0.030000000000001137,28.98,0.2800000000000011
29.36,0.3499999999999978,-0.03999999999999915,29.4,0.4199999999999981
29.7,0.3399999999999998,0.00999999999999801,29.69,0.2900000000000027
30.04,0.3399999999999998,,,
