Tone Time,IOI,Asynchornies,Tap Time,ITI
0.39,0.24,,,
0.65,0.26,-0.010000000000000009,0.66,
0.93,0.28,0.0,0.93,0.27
1.17,0.2399999999999998,0.0,1.17,0.2399999999999998
1.43,0.26,-0.020000000000000018,1.45,0.28
1.68,0.25,-0.010000000000000009,1.69,0.24
1.97,0.29,0.0,1.97,0.28
2.18,0.2100000000000002,,,
2.45,0.27,,,
2.71,0.2599999999999998,0.0,2.71,
2.96,0.25,-0.03000000000000025,2.99,0.2800000000000002
3.22,0.2600000000000002,-0.020000000000000018,3.24,0.25
3.49,0.27,0.0,3.49,0.25
3.73,0.2399999999999997,-0.020000000000000018,3.75,0.2599999999999998
3.99,0.2600000000000002,-0.019999999999999574,4.01,0.2599999999999998
4.24,0.25,-0.040000000000000036,4.28,0.2700000000000004
4.49,0.25,-0.009999999999999787,4.5,0.2199999999999997
4.74,0.25,-0.019999999999999574,4.76,0.2599999999999998
5.01,0.2699999999999996,-0.009999999999999787,5.02,0.2599999999999998
5.27,0.2599999999999998,0.0,5.27,0.25
5.53,0.2600000000000007,0.0,5.53,0.2600000000000007
5.77,0.2399999999999993,-0.010000000000000675,5.78,0.25
6.03,0.2600000000000007,0.0,6.03,0.25
6.26,0.2299999999999995,-0.020000000000000462,6.28,0.25
6.51,0.25,-0.03000000000000025,6.54,0.2599999999999998
6.77,0.2599999999999998,-0.020000000000000462,6.79,0.25
7.02,0.25,-0.05000000000000071,7.07,0.2800000000000002
7.27,0.25,-0.020000000000000462,7.29,0.2199999999999997
7.54,0.2700000000000004,-0.019999999999999574,7.56,0.2699999999999996
7.79,0.25,0.0,7.79,0.2300000000000004
8.03,0.2399999999999993,-0.009999999999999787,8.04,0.2499999999999991
8.29,0.2599999999999998,0.0,8.29,0.25
8.53,0.2400000000000002,-0.030000000000001137,8.56,0.2700000000000013
8.78,0.25,-0.009999999999999787,8.79,0.2299999999999986
9.04,0.2599999999999998,0.0,9.04,0.25
9.3,0.2600000000000015,0.0,9.3,0.2600000000000015
9.54,0.2399999999999984,-0.02000000000000135,9.56,0.2599999999999998
9.77,0.2300000000000004,-0.0600000000000005,9.83,0.2699999999999996
10.03,0.2599999999999998,-0.040000000000000924,10.07,0.2400000000000002
10.29,0.2599999999999998,-0.030000000000001137,10.32,0.25
10.55,0.2600000000000015,0.0,10.55,0.2300000000000004
10.8,0.25,0.0,10.8,0.25
11.05,0.25,0.0,11.05,0.25
11.29,0.2399999999999984,-0.010000000000001563,11.3,0.25
11.53,0.2400000000000002,-0.05000000000000071,11.58,0.2799999999999993
11.79,0.2599999999999998,-0.010000000000001563,11.8,0.2200000000000006
12.05,0.2600000000000015,0.0,12.05,0.25
12.3,0.25,,,
12.55,0.25,0.0,12.55,
12.79,0.2399999999999984,-0.010000000000001563,12.8,0.25
13.05,0.2600000000000015,0.0,13.05,0.25
13.29,0.2399999999999984,-0.030000000000001137,13.32,0.2699999999999996
13.55,0.2600000000000015,-0.009999999999999787,13.56,0.2400000000000002
13.79,0.2399999999999984,0.0,13.79,0.2299999999999986
14.04,0.25,-0.010000000000001563,14.05,0.2600000000000015
14.27,0.2300000000000004,-0.05000000000000071,14.32,0.2699999999999996
14.51,0.2400000000000002,-0.019999999999999574,14.53,0.209999999999999
14.79,0.2799999999999993,0.0,14.79,0.2599999999999998
15.04,0.25,0.0,15.04,0.25
15.29,0.25,,,
15.54,0.25,0.009999999999999787,15.53,
15.79,0.25,0.009999999999999787,15.78,0.25
16.02,0.2300000000000004,-0.03999999999999915,16.06,0.2799999999999993
16.26,0.240000000000002,-0.04999999999999716,16.31,0.25
16.49,0.2299999999999968,-0.05000000000000071,16.54,0.2300000000000004
16.73,0.240000000000002,,,
17.0,0.2699999999999996,0.0,17.0,
