Tone Time,IOI,Asynchornies,Tap Time,ITI
0.34,0.28,0.0,0.34,
0.61,0.2699999999999999,,,
0.89,0.28,-0.010000000000000009,0.9,
,,,,
1.44,,-0.020000000000000018,1.46,
1.69,0.25,-0.040000000000000036,1.73,0.27
1.97,0.28,-0.030000000000000027,2.0,0.27
2.23,0.26,-0.04999999999999982,2.28,0.2799999999999998
2.51,0.2799999999999998,-0.020000000000000018,2.53,0.25
,,,,
3.05,,-0.010000000000000231,3.06,
3.32,0.27,-0.020000000000000018,3.34,0.2799999999999998
3.6,0.2800000000000002,-0.029999999999999805,3.63,0.29
,,,3.88,0.25
4.15,,-0.019999999999999574,4.17,0.29
4.4,0.25,-0.040000000000000036,4.44,0.2700000000000004
4.69,0.29,0.020000000000000462,4.67,0.2299999999999995
4.94,0.25,-0.019999999999999574,4.96,0.29
5.24,0.2999999999999998,-0.040000000000000036,5.28,0.3200000000000003
5.49,0.25,-0.009999999999999787,5.5,0.2199999999999997
5.77,0.2799999999999993,-0.07000000000000028,5.84,0.3399999999999998
6.03,0.2600000000000007,-0.02999999999999936,6.06,0.2199999999999997
6.32,0.29,-0.009999999999999787,6.33,0.2700000000000004
6.58,0.2599999999999998,,,
6.85,0.2699999999999996,-0.020000000000000462,6.87,
7.11,0.2600000000000007,0.020000000000000462,7.09,0.2199999999999997
7.38,0.2699999999999996,-0.0600000000000005,7.44,0.3500000000000005
7.64,0.2599999999999998,-0.040000000000000036,7.68,0.2399999999999993
7.93,0.29,-0.020000000000000462,7.95,0.2700000000000004
8.19,0.2599999999999998,,,
8.47,0.2800000000000011,-0.02999999999999936,8.5,
8.74,0.2699999999999996,-0.019999999999999574,8.76,0.2599999999999998
9.03,0.2899999999999991,-0.02000000000000135,9.05,0.2900000000000009
9.27,0.2400000000000002,-0.05000000000000071,9.32,0.2699999999999996
9.57,0.3000000000000007,0.0,9.57,0.25
9.82,0.25,-0.03999999999999915,9.86,0.2899999999999991
10.1,0.2799999999999993,-0.040000000000000924,10.14,0.2800000000000011
10.36,0.2599999999999998,-0.040000000000000924,10.4,0.2599999999999998
10.64,0.2800000000000011,0.009999999999999787,10.63,0.2300000000000004
10.9,0.2599999999999998,,,
11.19,0.2899999999999991,-0.030000000000001137,11.22,
11.44,0.25,-0.030000000000001137,11.47,0.25
11.72,0.2800000000000011,0.0,11.72,0.25
11.98,0.2599999999999998,,,
12.27,0.2899999999999991,0.02999999999999936,12.24,
12.54,0.2699999999999996,-0.030000000000001137,12.57,0.33
12.82,0.2800000000000011,,,
13.09,0.2699999999999996,-0.040000000000000924,13.13,
13.38,0.2900000000000009,-0.049999999999998934,13.43,0.2999999999999989
13.64,0.2599999999999998,-0.049999999999998934,13.69,0.2599999999999998
13.93,0.2899999999999991,-0.019999999999999574,13.95,0.2599999999999998
14.2,0.2699999999999996,-0.02000000000000135,14.22,0.2700000000000013
14.49,0.2900000000000009,0.0,14.49,0.2699999999999996
14.75,0.2599999999999998,-0.02999999999999936,14.78,0.2899999999999991
15.04,0.2899999999999991,0.0,15.04,0.2599999999999998
15.29,0.25,0.0,15.29,0.25
15.58,0.2900000000000009,-0.009999999999999787,15.59,0.3000000000000007
15.84,0.2599999999999998,-0.02999999999999936,15.87,0.2799999999999993
16.13,0.2899999999999991,-0.0400000000000027,16.17,0.3000000000000025
16.38,0.25,-0.05000000000000071,16.43,0.259999999999998
16.67,0.2900000000000027,-0.03999999999999915,16.71,0.2800000000000011
16.93,0.259999999999998,-0.03999999999999915,16.97,0.259999999999998
17.23,0.3000000000000007,-0.00999999999999801,17.24,0.2699999999999996
17.48,0.25,0.030000000000001137,17.45,0.2100000000000008
17.76,0.2800000000000011,-0.03999999999999915,17.8,0.3500000000000014
18.04,0.2799999999999976,-0.03999999999999915,18.08,0.2799999999999976
18.32,0.2800000000000011,0.0,18.32,0.240000000000002
18.58,0.259999999999998,-0.0400000000000027,18.62,0.3000000000000007
18.87,0.2900000000000027,0.010000000000001563,18.86,0.2399999999999984
19.12,0.25,-0.05999999999999872,19.18,0.3200000000000003
19.41,0.2899999999999991,-0.030000000000001137,19.44,0.2600000000000015
19.66,0.25,-0.05000000000000071,19.71,0.2699999999999996
19.94,0.2800000000000011,-0.03999999999999915,19.98,0.2699999999999996
20.2,0.259999999999998,,,
20.5,0.3000000000000007,0.030000000000001137,20.47,
20.73,0.2300000000000004,,,
21.03,0.3000000000000007,-0.00999999999999801,21.04,
21.28,0.25,-0.03999999999999915,21.32,0.2800000000000011
,,,21.59,0.2699999999999996
21.83,,-0.030000000000001137,21.86,0.2699999999999996
22.11,0.2800000000000011,-0.010000000000001563,22.12,0.2600000000000015
22.37,0.2600000000000015,-0.00999999999999801,22.38,0.259999999999998
22.64,0.2699999999999996,-0.019999999999999574,22.66,0.2800000000000011
22.9,0.259999999999998,-0.030000000000001137,22.93,0.2699999999999996
23.18,0.2800000000000011,-0.030000000000001137,23.21,0.2800000000000011
23.43,0.25,-0.05000000000000071,23.48,0.2699999999999996
23.74,0.3099999999999987,-0.030000000000001137,23.77,0.2899999999999991
23.98,0.240000000000002,-0.05000000000000071,24.03,0.2600000000000015
24.27,0.2899999999999991,-0.019999999999999574,24.29,0.259999999999998
24.53,0.2600000000000015,0.019999999999999574,24.51,0.2200000000000024
24.81,0.2799999999999976,-0.010000000000001563,24.82,0.3099999999999987
25.06,0.25,,,
25.35,0.2900000000000027,-0.00999999999999801,25.36,
25.59,0.2399999999999984,,,
,,,,
26.15,,-0.030000000000001137,26.18,
26.43,0.2800000000000011,-0.019999999999999574,26.45,0.2699999999999996
26.68,0.25,-0.03999999999999915,26.72,0.2699999999999996
26.96,0.2800000000000011,-0.029999999999997584,26.99,0.2699999999999996
27.23,0.2699999999999996,-0.03999999999999915,27.27,0.2800000000000011
27.5,0.2699999999999996,-0.019999999999999574,27.52,0.25
27.75,0.25,,,
28.06,0.3099999999999987,0.0,28.06,
28.31,0.25,,,
,,,,
28.86,,-0.03999999999999915,28.9,
29.13,0.2699999999999996,-0.030000000000001137,29.16,0.2600000000000015
29.39,0.2600000000000015,-0.03999999999999915,29.43,0.2699999999999996
29.68,0.2899999999999991,,,
29.93,0.25,-0.030000000000001137,29.96,
,,,30.26,0.3000000000000007
30.47,,-0.0400000000000027,30.51,0.25
30.75,0.2800000000000011,,,
31.01,0.2600000000000015,-0.019999999999999574,31.03,
31.3,0.2899999999999991,-0.019999999999999574,31.32,0.2899999999999991
31.56,0.259999999999998,-0.060000000000002274,31.62,0.3000000000000007
31.85,0.2900000000000027,-0.019999999999999574,31.87,0.25
32.12,0.269999999999996,-0.020000000000003126,32.14,0.2699999999999996
32.4,0.2800000000000011,0.0,32.4,0.259999999999998
32.66,0.259999999999998,-0.020000000000003126,32.68,0.2800000000000011
32.93,0.2700000000000031,-0.03999999999999915,32.97,0.2899999999999991
33.2,0.2700000000000031,-0.04999999999999716,33.25,0.2800000000000011
33.49,0.2899999999999991,0.0,33.49,0.240000000000002
33.74,0.25,,,
34.03,0.2899999999999991,-0.00999999999999801,34.04,
34.28,0.25,,,
34.56,0.2800000000000011,-0.030000000000001137,34.59,
34.81,0.25,-0.01999999999999602,34.83,0.2399999999999948
35.09,0.2800000000000011,-0.00999999999999801,35.1,0.2700000000000031
35.34,0.25,,,
35.63,0.2899999999999991,-0.02999999999999403,35.66,
35.89,0.259999999999998,-0.01999999999999602,35.91,0.25
36.17,0.2800000000000011,-0.03999999999999915,36.21,0.3000000000000042
36.43,0.259999999999998,-0.04999999999999716,36.48,0.269999999999996
36.72,0.2899999999999991,-0.03999999999999915,36.76,0.2800000000000011
36.97,0.25,-0.05000000000000426,37.02,0.2600000000000051
37.27,0.3000000000000042,0.0,37.27,0.25
37.53,0.259999999999998,,,
37.81,0.2800000000000011,0.030000000000001137,37.78,
38.08,0.269999999999996,0.00999999999999801,38.07,0.2899999999999991
38.36,0.2800000000000011,0.00999999999999801,38.35,0.2800000000000011
38.6,0.240000000000002,-0.05999999999999517,38.66,0.3099999999999951
38.9,0.2999999999999971,,,
39.16,0.259999999999998,-0.020000000000003126,39.18,
39.45,0.2900000000000062,0.010000000000005116,39.44,0.259999999999998
39.71,0.259999999999998,-0.04999999999999716,39.76,0.3200000000000003
39.98,0.269999999999996,0.01999999999999602,39.96,0.2000000000000028
40.25,0.2700000000000031,0.0,40.25,0.2899999999999991
40.54,0.2899999999999991,0.030000000000001137,40.51,0.259999999999998
40.81,0.2700000000000031,-0.03999999999999915,40.85,0.3400000000000034
