Tone Time,IOI,Asynchornies,Tap Time,ITI
0.42,0.41,0.010000000000000009,0.41,0.3999999999999999
0.79,0.37,-0.020000000000000018,0.81,0.4000000000000001
1.21,0.4199999999999999,-0.010000000000000009,1.22,0.4099999999999999
1.61,0.4000000000000001,-0.04999999999999982,1.66,0.4399999999999999
2.02,0.4099999999999999,,,
2.44,0.4199999999999999,0.0,2.44,
2.87,0.4300000000000001,0.03000000000000025,2.84,0.3999999999999999
3.23,0.3599999999999999,-0.020000000000000018,3.25,0.4100000000000001
3.63,0.3999999999999999,-0.03000000000000025,3.66,0.4100000000000001
4.04,0.4100000000000001,0.0,4.04,0.3799999999999999
4.47,0.4299999999999997,,,
4.85,0.3799999999999999,0.019999999999999574,4.83,
5.22,0.3700000000000001,0.0,5.22,0.3899999999999997
5.63,0.4100000000000001,0.0,5.63,0.4100000000000001
6.01,0.3799999999999999,-0.03000000000000025,6.04,0.4100000000000001
6.43,0.4199999999999999,,,
6.84,0.4100000000000001,-0.0600000000000005,6.9,
7.24,0.4000000000000003,0.040000000000000036,7.2,0.2999999999999998
7.61,0.3700000000000001,,,
8.01,0.3999999999999994,,,
8.4,0.3900000000000005,-0.0600000000000005,8.46,
8.8,0.4000000000000003,-0.02999999999999936,8.83,0.3699999999999992
9.17,0.3699999999999992,,,
9.58,0.4100000000000001,-0.07000000000000028,9.65,
9.97,0.3900000000000005,,,
10.37,0.3999999999999986,-0.05000000000000071,10.42,
10.77,0.4000000000000003,-0.019999999999999574,10.79,0.3699999999999992
11.16,0.3900000000000005,0.0,11.16,0.370000000000001
11.55,0.3900000000000005,,,
11.94,0.3899999999999988,-0.02000000000000135,11.96,
,,,,
12.72,,0.009999999999999787,12.71,
13.12,0.3999999999999986,,,
13.49,0.370000000000001,-0.02999999999999936,13.52,
13.89,0.4000000000000003,-0.049999999999998934,13.94,0.4199999999999999
14.27,0.379999999999999,,,
14.68,0.4100000000000001,-0.07000000000000028,14.75,
15.07,0.3900000000000005,-0.03999999999999915,15.11,0.3599999999999994
15.48,0.4100000000000001,0.0,15.48,0.370000000000001
15.87,0.3899999999999988,0.009999999999999787,15.86,0.379999999999999
16.26,0.3900000000000023,,,
16.63,0.3699999999999974,-0.010000000000001563,16.64,
17.03,0.4000000000000021,0.010000000000001563,17.02,0.379999999999999
17.41,0.379999999999999,-0.010000000000001563,17.42,0.4000000000000021
17.79,0.379999999999999,,,
18.19,0.4000000000000021,0.0,18.19,
18.59,0.3999999999999986,,,
18.97,0.379999999999999,-0.019999999999999574,18.99,
19.38,0.4100000000000001,,,
19.77,0.3900000000000005,-0.019999999999999574,19.79,
20.16,0.3900000000000005,-0.030000000000001137,20.19,0.4000000000000021
20.57,0.4100000000000001,-0.019999999999999574,20.59,0.3999999999999986
20.96,0.3900000000000005,,,
21.35,0.3900000000000005,-0.00999999999999801,21.36,
21.76,0.4100000000000001,,,
22.16,0.3999999999999986,0.010000000000001563,22.15,
22.55,0.3900000000000005,-0.0799999999999983,22.63,0.4800000000000004
22.94,0.3900000000000005,-0.03999999999999915,22.98,0.3500000000000014
23.35,0.4100000000000001,-0.00999999999999801,23.36,0.379999999999999
23.74,0.389999999999997,0.0,23.74,0.379999999999999
24.12,0.3800000000000025,-0.00999999999999801,24.13,0.3900000000000005
24.52,0.3999999999999986,0.030000000000001137,24.49,0.3599999999999994
,,,,
25.3,,-0.029999999999997584,25.33,
25.72,0.4199999999999981,0.029999999999997584,25.69,0.360000000000003
26.09,0.370000000000001,0.010000000000001563,26.08,0.389999999999997
26.46,0.370000000000001,-0.019999999999999574,26.48,0.4000000000000021
26.85,0.3900000000000005,0.0,26.85,0.370000000000001
27.26,0.4100000000000001,0.020000000000003126,27.24,0.389999999999997
27.64,0.379999999999999,0.030000000000001137,27.61,0.370000000000001
28.02,0.379999999999999,,,
28.4,0.379999999999999,0.00999999999999801,28.39,
28.78,0.3800000000000025,-0.00999999999999801,28.79,0.3999999999999986
29.16,0.379999999999999,,,
29.55,0.3900000000000005,,,
29.95,0.3999999999999986,-0.03999999999999915,29.99,
30.34,0.3900000000000005,-0.030000000000001137,30.37,0.3800000000000025
30.73,0.3900000000000005,-0.00999999999999801,30.74,0.3699999999999974
31.12,0.3900000000000005,-0.07000000000000028,31.19,0.4500000000000028
31.49,0.3699999999999974,-0.030000000000001137,31.52,0.3299999999999983
31.89,0.4000000000000021,,,
32.29,0.3999999999999986,-0.00999999999999801,32.3,
32.69,0.3999999999999986,,,
33.07,0.3800000000000025,-0.020000000000003126,33.09,
33.47,0.3999999999999986,,,
33.86,0.3900000000000005,-0.00999999999999801,33.87,
34.24,0.3800000000000025,,,
34.63,0.3900000000000005,-0.00999999999999801,34.64,
35.02,0.3900000000000005,0.0,35.02,0.3800000000000025
35.39,0.3699999999999974,,,
35.78,0.3900000000000005,,,
36.16,0.3799999999999954,0.03999999999999915,36.12,
36.52,0.3600000000000065,,,
36.88,0.3599999999999994,-0.00999999999999801,36.89,
37.28,0.3999999999999986,-0.030000000000001137,37.31,0.4200000000000017
37.7,0.4200000000000017,0.0,37.7,0.3900000000000005
38.09,0.3900000000000005,,,
38.47,0.3799999999999954,-0.020000000000003126,38.49,
38.89,0.4200000000000017,0.0,38.89,0.3999999999999986
39.28,0.3900000000000005,-0.01999999999999602,39.3,0.4099999999999966
39.67,0.3900000000000005,,,
40.08,0.4099999999999966,-0.010000000000005116,40.09,
40.49,0.4100000000000037,0.0,40.49,0.3999999999999986
40.89,0.3999999999999986,0.0,40.89,0.3999999999999986
41.28,0.3900000000000005,-0.0799999999999983,41.36,0.4699999999999988
41.67,0.3900000000000005,0.0,41.67,0.3100000000000023
,,,42.03,0.3599999999999994
42.45,,0.020000000000003126,42.43,0.3999999999999986
42.83,0.3799999999999954,-0.07000000000000028,42.9,0.4699999999999988
43.22,0.3900000000000005,0.0,43.22,0.3200000000000003
43.61,0.3900000000000005,,,
44.0,0.3900000000000005,0.00999999999999801,43.99,
44.39,0.3900000000000005,0.020000000000003126,44.37,0.3799999999999954
44.76,0.3699999999999974,-0.030000000000001137,44.79,0.4200000000000017
45.15,0.3900000000000005,-0.030000000000001137,45.18,0.3900000000000005
45.53,0.3800000000000025,0.0,45.53,0.3500000000000014
45.91,0.3799999999999954,-0.020000000000003126,45.93,0.3999999999999986
46.3,0.3900000000000005,,,
46.68,0.3800000000000025,-0.020000000000003126,46.7,
47.08,0.3999999999999986,,,
47.46,0.3800000000000025,-0.00999999999999801,47.47,
47.83,0.3699999999999974,0.0,47.83,0.3599999999999994
48.21,0.3800000000000025,-0.00999999999999801,48.22,0.3900000000000005
48.6,0.3900000000000005,-0.00999999999999801,48.61,0.3900000000000005
49.01,0.4099999999999966,0.030000000000001137,48.98,0.3699999999999974
49.36,0.3500000000000014,,,
49.76,0.3999999999999986,-0.0800000000000054,49.84,
50.14,0.3800000000000025,-0.01999999999999602,50.16,0.3199999999999932
50.53,0.3900000000000005,,,
50.92,0.3900000000000005,-0.01999999999999602,50.94,
51.3,0.3799999999999954,,,
51.69,0.3900000000000005,0.0,51.69,
,,,,
52.46,,0.020000000000003126,52.44,
52.83,0.3699999999999974,-0.03999999999999915,52.87,0.4299999999999997
53.21,0.3800000000000025,-0.00999999999999801,53.22,0.3500000000000014
,,,53.61,0.3900000000000005
54.0,,0.00999999999999801,53.99,0.3800000000000025
54.39,0.3900000000000005,,,
54.76,0.3699999999999974,0.030000000000001137,54.73,
,,,55.13,0.4000000000000057
55.53,,0.00999999999999801,55.52,0.3900000000000005
55.89,0.3599999999999994,,,
