Tone Time,IOI,Asynchornies,Tap Time,ITI
0.49,,,,
0.75,0.26,,,
1.03,0.28,-0.030000000000000027,1.06,
1.34,0.31,-0.020000000000000018,1.36,0.3
1.62,0.28,,,
1.91,0.2899999999999998,-0.010000000000000009,1.92,
2.18,0.2700000000000002,0.0,2.18,0.2600000000000002
2.47,0.29,,,
2.75,0.2799999999999998,0.020000000000000018,2.73,
3.04,0.29,-0.029999999999999805,3.07,0.3399999999999998
3.33,0.29,-0.009999999999999787,3.34,0.27
3.63,0.2999999999999998,0.009999999999999787,3.62,0.2800000000000002
3.91,0.2800000000000002,0.010000000000000231,3.9,0.2799999999999998
4.19,0.2800000000000002,0.010000000000000675,4.18,0.2799999999999998
,,,4.39,0.2099999999999999
4.66,,-0.019999999999999574,4.68,0.29
,,,4.96,0.2800000000000002
,,,,
,,,,
,,,,
,,,5.92,
6.19,,0.010000000000000675,6.18,0.2599999999999998
6.49,0.2999999999999998,0.020000000000000462,6.47,0.29
6.76,0.2699999999999996,-0.009999999999999787,6.77,0.2999999999999998
7.03,0.2700000000000004,-0.04999999999999982,7.08,0.3100000000000005
7.32,0.29,-0.04999999999999982,7.37,0.29
7.6,0.2799999999999993,-0.010000000000000675,7.61,0.2400000000000002
7.88,0.2800000000000002,-0.009999999999999787,7.89,0.2799999999999993
,,,,
8.46,,-0.02999999999999936,8.49,
8.73,0.2699999999999996,0.030000000000001137,8.7,0.209999999999999
9.0,0.2699999999999996,0.0,9.0,0.3000000000000007
9.28,0.2799999999999993,-0.009999999999999787,9.29,0.2899999999999991
9.56,0.2800000000000011,,,
9.85,0.2899999999999991,0.0,9.85,
10.11,0.2599999999999998,,,
10.4,0.2900000000000009,0.009999999999999787,10.39,
10.68,0.2799999999999993,0.0,10.68,0.2899999999999991
10.96,0.2800000000000011,0.0,10.96,0.2800000000000011
11.23,0.2699999999999996,0.009999999999999787,11.22,0.2599999999999998
11.52,0.2899999999999991,,,
11.79,0.2699999999999996,-0.040000000000000924,11.83,
12.08,0.2900000000000009,,,
12.36,0.2799999999999993,0.0,12.36,
12.65,0.2900000000000009,,,
12.93,0.2799999999999993,,,
13.19,0.2599999999999998,0.019999999999999574,13.17,
13.47,0.2800000000000011,0.009999999999999787,13.46,0.2900000000000009
13.74,0.2699999999999996,0.0,13.74,0.2799999999999993
14.03,0.2899999999999991,0.009999999999999787,14.02,0.2799999999999993
14.3,0.2700000000000013,0.030000000000001137,14.27,0.25
14.58,0.2799999999999993,0.019999999999999574,14.56,0.2900000000000009
14.85,0.2699999999999996,-0.009999999999999787,14.86,0.2999999999999989
15.11,0.2599999999999998,-0.040000000000000924,15.15,0.2900000000000009
15.4,0.2900000000000009,0.0,15.4,0.25
15.69,0.2899999999999991,-0.009999999999999787,15.7,0.2999999999999989
15.97,0.2800000000000011,0.009999999999999787,15.96,0.2600000000000015
16.25,0.2799999999999993,0.030000000000001137,16.22,0.259999999999998
16.52,0.2699999999999996,,,
16.8,0.2800000000000011,,,
17.08,0.2799999999999976,-0.020000000000003126,17.1,
