Tone Time,IOI,Asynchornies,Tap Time,ITI
,,,,
1.05,,-0.010000000000000009,1.06,
1.5,0.4499999999999999,0.0,1.5,0.4399999999999999
,,,1.98,0.48
,,,,
2.86,,-0.010000000000000231,2.87,
,,,3.32,0.4499999999999997
3.75,,-0.029999999999999805,3.78,0.4599999999999999
4.21,0.4599999999999999,-0.03000000000000025,4.24,0.4600000000000004
4.68,0.4699999999999997,0.0,4.68,0.4399999999999995
5.12,0.4400000000000004,-0.08999999999999986,5.21,0.5300000000000002
5.57,0.4500000000000002,,,
6.03,0.4599999999999999,-0.019999999999999574,6.05,
,,,6.53,0.4800000000000004
6.94,,-0.05999999999999961,7.0,0.4699999999999997
7.4,0.4599999999999999,-0.0699999999999994,7.47,0.4699999999999997
7.84,0.4399999999999995,-0.10000000000000053,7.94,0.4700000000000006
8.32,0.4800000000000004,-0.0600000000000005,8.38,0.4400000000000004
8.77,0.4499999999999993,-0.05000000000000071,8.82,0.4399999999999995
9.22,0.450000000000001,,,
9.68,0.4599999999999991,0.0600000000000005,9.62,
10.14,0.4600000000000008,-0.08999999999999986,10.23,0.6100000000000012
10.58,0.4399999999999995,,,
11.04,0.4599999999999991,,,
11.47,0.4300000000000015,-0.09999999999999964,11.57,
11.93,0.4599999999999991,0.049999999999998934,11.88,0.3100000000000005
12.37,0.4399999999999995,-0.09000000000000163,12.46,0.5800000000000001
12.83,0.4600000000000008,0.0600000000000005,12.77,0.3099999999999987
13.26,0.4299999999999997,,,
13.73,0.4700000000000006,-0.05999999999999872,13.79,
14.17,0.4399999999999995,,,
14.63,0.4600000000000008,-0.03999999999999915,14.67,
15.05,0.4199999999999999,,,
15.49,0.4399999999999995,-0.10999999999999943,15.6,
15.95,0.4599999999999991,0.0,15.95,0.3499999999999996
16.42,0.4700000000000024,,,
16.86,0.4399999999999977,0.00999999999999801,16.85,
17.32,0.4600000000000008,-0.03999999999999915,17.36,0.509999999999998
17.75,0.4299999999999997,0.0,17.75,0.3900000000000005
18.21,0.4600000000000008,-0.05000000000000071,18.26,0.5100000000000016
18.64,0.4299999999999997,,,
19.09,0.4499999999999993,-0.10000000000000142,19.19,
19.53,0.4400000000000013,,,
20.0,0.4699999999999988,0.010000000000001563,19.99,
20.44,0.4400000000000013,-0.07000000000000028,20.51,0.5200000000000031
20.89,0.4499999999999993,,,
21.3,0.4100000000000001,-0.00999999999999801,21.31,
21.75,0.4499999999999993,,,
22.18,0.4299999999999997,-0.010000000000001563,22.19,
22.63,0.4499999999999993,-0.10000000000000142,22.73,0.5399999999999991
23.07,0.4400000000000013,-0.10000000000000142,23.17,0.4400000000000013
23.53,0.4600000000000008,-0.03999999999999915,23.57,0.3999999999999986
23.97,0.4399999999999977,-0.030000000000001137,24.0,0.4299999999999997
24.42,0.4500000000000028,-0.08999999999999986,24.51,0.5100000000000016
24.85,0.4299999999999997,,,
25.32,0.4699999999999988,-0.03999999999999915,25.36,
25.77,0.4499999999999993,-0.019999999999999574,25.79,0.4299999999999997
26.22,0.4499999999999993,,,
26.68,0.4600000000000008,0.0,26.68,
27.15,0.4699999999999988,0.00999999999999801,27.14,0.4600000000000008
27.58,0.4299999999999997,-0.010000000000001563,27.59,0.4499999999999993
28.05,0.4700000000000024,-0.0799999999999983,28.13,0.5399999999999991
28.49,0.4399999999999977,-0.10000000000000142,28.59,0.4600000000000008
28.96,0.4700000000000024,-0.05999999999999872,29.02,0.4299999999999997
29.32,0.3599999999999994,-0.08999999999999986,29.41,0.3900000000000005
29.85,0.5300000000000011,-0.00999999999999801,29.86,0.4499999999999993
30.28,0.4299999999999997,-0.029999999999997584,30.31,0.4499999999999993
30.77,0.4899999999999984,0.129999999999999,30.64,0.3300000000000018
31.2,0.4299999999999997,0.10999999999999943,31.09,0.4499999999999993
31.54,0.3399999999999998,-0.010000000000001563,31.55,0.4600000000000008
,,,31.99,0.4399999999999977
32.45,,,,
,,,32.88,
33.35,,-0.00999999999999801,33.36,0.4799999999999969
,,,,
34.25,,0.09000000000000341,34.16,
,,,34.64,0.480000000000004
35.16,,0.09999999999999432,35.06,0.4200000000000017
,,,35.51,0.4499999999999957
36.07,,0.10999999999999943,35.96,0.4500000000000028
,,,,
36.94,,,,
,,,37.37,
,,,,
38.14,,,,
,,,,
,,,,
,,,39.46,
,,,,
,,,40.33,
,,,40.77,0.4400000000000048
,,,41.23,0.4599999999999937
41.61,,-0.0799999999999983,41.69,0.4600000000000008
42.05,0.4399999999999977,-0.09000000000000341,42.14,0.4500000000000028
42.67,0.6200000000000045,0.09000000000000341,42.58,0.4399999999999977
42.97,0.2999999999999971,-0.060000000000002274,43.03,0.4500000000000028
43.43,0.4600000000000008,-0.04999999999999716,43.48,0.4499999999999957
43.87,0.4399999999999977,-0.09000000000000341,43.96,0.480000000000004
44.34,0.4700000000000059,-0.05999999999999517,44.4,0.4399999999999977
44.76,0.4199999999999946,-0.10000000000000142,44.86,0.4600000000000008
45.24,0.480000000000004,-0.07000000000000028,45.31,0.4500000000000028
45.69,0.4499999999999957,0.0,45.69,0.3799999999999954
46.15,0.4600000000000008,0.00999999999999801,46.14,0.4500000000000028
46.57,0.4200000000000017,-0.020000000000003126,46.59,0.4500000000000028
47.03,0.4600000000000008,-0.10999999999999943,47.14,0.5499999999999972
47.48,0.4499999999999957,-0.0800000000000054,47.56,0.4200000000000017
47.95,0.4700000000000059,,,
48.37,0.4199999999999946,,,
48.82,0.4500000000000028,0.04999999999999716,48.77,
49.27,0.4500000000000028,0.05000000000000426,49.22,0.4499999999999957
49.76,0.4899999999999949,0.030000000000001137,49.73,0.509999999999998
