Tone Time,IOI,Asynchornies,Tap Time,ITI
0.55,0.35,-0.07999999999999996,0.63,0.38
0.9,0.35,0.0,0.9,0.27
1.26,0.36,,,
1.6,0.3400000000000001,0.0,1.6,
1.96,0.3599999999999999,,,
2.31,0.3500000000000001,-0.029999999999999805,2.34,
2.66,0.3500000000000001,-0.029999999999999805,2.69,0.3500000000000001
2.99,0.33,,,
3.34,0.3499999999999996,,,
3.69,0.3500000000000001,,,
4.04,0.3500000000000001,0.0,4.04,
4.38,0.3399999999999998,,,
4.72,0.3399999999999998,-0.07000000000000028,4.79,
5.06,0.3399999999999998,0.0,5.06,0.2699999999999996
5.41,0.3500000000000005,,,
5.75,0.3399999999999998,,,
6.09,0.3399999999999998,-0.03000000000000025,6.12,
6.43,0.3399999999999998,-0.010000000000000675,6.44,0.3200000000000003
6.77,0.3399999999999998,0.019999999999999574,6.75,0.3099999999999996
7.09,0.3200000000000003,-0.020000000000000462,7.11,0.3600000000000003
7.45,0.3600000000000003,0.040000000000000036,7.41,0.2999999999999998
7.79,0.3399999999999998,,,
8.14,0.3500000000000005,,,
8.47,0.33,-0.009999999999999787,8.48,
8.81,0.3399999999999998,,,
9.16,0.3499999999999996,0.009999999999999787,9.15,
9.49,0.33,,,
9.83,0.3399999999999998,,,
10.18,0.3499999999999996,-0.030000000000001137,10.21,
10.52,0.3399999999999998,0.03999999999999915,10.48,0.2699999999999996
10.88,0.3600000000000012,,,
11.2,0.3199999999999985,,,
11.55,0.3500000000000014,0.0,11.55,
11.88,0.33,0.0,11.88,0.33
12.22,0.3399999999999998,-0.009999999999999787,12.23,0.3499999999999996
12.56,0.3399999999999998,-0.019999999999999574,12.58,0.3499999999999996
12.9,0.3399999999999998,-0.02999999999999936,12.93,0.3499999999999996
13.24,0.3399999999999998,-0.02999999999999936,13.27,0.3399999999999998
13.57,0.33,-0.03999999999999915,13.61,0.3399999999999998
13.92,0.3499999999999996,-0.019999999999999574,13.94,0.33
14.26,0.3399999999999998,-0.019999999999999574,14.28,0.3399999999999998
14.59,0.33,-0.019999999999999574,14.61,0.33
14.93,0.3399999999999998,-0.030000000000001137,14.96,0.3500000000000014
15.27,0.3399999999999998,-0.08999999999999986,15.36,0.3999999999999986
15.63,0.3600000000000012,-0.03999999999999915,15.67,0.3100000000000005
15.96,0.33,0.010000000000001563,15.95,0.2799999999999993
16.3,0.3399999999999998,,,
16.63,0.3299999999999983,-0.05000000000000071,16.68,
16.99,0.3599999999999994,-0.030000000000001137,17.02,0.3399999999999998
17.3,0.3100000000000023,-0.0799999999999983,17.38,0.3599999999999994
17.65,0.3499999999999978,-0.030000000000001137,17.68,0.3000000000000007
17.97,0.3200000000000003,-0.08000000000000185,18.05,0.370000000000001
18.31,0.3399999999999998,-0.030000000000001137,18.34,0.2899999999999991
18.64,0.3300000000000018,-0.07000000000000028,18.71,0.370000000000001
18.99,0.3499999999999978,-0.07000000000000028,19.06,0.3499999999999978
19.32,0.3300000000000018,-0.05999999999999872,19.38,0.3200000000000003
19.68,0.3599999999999994,-0.019999999999999574,19.7,0.3200000000000003
20.0,0.3200000000000003,-0.010000000000001563,20.01,0.3100000000000023
20.34,0.3399999999999998,-0.05000000000000071,20.39,0.379999999999999
20.67,0.3300000000000018,-0.06999999999999673,20.74,0.3499999999999978
21.02,0.3499999999999978,,,
21.35,0.3300000000000018,,,
21.71,0.3599999999999994,0.0,21.71,
22.05,0.3399999999999998,0.0,22.05,0.3399999999999998
22.39,0.3399999999999998,-0.05999999999999872,22.45,0.3999999999999986
22.73,0.3399999999999998,,,
23.08,0.3499999999999978,0.0,23.08,
23.41,0.3300000000000018,0.0,23.41,0.3300000000000018
23.76,0.3500000000000014,0.0,23.76,0.3500000000000014
24.1,0.3399999999999998,0.0,24.1,0.3399999999999998
24.44,0.3399999999999998,,,
24.78,0.3399999999999998,-0.00999999999999801,24.79,
25.13,0.3499999999999978,,,
25.45,0.3200000000000003,0.0,25.45,
25.81,0.3599999999999994,0.019999999999999574,25.79,0.3399999999999998
26.13,0.3200000000000003,-0.019999999999999574,26.15,0.3599999999999994
26.49,0.3599999999999994,-0.010000000000001563,26.5,0.3500000000000014
26.82,0.3300000000000018,-0.00999999999999801,26.83,0.3299999999999983
27.17,0.3500000000000014,-0.00999999999999801,27.18,0.3500000000000014
27.49,0.3199999999999967,-0.060000000000002274,27.55,0.370000000000001
27.85,0.360000000000003,-0.019999999999999574,27.87,0.3200000000000003
28.18,0.3299999999999983,,,
28.53,0.3500000000000014,,,
28.87,0.3399999999999998,,,
29.22,0.3499999999999978,0.0,29.22,
29.54,0.3200000000000003,-0.019999999999999574,29.56,0.3399999999999998
29.9,0.3599999999999994,0.019999999999999574,29.88,0.3200000000000003
30.23,0.3300000000000018,0.0,30.23,0.3500000000000014
30.56,0.3299999999999983,0.0,30.56,0.3299999999999983
30.9,0.3399999999999998,-0.020000000000003126,30.92,0.360000000000003
31.23,0.3300000000000018,-0.03999999999999915,31.27,0.3499999999999978
31.58,0.3499999999999978,,,
31.94,0.360000000000003,0.0,31.94,
32.29,0.3499999999999978,,,
32.64,0.3500000000000014,,,
32.98,0.3399999999999963,0.0,32.98,
33.32,0.3400000000000034,0.0,33.32,0.3400000000000034
33.66,0.3399999999999963,0.02999999999999403,33.63,0.3100000000000023
34.02,0.3600000000000065,0.0,34.02,0.3900000000000005
34.35,0.3299999999999983,-0.01999999999999602,34.37,0.3499999999999943
