Tone Time,IOI,Asynchornies,Tap Time,ITI
0.6,0.3199999999999999,-0.020000000000000018,0.62,
0.92,0.32,,,
1.25,0.3299999999999999,-0.020000000000000018,1.27,
1.58,0.33,0.040000000000000036,1.54,0.27
1.9,0.3199999999999998,-0.040000000000000036,1.94,0.3999999999999999
2.23,0.33,-0.040000000000000036,2.27,0.33
2.56,0.33,-0.009999999999999787,2.57,0.2999999999999998
2.88,0.3199999999999998,-0.040000000000000036,2.92,0.3500000000000001
3.2,0.3200000000000003,-0.020000000000000018,3.22,0.3000000000000002
3.53,0.3299999999999996,-0.08000000000000007,3.61,0.3899999999999997
3.86,0.33,,,
4.18,0.3199999999999998,0.0,4.18,
4.5,0.3200000000000003,-0.009999999999999787,4.51,0.33
4.82,0.3200000000000003,-0.04999999999999982,4.87,0.3600000000000003
5.13,0.3099999999999996,,,
5.47,0.3399999999999998,-0.040000000000000036,5.51,
5.8,0.33,-0.009999999999999787,5.81,0.2999999999999998
6.12,0.3200000000000003,-0.019999999999999574,6.14,0.33
6.45,0.33,-0.040000000000000036,6.49,0.3500000000000005
6.77,0.3199999999999994,-0.05000000000000071,6.82,0.33
7.11,0.3400000000000007,0.0,7.11,0.29
7.42,0.3099999999999996,,,
7.75,0.33,-0.009999999999999787,7.76,
8.07,0.3200000000000003,,,
8.38,0.3100000000000005,-0.03999999999999915,8.42,
8.71,0.33,-0.019999999999999574,8.73,0.3100000000000005
9.06,0.3499999999999996,0.0,9.06,0.33
9.38,0.3200000000000003,,,
9.71,0.33,,,
10.03,0.3199999999999985,-0.02000000000000135,10.05,
10.37,0.3399999999999998,-0.05000000000000071,10.42,0.3699999999999992
10.67,0.3000000000000007,-0.05000000000000071,10.72,0.3000000000000007
11.0,0.33,-0.0600000000000005,11.06,0.3399999999999998
11.32,0.3200000000000003,-0.03999999999999915,11.36,0.2999999999999989
11.64,0.3200000000000003,-0.07000000000000028,11.71,0.3500000000000014
11.95,0.3099999999999987,-0.05000000000000071,12.0,0.2899999999999991
12.28,0.33,-0.07000000000000028,12.35,0.3499999999999996
12.6,0.3200000000000003,-0.030000000000001137,12.63,0.2800000000000011
12.93,0.33,0.0,12.93,0.2999999999999989
13.25,0.3200000000000003,,,
13.58,0.33,0.0,13.58,
13.9,0.3200000000000003,,,
14.23,0.33,,,
14.56,0.33,-0.019999999999999574,14.58,
14.88,0.3200000000000003,-0.05999999999999872,14.94,0.3599999999999994
15.2,0.3199999999999985,-0.040000000000000924,15.24,0.3000000000000007
15.53,0.33,-0.02000000000000135,15.55,0.3100000000000005
15.84,0.3100000000000005,-0.019999999999999574,15.86,0.3099999999999987
16.17,0.3300000000000018,-0.03999999999999915,16.21,0.3500000000000014
16.49,0.3199999999999967,-0.030000000000001137,16.52,0.3099999999999987
16.81,0.3200000000000003,,,
17.15,0.3399999999999998,,,
17.48,0.3300000000000018,0.0,17.48,
17.8,0.3200000000000003,-0.00999999999999801,17.81,0.3299999999999983
18.14,0.3399999999999998,0.010000000000001563,18.13,0.3200000000000003
18.46,0.3200000000000003,,,
18.8,0.3399999999999998,-0.03999999999999915,18.84,
19.12,0.3200000000000003,-0.03999999999999915,19.16,0.3200000000000003
19.44,0.3200000000000003,-0.04999999999999716,19.49,0.3299999999999983
19.77,0.3299999999999983,-0.03999999999999915,19.81,0.3200000000000003
20.12,0.3500000000000014,-0.029999999999997584,20.15,0.3399999999999998
20.43,0.3099999999999987,0.0,20.43,0.2800000000000011
20.77,0.3399999999999998,0.00999999999999801,20.76,0.3300000000000018
21.08,0.3099999999999987,0.019999999999999574,21.06,0.2999999999999971
21.42,0.3400000000000034,-0.00999999999999801,21.43,0.370000000000001
21.74,0.3199999999999967,-0.020000000000003126,21.76,0.3300000000000018
22.07,0.3300000000000018,-0.05000000000000071,22.12,0.3599999999999994
22.4,0.3299999999999983,-0.07000000000000028,22.47,0.3499999999999978
22.73,0.3300000000000018,,,
23.05,0.3200000000000003,0.0,23.05,
23.38,0.3299999999999983,-0.010000000000001563,23.39,0.3399999999999998
23.69,0.3100000000000023,,,
24.03,0.3399999999999998,-0.019999999999999574,24.05,
24.35,0.3200000000000003,,,
24.67,0.3200000000000003,-0.019999999999999574,24.69,
24.99,0.3199999999999967,-0.060000000000002274,25.05,0.3599999999999994
25.32,0.3300000000000018,-0.0799999999999983,25.4,0.3499999999999978
25.64,0.3200000000000003,-0.07000000000000028,25.71,0.3100000000000023
25.97,0.3299999999999983,-0.060000000000002274,26.03,0.3200000000000003
26.28,0.3100000000000023,-0.05999999999999872,26.34,0.3099999999999987
26.62,0.3399999999999998,,,
26.93,0.3099999999999987,-0.05999999999999872,26.99,
27.25,0.3200000000000003,-0.0799999999999983,27.33,0.3399999999999998
27.57,0.3200000000000003,0.0,27.57,0.240000000000002
27.89,0.3200000000000003,,,
28.21,0.3200000000000003,-0.0799999999999983,28.29,
28.55,0.3399999999999998,,,
28.87,0.3200000000000003,-0.0799999999999983,28.95,
29.2,0.3299999999999983,,,
29.52,0.3200000000000003,-0.05000000000000071,29.57,
