Tone Time,IOI,Asynchornies,Tap Time,ITI
0.59,0.37,-0.010000000000000009,0.6,0.3999999999999999
0.96,0.37,-0.010000000000000009,0.97,0.37
1.35,0.3900000000000001,,,
1.73,0.3799999999999999,,,
2.12,0.3900000000000001,,,
2.48,0.3599999999999999,0.009999999999999787,2.47,
2.86,0.3799999999999999,0.009999999999999787,2.85,0.3799999999999999
3.23,0.3700000000000001,0.0,3.23,0.3799999999999999
3.61,0.3799999999999999,0.009999999999999787,3.6,0.3700000000000001
3.98,0.3700000000000001,-0.010000000000000231,3.99,0.3900000000000001
4.37,0.3900000000000001,,,
4.75,0.3799999999999999,,,
5.12,0.3700000000000001,-0.009999999999999787,5.13,
5.49,0.3700000000000001,-0.019999999999999574,5.51,0.3799999999999999
5.87,0.3799999999999999,0.0,5.87,0.3600000000000003
6.23,0.3600000000000003,-0.02999999999999936,6.26,0.3899999999999997
6.6,0.3699999999999992,-0.020000000000000462,6.62,0.3600000000000003
6.98,0.3800000000000008,0.0,6.98,0.3600000000000003
7.36,0.3799999999999999,,,
7.73,0.3700000000000001,,,
8.11,0.379999999999999,-0.009999999999999787,8.12,
8.47,0.3600000000000012,0.0,8.47,0.3500000000000014
8.85,0.379999999999999,0.009999999999999787,8.84,0.3699999999999992
9.21,0.3600000000000012,-0.009999999999999787,9.22,0.3800000000000008
9.59,0.379999999999999,,,
9.95,0.3599999999999994,0.009999999999999787,9.94,
10.33,0.3800000000000008,,,
10.69,0.3599999999999994,-0.009999999999999787,10.7,
11.07,0.3800000000000008,-0.009999999999999787,11.08,0.3800000000000008
11.42,0.3499999999999996,-0.019999999999999574,11.44,0.3599999999999994
11.81,0.3900000000000005,-0.019999999999999574,11.83,0.3900000000000005
12.18,0.3699999999999992,-0.009999999999999787,12.19,0.3599999999999994
12.54,0.3599999999999994,-0.0600000000000005,12.6,0.4100000000000001
12.91,0.370000000000001,-0.02999999999999936,12.94,0.3399999999999998
13.28,0.3699999999999992,-0.02000000000000135,13.3,0.3600000000000012
13.64,0.3600000000000012,-0.019999999999999574,13.66,0.3599999999999994
14.02,0.379999999999999,0.0,14.02,0.3599999999999994
14.37,0.3499999999999996,0.0,14.37,0.3499999999999996
14.76,0.3900000000000005,-0.0600000000000005,14.82,0.450000000000001
15.11,0.3499999999999996,-0.030000000000001137,15.14,0.3200000000000003
15.49,0.3800000000000008,-0.02999999999999936,15.52,0.379999999999999
15.85,0.3599999999999994,-0.030000000000001137,15.88,0.3600000000000012
16.23,0.3800000000000008,0.0,16.23,0.3499999999999996
16.59,0.3599999999999994,,,
16.96,0.370000000000001,,,
17.32,0.3599999999999994,0.0,17.32,
17.69,0.370000000000001,-0.00999999999999801,17.7,0.379999999999999
18.05,0.3599999999999994,-0.05000000000000071,18.1,0.4000000000000021
18.42,0.370000000000001,-0.019999999999999574,18.44,0.3399999999999998
18.79,0.3699999999999974,-0.010000000000001563,18.8,0.3599999999999994
19.16,0.370000000000001,,,
19.52,0.3599999999999994,0.019999999999999574,19.5,
19.9,0.379999999999999,-0.010000000000001563,19.91,0.4100000000000001
20.26,0.360000000000003,,,
20.64,0.379999999999999,,,
21.01,0.370000000000001,0.010000000000001563,21.0,
21.39,0.379999999999999,-0.05999999999999872,21.45,0.4499999999999993
21.76,0.370000000000001,0.030000000000001137,21.73,0.2800000000000011
22.13,0.3699999999999974,,,
22.5,0.370000000000001,0.0,22.5,
,,,22.91,0.4100000000000001
23.24,,0.0,23.24,0.3299999999999983
23.61,0.370000000000001,-0.08999999999999986,23.7,0.4600000000000008
23.95,0.3399999999999998,,,
24.34,0.3900000000000005,,,
24.7,0.3599999999999994,0.0,24.7,
25.08,0.379999999999999,0.00999999999999801,25.07,0.370000000000001
25.44,0.360000000000003,-0.019999999999999574,25.46,0.3900000000000005
25.82,0.379999999999999,-0.05999999999999872,25.88,0.4199999999999981
26.18,0.3599999999999994,-0.030000000000001137,26.21,0.3300000000000018
26.56,0.379999999999999,,,
26.92,0.360000000000003,-0.019999999999999574,26.94,
27.3,0.379999999999999,,,
27.67,0.370000000000001,,,
28.05,0.379999999999999,,,
28.41,0.3599999999999994,0.0,28.41,
28.78,0.370000000000001,-0.04999999999999716,28.83,0.4199999999999981
,,,29.2,0.370000000000001
29.52,,-0.030000000000001137,29.55,0.3500000000000014
29.89,0.370000000000001,-0.00999999999999801,29.9,0.3499999999999978
30.27,0.379999999999999,-0.030000000000001137,30.3,0.4000000000000021
30.64,0.370000000000001,-0.019999999999999574,30.66,0.3599999999999994
31.01,0.370000000000001,,,
31.37,0.3599999999999994,-0.00999999999999801,31.38,
31.74,0.3699999999999974,-0.05000000000000071,31.79,0.4100000000000001
,,,32.12,0.3299999999999983
32.47,,-0.030000000000001137,32.5,0.3800000000000025
32.84,0.3700000000000045,-0.04999999999999716,32.89,0.3900000000000005
33.21,0.3699999999999974,-0.0799999999999983,33.29,0.3999999999999986
33.57,0.3599999999999994,-0.07000000000000028,33.64,0.3500000000000014
33.96,0.3900000000000005,-0.060000000000002274,34.02,0.3800000000000025
34.32,0.3599999999999994,-0.04999999999999716,34.37,0.3499999999999943
,,,34.7,0.3300000000000054
35.05,,,,
35.43,0.3800000000000025,-0.00999999999999801,35.44,
35.78,0.3500000000000014,-0.01999999999999602,35.8,0.3599999999999994
36.17,0.3900000000000005,-0.04999999999999716,36.22,0.4200000000000017
36.55,0.3799999999999954,0.02999999999999403,36.52,0.3000000000000042
36.93,0.3800000000000025,-0.07000000000000028,37.0,0.4799999999999969
37.28,0.3500000000000014,-0.030000000000001137,37.31,0.3100000000000023
37.66,0.3799999999999954,,,
38.04,0.3800000000000025,0.0,38.04,
38.42,0.3800000000000025,-0.05999999999999517,38.48,0.4399999999999977
38.78,0.3599999999999994,-0.04999999999999716,38.83,0.3500000000000014
39.15,0.3699999999999974,-0.060000000000002274,39.21,0.3800000000000025
39.53,0.3800000000000025,-0.03999999999999915,39.57,0.3599999999999994
39.91,0.3799999999999954,,,
40.28,0.3700000000000045,0.030000000000001137,40.25,
40.65,0.3699999999999974,-0.00999999999999801,40.66,0.4099999999999966
41.02,0.3700000000000045,,,
41.4,0.3799999999999954,-0.03999999999999915,41.44,
41.76,0.3599999999999994,-0.03999999999999915,41.8,0.3599999999999994
42.14,0.3800000000000025,,,
