Tone Time,IOI,Asynchornies,Tap Time,ITI
0.47,0.42,,,
0.87,0.4,-0.010000000000000009,0.88,
1.29,0.42,,,
1.71,0.4199999999999999,0.020000000000000018,1.69,
2.12,0.4100000000000001,,,
2.52,0.3999999999999999,,,
2.93,0.4100000000000001,0.0,2.93,
3.33,0.3999999999999999,,,
3.75,0.4199999999999999,,,
4.15,0.4000000000000003,0.0,4.15,
4.56,0.4099999999999992,,,
4.96,0.4000000000000003,-0.009999999999999787,4.97,
5.39,0.4299999999999997,,,
5.79,0.4000000000000003,-0.019999999999999574,5.81,
6.22,0.4299999999999997,-0.010000000000000675,6.23,0.4200000000000008
6.62,0.4000000000000003,,,
7.05,0.4299999999999997,0.009999999999999787,7.04,
7.46,0.4100000000000001,,,
7.87,0.4100000000000001,0.009999999999999787,7.86,
8.28,0.4099999999999992,-0.009999999999999787,8.29,0.4299999999999988
8.7,0.4199999999999999,0.0,8.7,0.4100000000000001
9.1,0.4000000000000003,0.0,9.1,0.4000000000000003
9.54,0.4399999999999995,0.0,9.54,0.4399999999999995
9.93,0.3900000000000005,-0.019999999999999574,9.95,0.4100000000000001
10.33,0.4000000000000003,-0.03999999999999915,10.37,0.4199999999999999
10.76,0.4299999999999997,0.0,10.76,0.3900000000000005
11.17,0.4100000000000001,-0.009999999999999787,11.18,0.4199999999999999
11.58,0.4100000000000001,-0.0600000000000005,11.64,0.4600000000000008
11.98,0.4000000000000003,-0.009999999999999787,11.99,0.3499999999999996
12.39,0.4100000000000001,,,
12.81,0.4199999999999999,-0.049999999999998934,12.86,
13.22,0.4100000000000001,-0.08000000000000007,13.3,0.4400000000000013
13.63,0.4100000000000001,-0.06999999999999851,13.7,0.3999999999999986
14.04,0.4099999999999983,,,
14.48,0.4400000000000013,-0.049999999999998934,14.53,
14.88,0.4000000000000003,-0.049999999999998934,14.93,0.4000000000000003
15.3,0.4199999999999999,0.07000000000000028,15.23,0.3000000000000007
15.7,0.3999999999999986,-0.0600000000000005,15.76,0.5299999999999994
16.12,0.4200000000000017,-0.05999999999999872,16.18,0.4199999999999999
16.54,0.4199999999999981,-0.10000000000000142,16.64,0.4600000000000008
16.97,0.4299999999999997,-0.030000000000001137,17.0,0.3599999999999994
17.37,0.4000000000000021,-0.03999999999999915,17.41,0.4100000000000001
17.8,0.4299999999999997,-0.029999999999997584,17.83,0.4199999999999981
18.19,0.3900000000000005,-0.00999999999999801,18.2,0.370000000000001
18.62,0.4299999999999997,-0.00999999999999801,18.63,0.4299999999999997
19.01,0.3900000000000005,-0.04999999999999716,19.06,0.4299999999999997
19.44,0.4299999999999997,0.010000000000001563,19.43,0.370000000000001
19.86,0.4199999999999981,0.030000000000001137,19.83,0.3999999999999986
20.25,0.3900000000000005,,,
20.67,0.4200000000000017,0.0,20.67,
21.07,0.3999999999999986,0.0,21.07,0.3999999999999986
21.47,0.3999999999999986,0.029999999999997584,21.44,0.370000000000001
21.87,0.4000000000000021,-0.00999999999999801,21.88,0.4399999999999977
22.28,0.4100000000000001,,,
