Tone Time,IOI,Asynchornies,Tap Time,ITI
0.67,0.4,,,
,,,1.05,
1.48,,0.030000000000000027,1.45,0.3999999999999999
1.9,0.4199999999999999,0.020000000000000018,1.88,0.4299999999999999
2.27,0.3700000000000001,-0.009999999999999787,2.28,0.3999999999999999
,,,,
3.11,,0.020000000000000018,3.09,
3.52,0.4100000000000001,0.020000000000000018,3.5,0.4100000000000001
3.88,0.3599999999999999,-0.020000000000000018,3.9,0.3999999999999999
,,,4.3,0.3999999999999999
4.69,,0.010000000000000675,4.68,0.3799999999999999
5.09,0.3999999999999994,0.0,5.09,0.4100000000000001
5.47,0.3799999999999999,0.0,5.47,0.3799999999999999
,,,5.88,0.4100000000000001
6.3,,0.019999999999999574,6.28,0.4000000000000003
6.71,0.4100000000000001,0.03000000000000025,6.68,0.3999999999999994
7.11,0.4000000000000003,0.010000000000000675,7.1,0.4199999999999999
7.51,0.3999999999999994,0.0,7.51,0.4100000000000001
7.9,0.3900000000000005,-0.009999999999999787,7.91,0.4000000000000003
8.31,0.4100000000000001,-0.019999999999999574,8.33,0.4199999999999999
8.71,0.4000000000000003,0.02000000000000135,8.69,0.3599999999999994
9.13,0.4199999999999999,0.010000000000001563,9.12,0.4299999999999997
9.52,0.3899999999999988,-0.009999999999999787,9.53,0.4100000000000001
9.93,0.4100000000000001,0.0,9.93,0.4000000000000003
10.32,0.3900000000000005,-0.009999999999999787,10.33,0.4000000000000003
10.72,0.4000000000000003,-0.019999999999999574,10.74,0.4100000000000001
11.13,0.4100000000000001,0.02000000000000135,11.11,0.3699999999999992
11.53,0.3999999999999986,0.0,11.53,0.4199999999999999
11.93,0.4000000000000003,-0.009999999999999787,11.94,0.4100000000000001
12.35,0.4199999999999999,0.02999999999999936,12.32,0.3800000000000008
12.75,0.4000000000000003,0.0,12.75,0.4299999999999997
13.15,0.4000000000000003,0.0,13.15,0.4000000000000003
13.55,0.4000000000000003,-0.009999999999999787,13.56,0.4100000000000001
13.96,0.4100000000000001,-0.009999999999999787,13.97,0.4100000000000001
14.35,0.3899999999999988,-0.019999999999999574,14.37,0.3999999999999986
14.76,0.4100000000000001,0.0,14.76,0.3900000000000005
15.16,0.4000000000000003,0.0,15.16,0.4000000000000003
15.56,0.4000000000000003,0.0,15.56,0.4000000000000003
15.95,0.3899999999999988,-0.02000000000000135,15.97,0.4100000000000001
16.35,0.4000000000000021,-0.03999999999999915,16.39,0.4199999999999999
16.75,0.3999999999999986,0.0,16.75,0.3599999999999994
17.15,0.3999999999999986,0.00999999999999801,17.14,0.3900000000000005
