Tone Time,IOI,Asynchornies,Tap Time,ITI
0.44,0.4,0.010000000000000009,0.43,0.41
0.85,0.41,0.010000000000000009,0.84,0.41
1.26,0.41,0.010000000000000009,1.25,0.41
1.67,0.4099999999999999,0.030000000000000027,1.64,0.3899999999999999
2.06,0.3900000000000001,0.010000000000000231,2.05,0.4099999999999999
2.48,0.4199999999999999,0.029999999999999805,2.45,0.4000000000000003
2.87,0.3900000000000001,0.0,2.87,0.4199999999999999
3.29,0.4199999999999999,0.020000000000000018,3.27,0.3999999999999999
3.68,0.3900000000000001,0.010000000000000231,3.67,0.3999999999999999
4.1,0.4199999999999995,0.02999999999999936,4.07,0.4000000000000003
4.48,0.3800000000000008,0.010000000000000675,4.47,0.3999999999999994
4.89,0.4099999999999992,0.019999999999999574,4.87,0.4000000000000003
5.29,0.4000000000000003,0.0,5.29,0.4199999999999999
5.69,0.4000000000000003,0.0,5.69,0.4000000000000003
6.07,0.3799999999999999,-0.009999999999999787,6.08,0.3899999999999997
6.49,0.4199999999999999,0.009999999999999787,6.48,0.4000000000000003
6.88,0.3899999999999997,0.019999999999999574,6.86,0.3799999999999999
7.28,0.4000000000000003,0.010000000000000675,7.27,0.4099999999999992
7.66,0.3799999999999999,-0.009999999999999787,7.67,0.4000000000000003
8.06,0.4000000000000003,-0.009999999999999787,8.07,0.4000000000000003
8.47,0.4100000000000001,0.0,8.47,0.4000000000000003
8.88,0.4100000000000001,0.010000000000001563,8.87,0.3999999999999986
9.28,0.3999999999999986,0.0,9.28,0.4100000000000001
9.7,0.4199999999999999,0.009999999999999787,9.69,0.4100000000000001
10.1,0.4000000000000003,-0.009999999999999787,10.11,0.4199999999999999
10.5,0.4000000000000003,0.0,10.5,0.3900000000000005
10.92,0.4199999999999999,0.0,10.92,0.4199999999999999
11.32,0.4000000000000003,0.0,11.32,0.4000000000000003
11.71,0.3900000000000005,-0.019999999999999574,11.73,0.4100000000000001
12.13,0.4199999999999999,0.0,12.13,0.4000000000000003
12.54,0.4099999999999983,0.0,12.54,0.4099999999999983
12.96,0.4200000000000017,0.0,12.96,0.4200000000000017
13.35,0.3899999999999988,-0.009999999999999787,13.36,0.3999999999999986
13.77,0.4199999999999999,0.0,13.77,0.4100000000000001
14.17,0.4000000000000003,0.009999999999999787,14.16,0.3900000000000005
