Tone Time,IOI,Asynchornies,Tap Time,ITI
0.44,0.26,-0.010000000000000009,0.45,0.27
0.72,0.2799999999999999,0.010000000000000009,0.71,0.2599999999999999
0.96,0.24,-0.020000000000000018,0.98,0.27
1.23,0.27,-0.010000000000000009,1.24,0.26
1.48,0.25,-0.040000000000000036,1.52,0.28
1.75,0.27,-0.020000000000000018,1.77,0.25
2.01,0.2599999999999998,-0.020000000000000018,2.03,0.2599999999999998
2.3,0.29,0.009999999999999787,2.29,0.2600000000000002
2.54,0.2400000000000002,-0.020000000000000018,2.56,0.27
2.81,0.27,0.0,2.81,0.25
3.07,0.2599999999999998,-0.010000000000000231,3.08,0.27
3.34,0.27,-0.010000000000000231,3.35,0.27
3.6,0.2600000000000002,-0.009999999999999787,3.61,0.2599999999999998
3.86,0.2599999999999998,-0.010000000000000231,3.87,0.2600000000000002
4.11,0.2500000000000004,-0.019999999999999574,4.13,0.2599999999999998
4.39,0.2799999999999993,0.009999999999999787,4.38,0.25
4.63,0.2400000000000002,-0.009999999999999787,4.64,0.2599999999999998
4.89,0.2599999999999998,-0.010000000000000675,4.9,0.2600000000000007
5.14,0.25,-0.020000000000000462,5.16,0.2599999999999998
5.4,0.2600000000000007,-0.040000000000000036,5.44,0.2800000000000002
5.67,0.2699999999999996,-0.020000000000000462,5.69,0.25
5.92,0.25,,,
6.16,0.2400000000000002,-0.03000000000000025,6.19,
6.41,0.25,-0.040000000000000036,6.45,0.2599999999999998
,,,6.71,0.2599999999999998
,,,6.97,0.2599999999999998
7.18,,-0.010000000000000675,7.19,0.2200000000000006
7.46,0.2800000000000002,0.009999999999999787,7.45,0.2599999999999998
7.71,0.25,0.0,7.71,0.2599999999999998
7.98,0.2700000000000004,0.010000000000000675,7.97,0.2599999999999998
8.22,0.2400000000000002,0.0,8.22,0.2500000000000009
8.49,0.2699999999999996,0.019999999999999574,8.47,0.25
8.72,0.2300000000000004,-0.019999999999999574,8.74,0.2699999999999996
8.98,0.2599999999999998,-0.02999999999999936,9.01,0.2699999999999996
9.24,0.2599999999999998,-0.009999999999999787,9.25,0.2400000000000002
9.49,0.25,0.0,9.49,0.2400000000000002
9.75,0.2599999999999998,0.0,9.75,0.2599999999999998
