Tone Time,IOI,Asynchornies,Tap Time,ITI
0.35,0.2799999999999999,0.0,0.35,0.2799999999999999
0.65,0.3,0.020000000000000018,0.63,0.28
0.91,0.26,0.0,0.91,0.28
1.19,0.2799999999999999,0.0,1.19,0.2799999999999999
1.45,0.26,-0.010000000000000009,1.46,0.27
1.75,0.3,0.020000000000000018,1.73,0.27
2.0,0.25,0.010000000000000009,1.99,0.26
2.29,0.29,0.010000000000000231,2.28,0.2899999999999998
2.55,0.2599999999999998,-0.010000000000000231,2.56,0.2800000000000002
2.83,0.2800000000000002,0.010000000000000231,2.82,0.2599999999999998
3.09,0.2599999999999998,0.0,3.09,0.27
3.38,0.29,0.020000000000000018,3.36,0.27
3.63,0.25,0.0,3.63,0.27
3.92,0.29,0.009999999999999787,3.91,0.2800000000000002
4.17,0.25,-0.009999999999999787,4.18,0.2699999999999996
4.46,0.29,0.019999999999999574,4.44,0.2600000000000007
4.71,0.25,0.0,4.71,0.2699999999999996
5.0,0.29,0.009999999999999787,4.99,0.2800000000000002
5.25,0.25,-0.019999999999999574,5.27,0.2799999999999993
5.54,0.29,0.0,5.54,0.2700000000000004
5.78,0.2400000000000002,-0.019999999999999574,5.8,0.2599999999999998
6.08,0.2999999999999998,0.020000000000000462,6.06,0.2599999999999998
6.33,0.25,-0.009999999999999787,6.34,0.2800000000000002
6.62,0.29,0.0,6.62,0.2800000000000002
6.88,0.2599999999999998,0.0,6.88,0.2599999999999998
7.17,0.29,0.009999999999999787,7.16,0.2800000000000002
7.42,0.25,-0.009999999999999787,7.43,0.2699999999999996
7.7,0.2800000000000002,0.0,7.7,0.2700000000000004
7.95,0.25,0.0,7.95,0.25
8.22,0.2700000000000004,,,
8.5,0.2799999999999993,-0.019999999999999574,8.52,
8.79,0.2899999999999991,0.009999999999999787,8.78,0.2599999999999998
9.04,0.25,-0.02000000000000135,9.06,0.2800000000000011
9.32,0.2800000000000011,-0.009999999999999787,9.33,0.2699999999999996
9.58,0.2599999999999998,-0.009999999999999787,9.59,0.2599999999999998
9.85,0.2699999999999996,-0.009999999999999787,9.86,0.2699999999999996
10.11,0.2599999999999998,-0.02000000000000135,10.13,0.2700000000000013
10.38,0.2700000000000013,-0.019999999999999574,10.4,0.2699999999999996
10.64,0.2599999999999998,-0.019999999999999574,10.66,0.2599999999999998
10.93,0.2899999999999991,-0.009999999999999787,10.94,0.2799999999999993
11.17,0.2400000000000002,-0.019999999999999574,11.19,0.25
11.45,0.2799999999999993,0.0,11.45,0.2599999999999998
11.71,0.2600000000000015,-0.009999999999999787,11.72,0.2700000000000013
11.99,0.2799999999999993,0.009999999999999787,11.98,0.2599999999999998
12.25,0.2599999999999998,-0.009999999999999787,12.26,0.2799999999999993
12.52,0.2699999999999996,0.0,12.52,0.2599999999999998
12.77,0.25,-0.019999999999999574,12.79,0.2699999999999996
13.06,0.2900000000000009,0.0,13.06,0.2700000000000013
13.3,0.2400000000000002,-0.009999999999999787,13.31,0.25
13.59,0.2899999999999991,0.0,13.59,0.2799999999999993
13.85,0.2599999999999998,-0.009999999999999787,13.86,0.2699999999999996
14.12,0.2699999999999996,-0.010000000000001563,14.13,0.2700000000000013
14.38,0.2600000000000015,-0.019999999999999574,14.4,0.2699999999999996
