Tone Time,IOI,Asynchornies,Tap Time,ITI
0.71,0.48,0.020000000000000018,0.69,0.48
1.2,0.49,0.06000000000000005,1.14,0.4499999999999999
1.67,0.47,-0.010000000000000009,1.68,0.54
2.14,0.4700000000000002,-0.020000000000000018,2.16,0.4800000000000002
2.63,0.4899999999999997,0.04999999999999982,2.58,0.4199999999999999
3.14,0.5100000000000002,0.010000000000000231,3.13,0.5499999999999998
3.6,0.4599999999999999,-0.009999999999999787,3.61,0.48
4.11,0.5100000000000002,0.020000000000000462,4.09,0.48
4.56,0.4499999999999993,0.009999999999999787,4.55,0.4599999999999999
5.08,0.5200000000000005,0.03000000000000025,5.05,0.5
5.54,0.4599999999999999,-0.009999999999999787,5.55,0.5
6.05,0.5099999999999998,,,
6.51,0.4599999999999999,0.02999999999999936,6.48,
7.01,0.5,0.0,7.01,0.5299999999999994
7.49,0.4800000000000004,0.040000000000000036,7.45,0.4400000000000004
7.97,0.4799999999999995,,,
8.45,0.4799999999999995,0.02999999999999936,8.42,
8.95,0.5,0.05999999999999872,8.89,0.4700000000000006
9.42,0.4700000000000006,0.05000000000000071,9.37,0.4799999999999986
9.92,0.5,0.0600000000000005,9.86,0.4900000000000002
10.38,0.4600000000000008,0.0,10.38,0.5200000000000014
10.88,0.5,0.0600000000000005,10.82,0.4399999999999995
11.35,0.4699999999999988,0.019999999999999574,11.33,0.5099999999999998
11.82,0.4700000000000006,,,
12.29,0.4699999999999988,0.019999999999999574,12.27,
12.78,0.4900000000000002,,,
13.27,0.4900000000000002,0.049999999999998934,13.22,
13.75,0.4800000000000004,0.02999999999999936,13.72,0.5
14.24,0.4900000000000002,0.040000000000000924,14.2,0.4799999999999986
14.74,0.5,0.02999999999999936,14.71,0.5100000000000016
15.2,0.4599999999999991,0.019999999999999574,15.18,0.4699999999999988
15.72,0.5200000000000014,0.07000000000000028,15.65,0.4700000000000006
16.18,0.4599999999999991,0.030000000000001137,16.15,0.4999999999999982
16.65,0.4699999999999988,0.0,16.65,0.5
17.14,0.490000000000002,0.03999999999999915,17.1,0.4500000000000028
17.62,0.4800000000000004,0.0400000000000027,17.58,0.4799999999999969
18.1,0.4800000000000004,0.020000000000003126,18.08,0.5
18.59,0.4899999999999984,0.03999999999999915,18.55,0.4700000000000024
19.05,0.4600000000000008,0.019999999999999574,19.03,0.4800000000000004
19.57,0.5199999999999996,0.05000000000000071,19.52,0.4899999999999984
20.04,0.4699999999999988,-0.010000000000001563,20.05,0.5300000000000011
20.56,0.5199999999999996,0.04999999999999716,20.51,0.4600000000000008
21.06,0.5,0.04999999999999716,21.01,0.5
21.56,0.5,0.05999999999999872,21.5,0.4899999999999984
22.04,0.4800000000000004,0.029999999999997584,22.01,0.5100000000000016
22.53,0.490000000000002,0.030000000000001137,22.5,0.4899999999999984
23.0,0.4699999999999988,0.010000000000001563,22.99,0.4899999999999984
23.48,0.4800000000000004,0.010000000000001563,23.47,0.4800000000000004
23.98,0.5,0.030000000000001137,23.95,0.4800000000000004
24.49,0.509999999999998,0.05999999999999872,24.43,0.4800000000000004
24.96,0.4700000000000024,0.010000000000001563,24.95,0.5199999999999996
25.46,0.5,0.03999999999999915,25.42,0.4700000000000024
25.93,0.4699999999999988,0.03999999999999915,25.89,0.4699999999999988
26.45,0.5199999999999996,0.05000000000000071,26.4,0.509999999999998
26.93,0.4800000000000004,0.030000000000001137,26.9,0.5
27.43,0.5,0.030000000000001137,27.4,0.5
27.91,0.4800000000000004,-0.10999999999999943,28.02,0.620000000000001
28.41,0.5,,,
28.88,0.4699999999999988,0.0,28.88,
29.37,0.490000000000002,0.010000000000001563,29.36,0.4800000000000004
29.84,0.4699999999999988,,,
30.32,0.4800000000000004,0.030000000000001137,30.29,
30.78,0.4600000000000008,,,
31.22,0.4399999999999977,0.04999999999999716,31.17,
31.72,0.5,0.00999999999999801,31.71,0.5399999999999991
32.18,0.4600000000000008,0.00999999999999801,32.17,0.4600000000000008
32.66,0.4799999999999969,0.01999999999999602,32.64,0.4699999999999988
33.16,0.5,0.01999999999999602,33.14,0.5
33.64,0.480000000000004,0.030000000000001137,33.61,0.4699999999999988
34.15,0.509999999999998,0.03999999999999915,34.11,0.5
34.6,0.4500000000000028,,,
35.09,0.490000000000002,0.0,35.09,
35.57,0.4799999999999969,0.020000000000003126,35.55,0.4599999999999937
36.1,0.5300000000000011,0.060000000000002274,36.04,0.490000000000002
36.56,0.4600000000000008,0.030000000000001137,36.53,0.490000000000002
37.06,0.5,0.03999999999999915,37.02,0.490000000000002
37.55,0.4899999999999949,0.02999999999999403,37.52,0.5
38.04,0.490000000000002,-0.00999999999999801,38.05,0.529999999999994
38.51,0.4699999999999988,-0.010000000000005116,38.52,0.4700000000000059
39.02,0.5100000000000051,0.020000000000003126,39.0,0.4799999999999969
39.49,0.4699999999999988,-0.00999999999999801,39.5,0.5
39.98,0.4899999999999949,0.0,39.98,0.4799999999999969
40.46,0.480000000000004,-0.00999999999999801,40.47,0.490000000000002
40.97,0.509999999999998,0.00999999999999801,40.96,0.490000000000002
41.47,0.5,0.030000000000001137,41.44,0.4799999999999969
41.96,0.490000000000002,0.00999999999999801,41.95,0.5100000000000051
42.46,0.5,0.030000000000001137,42.43,0.4799999999999969
42.98,0.519999999999996,0.04999999999999716,42.93,0.5
43.45,0.4700000000000059,0.030000000000001137,43.42,0.490000000000002
43.96,0.509999999999998,0.05000000000000426,43.91,0.4899999999999949
44.44,0.4799999999999969,0.03999999999999915,44.4,0.490000000000002
44.93,0.490000000000002,0.03999999999999915,44.89,0.490000000000002
45.4,0.4699999999999988,0.00999999999999801,45.39,0.5
45.89,0.490000000000002,0.020000000000003126,45.87,0.4799999999999969
46.36,0.4699999999999988,0.0,46.36,0.490000000000002
46.87,0.509999999999998,,,
47.35,0.480000000000004,0.03999999999999915,47.31,
47.86,0.509999999999998,0.01999999999999602,47.84,0.5300000000000011
48.34,0.480000000000004,0.030000000000001137,48.31,0.4699999999999988
48.84,0.5,0.030000000000001137,48.81,0.5
49.31,0.4699999999999988,0.030000000000001137,49.28,0.4699999999999988
49.81,0.5,0.030000000000001137,49.78,0.5
50.28,0.4699999999999988,0.03999999999999915,50.24,0.4600000000000008
50.76,0.4799999999999969,0.04999999999999716,50.71,0.4699999999999988
51.23,0.4699999999999988,0.01999999999999602,51.21,0.5
51.74,0.5100000000000051,0.030000000000001137,51.71,0.5
52.22,0.4799999999999969,0.01999999999999602,52.2,0.490000000000002
52.73,0.509999999999998,0.03999999999999915,52.69,0.4899999999999949
53.2,0.4700000000000059,0.010000000000005116,53.19,0.5
53.69,0.4899999999999949,-0.03999999999999915,53.73,0.5399999999999991
54.14,0.4500000000000028,-0.00999999999999801,54.15,0.4200000000000017
54.64,0.5,0.030000000000001137,54.61,0.4600000000000008
,,,55.08,0.4699999999999988
55.55,,0.0,55.55,0.4699999999999988
,,,56.02,0.4700000000000059
56.5,,-0.020000000000003126,56.52,0.5
56.96,0.4600000000000008,,,
57.46,0.5,0.030000000000001137,57.43,
57.91,0.4499999999999957,0.00999999999999801,57.9,0.4699999999999988
58.41,0.5,0.02999999999999403,58.38,0.480000000000004
58.87,0.4600000000000008,0.04999999999999716,58.82,0.4399999999999977
59.36,0.490000000000002,0.01999999999999602,59.34,0.5200000000000031
59.82,0.4600000000000008,0.030000000000001137,59.79,0.4499999999999957
60.32,0.5,,,
60.79,0.4699999999999988,-0.030000000000001137,60.82,
61.24,0.4500000000000028,-0.030000000000001137,61.27,0.4500000000000028
61.74,0.5,0.010000000000005116,61.73,0.4599999999999937
62.22,0.4799999999999969,0.01999999999999602,62.2,0.4700000000000059
62.74,0.5200000000000031,0.020000000000003126,62.72,0.519999999999996
63.21,0.4699999999999988,0.00999999999999801,63.2,0.480000000000004
63.67,0.4600000000000008,-0.01999999999999602,63.69,0.4899999999999949
64.17,0.5,0.010000000000005116,64.16,0.4699999999999988
64.62,0.4500000000000028,-0.009999999999990905,64.63,0.4699999999999988
65.13,0.5099999999999909,0.030000000000001137,65.1,0.4699999999999988
65.61,0.480000000000004,0.04999999999999716,65.56,0.4600000000000079
66.12,0.5100000000000051,0.04000000000000625,66.08,0.519999999999996
66.6,0.4799999999999897,0.0,66.6,0.519999999999996
67.1,0.5,0.01999999999999602,67.08,0.480000000000004
67.58,0.480000000000004,0.0,67.58,0.5
68.07,0.4899999999999949,0.01999999999999602,68.05,0.4699999999999988
68.58,0.5100000000000051,0.06999999999999318,68.51,0.4600000000000079
69.06,0.480000000000004,0.04000000000000625,69.02,0.5099999999999909
69.54,0.480000000000004,0.010000000000005116,69.53,0.5100000000000051
70.05,0.5099999999999909,0.030000000000001137,70.02,0.4899999999999949
70.55,0.5,0.0,70.55,0.5300000000000011
71.05,0.5,0.03999999999999204,71.01,0.4600000000000079
71.53,0.480000000000004,0.030000000000001137,71.5,0.4899999999999949
72.03,0.5,0.04000000000000625,71.99,0.4899999999999949
72.49,0.4599999999999937,-0.020000000000010232,72.51,0.5200000000000102
73.0,0.5100000000000051,0.04000000000000625,72.96,0.4499999999999886
73.48,0.480000000000004,0.020000000000010232,73.46,0.5
73.96,0.4799999999999897,0.009999999999990905,73.95,0.4900000000000091
74.46,0.5,0.029999999999986926,74.43,0.480000000000004
74.95,0.4900000000000091,0.01999999999999602,74.93,0.5
75.44,0.4899999999999949,,,
75.95,0.5100000000000051,0.060000000000002274,75.89,
76.41,0.4599999999999937,0.01999999999999602,76.39,0.5
76.89,0.480000000000004,0.030000000000001137,76.86,0.4699999999999988
77.36,0.4699999999999988,0.04000000000000625,77.32,0.4599999999999937
77.87,0.5100000000000051,0.04000000000000625,77.83,0.5100000000000051
78.34,0.4699999999999988,0.0,78.34,0.5100000000000051
78.85,0.5099999999999909,0.06999999999999318,78.78,0.4399999999999977
79.32,0.4699999999999988,0.03999999999999204,79.28,0.5
79.81,0.4900000000000091,0.030000000000001137,79.78,0.5
80.29,0.480000000000004,0.0,80.29,0.5100000000000051
80.8,0.5099999999999909,0.03999999999999204,80.76,0.4699999999999988
81.29,0.4900000000000091,0.04000000000000625,81.25,0.4899999999999949
81.79,0.5,0.04000000000000625,81.75,0.5
82.28,0.4899999999999949,0.01999999999999602,82.26,0.5100000000000051
82.79,0.5100000000000051,0.05000000000001137,82.74,0.4799999999999897
83.26,0.4699999999999988,0.04000000000000625,83.22,0.480000000000004
83.76,0.5,0.05000000000001137,83.71,0.4899999999999949
84.25,0.4899999999999949,0.04999999999999716,84.2,0.4900000000000091
84.74,0.4899999999999949,0.030000000000001137,84.71,0.5099999999999909
85.2,0.4600000000000079,0.030000000000001137,85.17,0.4600000000000079
85.71,0.5099999999999909,0.03999999999999204,85.67,0.5
86.2,0.4900000000000091,0.04000000000000625,86.16,0.4899999999999949
86.7,0.5,0.04999999999999716,86.65,0.4900000000000091
87.18,0.480000000000004,0.020000000000010232,87.16,0.5099999999999909
87.68,0.5,0.05000000000001137,87.63,0.4699999999999988
88.16,0.4799999999999897,0.060000000000002274,88.1,0.4699999999999988
88.67,0.5100000000000051,0.04000000000000625,88.63,0.5300000000000011
89.14,0.4699999999999988,0.060000000000002274,89.08,0.4500000000000028
89.62,0.480000000000004,0.0,89.62,0.5400000000000063
90.11,0.4899999999999949,0.0,90.11,0.4899999999999949
90.6,0.4899999999999949,,,
91.08,0.480000000000004,0.01999999999999602,91.06,
91.58,0.5,0.03999999999999204,91.54,0.480000000000004
92.03,0.4500000000000028,0.010000000000005116,92.02,0.4799999999999897
92.51,0.480000000000004,0.020000000000010232,92.49,0.4699999999999988
92.95,0.4399999999999977,0.01999999999999602,92.93,0.4400000000000119
93.45,0.5,,,
93.91,0.4599999999999937,0.0,93.91,
94.41,0.5,0.030000000000001137,94.38,0.4699999999999988
94.89,0.480000000000004,0.01999999999999602,94.87,0.4900000000000091
95.39,0.5,0.04000000000000625,95.35,0.4799999999999897
95.86,0.4699999999999988,0.01999999999999602,95.84,0.4900000000000091
96.34,0.480000000000004,0.04999999999999716,96.29,0.4500000000000028
96.8,0.4599999999999937,0.030000000000001137,96.77,0.4799999999999897
97.28,0.480000000000004,0.010000000000005116,97.27,0.5
97.76,0.480000000000004,0.030000000000001137,97.73,0.4600000000000079
98.25,0.4899999999999949,0.04999999999999716,98.2,0.4699999999999988
98.72,0.4699999999999988,0.01999999999999602,98.7,0.5
99.21,0.4899999999999949,0.05999999999998806,99.15,0.4500000000000028
99.65,0.4400000000000119,0.010000000000005116,99.64,0.4899999999999949
100.13,0.4799999999999897,0.0,100.13,0.4899999999999949
100.61,0.480000000000004,0.01999999999999602,100.59,0.4600000000000079
101.08,0.4699999999999988,0.0,101.08,0.4899999999999949
101.58,0.5,,,
102.08,0.5,0.060000000000002274,102.02,
102.54,0.4600000000000079,0.0,102.54,0.5200000000000102
103.06,0.519999999999996,0.04000000000000625,103.02,0.4799999999999897
103.51,0.4500000000000028,0.030000000000001137,103.48,0.4600000000000079
104.01,0.5,0.010000000000005116,104.0,0.519999999999996
104.47,0.4599999999999937,0.0,104.47,0.4699999999999988
104.97,0.5,0.010000000000005116,104.96,0.4899999999999949
105.46,0.4899999999999949,0.029999999999986926,105.43,0.4700000000000131
105.96,0.5,0.029999999999986926,105.93,0.5
106.44,0.480000000000004,0.009999999999990905,106.43,0.5
106.92,0.480000000000004,0.030000000000001137,106.89,0.4599999999999937
107.38,0.4599999999999937,0.01999999999999602,107.36,0.4699999999999988
107.86,0.480000000000004,0.060000000000002274,107.8,0.4399999999999977
108.32,0.4599999999999937,0.029999999999986926,108.29,0.4900000000000091
108.83,0.5100000000000051,0.03999999999999204,108.79,0.5
109.29,0.4600000000000079,,,
109.79,0.5,0.0,109.79,
110.26,0.4699999999999988,,,
110.75,0.4899999999999949,0.04999999999999716,110.7,
111.24,0.4899999999999949,,,
111.73,0.4900000000000091,0.04999999999999716,111.68,
112.19,0.4599999999999937,,,
112.66,0.4699999999999988,0.030000000000001137,112.63,
113.13,0.4699999999999988,0.030000000000001137,113.1,0.4699999999999988
113.61,0.480000000000004,0.0,113.61,0.5100000000000051
114.09,0.480000000000004,0.020000000000010232,114.07,0.4599999999999937
114.58,0.4899999999999949,0.030000000000001137,114.55,0.480000000000004
115.05,0.4699999999999988,0.03999999999999204,115.01,0.4600000000000079
115.52,0.4699999999999988,0.01999999999999602,115.5,0.4899999999999949
116.0,0.480000000000004,0.030000000000001137,115.97,0.4699999999999988
116.49,0.4899999999999949,0.03999999999999204,116.45,0.480000000000004
116.97,0.480000000000004,0.01999999999999602,116.95,0.5
117.45,0.480000000000004,0.01999999999999602,117.43,0.480000000000004
117.93,0.480000000000004,0.04000000000000625,117.89,0.4599999999999937
118.44,0.5099999999999909,0.060000000000002274,118.38,0.4899999999999949
118.91,0.4699999999999988,-0.010000000000005116,118.92,0.5400000000000063
119.39,0.480000000000004,0.01999999999999602,119.37,0.4500000000000028
119.87,0.480000000000004,0.030000000000001137,119.84,0.4699999999999988
