Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
0.96,,0.0,0.96,
1.29,0.33000000000000007,,,
1.62,0.33000000000000007,,,
,,,2.02,
,,,2.34,0.31999999999999984
2.66,,,,
3.0,0.33999999999999986,0.0,3.0,
3.35,0.3500000000000001,,,
3.67,0.31999999999999984,0.0,3.67,
3.98,0.31000000000000005,0.020000000000000018,3.96,0.29000000000000004
,,,4.34,0.3799999999999999
,,,,
,,,,
5.34,,0.0,5.34,
5.72,0.3799999999999999,,,
6.06,0.33999999999999986,-0.010000000000000675,6.07,
6.41,0.35000000000000053,0.009999999999999787,6.4,0.33000000000000007
6.72,0.3099999999999996,-0.040000000000000036,6.76,0.35999999999999943
7.11,0.39000000000000057,,,
7.42,0.3099999999999996,,,
7.78,0.3600000000000003,-0.019999999999999574,7.8,
8.1,0.3199999999999994,-0.009999999999999787,8.11,0.3099999999999996
8.44,0.33999999999999986,-0.009999999999999787,8.45,0.33999999999999986
8.77,0.33000000000000007,-0.009999999999999787,8.78,0.33000000000000007
9.15,0.3800000000000008,0.019999999999999574,9.13,0.3500000000000014
9.48,0.33000000000000007,0.0,9.48,0.34999999999999964
9.82,0.33999999999999986,0.0,9.82,0.33999999999999986
10.15,0.33000000000000007,-0.009999999999999787,10.16,0.33999999999999986
10.5,0.34999999999999964,,,
10.86,0.35999999999999943,,,
11.21,0.3500000000000014,0.0,11.21,
11.52,0.3099999999999987,-0.040000000000000924,11.56,0.34999999999999964
11.93,0.41000000000000014,0.019999999999999574,11.91,0.34999999999999964
12.24,0.3100000000000005,-0.019999999999999574,12.26,0.34999999999999964
12.55,0.3100000000000005,,,
12.91,0.35999999999999943,-0.009999999999999787,12.92,
13.28,0.3699999999999992,0.0,13.28,0.35999999999999943
13.6,0.3200000000000003,0.0,13.6,0.3200000000000003
13.95,0.34999999999999964,-0.010000000000001563,13.96,0.3600000000000012
14.31,0.3600000000000012,-0.009999999999999787,14.32,0.35999999999999943
14.66,0.34999999999999964,0.0,14.66,0.33999999999999986
15.02,0.35999999999999943,0.03999999999999915,14.98,0.3200000000000003
15.36,0.33999999999999986,,,
15.72,0.3600000000000012,,,
16.07,0.34999999999999964,-0.00999999999999801,16.08,
16.43,0.35999999999999943,0.0,16.43,0.3500000000000014
16.78,0.3500000000000014,-0.00999999999999801,16.79,0.35999999999999943
17.1,0.3200000000000003,0.0,17.1,0.3100000000000023
17.48,0.379999999999999,0.0,17.48,0.379999999999999
17.84,0.35999999999999943,0.0,17.84,0.35999999999999943
18.2,0.35999999999999943,-0.030000000000001137,18.23,0.39000000000000057
18.52,0.3200000000000003,,,
18.92,0.40000000000000213,0.0,18.92,
19.22,0.29999999999999716,-0.030000000000001137,19.25,0.3299999999999983
19.61,0.39000000000000057,-0.010000000000001563,19.62,0.370000000000001
19.95,0.33999999999999986,0.0,19.95,0.3299999999999983
20.3,0.3500000000000014,0.0,20.3,0.3500000000000014
20.65,0.34999999999999787,0.0,20.65,0.34999999999999787
21.0,0.3500000000000014,-0.010000000000001563,21.01,0.360000000000003
21.35,0.3500000000000014,-0.00999999999999801,21.36,0.34999999999999787
21.71,0.35999999999999943,0.010000000000001563,21.7,0.33999999999999986
22.05,0.33999999999999986,0.0,22.05,0.3500000000000014
22.4,0.34999999999999787,0.0,22.4,0.34999999999999787
22.75,0.3500000000000014,0.0,22.75,0.3500000000000014
23.13,0.379999999999999,0.0,23.13,0.379999999999999
23.49,0.35999999999999943,0.00999999999999801,23.48,0.3500000000000014
23.85,0.360000000000003,0.0,23.85,0.370000000000001
24.21,0.35999999999999943,,,
24.53,0.3200000000000003,0.0,24.53,
24.9,0.36999999999999744,0.0,24.9,0.36999999999999744
25.23,0.33000000000000185,-0.00999999999999801,25.24,0.33999999999999986
,,,25.6,0.360000000000003
25.98,,0.019999999999999574,25.96,0.35999999999999943
26.29,0.3099999999999987,-0.010000000000001563,26.3,0.33999999999999986
26.66,0.370000000000001,0.0,26.66,0.35999999999999943
27.06,0.3999999999999986,0.0,27.06,0.3999999999999986
27.39,0.33000000000000185,0.0,27.39,0.33000000000000185
27.72,0.3299999999999983,0.019999999999999574,27.7,0.3099999999999987
28.06,0.33999999999999986,-0.019999999999999574,28.08,0.379999999999999
,,,28.41,0.33000000000000185
28.78,,0.010000000000001563,28.77,0.35999999999999943
29.1,0.3200000000000003,-0.019999999999999574,29.12,0.3500000000000014
29.5,0.3999999999999986,-0.010000000000001563,29.51,0.39000000000000057
29.84,0.33999999999999986,-0.010000000000001563,29.85,0.33999999999999986
30.2,0.35999999999999943,-0.010000000000001563,30.21,0.35999999999999943
30.53,0.33000000000000185,-0.00999999999999801,30.54,0.3299999999999983
30.9,0.36999999999999744,0.0,30.9,0.35999999999999943
31.23,0.33000000000000185,-0.00999999999999801,31.24,0.33999999999999986
31.63,0.3999999999999986,0.03999999999999915,31.59,0.3500000000000014
31.94,0.3100000000000023,0.0,31.94,0.3500000000000014
32.3,0.3599999999999959,-0.020000000000003126,32.32,0.379999999999999
32.69,0.39000000000000057,0.0,32.69,0.36999999999999744
33.03,0.3400000000000034,-0.030000000000001137,33.06,0.37000000000000455
33.39,0.35999999999999943,0.0,33.39,0.3299999999999983
33.73,0.3399999999999963,-0.010000000000005116,33.74,0.3500000000000014
34.08,0.3500000000000014,-0.010000000000005116,34.09,0.3500000000000014
34.46,0.38000000000000256,0.030000000000001137,34.43,0.3399999999999963
,,,34.78,0.3500000000000014
35.14,,-0.00999999999999801,35.15,0.36999999999999744
35.5,0.35999999999999943,0.0,35.5,0.3500000000000014
,,,35.86,0.35999999999999943
36.19,,0.0,36.19,0.3299999999999983
36.58,0.39000000000000057,0.00999999999999801,36.57,0.38000000000000256
36.91,0.3299999999999983,0.0,36.91,0.3399999999999963
37.32,0.4100000000000037,0.020000000000003126,37.3,0.39000000000000057
37.62,0.29999999999999716,-0.020000000000003126,37.64,0.3400000000000034
38.01,0.39000000000000057,-0.010000000000005116,38.02,0.38000000000000256
38.35,0.3400000000000034,0.0,38.35,0.3299999999999983
38.68,0.3299999999999983,-0.00999999999999801,38.69,0.3399999999999963
,,,,
39.39,,-0.01999999999999602,39.41,
39.72,0.3299999999999983,-0.030000000000001137,39.75,0.3400000000000034
,,,40.09,0.3400000000000034
40.44,,0.0,40.44,0.3499999999999943
40.83,0.39000000000000057,-0.020000000000003126,40.85,0.4100000000000037
41.17,0.3400000000000034,0.0,41.17,0.3200000000000003
41.52,0.3500000000000014,-0.00999999999999801,41.53,0.35999999999999943
41.9,0.37999999999999545,0.0,41.9,0.36999999999999744
42.26,0.35999999999999943,-0.010000000000005116,42.27,0.37000000000000455
42.61,0.3500000000000014,-0.00999999999999801,42.62,0.3499999999999943
,,,42.95,0.3300000000000054
43.31,,-0.00999999999999801,43.32,0.36999999999999744
43.67,0.35999999999999943,0.0,43.67,0.3500000000000014
44.04,0.36999999999999744,,,
44.42,0.38000000000000256,0.010000000000005116,44.41,
44.78,0.35999999999999943,-0.00999999999999801,44.79,0.38000000000000256
45.13,0.3500000000000014,0.0,45.13,0.3400000000000034
45.55,0.4199999999999946,,,
45.88,0.3300000000000054,0.0,45.88,
46.23,0.3499999999999943,-0.010000000000005116,46.24,0.35999999999999943
46.61,0.38000000000000256,0.030000000000001137,46.58,0.3399999999999963
46.94,0.3299999999999983,-0.010000000000005116,46.95,0.37000000000000455
47.31,0.37000000000000455,-0.00999999999999801,47.32,0.36999999999999744
,,,47.68,0.35999999999999943
48.02,,-0.00999999999999801,48.03,0.3500000000000014
48.39,0.36999999999999744,-0.00999999999999801,48.4,0.36999999999999744
48.75,0.35999999999999943,-0.00999999999999801,48.76,0.35999999999999943
49.09,0.3400000000000034,-0.03999999999999915,49.13,0.37000000000000455
,,,49.45,0.3200000000000003
49.82,,-0.00999999999999801,49.83,0.37999999999999545
50.17,0.3500000000000014,0.0,50.17,0.3400000000000034
50.53,0.35999999999999943,-0.00999999999999801,50.54,0.36999999999999744
50.89,0.35999999999999943,0.0,50.89,0.3500000000000014
,,,51.24,0.3500000000000014
51.62,,0.02999999999999403,51.59,0.3500000000000014
51.95,0.3300000000000054,-0.00999999999999801,51.96,0.36999999999999744
52.29,0.3399999999999963,0.0,52.29,0.3299999999999983
52.64,0.3500000000000014,-0.00999999999999801,52.65,0.35999999999999943
53.0,0.35999999999999943,-0.00999999999999801,53.01,0.35999999999999943
53.38,0.38000000000000256,-0.00999999999999801,53.39,0.38000000000000256
,,,53.76,0.36999999999999744
,,,54.12,0.35999999999999943
54.44,,-0.03999999999999915,54.48,0.35999999999999943
54.83,0.39000000000000057,0.00999999999999801,54.82,0.3400000000000034
55.18,0.3500000000000014,,,
55.52,0.3400000000000034,-0.04999999999999716,55.57,
55.91,0.38999999999999346,0.0,55.91,0.3399999999999963
56.25,0.3400000000000034,-0.00999999999999801,56.26,0.3500000000000014
56.61,0.35999999999999943,-0.020000000000003126,56.63,0.37000000000000455
56.97,0.35999999999999943,-0.00999999999999801,56.98,0.3499999999999943
57.29,0.3200000000000003,-0.03999999999999915,57.33,0.3500000000000014
57.65,0.35999999999999943,-0.030000000000001137,57.68,0.3500000000000014
58.04,0.39000000000000057,0.00999999999999801,58.03,0.3500000000000014
58.4,0.35999999999999943,0.00999999999999801,58.39,0.35999999999999943
58.77,0.37000000000000455,-0.00999999999999801,58.78,0.39000000000000057
59.1,0.3299999999999983,-0.030000000000001137,59.13,0.3500000000000014
59.5,0.3999999999999986,-0.020000000000003126,59.52,0.39000000000000057
59.82,0.3200000000000003,-0.030000000000001137,59.85,0.3299999999999983
60.24,0.4200000000000017,0.030000000000001137,60.21,0.35999999999999943
60.55,0.30999999999999517,0.0,60.55,0.3399999999999963
60.9,0.3500000000000014,-0.020000000000003126,60.92,0.37000000000000455
61.27,0.37000000000000455,0.0,61.27,0.3500000000000014
61.67,0.3999999999999986,0.05000000000000426,61.62,0.3499999999999943
,,,61.98,0.35999999999999943
62.37,,0.02999999999999403,62.34,0.36000000000000654
62.73,0.35999999999999943,0.01999999999999602,62.71,0.36999999999999744
63.1,0.37000000000000455,0.00999999999999801,63.09,0.38000000000000256
63.48,0.37999999999999545,0.04999999999999716,63.43,0.3399999999999963
63.88,0.4000000000000057,0.03999999999999915,63.84,0.4100000000000037
64.19,0.30999999999999517,0.009999999999990905,64.18,0.3400000000000034
64.57,0.37999999999999545,0.009999999999990905,64.56,0.37999999999999545
64.92,0.3500000000000085,0.0,64.92,0.35999999999999943
65.27,0.3499999999999943,,,
