Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
0.77,,0.040000000000000036,0.73,
,,,1.07,0.3400000000000001
1.44,,0.030000000000000027,1.41,0.33999999999999986
,,,1.72,0.31000000000000005
2.1,,0.040000000000000036,2.06,0.3400000000000001
2.39,0.29000000000000004,-0.020000000000000018,2.41,0.3500000000000001
,,,2.76,0.34999999999999964
,,,3.09,0.33000000000000007
3.47,,0.06000000000000005,3.41,0.3200000000000003
3.81,0.33999999999999986,0.050000000000000266,3.76,0.34999999999999964
,,,4.1,0.33999999999999986
4.36,,-0.08000000000000007,4.44,0.34000000000000075
4.68,0.3199999999999994,-0.08999999999999986,4.77,0.3299999999999992
5.0,0.3200000000000003,,,
5.36,0.3600000000000003,-0.05999999999999961,5.42,
5.73,0.3700000000000001,,,
6.0,0.2699999999999996,,,
6.36,0.3600000000000003,,,
,,,,
6.95,,,,
7.21,0.2599999999999998,,,
,,,,
,,,,
,,,,
8.53,,,,
8.85,0.3200000000000003,,,
9.18,0.33000000000000007,,,
9.5,0.3200000000000003,,,
,,,9.78,
10.16,,,,
10.47,0.3100000000000005,0.040000000000000924,10.43,
,,,10.77,0.33999999999999986
11.12,,0.009999999999999787,11.11,0.33999999999999986
,,,11.43,0.3200000000000003
11.75,,0.0,11.75,0.3200000000000003
12.11,0.35999999999999943,0.019999999999999574,12.09,0.33999999999999986
12.43,0.3200000000000003,0.019999999999999574,12.41,0.3200000000000003
12.77,0.33999999999999986,0.0,12.77,0.35999999999999943
13.07,0.3000000000000007,-0.009999999999999787,13.08,0.3100000000000005
13.47,0.40000000000000036,0.05000000000000071,13.42,0.33999999999999986
13.74,0.2699999999999996,-0.009999999999999787,13.75,0.33000000000000007
14.12,0.379999999999999,0.03999999999999915,14.08,0.33000000000000007
14.47,0.3500000000000014,0.08000000000000007,14.39,0.3100000000000005
14.78,0.3099999999999987,0.03999999999999915,14.74,0.34999999999999964
15.1,0.3200000000000003,0.02999999999999936,15.07,0.33000000000000007
15.44,0.33999999999999986,0.02999999999999936,15.41,0.33999999999999986
15.8,0.3600000000000012,0.0600000000000005,15.74,0.33000000000000007
16.12,0.3200000000000003,0.05000000000000071,16.07,0.33000000000000007
16.45,0.3299999999999983,0.05999999999999872,16.39,0.3200000000000003
,,,16.76,0.370000000000001
17.09,,0.0,17.09,0.3299999999999983
,,,17.4,0.3099999999999987
17.82,,0.08000000000000185,17.74,0.33999999999999986
18.09,0.2699999999999996,0.019999999999999574,18.07,0.33000000000000185
18.41,0.3200000000000003,0.010000000000001563,18.4,0.3299999999999983
18.73,0.3200000000000003,0.010000000000001563,18.72,0.3200000000000003
19.1,0.370000000000001,0.05000000000000071,19.05,0.33000000000000185
19.43,0.3299999999999983,0.03999999999999915,19.39,0.33999999999999986
19.76,0.33000000000000185,0.0400000000000027,19.72,0.3299999999999983
,,,20.02,0.3000000000000007
20.38,,0.0,20.38,0.35999999999999943
,,,20.71,0.33000000000000185
21.08,,0.04999999999999716,21.03,0.3200000000000003
,,,21.38,0.34999999999999787
21.78,,0.05000000000000071,21.73,0.3500000000000014
22.1,0.3200000000000003,0.060000000000002274,22.04,0.3099999999999987
22.33,0.22999999999999687,-0.0400000000000027,22.37,0.33000000000000185
,,,22.7,0.3299999999999983
23.09,,0.05999999999999872,23.03,0.33000000000000185
23.34,0.25,-0.010000000000001563,23.35,0.3200000000000003
23.74,0.3999999999999986,0.04999999999999716,23.69,0.33999999999999986
23.97,0.23000000000000043,-0.060000000000002274,24.03,0.33999999999999986
,,,24.36,0.3299999999999983
24.74,,0.06999999999999673,24.67,0.3100000000000023
24.95,0.21000000000000085,-0.05000000000000071,25.0,0.3299999999999983
,,,25.33,0.3299999999999983
25.71,,0.03999999999999915,25.67,0.3400000000000034
26.05,0.33999999999999986,0.07000000000000028,25.98,0.3099999999999987
,,,26.3,0.3200000000000003
26.69,,0.05000000000000071,26.64,0.33999999999999986
27.0,0.3099999999999987,0.030000000000001137,26.97,0.3299999999999983
,,,27.28,0.3100000000000023
,,,27.6,0.3200000000000003
,,,27.92,0.3200000000000003
28.26,,0.0,28.26,0.33999999999999986
28.54,0.2799999999999976,-0.05000000000000071,28.59,0.3299999999999983
28.88,0.33999999999999986,-0.010000000000001563,28.89,0.3000000000000007
29.19,0.3100000000000023,-0.029999999999997584,29.22,0.3299999999999983
29.61,0.41999999999999815,0.05999999999999872,29.55,0.33000000000000185
,,,29.89,0.33999999999999986
30.23,,0.010000000000001563,30.22,0.3299999999999983
30.5,0.2699999999999996,-0.03999999999999915,30.54,0.3200000000000003
,,,30.86,0.3200000000000003
,,,31.18,0.3200000000000003
,,,31.52,0.33999999999999986
31.92,,0.10000000000000142,31.82,0.3000000000000007
32.23,0.30999999999999517,0.03999999999999915,32.19,0.36999999999999744
32.54,0.3100000000000023,0.04999999999999716,32.49,0.30000000000000426
,,,32.82,0.3299999999999983
33.21,,0.05000000000000426,33.16,0.3399999999999963
33.54,0.3299999999999983,0.04999999999999716,33.49,0.3300000000000054
,,,33.83,0.3399999999999963
34.15,,-0.00999999999999801,34.16,0.3299999999999983
34.55,0.3999999999999986,0.07000000000000028,34.48,0.3200000000000003
34.85,0.30000000000000426,0.030000000000001137,34.82,0.3400000000000034
35.19,0.3399999999999963,0.0799999999999983,35.11,0.28999999999999915
35.52,0.3300000000000054,0.09000000000000341,35.43,0.3200000000000003
,,,,
36.08,,-0.020000000000003126,36.1,
36.5,0.4200000000000017,0.060000000000002274,36.44,0.3399999999999963
36.76,0.259999999999998,0.0,36.76,0.3200000000000003
37.11,0.3500000000000014,0.01999999999999602,37.09,0.3300000000000054
,,,37.43,0.3399999999999963
37.8,,0.03999999999999915,37.76,0.3299999999999983
38.11,0.3100000000000023,0.03999999999999915,38.07,0.3100000000000023
,,,38.41,0.3399999999999963
38.77,,0.04000000000000625,38.73,0.3200000000000003
39.1,0.3299999999999983,0.020000000000003126,39.08,0.3500000000000014
39.45,0.3500000000000014,0.060000000000002274,39.39,0.3100000000000023
