Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.79,0.41000000000000003
1.23,,0.010000000000000009,1.22,0.42999999999999994
1.66,0.42999999999999994,0.020000000000000018,1.64,0.41999999999999993
2.1,0.44000000000000017,0.050000000000000266,2.05,0.4099999999999999
2.46,0.3599999999999999,0.0,2.46,0.41000000000000014
2.94,0.48,0.04999999999999982,2.89,0.43000000000000016
3.32,0.3799999999999999,0.029999999999999805,3.29,0.3999999999999999
,,,3.7,0.41000000000000014
,,,4.13,0.4299999999999997
4.55,,0.0,4.55,0.41999999999999993
4.98,0.4300000000000006,0.010000000000000675,4.97,0.41999999999999993
5.46,0.47999999999999954,0.08999999999999986,5.37,0.40000000000000036
5.83,0.3700000000000001,0.04999999999999982,5.78,0.41000000000000014
6.24,0.41000000000000014,0.040000000000000036,6.2,0.41999999999999993
6.66,0.41999999999999993,0.04999999999999982,6.61,0.41000000000000014
,,,,
,,,,
7.86,,0.0,7.86,
8.27,0.40999999999999925,0.02999999999999936,8.24,0.3799999999999999
8.71,0.4400000000000013,0.05000000000000071,8.66,0.41999999999999993
9.08,0.3699999999999992,0.0,9.08,0.41999999999999993
9.52,0.4399999999999995,0.02999999999999936,9.49,0.41000000000000014
9.93,0.41000000000000014,,,
10.26,0.33000000000000007,-0.05000000000000071,10.31,
,,,10.71,0.40000000000000036
11.16,,0.02999999999999936,11.13,0.41999999999999993
11.62,0.4599999999999991,0.08999999999999986,11.53,0.3999999999999986
12.01,0.39000000000000057,0.07000000000000028,11.94,0.41000000000000014
12.41,0.40000000000000036,0.040000000000000924,12.37,0.4299999999999997
12.78,0.3699999999999992,-0.009999999999999787,12.79,0.41999999999999993
13.21,0.4300000000000015,0.02000000000000135,13.19,0.40000000000000036
13.63,0.41999999999999993,0.030000000000001137,13.6,0.41000000000000014
14.04,0.40999999999999837,0.02999999999999936,14.01,0.41000000000000014
14.44,0.40000000000000036,0.0,14.44,0.4299999999999997
14.86,0.41999999999999993,0.02999999999999936,14.83,0.39000000000000057
