Tap Time,ITI,Asynchornies,Tone Time,IOI
0.47,0.39999999999999997,,,
,,,,
,,,1.38,
,,,1.82,0.44000000000000017
,,,,
2.64,,,,
3.04,0.3999999999999999,-0.009999999999999787,3.05,
3.44,0.3999999999999999,,,
3.87,0.43000000000000016,-0.040000000000000036,3.91,
4.33,0.45999999999999996,-0.03000000000000025,4.36,0.4500000000000002
4.75,0.41999999999999993,-0.009999999999999787,4.76,0.39999999999999947
5.18,0.4299999999999997,-0.010000000000000675,5.19,0.4300000000000006
5.6,0.41999999999999993,-0.03000000000000025,5.63,0.4399999999999995
6.02,0.41999999999999993,-0.03000000000000025,6.05,0.41999999999999993
6.43,0.41000000000000014,-0.040000000000000036,6.47,0.41999999999999993
,,,6.9,0.4300000000000006
,,,7.32,0.41999999999999993
7.71,,-0.04999999999999982,7.76,0.4399999999999995
,,,8.18,0.41999999999999993
,,,8.58,0.40000000000000036
,,,9.01,0.4299999999999997
9.41,,-0.03999999999999915,9.45,0.4399999999999995
9.84,0.4299999999999997,-0.009999999999999787,9.85,0.40000000000000036
10.26,0.41999999999999993,0.02999999999999936,10.23,0.3800000000000008
10.67,0.41000000000000014,-0.02999999999999936,10.7,0.46999999999999886
11.14,0.47000000000000064,-0.009999999999999787,11.15,0.45000000000000107
11.56,0.41999999999999993,-0.009999999999999787,11.57,0.41999999999999993
11.97,0.41000000000000014,-0.03999999999999915,12.01,0.4399999999999995
12.37,0.3999999999999986,-0.040000000000000924,12.41,0.40000000000000036
12.81,0.4400000000000013,-0.03999999999999915,12.85,0.4399999999999995
,,,13.26,0.41000000000000014
13.64,,-0.02999999999999936,13.67,0.41000000000000014
14.08,0.4399999999999995,-0.009999999999999787,14.09,0.41999999999999993
,,,14.51,0.41999999999999993
14.94,,0.009999999999999787,14.93,0.41999999999999993
,,,15.4,0.47000000000000064
15.83,,0.019999999999999574,15.81,0.41000000000000014
16.23,0.40000000000000036,-0.019999999999999574,16.25,0.4399999999999995
16.64,0.41000000000000014,-0.03999999999999915,16.68,0.4299999999999997
,,,17.09,0.41000000000000014
17.53,,0.010000000000001563,17.52,0.4299999999999997
17.96,0.4299999999999997,0.010000000000001563,17.95,0.4299999999999997
18.34,0.379999999999999,-0.03999999999999915,18.38,0.4299999999999997
18.74,0.3999999999999986,-0.07000000000000028,18.81,0.4299999999999997
19.18,0.4400000000000013,-0.05000000000000071,19.23,0.4200000000000017
19.61,0.4299999999999997,-0.060000000000002274,19.67,0.4400000000000013
20.04,0.4299999999999997,-0.019999999999999574,20.06,0.389999999999997
20.45,0.41000000000000014,-0.03999999999999915,20.49,0.4299999999999997
20.88,0.4299999999999997,-0.030000000000001137,20.91,0.4200000000000017
,,,21.36,0.4499999999999993
21.71,,-0.05999999999999872,21.77,0.41000000000000014
,,,22.18,0.41000000000000014
,,,22.61,0.4299999999999997
