Tap Time,ITI,Asynchornies,Tone Time,IOI
0.36,0.22999999999999998,0.02999999999999997,0.33,0.2
0.58,0.21999999999999997,,,
0.8,0.22000000000000008,0.020000000000000018,0.78,
1.0,0.19999999999999996,-0.010000000000000009,1.01,0.22999999999999998
1.21,0.20999999999999996,-0.010000000000000009,1.22,0.20999999999999996
1.46,0.25,0.0,1.46,0.24
1.65,0.18999999999999995,-0.020000000000000018,1.67,0.20999999999999996
1.89,0.24,-0.020000000000000018,1.91,0.24
2.14,0.2500000000000002,0.020000000000000018,2.12,0.2100000000000002
,,,2.35,0.22999999999999998
,,,2.56,0.20999999999999996
,,,2.79,0.22999999999999998
3.0,,-0.009999999999999787,3.01,0.21999999999999975
3.23,0.22999999999999998,-0.010000000000000231,3.24,0.23000000000000043
3.46,0.22999999999999998,0.020000000000000018,3.44,0.19999999999999973
3.68,0.2200000000000002,0.010000000000000231,3.67,0.22999999999999998
3.9,0.21999999999999975,0.029999999999999805,3.87,0.20000000000000018
,,,4.1,0.22999999999999954
,,,4.33,0.23000000000000043
,,,4.56,0.22999999999999954
,,,4.77,0.20999999999999996
5.02,,0.02999999999999936,4.99,0.22000000000000064
5.21,0.1900000000000004,0.009999999999999787,5.2,0.20999999999999996
5.48,0.27000000000000046,0.0600000000000005,5.42,0.21999999999999975
,,,5.66,0.2400000000000002
5.88,,-0.020000000000000462,5.9,0.2400000000000002
,,,6.1,0.1999999999999993
6.35,,0.009999999999999787,6.34,0.2400000000000002
6.57,0.22000000000000064,0.020000000000000462,6.55,0.20999999999999996
6.79,0.21999999999999975,0.0,6.79,0.2400000000000002
7.0,0.20999999999999996,0.0,7.0,0.20999999999999996
7.26,0.2599999999999998,0.040000000000000036,7.22,0.21999999999999975
7.46,0.20000000000000018,0.009999999999999787,7.45,0.23000000000000043
7.68,0.21999999999999975,-0.010000000000000675,7.69,0.2400000000000002
7.91,0.23000000000000043,0.0,7.91,0.21999999999999975
8.13,0.22000000000000064,-0.019999999999999574,8.15,0.2400000000000002
,,,8.36,0.20999999999999908
,,,8.6,0.2400000000000002
8.82,,0.019999999999999574,8.8,0.20000000000000107
,,,9.03,0.22999999999999865
,,,9.25,0.22000000000000064
9.47,,-0.009999999999999787,9.48,0.23000000000000043
,,,9.7,0.21999999999999886
,,,9.92,0.22000000000000064
10.12,,-0.02000000000000135,10.14,0.22000000000000064
10.36,0.2400000000000002,,,
,,,10.57,
10.8,,-0.009999999999999787,10.81,0.2400000000000002
,,,11.03,0.21999999999999886
11.26,,0.0,11.26,0.23000000000000043
11.5,0.2400000000000002,0.019999999999999574,11.48,0.22000000000000064
11.73,0.23000000000000043,0.030000000000001137,11.7,0.21999999999999886
11.94,0.20999999999999908,-0.009999999999999787,11.95,0.25
12.17,0.23000000000000043,0.0,12.17,0.22000000000000064
12.38,0.21000000000000085,0.0,12.38,0.21000000000000085
12.62,0.23999999999999844,0.009999999999999787,12.61,0.22999999999999865
12.83,0.21000000000000085,0.019999999999999574,12.81,0.20000000000000107
,,,13.05,0.2400000000000002
13.3,,0.040000000000000924,13.26,0.20999999999999908
13.51,0.20999999999999908,0.009999999999999787,13.5,0.2400000000000002
13.73,0.22000000000000064,0.019999999999999574,13.71,0.21000000000000085
13.95,0.21999999999999886,0.009999999999999787,13.94,0.22999999999999865
14.2,0.25,0.02999999999999936,14.17,0.23000000000000043
,,,14.39,0.22000000000000064
,,,14.61,0.21999999999999886
14.83,,-0.009999999999999787,14.84,0.23000000000000043
,,,15.05,0.21000000000000085
,,,15.3,0.25
,,,15.51,0.20999999999999908
15.74,,0.019999999999999574,15.72,0.21000000000000085
15.96,0.22000000000000064,0.010000000000001563,15.95,0.22999999999999865
16.18,0.21999999999999886,-0.010000000000001563,16.19,0.240000000000002
,,,16.4,0.2099999999999973
16.65,,0.019999999999999574,16.63,0.23000000000000043
,,,16.86,0.23000000000000043
17.08,,-0.010000000000001563,17.09,0.23000000000000043
17.31,0.23000000000000043,0.0,17.31,0.21999999999999886
17.52,0.21000000000000085,-0.010000000000001563,17.53,0.22000000000000242
17.77,0.25,0.030000000000001137,17.74,0.2099999999999973
,,,17.98,0.240000000000002
,,,18.21,0.23000000000000043
,,,18.45,0.23999999999999844
18.67,,0.0,18.67,0.22000000000000242
,,,18.89,0.21999999999999886
19.12,,-0.00999999999999801,19.13,0.23999999999999844
19.33,0.2099999999999973,-0.010000000000001563,19.34,0.21000000000000085
19.57,0.240000000000002,0.019999999999999574,19.55,0.21000000000000085
19.8,0.23000000000000043,0.010000000000001563,19.79,0.23999999999999844
19.99,0.18999999999999773,-0.010000000000001563,20.0,0.21000000000000085
20.22,0.23000000000000043,-0.010000000000001563,20.23,0.23000000000000043
20.46,0.240000000000002,0.019999999999999574,20.44,0.21000000000000085
20.68,0.21999999999999886,0.00999999999999801,20.67,0.23000000000000043
,,,20.88,0.2099999999999973
21.08,,-0.0400000000000027,21.12,0.240000000000002
,,,21.34,0.21999999999999886
21.56,,-0.019999999999999574,21.58,0.23999999999999844
21.81,0.25,0.019999999999999574,21.79,0.21000000000000085
21.99,0.17999999999999972,-0.030000000000001137,22.02,0.23000000000000043
22.28,0.2900000000000027,0.0400000000000027,22.24,0.21999999999999886
22.48,0.1999999999999993,0.019999999999999574,22.46,0.22000000000000242
,,,22.68,0.21999999999999886
,,,22.91,0.23000000000000043
,,,23.12,0.21000000000000085
23.37,,0.0,23.37,0.25
23.6,0.23000000000000043,0.0400000000000027,23.56,0.18999999999999773
23.82,0.21999999999999886,0.019999999999999574,23.8,0.240000000000002
24.07,0.25,0.05000000000000071,24.02,0.21999999999999886
24.25,0.17999999999999972,-0.010000000000001563,24.26,0.240000000000002
,,,24.48,0.21999999999999886
,,,24.69,0.21000000000000085
,,,24.9,0.2099999999999973
25.12,,-0.029999999999997584,25.15,0.25
25.38,0.259999999999998,0.019999999999999574,25.36,0.21000000000000085
25.6,0.22000000000000242,0.020000000000003126,25.58,0.21999999999999886
25.82,0.21999999999999886,0.019999999999999574,25.8,0.22000000000000242
26.04,0.21999999999999886,0.00999999999999801,26.03,0.23000000000000043
26.25,0.21000000000000085,-0.010000000000001563,26.26,0.23000000000000043
26.49,0.23999999999999844,0.0,26.49,0.22999999999999687
26.71,0.22000000000000242,0.0,26.71,0.22000000000000242
26.9,0.18999999999999773,-0.010000000000001563,26.91,0.1999999999999993
,,,27.13,0.21999999999999886
,,,27.37,0.240000000000002
,,,27.59,0.21999999999999886
,,,27.79,0.1999999999999993
28.03,,0.019999999999999574,28.01,0.22000000000000242
28.22,0.18999999999999773,-0.030000000000001137,28.25,0.23999999999999844
28.47,0.25,0.00999999999999801,28.46,0.21000000000000085
28.69,0.22000000000000242,-0.00999999999999801,28.7,0.23999999999999844
28.91,0.21999999999999886,-0.010000000000001563,28.92,0.22000000000000242
,,,29.14,0.21999999999999886
,,,29.36,0.21999999999999886
,,,29.58,0.21999999999999886
29.79,,0.00999999999999801,29.78,0.20000000000000284
30.03,0.240000000000002,0.010000000000001563,30.02,0.23999999999999844
30.27,0.23999999999999844,0.030000000000001137,30.24,0.21999999999999886
,,,30.46,0.22000000000000242
,,,30.69,0.23000000000000043
30.92,,-0.00999999999999801,30.93,0.23999999999999844
,,,31.14,0.21000000000000085
,,,31.35,0.21000000000000085
31.56,,-0.010000000000001563,31.57,0.21999999999999886
31.81,0.25,0.0,31.81,0.23999999999999844
32.05,0.23999999999999844,0.03999999999999915,32.01,0.1999999999999993
32.28,0.23000000000000398,0.03999999999999915,32.24,0.23000000000000398
,,,32.45,0.21000000000000085
32.73,,0.03999999999999915,32.69,0.23999999999999488
32.93,0.20000000000000284,0.03999999999999915,32.89,0.20000000000000284
33.12,0.18999999999999773,0.0,33.12,0.22999999999999687
33.35,0.23000000000000398,0.020000000000003126,33.33,0.21000000000000085
33.57,0.21999999999999886,0.00999999999999801,33.56,0.23000000000000398
33.81,0.240000000000002,0.030000000000001137,33.78,0.21999999999999886
34.03,0.21999999999999886,0.030000000000001137,34.0,0.21999999999999886
,,,34.22,0.21999999999999886
34.46,,0.020000000000003126,34.44,0.21999999999999886
34.67,0.21000000000000085,0.020000000000003126,34.65,0.21000000000000085
34.88,0.21000000000000085,0.010000000000005116,34.87,0.21999999999999886
,,,35.09,0.22000000000000597
,,,35.32,0.22999999999999687
35.54,,-0.00999999999999801,35.55,0.22999999999999687
35.77,0.23000000000000398,0.0,35.77,0.22000000000000597
,,,35.98,0.20999999999999375
36.21,,0.00999999999999801,36.2,0.22000000000000597
,,,36.42,0.21999999999999886
36.65,,0.0,36.65,0.22999999999999687
,,,36.88,0.23000000000000398
37.12,,0.01999999999999602,37.1,0.21999999999999886
,,,37.32,0.21999999999999886
37.54,,-0.00999999999999801,37.55,0.22999999999999687
,,,37.76,0.21000000000000085
38.03,,0.05000000000000426,37.98,0.21999999999999886
,,,38.2,0.22000000000000597
38.43,,,,
,,,,
38.88,,,,
39.13,0.25,0.03999999999999915,39.09,
39.34,0.21000000000000085,0.030000000000001137,39.31,0.21999999999999886
39.58,0.23999999999999488,0.03999999999999915,39.54,0.22999999999999687
39.79,0.21000000000000085,0.030000000000001137,39.76,0.21999999999999886
,,,39.98,0.21999999999999886
40.2,,-0.00999999999999801,40.21,0.23000000000000398
,,,40.44,0.22999999999999687
40.66,,-0.010000000000005116,40.67,0.23000000000000398
40.89,0.23000000000000398,0.00999999999999801,40.88,0.21000000000000085
41.14,0.25,0.03999999999999915,41.1,0.21999999999999886
41.37,0.22999999999999687,0.03999999999999915,41.33,0.22999999999999687
41.58,0.21000000000000085,0.00999999999999801,41.57,0.240000000000002
41.82,0.240000000000002,0.030000000000001137,41.79,0.21999999999999886
42.04,0.21999999999999886,,,
42.28,0.240000000000002,0.060000000000002274,42.22,
42.48,0.19999999999999574,0.02999999999999403,42.45,0.23000000000000398
42.69,0.21000000000000085,0.00999999999999801,42.68,0.22999999999999687
42.92,0.23000000000000398,0.010000000000005116,42.91,0.22999999999999687
43.11,0.18999999999999773,-0.00999999999999801,43.12,0.21000000000000085
43.36,0.25,0.00999999999999801,43.35,0.23000000000000398
43.54,0.17999999999999972,-0.020000000000003126,43.56,0.21000000000000085
43.81,0.2700000000000031,0.030000000000001137,43.78,0.21999999999999886
44.04,0.22999999999999687,0.030000000000001137,44.01,0.22999999999999687
44.27,0.23000000000000398,0.030000000000001137,44.24,0.23000000000000398
44.5,0.22999999999999687,0.04999999999999716,44.45,0.21000000000000085
44.7,0.20000000000000284,0.030000000000001137,44.67,0.21999999999999886
,,,44.89,0.21999999999999886
45.14,,0.030000000000001137,45.11,0.21999999999999886
,,,45.32,0.21000000000000085
45.57,,0.00999999999999801,45.56,0.240000000000002
45.78,0.21000000000000085,0.0,45.78,0.21999999999999886
,,,46.0,0.21999999999999886
46.22,,0.01999999999999602,46.2,0.20000000000000284
46.45,0.23000000000000398,0.010000000000005116,46.44,0.23999999999999488
46.67,0.21999999999999886,0.020000000000003126,46.65,0.21000000000000085
46.9,0.22999999999999687,0.00999999999999801,46.89,0.240000000000002
47.12,0.21999999999999886,0.00999999999999801,47.11,0.21999999999999886
47.33,0.21000000000000085,0.00999999999999801,47.32,0.21000000000000085
47.53,0.20000000000000284,0.0,47.53,0.21000000000000085
47.76,0.22999999999999687,-0.010000000000005116,47.77,0.240000000000002
,,,48.0,0.22999999999999687
48.21,,-0.01999999999999602,48.23,0.22999999999999687
,,,48.44,0.21000000000000085
48.66,,0.0,48.66,0.21999999999999886
,,,48.89,0.23000000000000398
,,,,
49.35,,0.030000000000001137,49.32,
49.58,0.22999999999999687,,,
49.78,0.20000000000000284,0.030000000000001137,49.75,
49.99,0.21000000000000085,0.0,49.99,0.240000000000002
50.22,0.22999999999999687,,,
50.44,0.21999999999999886,0.00999999999999801,50.43,
50.66,0.21999999999999886,0.01999999999999602,50.64,0.21000000000000085
50.88,0.22000000000000597,0.0,50.88,0.240000000000002
51.12,0.23999999999999488,0.01999999999999602,51.1,0.21999999999999886
51.33,0.21000000000000085,0.01999999999999602,51.31,0.21000000000000085
51.57,0.240000000000002,0.03999999999999915,51.53,0.21999999999999886
51.74,0.1700000000000017,-0.00999999999999801,51.75,0.21999999999999886
51.95,0.21000000000000085,0.0,51.95,0.20000000000000284
52.2,0.25,,,
52.42,0.21999999999999886,0.0,52.42,
52.62,0.19999999999999574,0.0,52.62,0.19999999999999574
,,,52.83,0.21000000000000085
53.04,,-0.00999999999999801,53.05,0.21999999999999886
,,,53.26,0.21000000000000085
,,,53.48,0.21999999999999886
53.69,,0.0,53.69,0.21000000000000085
53.92,0.23000000000000398,0.0,53.92,0.23000000000000398
54.15,0.22999999999999687,0.01999999999999602,54.13,0.21000000000000085
,,,,
,,,,
,,,54.79,
