Tap Time,ITI,Asynchornies,Tone Time,IOI
0.58,0.42999999999999994,,,
1.08,0.5000000000000001,0.050000000000000044,1.03,
1.63,0.5499999999999998,,,
2.12,0.4900000000000002,,,
2.61,0.48999999999999977,,,
,,,3.06,
,,,3.6,0.54
4.1,,-0.010000000000000675,4.11,0.5100000000000002
4.64,0.54,0.040000000000000036,4.6,0.4899999999999993
5.1,0.45999999999999996,0.009999999999999787,5.09,0.4900000000000002
5.59,0.4900000000000002,0.0,5.59,0.5
6.1,0.5099999999999998,0.02999999999999936,6.07,0.4800000000000004
,,,6.58,0.5099999999999998
7.13,,0.05999999999999961,7.07,0.4900000000000002
7.6,0.46999999999999975,0.019999999999999574,7.58,0.5099999999999998
8.11,0.5099999999999998,0.049999999999998934,8.06,0.4800000000000004
,,,8.56,0.5
9.13,,0.0600000000000005,9.07,0.5099999999999998
,,,9.58,0.5099999999999998
,,,10.06,0.4800000000000004
10.55,,-0.02999999999999936,10.58,0.5199999999999996
11.12,0.5699999999999985,0.049999999999998934,11.07,0.4900000000000002
11.57,0.45000000000000107,0.009999999999999787,11.56,0.4900000000000002
,,,12.05,0.4900000000000002
12.64,,0.08999999999999986,12.55,0.5
,,,13.06,0.5099999999999998
13.61,,0.02999999999999936,13.58,0.5199999999999996
14.11,0.5,0.049999999999998934,14.06,0.4800000000000004
14.64,0.5300000000000011,0.040000000000000924,14.6,0.5399999999999991
15.14,0.5,0.040000000000000924,15.1,0.5
15.65,0.5099999999999998,0.040000000000000924,15.61,0.5099999999999998
16.16,0.5099999999999998,0.05999999999999872,16.1,0.490000000000002
,,,16.62,0.5199999999999996
17.18,,0.07000000000000028,17.11,0.48999999999999844
,,,17.63,0.5199999999999996
18.2,,0.0799999999999983,18.12,0.490000000000002
,,,18.64,0.5199999999999996
19.08,,-0.05000000000000071,19.13,0.48999999999999844
19.65,0.5700000000000003,0.029999999999997584,19.62,0.490000000000002
20.16,0.5100000000000016,0.05000000000000071,20.11,0.48999999999999844
20.65,0.48999999999999844,0.029999999999997584,20.62,0.5100000000000016
21.09,0.4400000000000013,-0.019999999999999574,21.11,0.48999999999999844
21.64,0.5500000000000007,0.030000000000001137,21.61,0.5
22.17,0.5300000000000011,0.07000000000000028,22.1,0.490000000000002
,,,22.59,0.48999999999999844
23.09,,0.010000000000001563,23.08,0.48999999999999844
23.62,0.5300000000000011,0.0400000000000027,23.58,0.5
24.11,0.48999999999999844,0.05999999999999872,24.05,0.4700000000000024
,,,24.57,0.5199999999999996
,,,25.07,0.5
,,,25.59,0.5199999999999996
,,,26.08,0.48999999999999844
26.66,,0.05999999999999872,26.6,0.5200000000000031
,,,27.07,0.46999999999999886
27.57,,-0.00999999999999801,27.58,0.509999999999998
,,,28.07,0.490000000000002
28.62,,0.060000000000002274,28.56,0.48999999999999844
,,,29.05,0.490000000000002
,,,29.55,0.5
,,,30.03,0.4800000000000004
30.57,,0.010000000000001563,30.56,0.5299999999999976
,,,31.06,0.5
31.6,,0.05000000000000071,31.55,0.490000000000002
32.08,0.4799999999999969,0.04999999999999716,32.03,0.4800000000000004
32.59,0.5100000000000051,0.05000000000000426,32.54,0.509999999999998
33.13,0.5399999999999991,0.09000000000000341,33.04,0.5
33.53,0.3999999999999986,-0.01999999999999602,33.55,0.509999999999998
34.09,0.5600000000000023,0.060000000000002274,34.03,0.480000000000004
34.49,0.3999999999999986,-0.04999999999999716,34.54,0.509999999999998
34.98,0.4899999999999949,-0.030000000000001137,35.01,0.46999999999999886
35.48,0.5,-0.020000000000003126,35.5,0.490000000000002
36.05,0.5700000000000003,0.07000000000000028,35.98,0.4799999999999969
