Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.92,0.5
,,,1.45,0.5299999999999999
1.99,,0.0,1.99,0.54
2.51,0.5199999999999998,0.13999999999999968,2.37,0.3800000000000001
2.84,0.33000000000000007,-0.040000000000000036,2.88,0.5099999999999998
3.37,0.5300000000000002,-0.009999999999999787,3.38,0.5
3.87,0.5,-0.029999999999999805,3.9,0.52
4.37,0.5,-0.03000000000000025,4.4,0.5000000000000004
,,,4.92,0.5199999999999996
,,,,
,,,,
,,,,
6.78,,,,
7.32,0.54,,,
7.62,0.2999999999999998,-0.009999999999999787,7.63,
8.14,0.5200000000000005,-0.009999999999999787,8.15,0.5200000000000005
8.7,0.5599999999999987,0.02999999999999936,8.67,0.5199999999999996
9.15,0.45000000000000107,-0.009999999999999787,9.16,0.4900000000000002
,,,9.67,0.5099999999999998
,,,10.17,0.5
10.76,,0.0600000000000005,10.7,0.5299999999999994
11.18,0.41999999999999993,0.0,11.18,0.4800000000000004
11.68,0.5,-0.009999999999999787,11.69,0.5099999999999998
,,,12.2,0.5099999999999998
12.74,,0.019999999999999574,12.72,0.5200000000000014
13.18,0.4399999999999995,-0.05000000000000071,13.23,0.5099999999999998
13.72,0.5400000000000009,0.08999999999999986,13.63,0.40000000000000036
,,,14.25,0.6199999999999992
14.59,,-0.040000000000000924,14.63,0.3800000000000008
15.09,0.5,-0.040000000000000924,15.13,0.5
15.62,0.5299999999999994,-0.040000000000000924,15.66,0.5299999999999994
16.14,0.5200000000000014,,,
16.63,0.48999999999999844,,,
17.03,0.40000000000000213,,,
17.51,0.4800000000000004,,,
18.02,0.509999999999998,,,
18.51,0.490000000000002,,,
18.98,0.46999999999999886,,,
19.48,0.5,,,
19.98,0.5,,,
20.51,0.5300000000000011,,,
,,,20.82,
21.34,,-0.010000000000001563,21.35,0.5300000000000011
21.85,0.5100000000000016,-0.019999999999999574,21.87,0.5199999999999996
,,,22.37,0.5
22.88,,0.00999999999999801,22.87,0.5
23.41,0.5300000000000011,0.030000000000001137,23.38,0.509999999999998
,,,23.89,0.5100000000000016
24.37,,-0.00999999999999801,24.38,0.48999999999999844
,,,24.87,0.490000000000002
25.36,,0.00999999999999801,25.35,0.4800000000000004
,,,25.86,0.509999999999998
26.4,,0.029999999999997584,26.37,0.5100000000000016
26.84,0.4400000000000013,-0.03999999999999915,26.88,0.509999999999998
27.39,0.5500000000000007,0.0,27.39,0.5100000000000016
27.92,0.5300000000000011,0.010000000000001563,27.91,0.5199999999999996
,,,28.4,0.48999999999999844
28.93,,0.129999999999999,28.8,0.40000000000000213
,,,,
29.76,,-0.06999999999999673,29.83,
30.35,0.5899999999999999,,,
30.74,0.389999999999997,-0.10000000000000142,30.84,
31.28,0.5400000000000027,,,
31.73,0.4499999999999993,-0.09999999999999787,31.83,
32.13,0.40000000000000213,,,
,,,,
,,,,
,,,,
,,,,
,,,34.52,
,,,35.02,0.5
35.53,,0.00999999999999801,35.52,0.5
36.0,0.46999999999999886,-0.030000000000001137,36.03,0.509999999999998
36.51,0.509999999999998,-0.030000000000001137,36.54,0.509999999999998
37.03,0.5200000000000031,-0.00999999999999801,37.04,0.5
37.55,0.519999999999996,0.0,37.55,0.509999999999998
