Tap Time,ITI,Asynchornies,Tone Time,IOI
0.58,,0.0,0.58,0.31999999999999995
0.91,0.33000000000000007,0.050000000000000044,0.86,0.28
,,,1.23,0.37
1.52,,-0.020000000000000018,1.54,0.31000000000000005
,,,1.85,0.31000000000000005
2.25,,0.08000000000000007,2.17,0.31999999999999984
,,,2.49,0.3200000000000003
2.8,,-0.020000000000000018,2.82,0.3299999999999996
3.2,0.40000000000000036,0.06000000000000005,3.14,0.3200000000000003
,,,3.46,0.31999999999999984
,,,3.78,0.31999999999999984
4.14,,0.040000000000000036,4.1,0.31999999999999984
4.48,0.34000000000000075,0.07000000000000028,4.41,0.3100000000000005
4.74,0.2599999999999998,0.0,4.74,0.33000000000000007
5.09,0.34999999999999964,0.04999999999999982,5.04,0.2999999999999998
,,,5.37,0.33000000000000007
5.75,,0.07000000000000028,5.68,0.3099999999999996
6.06,0.3099999999999996,0.04999999999999982,6.01,0.33000000000000007
,,,6.33,0.3200000000000003
6.7,,0.040000000000000036,6.66,0.33000000000000007
7.03,0.33000000000000007,0.0600000000000005,6.97,0.3099999999999996
,,,7.3,0.33000000000000007
7.68,,0.05999999999999961,7.62,0.3200000000000003
7.99,0.3100000000000005,0.04999999999999982,7.94,0.3200000000000003
8.32,0.33000000000000007,0.0600000000000005,8.26,0.3199999999999994
8.62,0.29999999999999893,0.019999999999999574,8.6,0.33999999999999986
,,,8.92,0.3200000000000003
9.27,,0.019999999999999574,9.25,0.33000000000000007
9.61,0.33999999999999986,0.03999999999999915,9.57,0.3200000000000003
9.86,0.25,-0.030000000000001137,9.89,0.3200000000000003
10.28,0.41999999999999993,0.05999999999999872,10.22,0.33000000000000007
10.59,0.3100000000000005,0.05000000000000071,10.54,0.3199999999999985
,,,10.88,0.34000000000000163
11.19,,-0.009999999999999787,11.2,0.3199999999999985
,,,11.53,0.33000000000000007
11.86,,-0.009999999999999787,11.87,0.33999999999999986
12.26,0.40000000000000036,0.07000000000000028,12.19,0.3200000000000003
12.56,0.3000000000000007,0.0600000000000005,12.5,0.3100000000000005
12.89,0.33000000000000007,0.0600000000000005,12.83,0.33000000000000007
13.23,0.33999999999999986,0.07000000000000028,13.16,0.33000000000000007
13.56,0.33000000000000007,0.0600000000000005,13.5,0.33999999999999986
13.8,0.2400000000000002,-0.02999999999999936,13.83,0.33000000000000007
14.19,0.3899999999999988,0.02999999999999936,14.16,0.33000000000000007
,,,14.48,0.3200000000000003
,,,14.81,0.33000000000000007
15.19,,0.05999999999999872,15.13,0.3200000000000003
15.5,0.3100000000000005,0.05000000000000071,15.45,0.3199999999999985
15.82,0.3200000000000003,0.040000000000000924,15.78,0.33000000000000007
16.14,0.3200000000000003,0.03999999999999915,16.1,0.32000000000000206
16.44,0.3000000000000007,0.019999999999999574,16.42,0.3200000000000003
,,,16.75,0.3299999999999983
17.14,,0.060000000000002274,17.08,0.3299999999999983
,,,17.4,0.3200000000000003
17.72,,-0.010000000000001563,17.73,0.33000000000000185
18.14,0.4200000000000017,0.08000000000000185,18.06,0.3299999999999983
18.44,0.3000000000000007,0.0400000000000027,18.4,0.33999999999999986
18.78,0.33999999999999986,0.05000000000000071,18.73,0.33000000000000185
,,,19.06,0.3299999999999983
19.44,,0.060000000000002274,19.38,0.3200000000000003
19.74,0.29999999999999716,0.029999999999997584,19.71,0.33000000000000185
20.08,0.33999999999999986,0.03999999999999915,20.04,0.3299999999999983
20.41,0.33000000000000185,0.05000000000000071,20.36,0.3200000000000003
,,,20.7,0.33999999999999986
21.1,,0.07000000000000028,21.03,0.33000000000000185
21.41,0.3099999999999987,0.05999999999999872,21.35,0.3200000000000003
21.72,0.3099999999999987,0.05999999999999872,21.66,0.3099999999999987
,,,22.01,0.3500000000000014
22.37,,0.019999999999999574,22.35,0.33999999999999986
,,,22.68,0.3299999999999983
,,,22.9,0.21999999999999886
,,,23.34,0.4400000000000013
23.53,,-0.029999999999997584,23.56,0.21999999999999886
23.93,0.3999999999999986,,,
24.27,0.33999999999999986,0.03999999999999915,24.23,
24.61,0.33999999999999986,,,
,,,24.91,
,,,,
,,,,
,,,,
,,,,
26.41,,,,
26.75,0.33999999999999986,,,
27.05,0.3000000000000007,,,
27.37,0.3200000000000003,,,
,,,27.69,
,,,28.02,0.3299999999999983
,,,28.35,0.33000000000000185
28.7,,0.00999999999999801,28.69,0.33999999999999986
29.05,0.3500000000000014,0.030000000000001137,29.02,0.3299999999999983
29.37,0.3200000000000003,0.019999999999999574,29.35,0.33000000000000185
29.72,0.34999999999999787,0.04999999999999716,29.67,0.3200000000000003
,,,30.01,0.33999999999999986
,,,30.33,0.31999999999999673
