Tap Time,ITI,Asynchornies,Tone Time,IOI
0.55,,0.040000000000000036,0.51,
0.93,0.38,,,
1.22,0.2899999999999999,,,
1.55,0.33000000000000007,0.050000000000000044,1.5,
,,,1.84,0.3400000000000001
,,,2.18,0.3400000000000001
,,,2.52,0.33999999999999986
,,,2.86,0.33999999999999986
3.26,,0.05999999999999961,3.2,0.3400000000000003
3.59,0.33000000000000007,0.040000000000000036,3.55,0.34999999999999964
3.96,0.3700000000000001,0.08000000000000007,3.88,0.33000000000000007
4.28,0.3200000000000003,0.07000000000000028,4.21,0.33000000000000007
4.62,0.33999999999999986,,,
4.95,0.33000000000000007,0.04999999999999982,4.9,
5.29,0.33999999999999986,0.05999999999999961,5.23,0.33000000000000007
5.64,0.34999999999999964,0.05999999999999961,5.58,0.34999999999999964
5.95,0.3100000000000005,0.03000000000000025,5.92,0.33999999999999986
,,,6.26,0.33999999999999986
6.64,,0.04999999999999982,6.59,0.33000000000000007
6.92,0.28000000000000025,0.0,6.92,0.33000000000000007
7.3,0.3799999999999999,0.040000000000000036,7.26,0.33999999999999986
7.61,0.3100000000000005,0.020000000000000462,7.59,0.33000000000000007
7.98,0.3700000000000001,0.05000000000000071,7.93,0.33999999999999986
8.34,0.35999999999999943,0.07000000000000028,8.27,0.33999999999999986
,,,8.62,0.34999999999999964
8.98,,0.030000000000001137,8.95,0.33000000000000007
9.32,0.33999999999999986,0.030000000000001137,9.29,0.33999999999999986
9.63,0.3100000000000005,0.02000000000000135,9.61,0.3200000000000003
9.98,0.34999999999999964,0.030000000000001137,9.95,0.33999999999999986
,,,10.29,0.33999999999999986
10.67,,0.019999999999999574,10.65,0.3600000000000012
,,,10.98,0.33000000000000007
11.38,,0.05000000000000071,11.33,0.34999999999999964
,,,11.66,0.33000000000000007
12.06,,0.05000000000000071,12.01,0.34999999999999964
12.41,0.34999999999999964,0.07000000000000028,12.34,0.33000000000000007
12.71,0.3000000000000007,0.030000000000001137,12.68,0.33999999999999986
,,,13.01,0.33000000000000007
13.4,,0.0600000000000005,13.34,0.33000000000000007
,,,13.68,0.33999999999999986
,,,14.02,0.33999999999999986
14.4,,0.05000000000000071,14.35,0.33000000000000007
14.75,0.34999999999999964,0.0600000000000005,14.69,0.33999999999999986
15.07,0.3200000000000003,,,
15.39,0.3200000000000003,0.040000000000000924,15.35,
15.74,0.34999999999999964,0.05000000000000071,15.69,0.33999999999999986
16.05,0.3100000000000005,0.030000000000001137,16.02,0.33000000000000007
16.41,0.35999999999999943,0.05000000000000071,16.36,0.33999999999999986
,,,16.7,0.33999999999999986
17.09,,0.05000000000000071,17.04,0.33999999999999986
17.43,0.33999999999999986,0.05999999999999872,17.37,0.33000000000000185
17.74,0.3099999999999987,0.029999999999997584,17.71,0.33999999999999986
18.06,0.3200000000000003,0.019999999999999574,18.04,0.3299999999999983
18.42,0.360000000000003,0.05000000000000071,18.37,0.33000000000000185
18.72,0.29999999999999716,0.019999999999999574,18.7,0.3299999999999983
