Tap Time,ITI,Asynchornies,Tone Time,IOI
0.66,,-0.029999999999999916,0.69,0.5399999999999999
1.21,0.5499999999999999,-0.010000000000000009,1.22,0.53
1.71,0.5,-0.010000000000000009,1.72,0.5
2.29,0.5800000000000001,0.06000000000000005,2.23,0.51
2.72,0.43000000000000016,-0.009999999999999787,2.73,0.5
,,,3.25,0.52
3.77,,0.010000000000000231,3.76,0.5099999999999998
4.33,0.56,0.03000000000000025,4.3,0.54
4.81,0.47999999999999954,0.019999999999999574,4.79,0.4900000000000002
5.29,0.4800000000000004,-0.009999999999999787,5.3,0.5099999999999998
5.78,0.4900000000000002,-0.02999999999999936,5.81,0.5099999999999998
6.32,0.54,-0.019999999999999574,6.34,0.5300000000000002
6.79,0.46999999999999975,-0.03000000000000025,6.82,0.4800000000000004
,,,7.33,0.5099999999999998
7.82,,-0.009999999999999787,7.83,0.5
8.33,0.5099999999999998,-0.02999999999999936,8.36,0.5299999999999994
8.82,0.4900000000000002,-0.03999999999999915,8.86,0.5
9.48,0.6600000000000001,0.09999999999999964,9.38,0.5200000000000014
9.88,0.40000000000000036,-0.019999999999999574,9.9,0.5199999999999996
,,,10.44,0.5399999999999991
,,,10.91,0.47000000000000064
,,,11.45,0.5399999999999991
11.93,,-0.019999999999999574,11.95,0.5
12.41,0.4800000000000004,-0.07000000000000028,12.48,0.5300000000000011
13.01,0.5999999999999996,0.03999999999999915,12.97,0.4900000000000002
13.56,0.5500000000000007,0.08000000000000007,13.48,0.5099999999999998
14.04,0.47999999999999865,0.05999999999999872,13.98,0.5
,,,14.5,0.5199999999999996
15.0,,0.019999999999999574,14.98,0.4800000000000004
15.61,0.6099999999999994,0.10999999999999943,15.5,0.5199999999999996
16.02,0.41000000000000014,0.00999999999999801,16.01,0.5100000000000016
16.52,0.5,0.0,16.52,0.509999999999998
17.01,0.490000000000002,0.0,17.01,0.490000000000002
17.55,0.5399999999999991,0.019999999999999574,17.53,0.5199999999999996
18.05,0.5,0.019999999999999574,18.03,0.5
18.55,0.5,-0.00999999999999801,18.56,0.5299999999999976
19.13,0.5799999999999983,0.07000000000000028,19.06,0.5
19.63,0.5,0.03999999999999915,19.59,0.5300000000000011
20.13,0.5,0.03999999999999915,20.09,0.5
20.63,0.5,0.029999999999997584,20.6,0.5100000000000016
21.13,0.5,0.019999999999999574,21.11,0.509999999999998
,,,21.63,0.5199999999999996
22.13,,0.00999999999999801,22.12,0.490000000000002
,,,22.65,0.5299999999999976
23.2,,0.05999999999999872,23.14,0.490000000000002
23.67,0.4700000000000024,0.020000000000003126,23.65,0.509999999999998
,,,24.16,0.5100000000000016
24.7,,0.00999999999999801,24.69,0.5300000000000011
25.12,0.4200000000000017,-0.05000000000000071,25.17,0.4800000000000004
,,,25.69,0.5199999999999996
26.22,,0.03999999999999915,26.18,0.48999999999999844
26.73,0.5100000000000016,0.03999999999999915,26.69,0.5100000000000016
27.19,0.46000000000000085,0.0,27.19,0.5
,,,27.72,0.5299999999999976
28.28,,0.07000000000000028,28.21,0.490000000000002
28.69,0.41000000000000014,-0.04999999999999716,28.74,0.5299999999999976
,,,29.23,0.490000000000002
,,,29.75,0.5199999999999996
30.25,,-0.010000000000001563,30.26,0.5100000000000016
30.9,0.6499999999999986,0.10999999999999943,30.79,0.5299999999999976
31.27,0.370000000000001,-0.019999999999999574,31.29,0.5
,,,31.79,0.5
,,,32.28,0.490000000000002
32.8,,0.03999999999999915,32.76,0.4799999999999969
33.27,0.47000000000000597,-0.00999999999999801,33.28,0.5200000000000031
,,,33.79,0.509999999999998
34.3,,0.01999999999999602,34.28,0.490000000000002
,,,34.81,0.5300000000000011
35.39,,0.0799999999999983,35.31,0.5
,,,35.83,0.519999999999996
36.37,,0.03999999999999915,36.33,0.5
36.87,0.5,0.01999999999999602,36.85,0.5200000000000031
37.34,0.47000000000000597,-0.00999999999999801,37.35,0.5
37.94,0.5999999999999943,0.07000000000000028,37.87,0.519999999999996
38.36,0.4200000000000017,0.0,38.36,0.490000000000002
,,,38.89,0.5300000000000011
39.45,,0.0800000000000054,39.37,0.4799999999999969
39.91,0.45999999999999375,0.02999999999999403,39.88,0.5100000000000051
40.39,0.480000000000004,0.020000000000003126,40.37,0.4899999999999949
40.88,0.490000000000002,-0.00999999999999801,40.89,0.5200000000000031
41.39,0.509999999999998,0.020000000000003126,41.37,0.4799999999999969
,,,41.9,0.5300000000000011
,,,42.38,0.480000000000004
,,,42.93,0.5499999999999972
43.41,,0.0,43.41,0.4799999999999969
,,,43.92,0.5100000000000051
44.39,,-0.01999999999999602,44.41,0.4899999999999949
,,,44.93,0.5200000000000031
45.35,,-0.07000000000000028,45.42,0.490000000000002
,,,45.95,0.5300000000000011
46.42,,0.0,46.42,0.46999999999999886
,,,46.95,0.5300000000000011
47.44,,-0.010000000000005116,47.45,0.5
,,,47.95,0.5
48.46,,0.0,48.46,0.509999999999998
48.97,0.509999999999998,0.01999999999999602,48.95,0.490000000000002
49.47,0.5,0.00999999999999801,49.46,0.509999999999998
49.98,0.509999999999998,0.00999999999999801,49.97,0.509999999999998
50.46,0.480000000000004,-0.01999999999999602,50.48,0.509999999999998
51.06,0.6000000000000014,0.060000000000002274,51.0,0.5200000000000031
51.5,0.4399999999999977,0.0,51.5,0.5
51.99,0.490000000000002,-0.030000000000001137,52.02,0.5200000000000031
52.49,0.5,-0.01999999999999602,52.51,0.4899999999999949
53.04,0.5499999999999972,-0.00999999999999801,53.05,0.5399999999999991
53.53,0.490000000000002,-0.00999999999999801,53.54,0.490000000000002
54.09,0.5600000000000023,0.04000000000000625,54.05,0.509999999999998
54.6,0.509999999999998,0.03999999999999915,54.56,0.5100000000000051
,,,55.09,0.5300000000000011
55.65,,0.04999999999999716,55.6,0.509999999999998
56.08,0.4299999999999997,-0.030000000000001137,56.11,0.509999999999998
56.56,0.480000000000004,-0.04999999999999716,56.61,0.5
57.09,0.5300000000000011,-0.00999999999999801,57.1,0.490000000000002
,,,57.62,0.519999999999996
,,,58.15,0.5300000000000011
58.64,,-0.00999999999999801,58.65,0.5
59.16,0.519999999999996,0.0,59.16,0.509999999999998
59.65,0.490000000000002,0.00999999999999801,59.64,0.480000000000004
60.16,0.509999999999998,0.0,60.16,0.519999999999996
,,,60.64,0.480000000000004
61.21,,0.030000000000001137,61.18,0.5399999999999991
,,,61.67,0.490000000000002
62.22,,0.03999999999999915,62.18,0.509999999999998
62.67,0.45000000000000284,0.020000000000003126,62.65,0.46999999999999886
,,,63.17,0.5200000000000031
63.64,,-0.03999999999999915,63.68,0.509999999999998
,,,64.2,0.5200000000000031
,,,64.69,0.4899999999999949
65.22,,0.030000000000001137,65.19,0.5
65.71,0.4899999999999949,0.0,65.71,0.519999999999996
66.23,0.5200000000000102,-0.009999999999990905,66.24,0.5300000000000011
66.71,0.47999999999998977,-0.030000000000001137,66.74,0.5
67.21,0.5,-0.05000000000001137,67.26,0.5200000000000102
67.72,0.5100000000000051,-0.04000000000000625,67.76,0.5
,,,68.29,0.5300000000000011
68.76,,-0.03999999999999204,68.8,0.5099999999999909
,,,69.33,0.5300000000000011
69.79,,-0.04999999999999716,69.84,0.5100000000000051
70.3,0.5099999999999909,-0.07000000000000739,70.37,0.5300000000000011
,,,70.89,0.519999999999996
71.36,,-0.04999999999999716,71.41,0.519999999999996
71.89,0.5300000000000011,-0.04000000000000625,71.93,0.5200000000000102
,,,72.45,0.519999999999996
72.9,,-0.04999999999999716,72.95,0.5
73.58,0.6799999999999926,0.09000000000000341,73.49,0.539999999999992
73.99,0.4099999999999966,0.009999999999990905,73.98,0.4900000000000091
74.55,0.5600000000000023,0.03999999999999204,74.51,0.5300000000000011
75.06,0.5100000000000051,0.060000000000002274,75.0,0.4899999999999949
75.59,0.5300000000000011,0.04000000000000625,75.55,0.5499999999999972
76.02,0.4299999999999926,-0.010000000000005116,76.03,0.480000000000004
,,,76.57,0.539999999999992
77.07,,0.009999999999990905,77.06,0.4900000000000091
,,,77.58,0.519999999999996
78.1,,0.009999999999990905,78.09,0.5100000000000051
78.73,0.6300000000000097,0.10999999999999943,78.62,0.5300000000000011
79.1,0.36999999999999034,0.0,79.1,0.47999999999998977
,,,79.63,0.5300000000000011
80.11,,-0.01999999999999602,80.13,0.5
,,,80.65,0.5200000000000102
81.22,,0.06999999999999318,81.15,0.5
,,,81.65,0.5
82.2,,0.04000000000000625,82.16,0.5099999999999909
82.74,0.539999999999992,0.05999999999998806,82.68,0.5200000000000102
83.23,0.4900000000000091,0.04999999999999716,83.18,0.5
83.75,0.519999999999996,0.04000000000000625,83.71,0.5299999999999869
84.26,0.5100000000000051,0.05000000000001137,84.21,0.5
84.82,0.5599999999999881,0.06999999999999318,84.75,0.5400000000000063
85.26,0.44000000000001194,0.020000000000010232,85.24,0.4899999999999949
85.77,0.5099999999999909,0.0,85.77,0.5300000000000011
86.31,0.5400000000000063,0.030000000000001137,86.28,0.5100000000000051
86.77,0.45999999999999375,-0.04000000000000625,86.81,0.5300000000000011
87.27,0.5,-0.060000000000002274,87.33,0.519999999999996
,,,87.86,0.5300000000000011
88.41,,0.060000000000002274,88.35,0.4899999999999949
88.89,0.480000000000004,0.010000000000005116,88.88,0.5300000000000011
89.34,0.45000000000000284,-0.01999999999999602,89.36,0.480000000000004
89.95,0.6099999999999994,0.060000000000002274,89.89,0.5300000000000011
90.41,0.45999999999999375,0.009999999999990905,90.4,0.5100000000000051
90.91,0.5,-0.010000000000005116,90.92,0.519999999999996
91.41,0.5,0.0,91.41,0.4899999999999949
,,,91.94,0.5300000000000011
92.41,,-0.010000000000005116,92.42,0.480000000000004
,,,92.93,0.5100000000000051
93.47,,0.03999999999999204,93.43,0.5
,,,93.95,0.519999999999996
94.45,,0.010000000000005116,94.44,0.4899999999999949
,,,94.96,0.519999999999996
95.43,,-0.009999999999990905,95.44,0.480000000000004
,,,95.98,0.5400000000000063
96.52,,0.06999999999999318,96.45,0.46999999999999886
,,,96.96,0.5099999999999909
97.48,,0.020000000000010232,97.46,0.5
,,,97.97,0.5100000000000051
98.42,,-0.04999999999999716,98.47,0.5
98.98,0.5600000000000023,-0.030000000000001137,99.01,0.5400000000000063
