Tap Time,ITI,Asynchornies,Tone Time,IOI
0.97,0.58,-0.020000000000000018,0.99,0.6
1.58,0.6100000000000001,-0.030000000000000027,1.61,0.6200000000000001
2.22,0.6400000000000001,0.03000000000000025,2.19,0.5799999999999998
2.78,0.5599999999999996,-0.020000000000000018,2.8,0.6099999999999999
3.4,0.6200000000000001,0.009999999999999787,3.39,0.5900000000000003
3.99,0.5900000000000003,-0.009999999999999787,4.0,0.6099999999999999
4.61,0.6200000000000001,0.020000000000000462,4.59,0.5899999999999999
5.19,0.5800000000000001,-0.019999999999999574,5.21,0.6200000000000001
5.8,0.6099999999999994,0.0,5.8,0.5899999999999999
6.4,0.6000000000000005,0.010000000000000675,6.39,0.5899999999999999
6.97,0.5699999999999994,0.0,6.97,0.5800000000000001
7.53,0.5600000000000005,-0.04999999999999982,7.58,0.6100000000000003
8.19,0.6599999999999993,0.02999999999999936,8.16,0.5800000000000001
8.79,0.5999999999999996,0.02999999999999936,8.76,0.5999999999999996
9.35,0.5600000000000005,0.009999999999999787,9.34,0.5800000000000001
9.9,0.5500000000000007,-0.049999999999998934,9.95,0.6099999999999994
10.55,0.6500000000000004,0.02000000000000135,10.53,0.5800000000000001
11.12,0.5699999999999985,-0.040000000000000924,11.16,0.6300000000000008
11.72,0.6000000000000014,0.0,11.72,0.5600000000000005
12.32,0.5999999999999996,0.009999999999999787,12.31,0.5899999999999999
12.93,0.6099999999999994,0.019999999999999574,12.91,0.5999999999999996
13.51,0.5800000000000001,0.0,13.51,0.5999999999999996
14.1,0.5899999999999999,0.009999999999999787,14.09,0.5800000000000001
14.66,0.5600000000000005,-0.019999999999999574,14.68,0.5899999999999999
,,,15.26,0.5800000000000001
15.85,,-0.009999999999999787,15.86,0.5999999999999996
16.45,0.5999999999999996,0.00999999999999801,16.44,0.5800000000000018
17.03,0.5800000000000018,0.010000000000001563,17.02,0.5799999999999983
17.6,0.5700000000000003,0.010000000000001563,17.59,0.5700000000000003
18.18,0.5799999999999983,-0.019999999999999574,18.2,0.6099999999999994
