Tap Time,ITI,Asynchornies,Tone Time,IOI
0.6,0.41,0.010000000000000009,0.59,0.39999999999999997
1.01,0.41000000000000003,0.010000000000000009,1.0,0.41000000000000003
1.39,0.3799999999999999,-0.010000000000000009,1.4,0.3999999999999999
1.8,0.41000000000000014,0.0,1.8,0.40000000000000013
2.21,0.4099999999999999,0.020000000000000018,2.19,0.3899999999999999
2.61,0.3999999999999999,0.0,2.61,0.41999999999999993
3.01,0.3999999999999999,0.009999999999999787,3.0,0.3900000000000001
3.42,0.41000000000000014,0.029999999999999805,3.39,0.3900000000000001
3.79,0.3700000000000001,0.0,3.79,0.3999999999999999
4.19,0.40000000000000036,-0.009999999999999787,4.2,0.41000000000000014
4.58,0.3899999999999997,-0.009999999999999787,4.59,0.3899999999999997
4.99,0.41000000000000014,-0.009999999999999787,5.0,0.41000000000000014
5.36,0.3700000000000001,-0.02999999999999936,5.39,0.3899999999999997
5.78,0.41999999999999993,-0.009999999999999787,5.79,0.40000000000000036
6.17,0.3899999999999997,-0.009999999999999787,6.18,0.3899999999999997
6.58,0.41000000000000014,0.0,6.58,0.40000000000000036
6.98,0.40000000000000036,0.010000000000000675,6.97,0.3899999999999997
7.38,0.39999999999999947,0.009999999999999787,7.37,0.40000000000000036
7.74,0.3600000000000003,-0.009999999999999787,7.75,0.3799999999999999
8.16,0.41999999999999993,0.009999999999999787,8.15,0.40000000000000036
8.55,0.39000000000000057,0.010000000000001563,8.54,0.3899999999999988
8.96,0.41000000000000014,0.010000000000001563,8.95,0.41000000000000014
9.34,0.379999999999999,0.0,9.34,0.39000000000000057
9.73,0.39000000000000057,-0.009999999999999787,9.74,0.40000000000000036
10.17,0.4399999999999995,0.05000000000000071,10.12,0.379999999999999
10.52,0.34999999999999964,0.0,10.52,0.40000000000000036
10.92,0.40000000000000036,0.019999999999999574,10.9,0.3800000000000008
11.3,0.3800000000000008,0.0,11.3,0.40000000000000036
11.69,0.3899999999999988,0.019999999999999574,11.67,0.3699999999999992
12.07,0.3800000000000008,0.0,12.07,0.40000000000000036
12.47,0.40000000000000036,0.009999999999999787,12.46,0.39000000000000057
12.87,0.3999999999999986,0.009999999999999787,12.86,0.3999999999999986
13.26,0.39000000000000057,0.019999999999999574,13.24,0.3800000000000008
13.65,0.39000000000000057,0.0,13.65,0.41000000000000014
14.04,0.3899999999999988,0.009999999999999787,14.03,0.379999999999999
14.43,0.39000000000000057,0.009999999999999787,14.42,0.39000000000000057
14.86,0.4299999999999997,0.049999999999998934,14.81,0.39000000000000057
15.2,0.33999999999999986,-0.02000000000000135,15.22,0.41000000000000014
15.61,0.41000000000000014,0.009999999999999787,15.6,0.379999999999999
16.02,0.41000000000000014,0.019999999999999574,16.0,0.40000000000000036
16.42,0.40000000000000213,0.030000000000001137,16.39,0.39000000000000057
16.81,0.389999999999997,0.00999999999999801,16.8,0.41000000000000014
17.16,0.3500000000000014,-0.019999999999999574,17.18,0.379999999999999
17.59,0.4299999999999997,-0.010000000000001563,17.6,0.4200000000000017
18.0,0.41000000000000014,0.010000000000001563,17.99,0.389999999999997
18.39,0.39000000000000057,0.0,18.39,0.40000000000000213
18.74,0.34999999999999787,-0.0400000000000027,18.78,0.39000000000000057
19.2,0.46000000000000085,0.00999999999999801,19.19,0.41000000000000014
19.6,0.40000000000000213,0.010000000000001563,19.59,0.3999999999999986
20.0,0.3999999999999986,0.010000000000001563,19.99,0.3999999999999986
20.41,0.41000000000000014,0.019999999999999574,20.39,0.40000000000000213
20.79,0.379999999999999,-0.010000000000001563,20.8,0.41000000000000014
21.2,0.41000000000000014,0.019999999999999574,21.18,0.379999999999999
21.61,0.41000000000000014,0.030000000000001137,21.58,0.3999999999999986
21.99,0.379999999999999,0.00999999999999801,21.98,0.40000000000000213
22.39,0.40000000000000213,0.0,22.39,0.41000000000000014
22.79,0.3999999999999986,0.00999999999999801,22.78,0.39000000000000057
23.19,0.40000000000000213,0.0,23.19,0.41000000000000014
23.59,0.3999999999999986,0.010000000000001563,23.58,0.389999999999997
23.98,0.39000000000000057,-0.00999999999999801,23.99,0.41000000000000014
,,,24.39,0.40000000000000213
24.82,,0.019999999999999574,24.8,0.41000000000000014
25.21,0.39000000000000057,0.010000000000001563,25.2,0.3999999999999986
25.61,0.3999999999999986,0.00999999999999801,25.6,0.40000000000000213
26.01,0.40000000000000213,0.020000000000003126,25.99,0.389999999999997
