Tap Time,ITI,Asynchornies,Tone Time,IOI
0.54,0.30000000000000004,0.0,0.54,
0.86,0.31999999999999995,,,
1.13,0.2699999999999999,0.009999999999999787,1.12,
1.43,0.30000000000000004,,,
1.72,0.29000000000000004,0.010000000000000009,1.71,
2.0,0.28,-0.009999999999999787,2.01,0.2999999999999998
2.32,0.31999999999999984,0.029999999999999805,2.29,0.28000000000000025
2.61,0.29000000000000004,0.009999999999999787,2.6,0.31000000000000005
2.9,0.29000000000000004,0.009999999999999787,2.89,0.29000000000000004
3.17,0.27,,,
3.48,0.31000000000000005,0.020000000000000018,3.46,
3.77,0.29000000000000004,0.010000000000000231,3.76,0.2999999999999998
4.07,0.30000000000000027,0.03000000000000025,4.04,0.28000000000000025
4.36,0.29000000000000004,0.03000000000000025,4.33,0.29000000000000004
4.65,0.29000000000000004,0.040000000000000036,4.61,0.28000000000000025
4.92,0.2699999999999996,,,
5.22,0.2999999999999998,0.02999999999999936,5.19,
5.51,0.29000000000000004,-0.009999999999999787,5.52,0.3299999999999992
5.81,0.2999999999999998,0.019999999999999574,5.79,0.27000000000000046
,,,6.08,0.29000000000000004
6.39,,0.02999999999999936,6.36,0.28000000000000025
6.66,0.27000000000000046,,,
6.97,0.3099999999999996,0.009999999999999787,6.96,
7.26,0.29000000000000004,,,
7.58,0.3200000000000003,0.040000000000000036,7.54,
7.85,0.2699999999999996,,,
8.15,0.3000000000000007,0.019999999999999574,8.13,
8.45,0.29999999999999893,0.019999999999999574,8.43,0.29999999999999893
8.75,0.3000000000000007,0.02999999999999936,8.72,0.2900000000000009
9.04,0.28999999999999915,,,
9.35,0.3100000000000005,0.02999999999999936,9.32,
9.62,0.2699999999999996,0.0,9.62,0.29999999999999893
9.93,0.3100000000000005,0.02999999999999936,9.9,0.28000000000000114
10.23,0.3000000000000007,-0.019999999999999574,10.25,0.34999999999999964
,,,10.49,0.2400000000000002
10.8,,0.02000000000000135,10.78,0.28999999999999915
11.1,0.29999999999999893,0.03999999999999915,11.06,0.28000000000000114
11.39,0.2900000000000009,0.009999999999999787,11.38,0.3200000000000003
,,,11.66,0.27999999999999936
12.0,,0.05000000000000071,11.95,0.28999999999999915
12.29,0.28999999999999915,0.049999999999998934,12.24,0.2900000000000009
12.56,0.27000000000000135,0.02000000000000135,12.54,0.29999999999999893
12.87,0.3099999999999987,0.049999999999998934,12.82,0.28000000000000114
13.14,0.27000000000000135,0.009999999999999787,13.13,0.3100000000000005
13.45,0.3099999999999987,0.049999999999998934,13.4,0.2699999999999996
13.72,0.27000000000000135,0.009999999999999787,13.71,0.3100000000000005
14.02,0.29999999999999893,0.02999999999999936,13.99,0.27999999999999936
14.31,0.2900000000000009,0.0,14.31,0.3200000000000003
14.6,0.28999999999999915,0.02999999999999936,14.57,0.2599999999999998
14.9,0.3000000000000007,,,
15.18,0.27999999999999936,0.019999999999999574,15.16,
15.49,0.3100000000000005,0.019999999999999574,15.47,0.3100000000000005
15.78,0.28999999999999915,0.03999999999999915,15.74,0.2699999999999996
,,,,
16.36,,0.030000000000001137,16.33,
16.69,0.33000000000000185,0.05000000000000071,16.64,0.3100000000000023
16.95,0.259999999999998,0.029999999999997584,16.92,0.28000000000000114
17.23,0.28000000000000114,-0.00999999999999801,17.24,0.31999999999999673
17.52,0.28999999999999915,0.0,17.52,0.28000000000000114
17.82,0.3000000000000007,,,
18.13,0.3099999999999987,0.03999999999999915,18.09,
18.43,0.3000000000000007,0.030000000000001137,18.4,0.3099999999999987
18.72,0.28999999999999915,0.03999999999999915,18.68,0.28000000000000114
19.0,0.28000000000000114,0.010000000000001563,18.99,0.3099999999999987
19.29,0.28999999999999915,0.019999999999999574,19.27,0.28000000000000114
19.58,0.28999999999999915,0.00999999999999801,19.57,0.3000000000000007
19.87,0.2900000000000027,0.019999999999999574,19.85,0.28000000000000114
20.16,0.28999999999999915,0.0,20.16,0.3099999999999987
20.46,0.3000000000000007,0.030000000000001137,20.43,0.2699999999999996
20.74,0.2799999999999976,0.00999999999999801,20.73,0.3000000000000007
21.03,0.2900000000000027,0.010000000000001563,21.02,0.28999999999999915
21.33,0.29999999999999716,0.019999999999999574,21.31,0.28999999999999915
21.64,0.3100000000000023,0.03999999999999915,21.6,0.2900000000000027
21.93,0.28999999999999915,,,
22.21,0.28000000000000114,0.010000000000001563,22.2,
22.5,0.28999999999999915,,,
22.81,0.3099999999999987,0.019999999999999574,22.79,
23.09,0.28000000000000114,0.010000000000001563,23.08,0.28999999999999915
23.4,0.3099999999999987,0.029999999999997584,23.37,0.2900000000000027
23.69,0.2900000000000027,,,
23.96,0.2699999999999996,0.010000000000001563,23.95,
24.25,0.28999999999999915,-0.030000000000001137,24.28,0.33000000000000185
24.57,0.3200000000000003,0.019999999999999574,24.55,0.2699999999999996
24.87,0.3000000000000007,,,
25.15,0.2799999999999976,0.00999999999999801,25.14,
25.46,0.3100000000000023,-0.05000000000000071,25.51,0.370000000000001
