Tap Time,ITI,Asynchornies,Tone Time,IOI
0.62,0.36,0.050000000000000044,0.57,0.30999999999999994
,,,0.86,0.29000000000000004
1.21,,0.050000000000000044,1.16,0.29999999999999993
1.51,0.30000000000000004,0.050000000000000044,1.46,0.30000000000000004
1.82,0.31000000000000005,0.06000000000000005,1.76,0.30000000000000004
2.02,0.19999999999999996,-0.040000000000000036,2.06,0.30000000000000004
2.32,0.2999999999999998,-0.040000000000000036,2.36,0.2999999999999998
2.71,0.3900000000000001,0.06000000000000005,2.65,0.29000000000000004
2.92,0.20999999999999996,-0.03000000000000025,2.95,0.30000000000000027
,,,3.24,0.29000000000000004
3.59,,0.04999999999999982,3.54,0.2999999999999998
3.9,0.31000000000000005,0.06000000000000005,3.84,0.2999999999999998
,,,4.12,0.28000000000000025
,,,4.42,0.2999999999999998
4.77,,0.03999999999999915,4.73,0.3100000000000005
5.07,0.3000000000000007,0.05000000000000071,5.02,0.28999999999999915
5.38,0.3099999999999996,0.04999999999999982,5.33,0.3100000000000005
5.69,0.3100000000000005,0.0600000000000005,5.63,0.2999999999999998
6.0,0.3099999999999996,0.07000000000000028,5.93,0.2999999999999998
6.29,0.29000000000000004,0.05999999999999961,6.23,0.3000000000000007
6.55,0.2599999999999998,0.019999999999999574,6.53,0.2999999999999998
6.89,0.33999999999999986,0.0699999999999994,6.82,0.29000000000000004
,,,7.12,0.2999999999999998
7.42,,0.0,7.42,0.2999999999999998
7.78,0.3600000000000003,0.0600000000000005,7.72,0.2999999999999998
,,,8.02,0.2999999999999998
,,,8.32,0.3000000000000007
8.66,,0.05000000000000071,8.61,0.28999999999999915
8.97,0.3100000000000005,0.05000000000000071,8.92,0.3100000000000005
,,,9.22,0.3000000000000007
9.57,,0.05000000000000071,9.52,0.29999999999999893
,,,9.82,0.3000000000000007
10.18,,0.0600000000000005,10.12,0.29999999999999893
10.48,0.3000000000000007,0.05000000000000071,10.43,0.3100000000000005
10.78,0.29999999999999893,0.05999999999999872,10.72,0.2900000000000009
11.09,0.3100000000000005,0.07000000000000028,11.02,0.29999999999999893
11.36,0.2699999999999996,0.02999999999999936,11.33,0.3100000000000005
11.66,0.3000000000000007,0.02999999999999936,11.63,0.3000000000000007
11.97,0.3100000000000005,0.05000000000000071,11.92,0.28999999999999915
12.19,0.21999999999999886,-0.040000000000000924,12.23,0.3100000000000005
,,,12.53,0.29999999999999893
,,,12.82,0.2900000000000009
13.18,,0.049999999999998934,13.13,0.3100000000000005
13.47,0.2900000000000009,0.040000000000000924,13.43,0.29999999999999893
13.76,0.28999999999999915,0.02999999999999936,13.73,0.3000000000000007
,,,14.03,0.29999999999999893
14.38,,0.040000000000000924,14.34,0.3100000000000005
14.69,0.3099999999999987,0.03999999999999915,14.65,0.3100000000000005
14.98,0.2900000000000009,0.030000000000001137,14.95,0.29999999999999893
15.29,0.3099999999999987,0.049999999999998934,15.24,0.2900000000000009
15.57,0.28000000000000114,0.040000000000000924,15.53,0.28999999999999915
15.88,0.3100000000000005,0.0600000000000005,15.82,0.2900000000000009
16.16,0.27999999999999936,0.030000000000001137,16.13,0.3099999999999987
,,,16.44,0.3100000000000023
16.75,,0.010000000000001563,16.74,0.29999999999999716
,,,17.05,0.3100000000000023
17.39,,0.060000000000002274,17.33,0.2799999999999976
17.66,0.2699999999999996,0.030000000000001137,17.63,0.3000000000000007
,,,17.92,0.2900000000000027
,,,18.22,0.29999999999999716
18.57,,0.08000000000000185,18.49,0.2699999999999996
,,,18.81,0.3200000000000003
19.14,,0.03999999999999915,19.1,0.2900000000000027
,,,19.41,0.3099999999999987
19.74,,0.029999999999997584,19.71,0.3000000000000007
20.05,0.3100000000000023,0.030000000000001137,20.02,0.3099999999999987
,,,20.31,0.28999999999999915
,,,20.62,0.3100000000000023
20.95,,0.029999999999997584,20.92,0.3000000000000007
21.24,0.28999999999999915,0.019999999999999574,21.22,0.29999999999999716
21.57,0.33000000000000185,0.03999999999999915,21.53,0.3100000000000023
21.87,0.3000000000000007,0.0400000000000027,21.83,0.29999999999999716
22.17,0.3000000000000007,0.0400000000000027,22.13,0.3000000000000007
22.48,0.3099999999999987,0.05000000000000071,22.43,0.3000000000000007
22.7,0.21999999999999886,-0.030000000000001137,22.73,0.3000000000000007
22.99,0.28999999999999915,-0.0400000000000027,23.03,0.3000000000000007
23.33,0.33999999999999986,0.029999999999997584,23.3,0.2699999999999996
,,,23.62,0.3200000000000003
23.87,,-0.03999999999999915,23.91,0.28999999999999915
24.2,0.3299999999999983,0.0,24.2,0.28999999999999915
24.55,0.3500000000000014,0.05000000000000071,24.5,0.3000000000000007
24.87,0.3200000000000003,0.060000000000002274,24.81,0.3099999999999987
25.15,0.2799999999999976,0.04999999999999716,25.1,0.2900000000000027
25.44,0.2900000000000027,0.019999999999999574,25.42,0.3200000000000003
25.73,0.28999999999999915,0.019999999999999574,25.71,0.28999999999999915
,,,26.0,0.28999999999999915
26.33,,0.029999999999997584,26.3,0.3000000000000007
26.64,0.3100000000000023,0.03999999999999915,26.6,0.3000000000000007
26.96,0.3200000000000003,0.060000000000002274,26.9,0.29999999999999716
27.16,0.1999999999999993,-0.03999999999999915,27.2,0.3000000000000007
,,,27.51,0.3100000000000023
,,,27.8,0.28999999999999915
28.15,,0.03999999999999915,28.11,0.3099999999999987
,,,28.41,0.3000000000000007
28.75,,0.03999999999999915,28.71,0.3000000000000007
,,,29.01,0.3000000000000007
,,,29.31,0.29999999999999716
,,,29.62,0.3100000000000023
29.98,,0.05999999999999872,29.92,0.3000000000000007
30.21,0.23000000000000043,-0.029999999999997584,30.24,0.31999999999999673
30.56,0.34999999999999787,0.019999999999999574,30.54,0.3000000000000007
30.9,0.33999999999999986,0.05999999999999872,30.84,0.3000000000000007
,,,31.14,0.3000000000000007
,,,31.45,0.3099999999999987
,,,31.76,0.3100000000000023
32.12,,0.05999999999999517,32.06,0.3000000000000007
32.42,0.30000000000000426,0.060000000000002274,32.36,0.29999999999999716
32.72,0.29999999999999716,0.04999999999999716,32.67,0.3100000000000023
,,,32.97,0.29999999999999716
,,,33.27,0.30000000000000426
33.56,,-0.030000000000001137,33.59,0.3200000000000003
33.94,0.37999999999999545,0.05999999999999517,33.88,0.28999999999999915
34.15,0.21000000000000085,-0.030000000000001137,34.18,0.29999999999999716
,,,34.48,0.29999999999999716
34.82,,0.03999999999999915,34.78,0.30000000000000426
35.13,0.3100000000000023,0.03999999999999915,35.09,0.3100000000000023
35.43,0.29999999999999716,0.030000000000001137,35.4,0.30999999999999517
,,,35.7,0.30000000000000426
36.03,,0.020000000000003126,36.01,0.30999999999999517
36.35,0.3200000000000003,0.03999999999999915,36.31,0.30000000000000426
36.67,0.3200000000000003,0.060000000000002274,36.61,0.29999999999999716
36.98,0.30999999999999517,0.04999999999999716,36.93,0.3200000000000003
37.27,0.29000000000000625,0.030000000000001137,37.24,0.3100000000000023
,,,37.53,0.28999999999999915
37.76,,-0.030000000000001137,37.79,0.259999999999998
,,,38.1,0.3100000000000023
,,,38.41,0.30999999999999517
,,,38.7,0.29000000000000625
39.06,,0.05000000000000426,39.01,0.30999999999999517
,,,39.31,0.30000000000000426
39.6,,-0.030000000000001137,39.63,0.3200000000000003
,,,39.92,0.28999999999999915
40.3,,0.07000000000000028,40.23,0.30999999999999517
,,,40.54,0.3100000000000023
40.86,,0.0,40.86,0.3200000000000003
41.18,0.3200000000000003,0.030000000000001137,41.15,0.28999999999999915
41.52,0.3400000000000034,0.060000000000002274,41.46,0.3100000000000023
,,,41.76,0.29999999999999716
42.11,,0.04999999999999716,42.06,0.30000000000000426
42.4,0.28999999999999915,0.03999999999999915,42.36,0.29999999999999716
,,,42.65,0.28999999999999915
43.02,,0.060000000000002274,42.96,0.3100000000000023
43.31,0.28999999999999915,0.05000000000000426,43.26,0.29999999999999716
43.55,0.23999999999999488,-0.020000000000003126,43.57,0.3100000000000023
,,,43.88,0.3100000000000023
44.21,,0.030000000000001137,44.18,0.29999999999999716
44.53,0.3200000000000003,0.03999999999999915,44.49,0.3100000000000023
44.84,0.3100000000000023,0.05000000000000426,44.79,0.29999999999999716
,,,45.08,0.28999999999999915
,,,45.39,0.3100000000000023
,,,45.68,0.28999999999999915
46.04,,0.060000000000002274,45.98,0.29999999999999716
,,,46.29,0.3100000000000023
,,,46.59,0.30000000000000426
,,,46.89,0.29999999999999716
,,,47.19,0.29999999999999716
47.46,,-0.01999999999999602,47.48,0.28999999999999915
,,,47.79,0.3100000000000023
,,,48.1,0.3100000000000023
