Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.53,0.4
,,,0.87,0.33999999999999997
,,,1.25,0.38
1.7,,0.050000000000000044,1.65,0.3999999999999999
2.0,0.30000000000000004,-0.020000000000000018,2.02,0.3700000000000001
2.38,0.3799999999999999,-0.040000000000000036,2.42,0.3999999999999999
2.78,0.3999999999999999,-0.020000000000000018,2.8,0.3799999999999999
3.16,0.38000000000000034,-0.009999999999999787,3.17,0.3700000000000001
3.51,0.34999999999999964,-0.040000000000000036,3.55,0.3799999999999999
3.94,0.43000000000000016,0.0,3.94,0.3900000000000001
4.3,0.3599999999999999,0.0,4.3,0.3599999999999999
,,,4.66,0.3600000000000003
5.07,,0.03000000000000025,5.04,0.3799999999999999
5.44,0.3700000000000001,0.03000000000000025,5.41,0.3700000000000001
5.83,0.3899999999999997,0.040000000000000036,5.79,0.3799999999999999
,,,6.17,0.3799999999999999
,,,6.55,0.3799999999999999
,,,6.92,0.3700000000000001
7.36,,0.08000000000000007,7.28,0.3600000000000003
7.75,0.3899999999999997,0.08000000000000007,7.67,0.3899999999999997
8.14,0.39000000000000057,0.10000000000000142,8.04,0.3699999999999992
8.48,0.33999999999999986,0.0600000000000005,8.42,0.3800000000000008
8.9,0.41999999999999993,0.08000000000000007,8.82,0.40000000000000036
9.24,0.33999999999999986,0.05000000000000071,9.19,0.3699999999999992
,,,9.55,0.3600000000000012
9.95,,0.03999999999999915,9.91,0.35999999999999943
10.29,0.33999999999999986,-0.010000000000001563,10.3,0.39000000000000057
,,,10.69,0.3899999999999988
11.07,,0.009999999999999787,11.06,0.370000000000001
11.49,0.41999999999999993,0.08999999999999986,11.4,0.33999999999999986
,,,11.78,0.379999999999999
12.13,,-0.03999999999999915,12.17,0.39000000000000057
12.56,0.4299999999999997,0.02000000000000135,12.54,0.3699999999999992
12.91,0.34999999999999964,0.040000000000000924,12.87,0.33000000000000007
13.29,0.379999999999999,0.019999999999999574,13.27,0.40000000000000036
,,,13.64,0.370000000000001
14.03,,0.019999999999999574,14.01,0.3699999999999992
,,,14.37,0.35999999999999943
14.76,,0.03999999999999915,14.72,0.3500000000000014
15.12,0.35999999999999943,-0.010000000000001563,15.13,0.41000000000000014
,,,15.47,0.33999999999999986
,,,15.83,0.35999999999999943
16.22,,0.00999999999999801,16.21,0.3800000000000008
16.52,0.3000000000000007,-0.05000000000000071,16.57,0.35999999999999943
,,,16.95,0.379999999999999
,,,17.32,0.370000000000001
17.72,,0.029999999999997584,17.69,0.370000000000001
,,,18.06,0.36999999999999744
,,,18.44,0.38000000000000256
18.85,,0.030000000000001137,18.82,0.379999999999999
,,,19.2,0.379999999999999
19.56,,0.0,19.56,0.35999999999999943
19.94,0.38000000000000256,0.0,19.94,0.38000000000000256
20.3,0.35999999999999943,0.010000000000001563,20.29,0.34999999999999787
