Tap Time,ITI,Asynchornies,Tone Time,IOI
0.38,0.3,,,
0.71,0.32999999999999996,0.0,0.71,
1.03,0.32000000000000006,,,
1.29,0.26,-0.07000000000000006,1.36,
,,,,
1.92,,0.010000000000000009,1.91,
2.26,0.33999999999999986,,,
,,,,
,,,,
,,,,
,,,3.34,
3.68,,,,
3.99,0.31000000000000005,0.010000000000000231,3.98,
4.33,0.33999999999999986,,,
4.61,0.28000000000000025,0.040000000000000036,4.57,
4.87,0.2599999999999998,,,
5.18,0.3099999999999996,,,
5.51,0.33000000000000007,,,
5.73,0.22000000000000064,,,
,,,,
,,,,
,,,6.62,
6.93,,,,
7.27,0.33999999999999986,0.019999999999999574,7.25,
7.61,0.34000000000000075,,,
7.91,0.2999999999999998,0.0,7.91,
8.24,0.33000000000000007,,,
,,,8.55,
8.79,,,,
9.12,0.33000000000000007,,,
9.44,0.3200000000000003,,,
,,,,
,,,,
10.21,,,,
10.54,0.3299999999999983,,,
10.83,0.2900000000000009,,,
11.15,0.3200000000000003,,,
,,,,
11.78,,-0.02000000000000135,11.8,
12.12,0.33999999999999986,0.019999999999999574,12.1,0.29999999999999893
12.39,0.27000000000000135,-0.03999999999999915,12.43,0.33000000000000007
12.76,0.3699999999999992,,,
13.09,0.33000000000000007,0.02999999999999936,13.06,
,,,,
,,,,
,,,,
,,,14.23,
14.44,,,,
,,,,
,,,,
,,,,
,,,15.67,
,,,,
16.31,,0.0,16.31,
,,,,
16.97,,0.019999999999999574,16.95,
17.29,0.3200000000000003,0.03999999999999915,17.25,0.3000000000000007
,,,17.55,0.3000000000000007
17.91,,,,
18.25,0.33999999999999986,0.030000000000001137,18.22,
18.56,0.3099999999999987,,,
18.79,0.23000000000000043,-0.060000000000002274,18.85,
19.09,0.3000000000000007,,,
19.42,0.33000000000000185,-0.06999999999999673,19.49,
19.7,0.2799999999999976,,,
20.02,0.3200000000000003,-0.019999999999999574,20.04,
,,,20.34,0.3000000000000007
20.56,,-0.08000000000000185,20.64,0.3000000000000007
,,,,
,,,,
,,,,
,,,,
22.07,,0.019999999999999574,22.05,
,,,,
,,,,
,,,,
,,,23.31,
23.57,,,,
,,,,
,,,,
24.55,,0.019999999999999574,24.53,
24.87,0.3200000000000003,,,
25.2,0.3299999999999983,,,
25.51,0.3100000000000023,,,
25.83,0.31999999999999673,0.019999999999999574,25.81,
26.14,0.3100000000000023,0.05000000000000071,26.09,0.28000000000000114
26.46,0.3200000000000003,0.08999999999999986,26.37,0.28000000000000114
,,,26.77,0.3999999999999986
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,29.04,
29.37,,,,
29.75,0.379999999999999,0.08999999999999986,29.66,
,,,,
30.32,,0.03999999999999915,30.28,
,,,,
30.91,,-0.019999999999999574,30.93,
31.24,0.3299999999999983,0.029999999999997584,31.21,0.28000000000000114
31.54,0.3000000000000007,0.019999999999999574,31.52,0.3099999999999987
31.88,0.33999999999999986,,,
32.16,0.2799999999999976,0.01999999999999602,32.14,
32.5,0.3400000000000034,0.04999999999999716,32.45,0.3100000000000023
32.78,0.28000000000000114,0.020000000000003126,32.76,0.30999999999999517
33.09,0.3100000000000023,,,
33.4,0.30999999999999517,0.01999999999999602,33.38,
33.71,0.3100000000000023,,,
34.04,0.3299999999999983,0.0,34.04,
,,,,
34.67,,,,
,,,,
35.32,,0.04999999999999716,35.27,
,,,,
,,,35.93,
36.25,,,,
,,,36.49,
,,,,
37.2,,0.04000000000000625,37.16,
,,,,
,,,37.77,
,,,,
,,,38.42,
38.67,,,,
38.97,0.29999999999999716,0.00999999999999801,38.96,
39.28,0.3100000000000023,,,
39.59,0.3100000000000023,,,
,,,,
,,,,
,,,,
,,,,
