Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.5,0.33999999999999997
,,,,
,,,,
1.49,,-0.030000000000000027,1.52,
,,,,
2.17,,0.020000000000000018,2.15,
,,,2.52,0.3700000000000001
2.9,,,,
,,,,
,,,,
,,,,
4.29,,0.0,4.29,
,,,,
,,,4.94,
,,,,
5.64,,,,
6.01,0.3700000000000001,,,
6.36,0.35000000000000053,0.010000000000000675,6.35,
6.7,0.33999999999999986,-0.019999999999999574,6.72,0.3700000000000001
7.05,0.34999999999999964,,,
7.38,0.33000000000000007,,,
7.72,0.33999999999999986,,,
,,,8.07,
8.44,,,,
8.76,0.3200000000000003,0.019999999999999574,8.74,
9.11,0.34999999999999964,,,
9.47,0.3600000000000012,0.02000000000000135,9.45,
9.79,0.3199999999999985,-0.02000000000000135,9.81,0.3600000000000012
10.15,0.3600000000000012,0.009999999999999787,10.14,0.33000000000000007
10.51,0.35999999999999943,,,
10.88,0.370000000000001,,,
11.24,0.35999999999999943,0.07000000000000028,11.17,
,,,11.53,0.35999999999999943
,,,,
,,,12.28,
12.54,,-0.010000000000001563,12.55,0.27000000000000135
,,,12.97,0.41999999999999993
13.24,,,,
13.64,0.40000000000000036,,,
13.93,0.28999999999999915,-0.009999999999999787,13.94,
14.35,0.41999999999999993,0.07000000000000028,14.28,0.33999999999999986
14.59,0.2400000000000002,,,
14.98,0.39000000000000057,0.030000000000001137,14.95,
15.32,0.33999999999999986,,,
,,,,
15.99,,,,
,,,16.36,
16.71,,0.019999999999999574,16.69,0.33000000000000185
17.01,0.3000000000000007,,,
17.32,0.3099999999999987,-0.05000000000000071,17.37,
17.68,0.35999999999999943,-0.019999999999999574,17.7,0.3299999999999983
17.99,0.3099999999999987,,,
18.41,0.4200000000000017,0.05999999999999872,18.35,
18.73,0.3200000000000003,0.05999999999999872,18.67,0.3200000000000003
,,,,
19.37,,,,
19.74,0.36999999999999744,,,
20.1,0.360000000000003,0.010000000000001563,20.09,
20.51,0.41000000000000014,0.07000000000000028,20.44,0.3500000000000014
,,,,
21.1,,-0.07000000000000028,21.17,
21.45,0.34999999999999787,0.0,21.45,0.2799999999999976
21.84,0.39000000000000057,0.0,21.84,0.39000000000000057
,,,,
22.44,,,,
,,,22.79,
23.09,,0.0,23.09,0.3000000000000007
23.47,0.379999999999999,,,
23.75,0.28000000000000114,0.0,23.75,
24.13,0.379999999999999,-0.030000000000001137,24.16,0.41000000000000014
,,,,
24.74,,0.00999999999999801,24.73,
25.09,0.3500000000000014,-0.03999999999999915,25.13,0.3999999999999986
25.42,0.33000000000000185,0.020000000000003126,25.4,0.2699999999999996
25.74,0.31999999999999673,0.00999999999999801,25.73,0.33000000000000185
26.08,0.33999999999999986,,,
,,,26.4,
26.78,,,,
27.1,0.3200000000000003,-0.019999999999999574,27.12,
27.43,0.3299999999999983,,,
27.8,0.370000000000001,,,
28.14,0.33999999999999986,,,
28.45,0.3099999999999987,-0.019999999999999574,28.47,
28.8,0.3500000000000014,,,
29.18,0.379999999999999,,,
,,,29.57,
29.92,,0.030000000000001137,29.89,0.3200000000000003
,,,30.22,0.3299999999999983
30.57,,0.010000000000001563,30.56,0.33999999999999986
30.92,0.3500000000000014,0.0400000000000027,30.88,0.3200000000000003
,,,,
31.59,,0.019999999999999574,31.57,
,,,31.96,0.39000000000000057
32.28,,,,
,,,,
,,,32.97,
33.27,,-0.01999999999999602,33.29,0.3200000000000003
,,,,
33.97,,0.030000000000001137,33.94,
34.33,0.35999999999999943,,,
,,,,
34.96,,0.07000000000000028,34.89,
35.26,0.29999999999999716,,,
35.62,0.35999999999999943,,,
35.93,0.3100000000000023,,,
36.27,0.3400000000000034,,,
,,,,
36.95,,,,
37.29,0.3399999999999963,,,
37.62,0.3299999999999983,,,
,,,,
,,,,
,,,,
39.0,,,,
39.34,0.3400000000000034,,,
,,,39.67,
40.0,,0.0,40.0,0.3299999999999983
40.35,0.3500000000000014,0.0,40.35,0.3500000000000014
,,,40.62,0.269999999999996
41.02,,-0.00999999999999801,41.03,0.4100000000000037
41.33,0.30999999999999517,,,
,,,,
42.01,,-0.010000000000005116,42.02,
42.36,0.3500000000000014,,,
,,,,
42.99,,,,
43.3,0.30999999999999517,-0.04000000000000625,43.34,
43.63,0.3300000000000054,-0.03999999999999915,43.67,0.3299999999999983
,,,,
44.36,,,,
44.7,0.3400000000000034,0.05000000000000426,44.65,
,,,44.99,0.3400000000000034
,,,45.31,0.3200000000000003
45.68,,0.020000000000003126,45.66,0.3499999999999943
46.0,0.3200000000000003,-0.020000000000003126,46.02,0.36000000000000654
,,,46.33,0.30999999999999517
,,,46.74,0.4100000000000037
,,,,
47.32,,,,
47.66,0.3399999999999963,-0.020000000000003126,47.68,
,,,,
,,,,
,,,48.71,
49.04,,,,
49.35,0.3100000000000023,0.03999999999999915,49.31,
,,,,
,,,,
50.43,,,,
50.76,0.3299999999999983,0.01999999999999602,50.74,
51.08,0.3200000000000003,0.03999999999999915,51.04,0.29999999999999716
,,,,
51.74,,0.020000000000003126,51.72,
,,,,
52.34,,0.0,52.34,
,,,52.72,0.37999999999999545
53.08,,0.04999999999999716,53.03,0.3100000000000023
53.39,0.3100000000000023,,,
53.8,0.4099999999999966,,,
54.11,0.3100000000000023,,,
,,,,
,,,,
,,,55.07,
,,,55.41,0.3399999999999963
,,,,
,,,,
56.37,,,,
,,,56.7,
,,,57.02,0.3200000000000003
57.37,,0.00999999999999801,57.36,0.3399999999999963
,,,,
58.04,,,,
,,,58.34,
58.74,,0.060000000000002274,58.68,0.3399999999999963
,,,59.01,0.3299999999999983
59.4,,0.04999999999999716,59.35,0.3400000000000034
59.75,0.3500000000000014,0.060000000000002274,59.69,0.3399999999999963
60.02,0.2700000000000031,0.0,60.02,0.3300000000000054
60.4,0.37999999999999545,0.04999999999999716,60.35,0.3299999999999983
60.69,0.28999999999999915,0.00999999999999801,60.68,0.3299999999999983
61.05,0.35999999999999943,0.01999999999999602,61.03,0.3500000000000014
61.39,0.3400000000000034,0.060000000000002274,61.33,0.29999999999999716
61.73,0.3399999999999963,0.07000000000000028,61.66,0.3299999999999983
62.03,0.30000000000000426,0.020000000000003126,62.01,0.3500000000000014
62.35,0.3200000000000003,,,
,,,,
63.02,,0.0,63.02,
63.37,0.3499999999999943,0.03999999999999915,63.33,0.30999999999999517
63.73,0.35999999999999943,0.09999999999999432,63.63,0.30000000000000426
,,,64.0,0.36999999999999744
64.38,,,,
64.63,0.25,-0.010000000000005116,64.64,
,,,65.02,0.37999999999999545
,,,65.36,0.3400000000000034
,,,65.69,0.3299999999999983
,,,66.02,0.3299999999999983
,,,,
,,,66.64,
,,,67.08,0.4399999999999977
,,,,
67.71,,,,
68.01,0.30000000000001137,,,
68.35,0.3399999999999892,-0.04000000000000625,68.39,
,,,68.72,0.3299999999999983
69.06,,0.010000000000005116,69.05,0.3299999999999983
,,,,
,,,,
,,,70.11,
70.54,,,,
,,,,
71.18,,-0.03999999999999204,71.22,
71.52,0.3399999999999892,-0.020000000000010232,71.54,0.3200000000000074
,,,,
72.17,,,,
72.52,0.3499999999999943,-0.030000000000001137,72.55,
,,,72.86,0.3100000000000023
73.14,,-0.04000000000000625,73.18,0.3200000000000074
73.44,0.29999999999999716,-0.01999999999999602,73.46,0.2799999999999869
73.83,0.39000000000000057,0.04999999999999716,73.78,0.3200000000000074
74.13,0.29999999999999716,,,
74.48,0.3500000000000085,0.030000000000001137,74.45,
74.83,0.3499999999999943,0.030000000000001137,74.8,0.3499999999999943
75.12,0.29000000000000625,0.020000000000010232,75.1,0.29999999999999716
75.42,0.29999999999999716,-0.010000000000005116,75.43,0.3300000000000125
75.72,0.29999999999999716,-0.01999999999999602,75.74,0.30999999999998806
,,,76.08,0.3400000000000034
76.39,,0.010000000000005116,76.38,0.29999999999999716
76.7,0.3100000000000023,,,
