Tap Time,ITI,Asynchornies,Tone Time,IOI
0.72,0.42,0.039999999999999925,0.68,0.39000000000000007
1.13,0.4099999999999999,0.04999999999999982,1.08,0.4
,,,1.46,0.3799999999999999
1.9,,0.04999999999999982,1.85,0.3900000000000001
2.26,0.3599999999999999,0.029999999999999805,2.23,0.3799999999999999
2.66,0.40000000000000036,0.020000000000000018,2.64,0.41000000000000014
,,,3.03,0.3899999999999997
3.45,,0.040000000000000036,3.41,0.38000000000000034
3.83,0.3799999999999999,0.020000000000000018,3.81,0.3999999999999999
,,,4.21,0.3999999999999999
,,,4.59,0.3799999999999999
4.96,,-0.03000000000000025,4.99,0.40000000000000036
5.41,0.4500000000000002,0.040000000000000036,5.37,0.3799999999999999
5.74,0.33000000000000007,-0.02999999999999936,5.77,0.39999999999999947
6.12,0.3799999999999999,-0.03000000000000025,6.15,0.3800000000000008
,,,6.55,0.39999999999999947
,,,6.91,0.3600000000000003
7.34,,0.040000000000000036,7.3,0.3899999999999997
,,,7.69,0.39000000000000057
8.08,,-0.009999999999999787,8.09,0.39999999999999947
8.52,0.4399999999999995,0.049999999999998934,8.47,0.3800000000000008
8.91,0.39000000000000057,0.02999999999999936,8.88,0.41000000000000014
9.26,0.34999999999999964,0.0,9.26,0.379999999999999
9.72,0.46000000000000085,0.08000000000000007,9.64,0.3800000000000008
10.0,0.27999999999999936,-0.02999999999999936,10.03,0.3899999999999988
,,,10.41,0.3800000000000008
10.78,,-0.009999999999999787,10.79,0.379999999999999
11.16,0.3800000000000008,-0.019999999999999574,11.18,0.39000000000000057
,,,11.57,0.39000000000000057
11.93,,-0.040000000000000924,11.97,0.40000000000000036
12.35,0.41999999999999993,0.0,12.35,0.379999999999999
12.77,0.41999999999999993,0.02999999999999936,12.74,0.39000000000000057
13.14,0.370000000000001,0.02000000000000135,13.12,0.379999999999999
,,,13.52,0.40000000000000036
,,,13.9,0.3800000000000008
14.37,,0.08999999999999986,14.28,0.379999999999999
14.71,0.34000000000000163,0.040000000000000924,14.67,0.39000000000000057
15.13,0.41999999999999993,0.07000000000000028,15.06,0.39000000000000057
15.52,0.3899999999999988,0.08000000000000007,15.44,0.379999999999999
15.9,0.3800000000000008,0.07000000000000028,15.83,0.39000000000000057
16.3,0.40000000000000036,0.08999999999999986,16.21,0.3800000000000008
16.64,0.33999999999999986,0.03999999999999915,16.6,0.39000000000000057
17.07,0.4299999999999997,0.08000000000000185,16.99,0.389999999999997
17.44,0.370000000000001,0.060000000000002274,17.38,0.39000000000000057
17.85,0.41000000000000014,0.08999999999999986,17.76,0.38000000000000256
,,,18.16,0.3999999999999986
,,,18.55,0.39000000000000057
18.99,,0.05999999999999872,18.93,0.379999999999999
,,,19.33,0.3999999999999986
,,,19.73,0.40000000000000213
20.14,,0.030000000000001137,20.11,0.379999999999999
20.56,0.41999999999999815,0.04999999999999716,20.51,0.40000000000000213
,,,20.89,0.379999999999999
21.31,,0.04999999999999716,21.26,0.370000000000001
