Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
0.9,,0.010000000000000009,0.89,
1.22,0.31999999999999995,0.030000000000000027,1.19,0.29999999999999993
1.52,0.30000000000000004,0.020000000000000018,1.5,0.31000000000000005
,,,1.79,0.29000000000000004
,,,2.1,0.31000000000000005
2.42,,0.0,2.42,0.31999999999999984
,,,2.73,0.31000000000000005
3.02,,0.0,3.02,0.29000000000000004
3.36,0.33999999999999986,0.04999999999999982,3.31,0.29000000000000004
3.67,0.31000000000000005,0.04999999999999982,3.62,0.31000000000000005
3.92,0.25,0.029999999999999805,3.89,0.27
,,,4.23,0.3400000000000003
4.52,,-0.010000000000000675,4.53,0.2999999999999998
,,,4.84,0.3099999999999996
5.13,,-0.009999999999999787,5.14,0.2999999999999998
5.47,0.33999999999999986,,,
5.75,0.28000000000000025,-0.019999999999999574,5.77,
6.04,0.29000000000000004,0.040000000000000036,6.0,0.23000000000000043
6.32,0.28000000000000025,0.010000000000000675,6.31,0.3099999999999996
6.63,0.3099999999999996,0.03000000000000025,6.6,0.29000000000000004
6.92,0.29000000000000004,0.04999999999999982,6.87,0.27000000000000046
,,,7.2,0.33000000000000007
,,,7.51,0.3099999999999996
,,,7.82,0.3100000000000005
8.15,,0.05000000000000071,8.1,0.27999999999999936
8.45,0.29999999999999893,0.049999999999998934,8.4,0.3000000000000007
8.74,0.2900000000000009,0.02999999999999936,8.71,0.3100000000000005
,,,9.02,0.3099999999999987
9.35,,0.02999999999999936,9.32,0.3000000000000007
9.66,0.3100000000000005,0.05000000000000071,9.61,0.28999999999999915
9.93,0.2699999999999996,0.009999999999999787,9.92,0.3100000000000005
10.26,0.33000000000000007,0.019999999999999574,10.24,0.3200000000000003
10.58,0.3200000000000003,0.0600000000000005,10.52,0.27999999999999936
10.88,0.3000000000000007,0.0600000000000005,10.82,0.3000000000000007
,,,11.13,0.3100000000000005
,,,11.4,0.2699999999999996
11.7,,-0.010000000000001563,11.71,0.3100000000000005
,,,12.02,0.3099999999999987
12.35,,0.03999999999999915,12.31,0.2900000000000009
12.64,0.2900000000000009,0.02000000000000135,12.62,0.3099999999999987
12.94,0.29999999999999893,0.009999999999999787,12.93,0.3100000000000005
13.22,0.28000000000000114,0.0,13.22,0.2900000000000009
13.49,0.2699999999999996,-0.019999999999999574,13.51,0.28999999999999915
13.83,0.33999999999999986,0.040000000000000924,13.79,0.27999999999999936
,,,14.11,0.3200000000000003
,,,14.37,0.2599999999999998
14.68,,-0.019999999999999574,14.7,0.33000000000000007
,,,15.02,0.3200000000000003
,,,15.29,0.2699999999999996
15.62,,0.019999999999999574,15.6,0.3100000000000005
15.94,0.3200000000000003,0.03999999999999915,15.9,0.3000000000000007
16.26,0.32000000000000206,0.08000000000000185,16.18,0.27999999999999936
16.49,0.22999999999999687,-0.010000000000001563,16.5,0.3200000000000003
,,,16.82,0.3200000000000003
,,,17.11,0.28999999999999915
17.41,,0.0,17.41,0.3000000000000007
17.67,0.26000000000000156,-0.029999999999997584,17.7,0.28999999999999915
18.0,0.3299999999999983,0.019999999999999574,17.98,0.28000000000000114
,,,18.26,0.28000000000000114
,,,18.58,0.31999999999999673
18.88,,0.0,18.88,0.3000000000000007
,,,19.19,0.3100000000000023
,,,19.46,0.2699999999999996
19.77,,0.00999999999999801,19.76,0.3000000000000007
,,,20.06,0.29999999999999716
20.33,,-0.030000000000001137,20.36,0.3000000000000007
,,,20.63,0.2699999999999996
20.98,,0.05000000000000071,20.93,0.3000000000000007
21.22,0.23999999999999844,0.0,21.22,0.28999999999999915
21.58,0.35999999999999943,0.06999999999999673,21.51,0.2900000000000027
21.85,0.2700000000000031,0.0400000000000027,21.81,0.29999999999999716
22.17,0.3200000000000003,0.060000000000002274,22.11,0.3000000000000007
22.36,0.18999999999999773,-0.030000000000001137,22.39,0.28000000000000114
,,,22.65,0.259999999999998
22.98,,0.010000000000001563,22.97,0.3200000000000003
,,,23.24,0.2699999999999996
,,,23.57,0.33000000000000185
,,,23.88,0.3099999999999987
24.15,,-0.010000000000001563,24.16,0.28000000000000114
24.44,0.2900000000000027,-0.019999999999999574,24.46,0.3000000000000007
24.74,0.29999999999999716,0.029999999999997584,24.71,0.25
25.06,0.3200000000000003,0.019999999999999574,25.04,0.3299999999999983
25.34,0.28000000000000114,0.019999999999999574,25.32,0.28000000000000114
25.65,0.3099999999999987,0.0,25.65,0.3299999999999983
25.92,0.2700000000000031,-0.00999999999999801,25.93,0.28000000000000114
,,,26.23,0.3000000000000007
,,,26.49,0.259999999999998
,,,26.79,0.3000000000000007
27.09,,0.019999999999999574,27.07,0.28000000000000114
,,,27.36,0.28999999999999915
,,,,
27.99,,0.029999999999997584,27.96,
,,,28.25,0.28999999999999915
,,,28.58,0.3299999999999983
28.84,,0.0,28.84,0.26000000000000156
29.15,0.3099999999999987,-0.030000000000001137,29.18,0.33999999999999986
29.45,0.3000000000000007,-0.03999999999999915,29.49,0.3099999999999987
29.79,0.33999999999999986,0.00999999999999801,29.78,0.2900000000000027
30.06,0.2699999999999996,0.019999999999999574,30.04,0.259999999999998
,,,30.37,0.33000000000000185
30.62,,-0.029999999999997584,30.65,0.2799999999999976
,,,30.97,0.3200000000000003
31.22,,-0.030000000000001137,31.25,0.28000000000000114
31.54,0.3200000000000003,0.029999999999997584,31.51,0.26000000000000156
,,,31.81,0.29999999999999716
32.14,,0.03999999999999915,32.1,0.2900000000000027
32.37,0.22999999999999687,-0.020000000000003126,32.39,0.28999999999999915
,,,32.71,0.3200000000000003
33.04,,0.00999999999999801,33.03,0.3200000000000003
33.3,0.259999999999998,0.0,33.3,0.269999999999996
33.55,0.25,-0.030000000000001137,33.58,0.28000000000000114
33.89,0.3400000000000034,0.00999999999999801,33.88,0.30000000000000426
34.17,0.28000000000000114,-0.00999999999999801,34.18,0.29999999999999716
34.46,0.28999999999999915,0.00999999999999801,34.45,0.2700000000000031
34.73,0.269999999999996,-0.030000000000001137,34.76,0.30999999999999517
35.06,0.3300000000000054,-0.00999999999999801,35.07,0.3100000000000023
35.33,0.269999999999996,-0.020000000000003126,35.35,0.28000000000000114
35.62,0.28999999999999915,-0.020000000000003126,35.64,0.28999999999999915
35.94,0.3200000000000003,-0.010000000000005116,35.95,0.3100000000000023
,,,36.24,0.28999999999999915
36.5,,-0.020000000000003126,36.52,0.28000000000000114
36.83,0.3299999999999983,-0.010000000000005116,36.84,0.3200000000000003
37.12,0.28999999999999915,-0.010000000000005116,37.13,0.28999999999999915
,,,37.43,0.29999999999999716
,,,37.71,0.28000000000000114
,,,38.0,0.28999999999999915
38.34,,0.060000000000002274,38.28,0.28000000000000114
38.64,0.29999999999999716,0.04999999999999716,38.59,0.3100000000000023
,,,38.86,0.269999999999996
,,,39.17,0.3100000000000023
39.5,,0.030000000000001137,39.47,0.29999999999999716
39.8,0.29999999999999716,0.00999999999999801,39.79,0.3200000000000003
40.1,0.30000000000000426,0.030000000000001137,40.07,0.28000000000000114
40.38,0.28000000000000114,0.030000000000001137,40.35,0.28000000000000114
40.68,0.29999999999999716,0.030000000000001137,40.65,0.29999999999999716
40.99,0.3100000000000023,0.03999999999999915,40.95,0.30000000000000426
41.26,0.269999999999996,0.05999999999999517,41.2,0.25
,,,41.52,0.3200000000000003
41.83,,0.030000000000001137,41.8,0.27999999999999403
42.11,0.28000000000000114,0.01999999999999602,42.09,0.29000000000000625
42.41,0.29999999999999716,0.01999999999999602,42.39,0.29999999999999716
42.69,0.28000000000000114,0.0,42.69,0.29999999999999716
42.97,0.28000000000000114,0.0,42.97,0.28000000000000114
,,,43.26,0.28999999999999915
43.56,,0.020000000000003126,43.54,0.28000000000000114
43.86,0.29999999999999716,0.03999999999999915,43.82,0.28000000000000114
44.12,0.259999999999998,0.00999999999999801,44.11,0.28999999999999915
44.44,0.3200000000000003,0.05999999999999517,44.38,0.2700000000000031
44.68,0.240000000000002,0.00999999999999801,44.67,0.28999999999999915
44.97,0.28999999999999915,-0.00999999999999801,44.98,0.30999999999999517
,,,45.26,0.28000000000000114
,,,45.57,0.3100000000000023
,,,45.85,0.28000000000000114
,,,46.15,0.29999999999999716
,,,46.45,0.30000000000000426
,,,,
47.07,,0.030000000000001137,47.04,
,,,47.32,0.28000000000000114
47.64,,0.04999999999999716,47.59,0.2700000000000031
,,,47.91,0.3199999999999932
48.22,,0.00999999999999801,48.21,0.30000000000000426
48.49,0.2700000000000031,-0.00999999999999801,48.5,0.28999999999999915
,,,48.77,0.2700000000000031
,,,49.05,0.27999999999999403
,,,49.34,0.29000000000000625
49.65,,0.030000000000001137,49.62,0.27999999999999403
,,,49.94,0.3200000000000003
50.22,,0.00999999999999801,50.21,0.2700000000000031
,,,50.46,0.25
50.78,,0.00999999999999801,50.77,0.3100000000000023
51.06,0.28000000000000114,0.0,51.06,0.28999999999999915
,,,51.36,0.29999999999999716
51.69,,0.030000000000001137,51.66,0.29999999999999716
51.95,0.2600000000000051,0.010000000000005116,51.94,0.28000000000000114
52.22,0.269999999999996,0.0,52.22,0.28000000000000114
52.59,0.37000000000000455,0.060000000000002274,52.53,0.3100000000000023
52.84,0.25,0.04000000000000625,52.8,0.269999999999996
53.14,0.29999999999999716,0.03999999999999915,53.1,0.30000000000000426
53.4,0.259999999999998,-0.00999999999999801,53.41,0.30999999999999517
53.73,0.3299999999999983,0.02999999999999403,53.7,0.29000000000000625
54.04,0.3100000000000023,0.060000000000002274,53.98,0.27999999999999403
54.34,0.30000000000000426,0.04000000000000625,54.3,0.3200000000000003
54.62,0.27999999999999403,0.02999999999999403,54.59,0.29000000000000625
54.88,0.2600000000000051,0.010000000000005116,54.87,0.27999999999999403
55.15,0.269999999999996,0.0,55.15,0.28000000000000114
55.47,0.3200000000000003,0.01999999999999602,55.45,0.30000000000000426
55.75,0.28000000000000114,0.020000000000003126,55.73,0.27999999999999403
56.06,0.3100000000000023,,,
56.32,0.259999999999998,0.0,56.32,
56.63,0.3100000000000023,-0.01999999999999602,56.65,0.3299999999999983
56.92,0.28999999999999915,-0.030000000000001137,56.95,0.30000000000000426
57.24,0.3200000000000003,0.0,57.24,0.28999999999999915
57.54,0.29999999999999716,0.00999999999999801,57.53,0.28999999999999915
57.81,0.2700000000000031,-0.01999999999999602,57.83,0.29999999999999716
58.09,0.28000000000000114,-0.03999999999999915,58.13,0.30000000000000426
,,,58.38,0.25
,,,58.68,0.29999999999999716
58.97,,0.0,58.97,0.28999999999999915
,,,59.27,0.30000000000000426
,,,59.55,0.27999999999999403
59.87,,0.02999999999999403,59.84,0.29000000000000625
60.14,0.2700000000000031,0.00999999999999801,60.13,0.28999999999999915
60.44,0.29999999999999716,0.030000000000001137,60.41,0.27999999999999403
60.71,0.2700000000000031,0.0,60.71,0.30000000000000426
61.0,0.28999999999999915,0.0,61.0,0.28999999999999915
61.31,0.3100000000000023,0.020000000000003126,61.29,0.28999999999999915
61.6,0.28999999999999915,-0.00999999999999801,61.61,0.3200000000000003
61.91,0.30999999999999517,0.01999999999999602,61.89,0.28000000000000114
62.19,0.28000000000000114,0.00999999999999801,62.18,0.28999999999999915
62.47,0.28000000000000114,-0.030000000000001137,62.5,0.3200000000000003
62.77,0.30000000000000426,0.020000000000003126,62.75,0.25
63.08,0.30999999999999517,0.00999999999999801,63.07,0.3200000000000003
63.36,0.28000000000000114,0.0,63.36,0.28999999999999915
63.66,0.29999999999999716,0.0,63.66,0.29999999999999716
,,,63.96,0.30000000000000426
,,,64.24,0.27999999999999403
64.57,,0.03999999999999204,64.53,0.29000000000000625
,,,64.83,0.29999999999999716
65.12,,0.030000000000001137,65.09,0.2600000000000051
65.42,0.29999999999999716,0.01999999999999602,65.4,0.3100000000000023
