Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,,
,,,,
,,,,
,,,,
3.15,,0.04999999999999982,3.1,
,,,,
4.04,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7.17,,0.03000000000000025,7.14,
,,,,
8.1,,-0.009999999999999787,8.11,
,,,,
9.02,,0.0,9.02,
9.48,0.46000000000000085,,,
,,,9.97,
,,,,
10.88,,0.0,10.88,
,,,,
11.82,,0.0,11.82,
,,,,
12.74,,0.009999999999999787,12.73,
13.18,0.4399999999999995,,,
,,,13.66,
14.09,,,,
14.55,0.46000000000000085,-0.019999999999999574,14.57,
15.03,0.47999999999999865,0.009999999999999787,15.02,0.4499999999999993
,,,,
15.92,,-0.040000000000000924,15.96,
,,,,
,,,,
,,,,
,,,,
18.22,,-0.030000000000001137,18.25,
18.73,0.5100000000000016,0.010000000000001563,18.72,0.46999999999999886
,,,,
19.62,,-0.019999999999999574,19.64,
,,,,
,,,20.55,
,,,21.0,0.4499999999999993
21.44,,-0.019999999999999574,21.46,0.46000000000000085
21.96,0.5199999999999996,0.07000000000000028,21.89,0.4299999999999997
22.35,0.39000000000000057,-0.00999999999999801,22.36,0.46999999999999886
22.83,0.4799999999999969,-0.010000000000001563,22.84,0.4800000000000004
,,,23.27,0.4299999999999997
,,,23.71,0.4400000000000013
24.18,,0.00999999999999801,24.17,0.46000000000000085
24.74,0.5599999999999987,0.0799999999999983,24.66,0.48999999999999844
,,,25.09,0.4299999999999997
25.5,,-0.03999999999999915,25.54,0.4499999999999993
,,,26.0,0.46000000000000085
26.45,,0.00999999999999801,26.44,0.4400000000000013
,,,26.92,0.4800000000000004
27.41,,0.03999999999999915,27.37,0.4499999999999993
27.88,0.46999999999999886,0.05000000000000071,27.83,0.4599999999999973
28.31,0.4299999999999997,0.0,28.31,0.4800000000000004
28.77,0.46000000000000085,0.00999999999999801,28.76,0.45000000000000284
29.21,0.4400000000000013,-0.029999999999997584,29.24,0.4799999999999969
29.66,0.4499999999999993,-0.010000000000001563,29.67,0.43000000000000327
30.12,0.46000000000000085,0.019999999999999574,30.1,0.4299999999999997
30.59,0.46999999999999886,-0.010000000000001563,30.6,0.5
,,,31.05,0.4499999999999993
,,,31.51,0.46000000000000085
31.94,,-0.029999999999997584,31.97,0.4599999999999973
,,,32.4,0.4299999999999997
,,,32.85,0.45000000000000284
33.36,,0.00999999999999801,33.35,0.5
33.83,0.46999999999999886,0.04999999999999716,33.78,0.4299999999999997
34.27,0.44000000000000483,0.020000000000003126,34.25,0.46999999999999886
,,,34.71,0.46000000000000085
,,,35.14,0.4299999999999997
,,,35.61,0.46999999999999886
,,,36.06,0.45000000000000284
36.52,,-0.00999999999999801,36.53,0.46999999999999886
36.97,0.44999999999999574,0.0,36.97,0.4399999999999977
,,,,
37.92,,0.03999999999999915,37.88,
38.37,0.44999999999999574,,,
38.91,0.5399999999999991,0.0799999999999983,38.83,
,,,39.28,0.45000000000000284
39.72,,0.01999999999999602,39.7,0.4200000000000017
40.17,0.45000000000000284,0.010000000000005116,40.16,0.45999999999999375
40.6,0.4299999999999997,-0.00999999999999801,40.61,0.45000000000000284
,,,,
