Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.32,0.21000000000000002
,,,0.54,0.22000000000000003
,,,0.77,0.22999999999999998
1.04,,0.06000000000000005,0.98,0.20999999999999996
,,,1.21,0.22999999999999998
,,,1.44,0.22999999999999998
,,,1.66,0.21999999999999997
,,,1.86,0.20000000000000018
2.08,,-0.009999999999999787,2.09,0.22999999999999976
2.31,0.22999999999999998,-0.020000000000000018,2.33,0.2400000000000002
,,,2.54,0.20999999999999996
2.76,,-0.010000000000000231,2.77,0.22999999999999998
2.97,0.2100000000000004,-0.009999999999999787,2.98,0.20999999999999996
3.2,0.22999999999999998,-0.009999999999999787,3.21,0.22999999999999998
,,,3.42,0.20999999999999996
3.62,,-0.040000000000000036,3.66,0.2400000000000002
3.9,0.2799999999999998,0.029999999999999805,3.87,0.20999999999999996
,,,4.09,0.21999999999999975
4.29,,-0.009999999999999787,4.3,0.20999999999999996
4.51,0.21999999999999975,-0.03000000000000025,4.54,0.2400000000000002
,,,4.76,0.21999999999999975
4.94,,-0.040000000000000036,4.98,0.22000000000000064
5.21,0.2699999999999996,0.03000000000000025,5.18,0.1999999999999993
5.37,0.16000000000000014,-0.040000000000000036,5.41,0.23000000000000043
5.65,0.28000000000000025,0.0,5.65,0.2400000000000002
,,,5.84,0.1899999999999995
6.1,,0.04999999999999982,6.05,0.20999999999999996
6.26,0.16000000000000014,-0.03000000000000025,6.29,0.2400000000000002
,,,6.49,0.20000000000000018
6.77,,0.05999999999999961,6.71,0.21999999999999975
6.96,0.1900000000000004,0.03000000000000025,6.93,0.21999999999999975
,,,7.17,0.2400000000000002
,,,7.39,0.21999999999999975
,,,7.62,0.23000000000000043
7.81,,-0.03000000000000025,7.84,0.21999999999999975
,,,8.06,0.22000000000000064
8.31,,0.040000000000000924,8.27,0.20999999999999908
8.51,0.1999999999999993,,,
8.73,0.22000000000000064,0.019999999999999574,8.71,
8.94,0.20999999999999908,-0.009999999999999787,8.95,0.23999999999999844
9.17,0.23000000000000043,-0.019999999999999574,9.19,0.2400000000000002
9.4,0.23000000000000043,0.0,9.4,0.21000000000000085
9.6,0.1999999999999993,0.0,9.6,0.1999999999999993
9.8,0.20000000000000107,-0.019999999999999574,9.82,0.22000000000000064
,,,10.03,0.20999999999999908
10.17,,,,
10.37,0.1999999999999993,,,
10.61,0.2400000000000002,,,
10.8,0.19000000000000128,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,12.08,
,,,,
,,,,
,,,12.73,
,,,12.96,0.23000000000000043
,,,13.19,0.22999999999999865
,,,13.4,0.21000000000000085
,,,13.61,0.20999999999999908
13.84,,-0.019999999999999574,13.86,0.25
14.06,0.22000000000000064,-0.009999999999999787,14.07,0.21000000000000085
14.29,0.22999999999999865,0.0,14.29,0.21999999999999886
14.51,0.22000000000000064,0.0,14.51,0.22000000000000064
14.74,0.23000000000000043,0.009999999999999787,14.73,0.22000000000000064
14.94,0.1999999999999993,-0.030000000000001137,14.97,0.2400000000000002
15.19,0.25,0.0,15.19,0.21999999999999886
15.39,0.20000000000000107,-0.019999999999999574,15.41,0.22000000000000064
,,,15.65,0.2400000000000002
,,,15.88,0.23000000000000043
16.1,,,,
,,,,
,,,,
,,,,
16.94,,,,
17.17,0.23000000000000043,,,
17.4,0.22999999999999687,,,
17.63,0.23000000000000043,-0.010000000000001563,17.64,
17.84,0.21000000000000085,0.0,17.84,0.1999999999999993
18.09,0.25,0.03999999999999915,18.05,0.21000000000000085
18.31,0.21999999999999886,0.03999999999999915,18.27,0.21999999999999886
,,,18.49,0.21999999999999886
18.73,,0.019999999999999574,18.71,0.22000000000000242
,,,,
19.1,,,,
19.31,0.2099999999999973,,,
19.51,0.20000000000000284,,,
19.74,0.22999999999999687,,,
19.97,0.23000000000000043,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
21.38,,-0.010000000000001563,21.39,
,,,21.6,0.21000000000000085
21.82,,0.0,21.82,0.21999999999999886
,,,22.05,0.23000000000000043
22.27,,-0.030000000000001137,22.3,0.25
22.49,0.21999999999999886,-0.020000000000003126,22.51,0.21000000000000085
22.75,0.26000000000000156,0.03999999999999915,22.71,0.1999999999999993
22.97,0.21999999999999886,0.03999999999999915,22.93,0.21999999999999886
23.2,0.23000000000000043,0.0,23.2,0.2699999999999996
23.4,0.1999999999999993,0.029999999999997584,23.37,0.1700000000000017
23.58,0.17999999999999972,-0.030000000000001137,23.61,0.23999999999999844
23.85,0.2700000000000031,0.030000000000001137,23.82,0.21000000000000085
,,,24.05,0.23000000000000043
,,,24.27,0.21999999999999886
24.49,,-0.0400000000000027,24.53,0.26000000000000156
24.7,0.21000000000000085,-0.03999999999999915,24.74,0.2099999999999973
24.94,0.240000000000002,0.0,24.94,0.20000000000000284
,,,25.16,0.21999999999999886
25.36,,-0.030000000000001137,25.39,0.23000000000000043
25.57,0.21000000000000085,-0.03999999999999915,25.61,0.21999999999999886
25.8,0.23000000000000043,-0.05000000000000071,25.85,0.240000000000002
26.01,0.21000000000000085,-0.03999999999999915,26.05,0.1999999999999993
26.27,0.259999999999998,0.030000000000001137,26.24,0.18999999999999773
26.48,0.21000000000000085,-0.019999999999999574,26.5,0.26000000000000156
,,,26.7,0.1999999999999993
26.91,,0.010000000000001563,26.9,0.1999999999999993
27.16,0.25,0.019999999999999574,27.14,0.240000000000002
,,,27.35,0.21000000000000085
27.58,,0.0,27.58,0.22999999999999687
27.79,0.21000000000000085,-0.030000000000001137,27.82,0.240000000000002
,,,28.05,0.23000000000000043
28.24,,-0.020000000000003126,28.26,0.21000000000000085
28.48,0.240000000000002,0.0,28.48,0.21999999999999886
,,,28.67,0.19000000000000128
28.9,,0.0,28.9,0.22999999999999687
29.11,0.21000000000000085,-0.019999999999999574,29.13,0.23000000000000043
,,,29.34,0.21000000000000085
