Tap Time,ITI,Asynchornies,Tone Time,IOI
0.77,0.46,0.040000000000000036,0.73,
1.06,0.29000000000000004,0.0,1.06,0.33000000000000007
1.37,0.31000000000000005,,,
1.86,0.49,0.040000000000000036,1.82,
,,,,
2.57,,0.040000000000000036,2.53,
2.89,0.3200000000000003,-0.009999999999999787,2.9,0.3700000000000001
3.31,0.41999999999999993,,,
3.64,0.33000000000000007,0.0,3.64,
4.01,0.36999999999999966,0.019999999999999574,3.99,0.3500000000000001
4.41,0.40000000000000036,,,
4.73,0.3200000000000003,-0.009999999999999787,4.74,
5.13,0.39999999999999947,,,
5.49,0.3600000000000003,0.03000000000000025,5.46,
5.87,0.3799999999999999,0.04999999999999982,5.82,0.3600000000000003
6.25,0.3799999999999999,,,
6.61,0.3600000000000003,0.040000000000000036,6.57,
6.95,0.33999999999999986,0.020000000000000462,6.93,0.35999999999999943
7.32,0.3700000000000001,,,
7.7,0.3799999999999999,0.020000000000000462,7.68,
8.07,0.3700000000000001,,,
8.44,0.3699999999999992,0.02999999999999936,8.41,
8.76,0.3200000000000003,-0.009999999999999787,8.77,0.35999999999999943
,,,,
9.52,,0.0,9.52,
9.88,0.3600000000000012,0.010000000000001563,9.87,0.34999999999999964
10.25,0.3699999999999992,,,
10.64,0.39000000000000057,0.040000000000000924,10.6,
,,,,
11.31,,-0.02999999999999936,11.34,
11.67,0.35999999999999943,,,
,,,,
,,,12.44,
12.78,,-0.02000000000000135,12.8,0.3600000000000012
13.21,0.4300000000000015,,,
13.51,0.29999999999999893,-0.019999999999999574,13.53,
13.95,0.4399999999999995,,,
14.3,0.3500000000000014,,,
14.65,0.34999999999999964,-0.019999999999999574,14.67,
15.01,0.35999999999999943,-0.009999999999999787,15.02,0.34999999999999964
15.39,0.3800000000000008,0.009999999999999787,15.38,0.3600000000000012
15.69,0.29999999999999893,-0.040000000000000924,15.73,0.34999999999999964
16.03,0.34000000000000163,,,
16.49,0.4599999999999973,0.029999999999997584,16.46,
16.78,0.2900000000000027,-0.03999999999999915,16.82,0.35999999999999943
17.23,0.4499999999999993,0.05000000000000071,17.18,0.35999999999999943
17.58,0.34999999999999787,,,
17.92,0.3400000000000034,0.0,17.92,
,,,,
18.67,,0.020000000000003126,18.65,
19.03,0.35999999999999943,,,
19.39,0.35999999999999943,0.030000000000001137,19.36,
,,,,
,,,,
20.45,,-0.010000000000001563,20.46,
20.84,0.39000000000000057,0.0,20.84,0.379999999999999
21.23,0.39000000000000057,0.010000000000001563,21.22,0.379999999999999
21.63,0.3999999999999986,0.05999999999999872,21.57,0.3500000000000014
,,,,
22.3,,0.0,22.3,
,,,,
,,,23.02,
23.4,,-0.05000000000000071,23.45,0.4299999999999997
,,,23.79,0.33999999999999986
24.13,,0.00999999999999801,24.12,0.33000000000000185
,,,24.5,0.379999999999999
24.87,,,,
,,,25.23,
25.61,,,,
,,,25.95,
26.32,,0.0,26.32,0.370000000000001
26.66,0.33999999999999986,0.0,26.66,0.33999999999999986
27.03,0.370000000000001,0.0,27.03,0.370000000000001
27.42,0.39000000000000057,0.020000000000003126,27.4,0.36999999999999744
27.76,0.33999999999999986,,,
28.13,0.36999999999999744,-0.019999999999999574,28.15,
,,,,
28.84,,-0.010000000000001563,28.85,
29.2,0.35999999999999943,-0.010000000000001563,29.21,0.35999999999999943
29.59,0.39000000000000057,0.019999999999999574,29.57,0.35999999999999943
29.92,0.33000000000000185,-0.00999999999999801,29.93,0.35999999999999943
30.27,0.34999999999999787,-0.030000000000001137,30.3,0.370000000000001
,,,,
31.03,,0.0,31.03,
31.35,0.3200000000000003,,,
31.76,0.41000000000000014,0.010000000000001563,31.75,
32.15,0.389999999999997,,,
32.48,0.3299999999999983,-0.010000000000005116,32.49,
32.9,0.4200000000000017,,,
33.21,0.3100000000000023,0.0,33.21,
33.6,0.39000000000000057,,,
33.95,0.3500000000000014,-0.00999999999999801,33.96,
34.28,0.3299999999999983,,,
34.66,0.37999999999999545,-0.04000000000000625,34.7,
35.06,0.4000000000000057,0.0,35.06,0.35999999999999943
35.45,0.39000000000000057,0.04000000000000625,35.41,0.3499999999999943
35.78,0.3299999999999983,0.0,35.78,0.37000000000000455
,,,,
36.42,,,,
36.8,0.37999999999999545,-0.020000000000003126,36.82,
,,,,
37.51,,,,
37.88,0.37000000000000455,-0.00999999999999801,37.89,
,,,38.26,0.36999999999999744
38.65,,0.0,38.65,0.39000000000000057
39.09,0.44000000000000483,0.11000000000000654,38.98,0.3299999999999983
,,,,
,,,39.73,
,,,40.12,0.39000000000000057
40.47,,-0.00999999999999801,40.48,0.35999999999999943
,,,,
,,,41.19,
,,,,
,,,41.92,
,,,,
,,,42.66,
