Tap Time,ITI,Asynchornies,Tone Time,IOI
0.43,0.24,-0.030000000000000027,0.46,0.31000000000000005
,,,0.75,0.29
1.11,,0.050000000000000044,1.06,0.31000000000000005
1.38,0.2699999999999998,0.029999999999999805,1.35,0.29000000000000004
1.61,0.2300000000000002,-0.029999999999999805,1.64,0.2899999999999998
,,,1.96,0.32000000000000006
2.31,,0.03000000000000025,2.28,0.31999999999999984
2.6,0.29000000000000004,0.03000000000000025,2.57,0.29000000000000004
,,,2.88,0.31000000000000005
3.22,,0.050000000000000266,3.17,0.29000000000000004
3.51,0.2899999999999996,0.03999999999999959,3.47,0.30000000000000027
3.82,0.31000000000000005,0.06000000000000005,3.76,0.2899999999999996
4.09,0.27,0.019999999999999574,4.07,0.3100000000000005
4.38,0.29000000000000004,0.009999999999999787,4.37,0.2999999999999998
4.7,0.3200000000000003,0.0600000000000005,4.64,0.2699999999999996
,,,4.95,0.3100000000000005
5.28,,0.040000000000000036,5.24,0.29000000000000004
5.56,0.27999999999999936,0.0,5.56,0.3199999999999994
,,,5.84,0.28000000000000025
6.19,,0.040000000000000036,6.15,0.3100000000000005
6.48,0.29000000000000004,0.03000000000000025,6.45,0.2999999999999998
,,,6.76,0.3099999999999996
7.1,,0.05999999999999961,7.04,0.28000000000000025
7.36,0.2600000000000007,0.010000000000000675,7.35,0.3099999999999996
7.61,0.25,-0.02999999999999936,7.64,0.29000000000000004
7.94,0.33000000000000007,0.010000000000000675,7.93,0.29000000000000004
8.21,0.27000000000000046,-0.019999999999999574,8.23,0.3000000000000007
8.57,0.35999999999999943,0.05000000000000071,8.52,0.28999999999999915
8.8,0.23000000000000043,-0.02999999999999936,8.83,0.3100000000000005
,,,9.12,0.28999999999999915
9.39,,-0.02999999999999936,9.42,0.3000000000000007
9.73,0.33999999999999986,-0.009999999999999787,9.74,0.3200000000000003
10.01,0.27999999999999936,-0.019999999999999574,10.03,0.28999999999999915
10.3,0.2900000000000009,-0.019999999999999574,10.32,0.2900000000000009
,,,10.61,0.28999999999999915
,,,10.92,0.3100000000000005
11.21,,-0.009999999999999787,11.22,0.3000000000000007
11.5,0.28999999999999915,0.0,11.5,0.27999999999999936
,,,11.81,0.3100000000000005
12.18,,0.08000000000000007,12.1,0.28999999999999915
12.4,0.22000000000000064,-0.009999999999999787,12.41,0.3100000000000005
,,,12.71,0.3000000000000007
12.97,,-0.019999999999999574,12.99,0.27999999999999936
,,,13.3,0.3100000000000005
13.61,,0.009999999999999787,13.6,0.29999999999999893
,,,13.89,0.2900000000000009
,,,14.19,0.29999999999999893
,,,14.5,0.3100000000000005
,,,14.8,0.3000000000000007
