Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.5,
0.8,,0.050000000000000044,0.75,0.25
1.01,0.20999999999999996,0.010000000000000009,1.0,0.25
1.27,0.26,0.020000000000000018,1.25,0.25
1.5,0.22999999999999998,0.010000000000000009,1.49,0.24
1.76,0.26,0.010000000000000009,1.75,0.26
,,,2.01,0.2599999999999998
2.23,,-0.010000000000000231,2.24,0.23000000000000043
2.48,0.25,0.0,2.48,0.23999999999999977
2.74,0.26000000000000023,0.03000000000000025,2.71,0.22999999999999998
,,,2.95,0.2400000000000002
3.24,,0.010000000000000231,3.23,0.2799999999999998
3.44,0.19999999999999973,-0.020000000000000018,3.46,0.22999999999999998
,,,3.72,0.26000000000000023
3.94,,-0.020000000000000018,3.96,0.23999999999999977
4.19,0.25000000000000044,-0.009999999999999787,4.2,0.2400000000000002
,,,4.43,0.22999999999999954
,,,4.7,0.27000000000000046
,,,4.93,0.22999999999999954
5.17,,-0.009999999999999787,5.18,0.25
,,,5.41,0.23000000000000043
5.68,,0.019999999999999574,5.66,0.25
5.94,0.2600000000000007,0.05000000000000071,5.89,0.22999999999999954
,,,6.14,0.25
,,,6.38,0.2400000000000002
6.67,,0.03000000000000025,6.64,0.2599999999999998
6.9,0.23000000000000043,0.0,6.9,0.2600000000000007
7.14,0.23999999999999932,0.0,7.14,0.23999999999999932
7.39,0.25,0.02999999999999936,7.36,0.22000000000000064
,,,7.61,0.25
,,,7.86,0.25
,,,8.11,0.2499999999999991
,,,8.34,0.23000000000000043
8.56,,-0.02999999999999936,8.59,0.25
8.83,0.2699999999999996,-0.009999999999999787,8.84,0.25
9.12,0.28999999999999915,0.049999999999998934,9.07,0.23000000000000043
9.36,0.2400000000000002,0.049999999999998934,9.31,0.2400000000000002
,,,9.58,0.2699999999999996
9.87,,0.05999999999999872,9.81,0.23000000000000043
10.02,0.15000000000000036,-0.040000000000000924,10.06,0.25
,,,10.3,0.2400000000000002
,,,10.56,0.2599999999999998
10.81,,0.02000000000000135,10.79,0.22999999999999865
,,,11.03,0.2400000000000002
11.29,,0.009999999999999787,11.28,0.25
11.53,0.2400000000000002,0.0,11.53,0.25
11.8,0.27000000000000135,0.05000000000000071,11.75,0.22000000000000064
11.95,0.14999999999999858,-0.05000000000000071,12.0,0.25
,,,12.24,0.2400000000000002
12.47,,-0.009999999999999787,12.48,0.2400000000000002
,,,12.73,0.25
12.95,,-0.02000000000000135,12.97,0.2400000000000002
,,,13.21,0.2400000000000002
13.46,,0.0,13.46,0.25
13.73,0.2699999999999996,0.040000000000000924,13.69,0.22999999999999865
13.99,0.2599999999999998,0.05000000000000071,13.94,0.25
14.21,0.22000000000000064,0.0,14.21,0.27000000000000135
14.44,0.22999999999999865,-0.009999999999999787,14.45,0.23999999999999844
14.67,0.23000000000000043,-0.009999999999999787,14.68,0.23000000000000043
,,,14.9,0.22000000000000064
15.15,,0.009999999999999787,15.14,0.2400000000000002
15.4,0.25,0.0,15.4,0.2599999999999998
15.66,0.2599999999999998,0.02999999999999936,15.63,0.23000000000000043
15.87,0.20999999999999908,-0.030000000000001137,15.9,0.2699999999999996
16.15,0.27999999999999936,0.019999999999999574,16.13,0.22999999999999865
16.34,0.19000000000000128,-0.07000000000000028,16.41,0.28000000000000114
16.6,0.26000000000000156,-0.00999999999999801,16.61,0.1999999999999993
