Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.4,0.29000000000000004
0.7,,0.0,0.7,0.29999999999999993
0.99,0.29000000000000004,-0.010000000000000009,1.0,0.30000000000000004
,,,1.3,0.30000000000000004
1.62,,0.0,1.62,0.32000000000000006
1.88,0.2599999999999998,-0.030000000000000027,1.91,0.2899999999999998
2.2,0.3200000000000003,0.0,2.2,0.29000000000000026
2.51,0.3099999999999996,0.0,2.51,0.3099999999999996
,,,2.8,0.29000000000000004
3.09,,0.009999999999999787,3.08,0.28000000000000025
3.39,0.30000000000000027,0.010000000000000231,3.38,0.2999999999999998
3.65,0.2599999999999998,-0.03000000000000025,3.68,0.30000000000000027
,,,,
,,,,
,,,,
4.87,,0.009999999999999787,4.86,
5.12,0.25,0.0,5.12,0.2599999999999998
5.39,0.2699999999999996,-0.03000000000000025,5.42,0.2999999999999998
,,,5.7,0.28000000000000025
,,,6.01,0.3099999999999996
6.25,,-0.03000000000000025,6.28,0.27000000000000046
,,,6.58,0.2999999999999998
6.83,,-0.019999999999999574,6.85,0.2699999999999996
7.15,0.3200000000000003,0.010000000000000675,7.14,0.29000000000000004
7.39,0.23999999999999932,,,
7.65,0.2600000000000007,,,
,,,7.92,
8.26,,0.009999999999999787,8.25,0.33000000000000007
,,,8.52,0.2699999999999996
,,,8.79,0.2699999999999996
,,,9.08,0.2900000000000009
,,,9.41,0.33000000000000007
9.7,,-0.010000000000001563,9.71,0.3000000000000007
9.97,0.27000000000000135,0.0,9.97,0.2599999999999998
10.28,0.3099999999999987,0.0,10.28,0.3099999999999987
10.57,0.2900000000000009,0.0,10.57,0.2900000000000009
10.86,0.28999999999999915,-0.02000000000000135,10.88,0.3100000000000005
11.18,0.3200000000000003,0.0,11.18,0.29999999999999893
11.47,0.2900000000000009,0.0,11.47,0.2900000000000009
11.74,0.2699999999999996,,,
12.01,0.2699999999999996,0.009999999999999787,12.0,
12.33,0.3200000000000003,,,
,,,,
,,,,
,,,,
13.51,,-0.009999999999999787,13.52,
,,,13.83,0.3100000000000005
,,,14.11,0.27999999999999936
14.4,,,,
14.71,0.3100000000000005,-0.019999999999999574,14.73,
15.0,0.28999999999999915,0.0,15.0,0.2699999999999996
15.26,0.2599999999999998,-0.009999999999999787,15.27,0.2699999999999996
,,,,
15.85,,,,
16.16,0.3100000000000005,0.0,16.16,
16.41,0.25,-0.019999999999999574,16.43,0.2699999999999996
,,,16.72,0.28999999999999915
17.0,,-0.019999999999999574,17.02,0.3000000000000007
17.29,0.28999999999999915,-0.010000000000001563,17.3,0.28000000000000114
17.57,0.28000000000000114,-0.03999999999999915,17.61,0.3099999999999987
17.9,0.3299999999999983,0.00999999999999801,17.89,0.28000000000000114
,,,18.16,0.2699999999999996
18.47,,,,
,,,18.77,
19.06,,,,
,,,,
,,,,
,,,,
,,,,
20.48,,,,
20.79,0.3099999999999987,-0.019999999999999574,20.81,
21.08,0.28999999999999915,-0.010000000000001563,21.09,0.28000000000000114
,,,21.35,0.26000000000000156
,,,21.67,0.3200000000000003
21.89,,-0.05000000000000071,21.94,0.2699999999999996
,,,22.18,0.23999999999999844
,,,22.45,0.2699999999999996
,,,22.76,0.3100000000000023
,,,23.06,0.29999999999999716
23.35,,-0.00999999999999801,23.36,0.3000000000000007
23.63,0.2799999999999976,,,
,,,23.99,
,,,24.26,0.2700000000000031
,,,24.57,0.3099999999999987
,,,24.8,0.23000000000000043
25.12,,0.0,25.12,0.3200000000000003
,,,,
,,,,
,,,,
,,,26.27,
26.52,,,,
,,,26.85,
,,,27.13,0.2799999999999976
,,,,
,,,27.69,
28.01,,-0.00999999999999801,28.02,0.3299999999999983
28.27,0.259999999999998,-0.03999999999999915,28.31,0.28999999999999915
28.6,0.33000000000000185,0.0,28.6,0.2900000000000027
28.86,0.259999999999998,-0.019999999999999574,28.88,0.2799999999999976
29.15,0.28999999999999915,-0.0400000000000027,29.19,0.3100000000000023
29.44,0.2900000000000027,,,
,,,,
30.05,,0.010000000000001563,30.04,
30.3,0.25,-0.03999999999999915,30.34,0.3000000000000007
30.64,0.33999999999999986,0.03999999999999915,30.6,0.26000000000000156
30.91,0.2699999999999996,0.019999999999999574,30.89,0.28999999999999915
31.21,0.3000000000000007,0.0,31.21,0.3200000000000003
