Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.44,0.33999999999999997
,,,0.77,0.33
,,,1.17,0.3999999999999999
1.58,,0.06000000000000005,1.52,0.3500000000000001
,,,1.86,0.3400000000000001
,,,2.22,0.3600000000000001
2.64,,0.050000000000000266,2.59,0.36999999999999966
2.97,0.33000000000000007,0.040000000000000036,2.93,0.3400000000000003
3.3,0.3299999999999996,0.0,3.3,0.36999999999999966
3.68,0.38000000000000034,0.020000000000000018,3.66,0.3600000000000003
4.0,0.31999999999999984,0.009999999999999787,3.99,0.33000000000000007
4.42,0.41999999999999993,0.05999999999999961,4.36,0.3700000000000001
,,,4.7,0.33999999999999986
5.1,,0.02999999999999936,5.07,0.3700000000000001
,,,5.41,0.33999999999999986
,,,5.77,0.35999999999999943
,,,6.12,0.35000000000000053
,,,6.53,0.41000000000000014
,,,,
7.24,,,,
,,,7.53,
7.92,,0.019999999999999574,7.9,0.3700000000000001
8.26,0.33999999999999986,-0.009999999999999787,8.27,0.3699999999999992
8.66,0.40000000000000036,0.0600000000000005,8.6,0.33000000000000007
,,,8.94,0.33999999999999986
9.31,,0.030000000000001137,9.28,0.33999999999999986
,,,9.62,0.33999999999999986
10.0,,0.02999999999999936,9.97,0.3500000000000014
10.33,0.33000000000000007,0.009999999999999787,10.32,0.34999999999999964
10.68,0.34999999999999964,0.019999999999999574,10.66,0.33999999999999986
,,,11.03,0.3699999999999992
11.39,,0.0,11.39,0.3600000000000012
,,,11.73,0.33999999999999986
12.15,,0.0600000000000005,12.09,0.35999999999999943
,,,12.43,0.33999999999999986
,,,12.74,0.3100000000000005
,,,13.1,0.35999999999999943
13.51,,0.03999999999999915,13.47,0.370000000000001
13.84,0.33000000000000007,0.009999999999999787,13.83,0.35999999999999943
14.2,0.35999999999999943,0.02999999999999936,14.17,0.33999999999999986
14.47,0.27000000000000135,-0.06999999999999851,14.54,0.3699999999999992
14.93,0.4599999999999991,,,
15.17,0.2400000000000002,-0.0600000000000005,15.23,
15.6,0.4299999999999997,0.03999999999999915,15.56,0.33000000000000007
,,,15.89,0.33000000000000007
16.28,,0.019999999999999574,16.26,0.370000000000001
16.62,0.33999999999999986,0.030000000000001137,16.59,0.3299999999999983
16.95,0.3299999999999983,0.0,16.95,0.35999999999999943
17.29,0.33999999999999986,0.0,17.29,0.33999999999999986
17.64,0.3500000000000014,0.0,17.64,0.3500000000000014
