Tap Time,ITI,Asynchornies,Tone Time,IOI
0.37,0.36,0.02999999999999997,0.34,
,,,0.66,0.32
,,,0.98,0.31999999999999995
,,,1.3,0.32000000000000006
,,,1.62,0.32000000000000006
,,,1.94,0.31999999999999984
,,,2.26,0.31999999999999984
2.59,,0.020000000000000018,2.57,0.31000000000000005
2.95,0.3600000000000003,0.06000000000000005,2.89,0.3200000000000003
3.25,0.2999999999999998,0.040000000000000036,3.21,0.31999999999999984
3.56,0.31000000000000005,0.040000000000000036,3.52,0.31000000000000005
3.85,0.29000000000000004,0.03000000000000025,3.82,0.2999999999999998
4.1,0.24999999999999956,-0.040000000000000036,4.14,0.31999999999999984
,,,4.45,0.3100000000000005
4.79,,0.020000000000000462,4.77,0.3199999999999994
,,,5.07,0.3000000000000007
5.41,,0.009999999999999787,5.4,0.33000000000000007
,,,5.72,0.3199999999999994
6.05,,0.009999999999999787,6.04,0.3200000000000003
6.37,0.3200000000000003,0.020000000000000462,6.35,0.3099999999999996
6.69,0.3200000000000003,0.010000000000000675,6.68,0.33000000000000007
6.99,0.2999999999999998,0.009999999999999787,6.98,0.3000000000000007
,,,7.3,0.3199999999999994
7.64,,0.019999999999999574,7.62,0.3200000000000003
,,,7.92,0.2999999999999998
8.28,,0.02999999999999936,8.25,0.33000000000000007
,,,8.56,0.3100000000000005
8.9,,0.019999999999999574,8.88,0.3200000000000003
,,,9.18,0.29999999999999893
,,,9.49,0.3100000000000005
,,,9.82,0.33000000000000007
10.16,,0.02999999999999936,10.13,0.3100000000000005
,,,10.45,0.3199999999999985
10.78,,0.0,10.78,0.33000000000000007
11.09,0.3100000000000005,0.0,11.09,0.3100000000000005
11.42,0.33000000000000007,0.019999999999999574,11.4,0.3100000000000005
,,,11.71,0.3100000000000005
,,,12.03,0.3199999999999985
,,,12.33,0.3000000000000007
12.7,,0.03999999999999915,12.66,0.33000000000000007
,,,12.98,0.3200000000000003
,,,13.29,0.3099999999999987
13.64,,0.030000000000001137,13.61,0.3200000000000003
13.96,0.3200000000000003,0.030000000000001137,13.93,0.3200000000000003
,,,14.23,0.3000000000000007
14.6,,0.049999999999998934,14.55,0.3200000000000003
,,,14.87,0.3199999999999985
15.22,,0.030000000000001137,15.19,0.3200000000000003
15.53,0.3099999999999987,0.02999999999999936,15.5,0.3100000000000005
,,,15.82,0.3200000000000003
,,,16.13,0.3099999999999987
,,,16.44,0.3100000000000023
,,,16.75,0.3099999999999987
,,,17.07,0.3200000000000003
17.41,,0.03999999999999915,17.37,0.3000000000000007
17.72,0.3099999999999987,0.029999999999997584,17.69,0.3200000000000003
18.02,0.3000000000000007,0.019999999999999574,18.0,0.3099999999999987
18.31,0.28999999999999915,-0.010000000000001563,18.32,0.3200000000000003
,,,18.62,0.3000000000000007
,,,18.94,0.3200000000000003
19.27,,0.03999999999999915,19.23,0.28999999999999915
19.58,0.3099999999999987,0.04999999999999716,19.53,0.3000000000000007
19.91,0.33000000000000185,0.03999999999999915,19.87,0.33999999999999986
20.19,0.28000000000000114,0.05000000000000071,20.14,0.2699999999999996
20.51,0.3200000000000003,0.0400000000000027,20.47,0.3299999999999983
20.82,0.3099999999999987,0.03999999999999915,20.78,0.3100000000000023
21.11,0.28999999999999915,0.019999999999999574,21.09,0.3099999999999987
21.44,0.33000000000000185,0.0400000000000027,21.4,0.3099999999999987
,,,21.72,0.3200000000000003
22.03,,0.010000000000001563,22.02,0.3000000000000007
22.34,0.3099999999999987,0.019999999999999574,22.32,0.3000000000000007
22.65,0.3099999999999987,0.00999999999999801,22.64,0.3200000000000003
22.96,0.3100000000000023,0.0,22.96,0.3200000000000003
23.32,0.35999999999999943,0.05000000000000071,23.27,0.3099999999999987
23.61,0.28999999999999915,0.03999999999999915,23.57,0.3000000000000007
23.91,0.3000000000000007,0.030000000000001137,23.88,0.3099999999999987
,,,24.18,0.3000000000000007
24.5,,0.0,24.5,0.3200000000000003
,,,24.8,0.3000000000000007
,,,25.11,0.3099999999999987
25.42,,-0.00999999999999801,25.43,0.3200000000000003
25.71,0.28999999999999915,-0.00999999999999801,25.72,0.28999999999999915
26.05,0.33999999999999986,0.010000000000001563,26.04,0.3200000000000003
26.35,0.3000000000000007,0.030000000000001137,26.32,0.28000000000000114
26.64,0.28999999999999915,0.0,26.64,0.3200000000000003
,,,26.96,0.3200000000000003
27.28,,0.019999999999999574,27.26,0.3000000000000007
27.61,0.3299999999999983,0.03999999999999915,27.57,0.3099999999999987
,,,27.88,0.3099999999999987
28.21,,0.030000000000001137,28.18,0.3000000000000007
,,,28.49,0.3099999999999987
28.81,,0.0,28.81,0.3200000000000003
,,,29.1,0.2900000000000027
29.44,,0.010000000000001563,29.43,0.3299999999999983
,,,29.72,0.28999999999999915
,,,30.03,0.3100000000000023
,,,30.34,0.3099999999999987
,,,30.67,0.33000000000000185
,,,30.96,0.28999999999999915
31.3,,0.019999999999999574,31.28,0.3200000000000003
,,,31.58,0.29999999999999716
,,,31.88,0.3000000000000007
,,,32.19,0.3099999999999987
,,,32.51,0.3200000000000003
,,,32.81,0.30000000000000426
,,,33.13,0.3200000000000003
33.41,,-0.020000000000003126,33.43,0.29999999999999716
33.74,0.3300000000000054,0.0,33.74,0.3100000000000023
34.06,0.3200000000000003,0.0,34.06,0.3200000000000003
,,,34.35,0.28999999999999915
,,,34.65,0.29999999999999716
35.01,,0.030000000000001137,34.98,0.3299999999999983
,,,35.28,0.30000000000000426
35.61,,0.030000000000001137,35.58,0.29999999999999716
35.92,0.3100000000000023,0.030000000000001137,35.89,0.3100000000000023
,,,36.2,0.3100000000000023
,,,36.51,0.30999999999999517
36.85,,0.020000000000003126,36.83,0.3200000000000003
37.14,0.28999999999999915,0.00999999999999801,37.13,0.30000000000000426
37.44,0.29999999999999716,0.0,37.44,0.30999999999999517
37.76,0.3200000000000003,0.01999999999999602,37.74,0.30000000000000426
,,,38.04,0.29999999999999716
,,,38.36,0.3200000000000003
38.68,,0.00999999999999801,38.67,0.3100000000000023
,,,38.97,0.29999999999999716
,,,39.27,0.30000000000000426
39.61,,0.00999999999999801,39.6,0.3299999999999983
39.93,0.3200000000000003,0.020000000000003126,39.91,0.30999999999999517
,,,40.27,0.36000000000000654
,,,40.56,0.28999999999999915
,,,40.88,0.3200000000000003
,,,41.18,0.29999999999999716
,,,,
41.85,,0.030000000000001137,41.82,
42.16,0.30999999999999517,0.01999999999999602,42.14,0.3200000000000003
42.49,0.3300000000000054,0.020000000000003126,42.47,0.3299999999999983
,,,42.79,0.3200000000000003
,,,43.11,0.3200000000000003
,,,43.43,0.3200000000000003
,,,43.73,0.29999999999999716
