Tap Time,ITI,Asynchornies,Tone Time,IOI
0.57,0.29999999999999993,,,
0.91,0.3400000000000001,0.020000000000000018,0.89,
1.2,0.2899999999999999,0.0,1.2,0.30999999999999994
1.52,0.32000000000000006,0.020000000000000018,1.5,0.30000000000000004
1.88,0.3599999999999999,,,
2.13,0.25,0.009999999999999787,2.12,
2.46,0.33000000000000007,0.009999999999999787,2.45,0.33000000000000007
2.76,0.2999999999999998,0.0,2.76,0.3099999999999996
3.07,0.31000000000000005,0.0,3.07,0.31000000000000005
,,,3.38,0.31000000000000005
,,,3.68,0.30000000000000027
4.02,,0.02999999999999936,3.99,0.31000000000000005
4.28,0.2600000000000007,-0.040000000000000036,4.32,0.33000000000000007
,,,4.61,0.29000000000000004
,,,,
,,,5.24,
5.55,,0.009999999999999787,5.54,0.2999999999999998
5.86,0.3100000000000005,,,
,,,6.17,
6.47,,0.0,6.47,0.2999999999999998
6.78,0.3100000000000005,-0.009999999999999787,6.79,0.3200000000000003
7.09,0.3099999999999996,0.0,7.09,0.2999999999999998
7.39,0.2999999999999998,0.019999999999999574,7.37,0.28000000000000025
7.7,0.3100000000000005,0.03000000000000025,7.67,0.2999999999999998
7.99,0.29000000000000004,0.0,7.99,0.3200000000000003
8.32,0.33000000000000007,0.0,8.32,0.33000000000000007
8.64,0.3200000000000003,,,
8.94,0.29999999999999893,-0.009999999999999787,8.95,
9.23,0.2900000000000009,-0.02999999999999936,9.26,0.3100000000000005
9.55,0.3200000000000003,,,
9.84,0.28999999999999915,-0.040000000000000924,9.88,
,,,10.18,0.29999999999999893
,,,10.48,0.3000000000000007
,,,,
,,,11.09,
11.44,,0.019999999999999574,11.42,0.33000000000000007
11.79,0.34999999999999964,0.06999999999999851,11.72,0.3000000000000007
12.07,0.28000000000000114,0.0600000000000005,12.01,0.28999999999999915
12.36,0.28999999999999915,0.02999999999999936,12.33,0.3200000000000003
12.66,0.3000000000000007,0.02999999999999936,12.63,0.3000000000000007
12.97,0.3100000000000005,0.030000000000001137,12.94,0.3099999999999987
13.27,0.29999999999999893,0.009999999999999787,13.26,0.3200000000000003
13.59,0.3200000000000003,0.02999999999999936,13.56,0.3000000000000007
13.87,0.27999999999999936,-0.010000000000001563,13.88,0.3200000000000003
14.21,0.34000000000000163,0.030000000000001137,14.18,0.29999999999999893
14.52,0.3099999999999987,0.019999999999999574,14.5,0.3200000000000003
,,,14.78,0.27999999999999936
15.12,,0.019999999999999574,15.1,0.3200000000000003
,,,15.41,0.3100000000000005
,,,15.71,0.3000000000000007
15.98,,,,
16.33,0.34999999999999787,0.00999999999999801,16.32,
16.62,0.2900000000000027,0.0,16.62,0.3000000000000007
,,,16.94,0.3200000000000003
,,,17.25,0.3099999999999987
,,,17.56,0.3099999999999987
,,,17.85,0.2900000000000027
18.21,,,,
18.47,0.259999999999998,-0.010000000000001563,18.48,
18.83,0.35999999999999943,0.019999999999999574,18.81,0.3299999999999983
19.12,0.2900000000000027,0.019999999999999574,19.1,0.2900000000000027
19.39,0.2699999999999996,-0.00999999999999801,19.4,0.29999999999999716
19.69,0.3000000000000007,,,
,,,20.03,
,,,20.34,0.3099999999999987
,,,20.64,0.3000000000000007
20.96,,0.0,20.96,0.3200000000000003
21.26,0.3000000000000007,0.010000000000001563,21.25,0.28999999999999915
21.54,0.2799999999999976,0.0,21.54,0.28999999999999915
21.88,0.33999999999999986,,,
22.17,0.2900000000000027,0.0,22.17,
,,,22.48,0.3099999999999987
,,,22.77,0.28999999999999915
23.08,,0.0,23.08,0.3099999999999987
23.37,0.2900000000000027,-0.00999999999999801,23.38,0.3000000000000007
,,,23.68,0.3000000000000007
,,,23.98,0.3000000000000007
24.27,,-0.010000000000001563,24.28,0.3000000000000007
,,,24.59,0.3099999999999987
24.87,,-0.00999999999999801,24.88,0.28999999999999915
25.2,0.3299999999999983,0.029999999999997584,25.17,0.2900000000000027
25.5,0.3000000000000007,0.019999999999999574,25.48,0.3099999999999987
,,,25.76,0.28000000000000114
26.14,,0.05000000000000071,26.09,0.3299999999999983
26.4,0.259999999999998,-0.010000000000001563,26.41,0.3200000000000003
,,,,
,,,26.97,
27.3,,-0.019999999999999574,27.32,0.3500000000000014
,,,27.61,0.28999999999999915
27.94,,,,
28.23,0.28999999999999915,0.010000000000001563,28.22,
28.52,0.28999999999999915,0.0,28.52,0.3000000000000007
28.8,0.28000000000000114,-0.019999999999999574,28.82,0.3000000000000007
29.11,0.3099999999999987,-0.019999999999999574,29.13,0.3099999999999987
29.42,0.3100000000000023,0.0,29.42,0.2900000000000027
29.73,0.3099999999999987,0.0,29.73,0.3099999999999987
30.03,0.3000000000000007,0.010000000000001563,30.02,0.28999999999999915
30.36,0.3299999999999983,0.019999999999999574,30.34,0.3200000000000003
30.66,0.3000000000000007,0.019999999999999574,30.64,0.3000000000000007
30.95,0.28999999999999915,0.00999999999999801,30.94,0.3000000000000007
31.26,0.3100000000000023,,,
31.55,0.28999999999999915,0.019999999999999574,31.53,
,,,31.83,0.29999999999999716
,,,32.14,0.3100000000000023
32.41,,-0.020000000000003126,32.43,0.28999999999999915
32.74,0.3300000000000054,0.030000000000001137,32.71,0.28000000000000114
,,,33.07,0.35999999999999943
33.32,,-0.03999999999999915,33.36,0.28999999999999915
,,,,
,,,33.94,
,,,34.23,0.28999999999999915
