Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.47,
,,,0.73,0.26
0.94,,-0.020000000000000018,0.96,0.22999999999999998
1.19,0.25,-0.010000000000000009,1.2,0.24
1.42,0.22999999999999998,-0.020000000000000018,1.44,0.24
,,,,
1.91,,0.0,1.91,
,,,2.14,0.2300000000000002
2.37,,0.0,2.37,0.22999999999999998
,,,2.62,0.25
,,,2.87,0.25
3.07,,-0.020000000000000018,3.09,0.21999999999999975
3.33,0.26000000000000023,0.010000000000000231,3.32,0.22999999999999998
,,,3.56,0.2400000000000002
3.79,,-0.009999999999999787,3.8,0.23999999999999977
,,,,
4.23,,,,
,,,,
4.71,,-0.020000000000000462,4.73,
,,,,
5.18,,,,
,,,,
,,,,
5.87,,,,
6.09,0.21999999999999975,-0.020000000000000462,6.11,
6.33,0.2400000000000002,-0.009999999999999787,6.34,0.22999999999999954
6.57,0.2400000000000002,-0.009999999999999787,6.58,0.2400000000000002
,,,6.81,0.22999999999999954
7.04,,-0.019999999999999574,7.06,0.25
7.26,0.21999999999999975,-0.020000000000000462,7.28,0.22000000000000064
7.51,0.25,,,
7.72,0.20999999999999996,-0.010000000000000675,7.73,
7.97,0.25,-0.010000000000000675,7.98,0.25
8.2,0.22999999999999954,,,
8.43,0.23000000000000043,-0.019999999999999574,8.45,
8.66,0.23000000000000043,-0.02999999999999936,8.69,0.2400000000000002
8.86,0.1999999999999993,-0.0600000000000005,8.92,0.23000000000000043
,,,9.14,0.22000000000000064
9.36,,-0.02000000000000135,9.38,0.2400000000000002
9.59,0.23000000000000043,-0.009999999999999787,9.6,0.21999999999999886
,,,9.85,0.25
10.04,,-0.02000000000000135,10.06,0.21000000000000085
10.28,0.2400000000000002,-0.02000000000000135,10.3,0.2400000000000002
10.52,0.2400000000000002,-0.009999999999999787,10.53,0.22999999999999865
,,,,
10.98,,,,
,,,11.23,
11.45,,,,
11.66,0.21000000000000085,-0.05000000000000071,11.71,
,,,11.92,0.20999999999999908
12.11,,,,
12.35,0.2400000000000002,-0.040000000000000924,12.39,
12.58,0.23000000000000043,-0.02999999999999936,12.61,0.21999999999999886
12.83,0.25,-0.009999999999999787,12.84,0.23000000000000043
,,,13.09,0.25
13.31,,-0.009999999999999787,13.32,0.23000000000000043
