Tap Time,ITI,Asynchornies,Tone Time,IOI
0.78,,0.040000000000000036,0.74,0.47
1.21,0.42999999999999994,0.030000000000000027,1.18,0.43999999999999995
1.68,0.47,0.0,1.68,0.5
,,,2.14,0.4600000000000002
2.54,,-0.040000000000000036,2.58,0.43999999999999995
3.1,0.56,0.040000000000000036,3.06,0.48
,,,3.52,0.45999999999999996
3.98,,0.009999999999999787,3.97,0.4500000000000002
4.45,0.4700000000000002,0.009999999999999787,4.44,0.4700000000000002
4.85,0.39999999999999947,-0.040000000000000036,4.89,0.4499999999999993
,,,5.35,0.45999999999999996
5.85,,0.040000000000000036,5.81,0.45999999999999996
,,,6.26,0.4500000000000002
,,,6.75,0.4900000000000002
,,,7.19,0.4400000000000004
7.7,,0.0600000000000005,7.64,0.4499999999999993
8.22,0.5200000000000005,0.11000000000000121,8.11,0.46999999999999975
8.62,0.3999999999999986,0.049999999999998934,8.57,0.46000000000000085
,,,9.03,0.4599999999999991
9.52,,0.03999999999999915,9.48,0.45000000000000107
,,,9.94,0.4599999999999991
10.4,,0.0,10.4,0.46000000000000085
10.86,0.4599999999999991,0.0,10.86,0.4599999999999991
11.31,0.45000000000000107,0.009999999999999787,11.3,0.4400000000000013
,,,11.78,0.47999999999999865
,,,12.23,0.45000000000000107
,,,,
13.17,,0.019999999999999574,13.15,
,,,13.61,0.4599999999999991
14.08,,0.019999999999999574,14.06,0.45000000000000107
,,,14.51,0.4499999999999993
15.01,,0.07000000000000028,14.94,0.4299999999999997
,,,15.4,0.46000000000000085
,,,15.85,0.4499999999999993
,,,,
16.78,,0.010000000000001563,16.77,
17.24,0.4599999999999973,0.05999999999999872,17.18,0.41000000000000014
,,,17.64,0.46000000000000085
18.12,,0.030000000000001137,18.09,0.4499999999999993
18.6,0.4800000000000004,0.05000000000000071,18.55,0.46000000000000085
,,,19.0,0.4499999999999993
19.48,,0.0,19.48,0.4800000000000004
,,,19.91,0.4299999999999997
,,,20.38,0.46999999999999886
,,,20.8,0.4200000000000017
21.3,,0.030000000000001137,21.27,0.46999999999999886
21.86,0.5599999999999987,0.120000000000001,21.74,0.46999999999999886
22.23,0.370000000000001,0.030000000000001137,22.2,0.46000000000000085
22.68,0.4499999999999993,0.00999999999999801,22.67,0.4700000000000024
23.15,0.46999999999999886,0.029999999999997584,23.12,0.4499999999999993
,,,23.58,0.4599999999999973
24.08,,0.019999999999999574,24.06,0.4800000000000004
,,,24.52,0.46000000000000085
,,,25.0,0.4800000000000004
,,,25.45,0.4499999999999993
25.9,,0.029999999999997584,25.87,0.4200000000000017
26.36,0.46000000000000085,0.019999999999999574,26.34,0.46999999999999886
26.82,0.46000000000000085,0.05999999999999872,26.76,0.4200000000000017
,,,27.23,0.46999999999999886
,,,27.7,0.46999999999999886
28.17,,,,
28.62,0.4499999999999993,0.0,28.62,
,,,29.07,0.4499999999999993
29.56,,0.03999999999999915,29.52,0.4499999999999993
30.0,0.4400000000000013,0.019999999999999574,29.98,0.46000000000000085
30.46,0.46000000000000085,0.03999999999999915,30.42,0.4400000000000013
,,,30.91,0.48999999999999844
31.37,,0.019999999999999574,31.35,0.4400000000000013
31.82,0.4499999999999993,0.030000000000001137,31.79,0.4399999999999977
,,,32.27,0.480000000000004
32.75,,0.03999999999999915,32.71,0.4399999999999977
,,,,
33.68,,0.03999999999999915,33.64,
,,,34.11,0.46999999999999886
,,,34.55,0.4399999999999977
35.01,,-0.020000000000003126,35.03,0.480000000000004
,,,35.47,0.4399999999999977
,,,35.95,0.480000000000004
36.43,,-0.00999999999999801,36.44,0.4899999999999949
36.93,0.5,0.0799999999999983,36.85,0.4100000000000037
37.36,0.4299999999999997,0.060000000000002274,37.3,0.44999999999999574
37.76,0.3999999999999986,-0.010000000000005116,37.77,0.47000000000000597
38.22,0.46000000000000085,0.01999999999999602,38.2,0.4299999999999997
38.69,0.46999999999999886,0.030000000000001137,38.66,0.45999999999999375
,,,39.11,0.45000000000000284
39.58,,0.00999999999999801,39.57,0.46000000000000085
40.01,0.4299999999999997,0.00999999999999801,40.0,0.4299999999999997
40.47,0.46000000000000085,0.0,40.47,0.46999999999999886
,,,40.92,0.45000000000000284
41.34,,-0.01999999999999602,41.36,0.4399999999999977
,,,41.81,0.45000000000000284
,,,42.23,0.4199999999999946
,,,42.69,0.46000000000000085
43.16,,0.00999999999999801,43.15,0.46000000000000085
43.6,0.44000000000000483,0.0,43.6,0.45000000000000284
,,,44.04,0.4399999999999977
44.49,,0.0,44.49,0.45000000000000284
,,,44.91,0.4199999999999946
,,,45.35,0.44000000000000483
,,,45.79,0.4399999999999977
,,,46.24,0.45000000000000284
46.71,,0.00999999999999801,46.7,0.46000000000000085
47.16,0.44999999999999574,0.0,47.16,0.45999999999999375
47.6,0.44000000000000483,0.0,47.6,0.44000000000000483
48.06,0.46000000000000085,0.030000000000001137,48.03,0.4299999999999997
,,,48.45,0.4200000000000017
48.9,,0.0,48.9,0.44999999999999574
,,,49.33,0.4299999999999997
49.79,,-0.00999999999999801,49.8,0.46999999999999886
,,,50.21,0.4100000000000037
50.7,,0.05000000000000426,50.65,0.4399999999999977
51.19,0.4899999999999949,0.0799999999999983,51.11,0.46000000000000085
51.58,0.39000000000000057,0.00999999999999801,51.57,0.46000000000000085
