Tap Time,ITI,Asynchornies,Tone Time,IOI
0.36,0.21,-0.030000000000000027,0.39,
,,,,
0.87,,-0.040000000000000036,0.91,
1.11,0.2400000000000001,-0.019999999999999796,1.13,0.21999999999999986
,,,,
,,,1.66,
2.01,,-0.03000000000000025,2.04,0.3800000000000001
2.25,0.2400000000000002,-0.040000000000000036,2.29,0.25
2.53,0.2799999999999998,,,
2.77,0.2400000000000002,0.0,2.77,
3.06,0.29000000000000004,0.010000000000000231,3.05,0.2799999999999998
3.31,0.25,,,
3.61,0.2999999999999998,-0.010000000000000231,3.62,
3.86,0.25,0.0,3.86,0.23999999999999977
4.11,0.25000000000000044,,,
4.48,0.3700000000000001,,,
4.66,0.17999999999999972,,,
4.97,0.3099999999999996,0.019999999999999574,4.95,
5.27,0.2999999999999998,-0.010000000000000675,5.28,0.33000000000000007
,,,5.49,0.20999999999999996
5.69,,,,
5.95,0.2599999999999998,-0.019999999999999574,5.97,
6.28,0.33000000000000007,-0.019999999999999574,6.3,0.33000000000000007
6.56,0.27999999999999936,,,
6.81,0.25,,,
7.12,0.3100000000000005,,,
7.42,0.2999999999999998,0.0,7.42,
,,,7.69,0.27000000000000046
7.9,,,,
8.18,0.27999999999999936,,,
8.34,0.16000000000000014,0.0,8.34,
,,,,
8.96,,-0.009999999999999787,8.97,
,,,9.28,0.3099999999999987
9.53,,-0.05000000000000071,9.58,0.3000000000000007
,,,,
10.15,,,,
10.44,0.28999999999999915,-0.030000000000001137,10.47,
10.68,0.2400000000000002,,,
10.9,0.22000000000000064,-0.0600000000000005,10.96,
11.22,0.3200000000000003,,,
11.4,0.17999999999999972,,,
11.67,0.2699999999999996,,,
11.97,0.3000000000000007,,,
12.24,0.2699999999999996,0.0,12.24,
12.53,0.28999999999999915,,,
12.83,0.3000000000000007,-0.019999999999999574,12.85,
13.13,0.3000000000000007,,,
13.41,0.27999999999999936,,,
13.67,0.2599999999999998,0.0,13.67,
,,,,
14.18,,0.0,14.18,
14.38,0.20000000000000107,,,
14.66,0.27999999999999936,,,
14.88,0.22000000000000064,,,
15.18,0.29999999999999893,-0.019999999999999574,15.2,
15.37,0.1899999999999995,0.009999999999999787,15.36,0.16000000000000014
,,,15.65,0.2900000000000009
15.97,,,,
,,,,
16.46,,0.0,16.46,
,,,,
16.98,,,,
17.26,0.28000000000000114,-0.03999999999999915,17.3,
17.55,0.28999999999999915,0.060000000000002274,17.49,0.18999999999999773
17.8,0.25,0.0,17.8,0.3100000000000023
18.0,0.1999999999999993,,,
18.25,0.25,-0.019999999999999574,18.27,
18.54,0.28999999999999915,,,
18.82,0.28000000000000114,,,
19.08,0.259999999999998,-0.060000000000002274,19.14,
19.36,0.28000000000000114,0.05000000000000071,19.31,0.16999999999999815
19.54,0.17999999999999972,,,
19.86,0.3200000000000003,,,
,,,,
20.39,,-0.019999999999999574,20.41,
20.73,0.33999999999999986,,,
,,,20.97,
21.16,,,,
21.42,0.26000000000000156,-0.019999999999999574,21.44,
21.69,0.2699999999999996,,,
21.97,0.2799999999999976,-0.010000000000001563,21.98,
22.24,0.2699999999999996,0.0,22.24,0.259999999999998
22.54,0.3000000000000007,-0.010000000000001563,22.55,0.3100000000000023
22.77,0.23000000000000043,,,
,,,,
23.35,,-0.00999999999999801,23.36,
23.72,0.36999999999999744,-0.010000000000001563,23.73,0.370000000000001
23.94,0.22000000000000242,,,
24.18,0.23999999999999844,0.0,24.18,
24.44,0.26000000000000156,,,
,,,,
24.94,,0.0,24.94,
25.14,0.1999999999999993,,,
25.53,0.39000000000000057,0.05000000000000071,25.48,
25.7,0.16999999999999815,-0.010000000000001563,25.71,0.23000000000000043
,,,,
26.22,,0.0,26.22,
26.52,0.3000000000000007,,,
26.8,0.28000000000000114,,,
27.0,0.1999999999999993,,,
27.22,0.21999999999999886,,,
,,,,
27.74,,0.019999999999999574,27.72,
27.94,0.20000000000000284,,,
