Tap Time,ITI,Asynchornies,Tone Time,IOI
0.79,0.42000000000000004,,,
1.23,0.43999999999999995,-0.030000000000000027,1.26,
1.65,0.41999999999999993,,,
2.1,0.4500000000000002,,,
,,,,
,,,2.92,
3.35,,0.0,3.35,0.43000000000000016
3.76,0.4099999999999997,-0.010000000000000231,3.77,0.41999999999999993
4.2,0.4400000000000004,0.0,4.2,0.43000000000000016
4.62,0.41999999999999993,,,
5.06,0.4399999999999995,,,
5.37,0.3100000000000005,0.0,5.37,
5.79,0.41999999999999993,-0.009999999999999787,5.8,0.4299999999999997
6.22,0.4299999999999997,0.009999999999999787,6.21,0.41000000000000014
6.63,0.41000000000000014,,,
7.07,0.4400000000000004,0.010000000000000675,7.06,
7.49,0.41999999999999993,,,
7.9,0.41000000000000014,,,
8.32,0.41999999999999993,,,
8.75,0.4299999999999997,0.019999999999999574,8.73,
9.29,0.5399999999999991,,,
9.61,0.3200000000000003,,,
10.06,0.45000000000000107,0.05000000000000071,10.01,
10.46,0.40000000000000036,0.030000000000001137,10.43,0.41999999999999993
10.84,0.379999999999999,,,
11.28,0.4399999999999995,0.0,11.28,
11.73,0.45000000000000107,-0.03999999999999915,11.77,0.4900000000000002
12.15,0.41999999999999993,,,
12.57,0.41999999999999993,,,
13.0,0.4299999999999997,0.0,13.0,
13.43,0.4299999999999997,,,
13.86,0.4299999999999997,,,
14.29,0.4299999999999997,-0.02000000000000135,14.31,
14.7,0.41000000000000014,,,
15.09,0.39000000000000057,-0.009999999999999787,15.1,
15.53,0.4399999999999995,,,
15.95,0.41999999999999993,,,
16.36,0.41000000000000014,,,
16.79,0.4299999999999997,,,
17.22,0.4299999999999997,-0.019999999999999574,17.24,
,,,17.67,0.43000000000000327
18.06,,,,
18.5,0.4400000000000013,,,
18.92,0.4200000000000017,,,
19.36,0.4399999999999977,0.00999999999999801,19.35,
19.8,0.4400000000000013,,,
20.18,0.379999999999999,-0.08999999999999986,20.27,
20.61,0.4299999999999997,,,
21.08,0.46999999999999886,0.0799999999999983,21.0,
21.43,0.3500000000000014,,,
21.9,0.46999999999999886,,,
22.28,0.38000000000000256,,,
,,,,
,,,23.13,
23.55,,-0.00999999999999801,23.56,0.4299999999999997
24.0,0.4499999999999993,-0.010000000000001563,24.01,0.45000000000000284
24.41,0.41000000000000014,-0.05000000000000071,24.46,0.4499999999999993
,,,,
,,,,
25.73,,,,
26.16,0.4299999999999997,,,
26.62,0.46000000000000085,0.019999999999999574,26.6,
27.04,0.41999999999999815,,,
27.42,0.38000000000000256,-0.019999999999999574,27.44,
,,,27.86,0.41999999999999815
28.29,,0.00999999999999801,28.28,0.4200000000000017
28.7,0.41000000000000014,,,
29.19,0.490000000000002,,,
29.59,0.3999999999999986,0.010000000000001563,29.58,
30.02,0.4299999999999997,,,
30.53,0.5100000000000016,,,
30.88,0.34999999999999787,0.019999999999999574,30.86,
,,,31.29,0.4299999999999997
,,,31.72,0.4299999999999997
32.25,,,,
32.58,0.3299999999999983,0.0,32.58,
33.08,0.5,0.05999999999999517,33.02,0.44000000000000483
,,,,
33.87,,0.02999999999999403,33.84,
34.27,0.4000000000000057,,,
34.7,0.4299999999999997,0.0,34.7,
35.12,0.4199999999999946,,,
35.52,0.4000000000000057,,,
35.94,0.4199999999999946,0.00999999999999801,35.93,
36.37,0.4299999999999997,0.0,36.37,0.4399999999999977
36.83,0.46000000000000085,0.07000000000000028,36.76,0.39000000000000057
37.23,0.3999999999999986,,,
37.61,0.38000000000000256,,,
38.04,0.4299999999999997,,,
38.47,0.4299999999999997,,,
38.94,0.46999999999999886,,,
39.34,0.4000000000000057,,,
39.78,0.4399999999999977,0.07000000000000028,39.71,
40.19,0.4099999999999966,,,
40.61,0.4200000000000017,,,
41.05,0.4399999999999977,0.04999999999999716,41.0,
41.45,0.4000000000000057,,,
41.83,0.37999999999999545,,,
42.31,0.480000000000004,,,
42.71,0.3999999999999986,0.030000000000001137,42.68,
43.15,0.4399999999999977,-0.00999999999999801,43.16,0.4799999999999969
43.55,0.3999999999999986,0.00999999999999801,43.54,0.38000000000000256
,,,,
44.43,,0.03999999999999915,44.39,
44.82,0.39000000000000057,,,
45.24,0.4200000000000017,-0.00999999999999801,45.25,
45.68,0.4399999999999977,-0.030000000000001137,45.71,0.46000000000000085
46.09,0.4100000000000037,-0.01999999999999602,46.11,0.3999999999999986
,,,46.53,0.4200000000000017
46.91,,,,
47.35,0.44000000000000483,-0.03999999999999915,47.39,
47.76,0.4099999999999966,-0.020000000000003126,47.78,0.39000000000000057
,,,48.23,0.44999999999999574
48.62,,,,
,,,48.99,
49.45,,0.0,49.45,0.46000000000000085
,,,49.86,0.4099999999999966
50.29,,,,
,,,50.72,
51.11,,,,
,,,,
,,,52.03,
52.41,,,,
52.85,0.44000000000000483,0.020000000000003126,52.83,
53.26,0.4099999999999966,0.00999999999999801,53.25,0.4200000000000017
53.67,0.4100000000000037,,,
54.16,0.4899999999999949,,,
54.58,0.4200000000000017,0.0,54.58,
,,,,
55.36,,,,
55.72,0.35999999999999943,,,
56.22,0.5,0.01999999999999602,56.2,
56.64,0.4200000000000017,0.020000000000003126,56.62,0.4199999999999946
57.02,0.38000000000000256,,,
57.45,0.4299999999999997,-0.00999999999999801,57.46,
57.84,0.39000000000000057,,,
58.27,0.4299999999999997,0.030000000000001137,58.24,
58.69,0.4199999999999946,,,
59.12,0.4299999999999997,,,
59.55,0.4299999999999997,0.00999999999999801,59.54,
,,,59.96,0.4200000000000017
,,,60.37,0.4099999999999966
60.81,,0.020000000000003126,60.79,0.4200000000000017
61.24,0.4299999999999997,0.03999999999999915,61.2,0.4100000000000037
61.62,0.37999999999999545,0.0,61.62,0.4199999999999946
62.04,0.4200000000000017,0.0,62.04,0.4200000000000017
62.48,0.4399999999999977,,,
62.89,0.4100000000000037,-0.00999999999999801,62.9,
63.29,0.3999999999999986,-0.020000000000003126,63.31,0.4100000000000037
63.71,0.4200000000000017,0.0,63.71,0.3999999999999986
64.18,0.47000000000000597,,,
64.57,0.38999999999998636,-0.020000000000010232,64.59,
65.0,0.4300000000000068,,,
,,,65.42,
,,,65.85,0.4299999999999926
,,,66.28,0.4300000000000068
66.68,,,,
,,,,
67.54,,,,
,,,67.96,
,,,,
68.83,,,,
,,,69.2,
69.61,,-0.01999999999999602,69.63,0.4299999999999926
70.02,0.4099999999999966,,,
70.52,0.5,0.0799999999999983,70.44,
,,,,
71.34,,,,
,,,,
72.12,,-0.009999999999990905,72.13,
72.57,0.44999999999998863,0.009999999999990905,72.56,0.4300000000000068
72.98,0.4100000000000108,0.010000000000005116,72.97,0.4099999999999966
73.4,0.4200000000000017,0.0,73.4,0.4300000000000068
73.81,0.4099999999999966,0.0,73.81,0.4099999999999966
74.27,0.45999999999999375,,,
74.7,0.4300000000000068,,,
75.14,0.4399999999999977,0.04999999999999716,75.09,
75.52,0.37999999999999545,,,
75.96,0.4399999999999977,0.029999999999986926,75.93,
76.35,0.39000000000000057,,,
,,,76.78,
77.19,,-0.010000000000005116,77.2,0.4200000000000017
,,,,
78.06,,0.010000000000005116,78.05,
,,,78.46,0.4099999999999966
78.88,,-0.010000000000005116,78.89,0.4300000000000068
79.31,0.4300000000000068,,,
,,,79.74,
,,,80.17,0.4300000000000068
,,,,
,,,81.01,
81.52,,,,
,,,,
82.28,,,,
82.7,0.4200000000000017,0.0,82.7,
83.1,0.3999999999999915,-0.020000000000010232,83.12,0.4200000000000017
83.51,0.4100000000000108,-0.009999999999990905,83.52,0.3999999999999915
83.94,0.4299999999999926,,,
84.32,0.37999999999999545,-0.020000000000010232,84.34,
84.81,0.4900000000000091,,,
,,,,
85.61,,-0.010000000000005116,85.62,
86.02,0.4099999999999966,,,
86.47,0.45000000000000284,-0.010000000000005116,86.48,
86.89,0.4200000000000017,,,
,,,87.31,
,,,87.74,0.4299999999999926
88.12,,,,
88.56,0.4399999999999977,-0.009999999999990905,88.57,
