Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.5,0.28
0.92,,0.06000000000000005,0.86,0.36
1.2,0.2799999999999999,0.0,1.2,0.33999999999999997
1.5,0.30000000000000004,,,
,,,,
,,,2.06,
,,,2.4,0.33999999999999986
2.72,,,,
3.05,0.3299999999999996,0.040000000000000036,3.01,
3.34,0.29000000000000004,,,
3.63,0.29000000000000004,,,
3.98,0.3500000000000001,0.06000000000000005,3.92,
,,,4.26,0.33999999999999986
,,,4.63,0.3700000000000001
4.89,,,,
5.21,0.3200000000000003,0.07000000000000028,5.14,
5.54,0.33000000000000007,0.05999999999999961,5.48,0.34000000000000075
,,,5.76,0.27999999999999936
6.08,,-0.019999999999999574,6.1,0.33999999999999986
,,,6.4,0.3000000000000007
6.73,,0.040000000000000036,6.69,0.29000000000000004
7.05,0.3199999999999994,0.040000000000000036,7.01,0.3199999999999994
7.34,0.29000000000000004,0.040000000000000036,7.3,0.29000000000000004
7.68,0.33999999999999986,0.040000000000000036,7.64,0.33999999999999986
,,,7.93,0.29000000000000004
,,,8.23,0.3000000000000007
8.6,,0.03999999999999915,8.56,0.33000000000000007
,,,8.87,0.3099999999999987
9.24,,0.05000000000000071,9.19,0.3200000000000003
9.53,0.28999999999999915,0.019999999999999574,9.51,0.3200000000000003
9.85,0.3200000000000003,0.0600000000000005,9.79,0.27999999999999936
10.16,0.3100000000000005,0.08999999999999986,10.07,0.28000000000000114
10.48,0.3200000000000003,,,
10.78,0.29999999999999893,,,
11.07,0.2900000000000009,,,
11.4,0.33000000000000007,,,
11.69,0.28999999999999915,,,
12.01,0.3200000000000003,,,
12.33,0.3200000000000003,,,
12.64,0.3100000000000005,,,
12.96,0.3200000000000003,,,
13.25,0.28999999999999915,,,
13.56,0.3100000000000005,,,
13.87,0.3099999999999987,,,
,,,14.08,
,,,14.44,0.35999999999999943
,,,,
,,,15.0,
,,,,
,,,15.64,
15.97,,-0.009999999999999787,15.98,0.33999999999999986
16.29,0.3199999999999985,0.00999999999999801,16.28,0.3000000000000007
16.58,0.28999999999999915,-0.020000000000003126,16.6,0.3200000000000003
16.92,0.3400000000000034,0.010000000000001563,16.91,0.3099999999999987
17.24,0.31999999999999673,0.0799999999999983,17.16,0.25
,,,17.47,0.3099999999999987
17.87,,,,
18.11,0.23999999999999844,,,
18.44,0.33000000000000185,-0.019999999999999574,18.46,
,,,,
,,,19.05,
,,,19.34,0.28999999999999915
19.73,,0.05000000000000071,19.68,0.33999999999999986
,,,19.99,0.3099999999999987
,,,,
,,,,
,,,,
,,,21.24,
21.56,,0.03999999999999915,21.52,0.28000000000000114
,,,21.77,0.25
22.13,,,,
22.41,0.28000000000000114,0.0,22.41,
22.74,0.3299999999999983,0.019999999999999574,22.72,0.3099999999999987
23.02,0.28000000000000114,,,
23.35,0.33000000000000185,-0.00999999999999801,23.36,
23.63,0.2799999999999976,-0.010000000000001563,23.64,0.28000000000000114
,,,,
,,,24.24,
,,,24.55,0.3100000000000023
24.89,,,,
,,,25.16,
,,,25.47,0.3099999999999987
25.83,,0.05999999999999872,25.77,0.3000000000000007
,,,26.08,0.3099999999999987
,,,26.4,0.3200000000000003
,,,26.7,0.3000000000000007
,,,,
27.28,,-0.04999999999999716,27.33,
27.6,0.3200000000000003,0.030000000000001137,27.57,0.240000000000002
,,,27.94,0.370000000000001
,,,28.22,0.2799999999999976
,,,28.52,0.3000000000000007
,,,28.85,0.33000000000000185
29.19,,0.08000000000000185,29.11,0.259999999999998
29.48,0.28999999999999915,0.08000000000000185,29.4,0.28999999999999915
29.8,0.3200000000000003,,,
30.09,0.28999999999999915,0.019999999999999574,30.07,
30.4,0.3099999999999987,0.019999999999999574,30.38,0.3099999999999987
