Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
0.61,,-0.020000000000000018,0.63,
0.81,0.20000000000000007,-0.019999999999999907,0.83,0.19999999999999996
1.06,0.25,-0.010000000000000009,1.07,0.2400000000000001
,,,1.3,0.22999999999999998
1.56,,,,
1.78,0.21999999999999997,0.0,1.78,
2.03,0.24999999999999978,-0.010000000000000231,2.04,0.26
,,,2.26,0.21999999999999975
2.51,,0.009999999999999787,2.5,0.2400000000000002
,,,2.75,0.25
2.97,,-0.009999999999999787,2.98,0.22999999999999998
,,,3.21,0.22999999999999998
3.45,,-0.009999999999999787,3.46,0.25
,,,,
,,,3.93,
,,,,
4.41,,,,
4.64,0.22999999999999954,,,
4.85,0.20999999999999996,-0.040000000000000036,4.89,
,,,,
5.37,,0.020000000000000462,5.35,
5.55,0.17999999999999972,-0.009999999999999787,5.56,0.20999999999999996
5.77,0.21999999999999975,-0.040000000000000036,5.81,0.25
,,,6.03,0.22000000000000064
6.29,,0.020000000000000462,6.27,0.23999999999999932
,,,6.49,0.22000000000000064
,,,,
,,,,
7.15,,-0.02999999999999936,7.18,
7.4,0.25,,,
7.63,0.22999999999999954,0.0,7.63,
7.87,0.2400000000000002,0.020000000000000462,7.85,0.21999999999999975
8.08,0.20999999999999996,-0.009999999999999787,8.09,0.2400000000000002
8.31,0.23000000000000043,-0.009999999999999787,8.32,0.23000000000000043
8.57,0.2599999999999998,,,
8.78,0.20999999999999908,0.0,8.78,
9.04,0.2599999999999998,0.019999999999999574,9.02,0.2400000000000002
9.26,0.22000000000000064,,,
9.48,0.22000000000000064,-0.009999999999999787,9.49,
9.73,0.25,0.019999999999999574,9.71,0.22000000000000064
,,,9.95,0.23999999999999844
,,,,
10.45,,0.02999999999999936,10.42,
10.65,0.20000000000000107,0.009999999999999787,10.64,0.22000000000000064
10.88,0.23000000000000043,,,
11.1,0.21999999999999886,0.0,11.1,
11.33,0.23000000000000043,-0.009999999999999787,11.34,0.2400000000000002
11.56,0.23000000000000043,0.0,11.56,0.22000000000000064
11.81,0.25,-0.019999999999999574,11.83,0.2699999999999996
