Tap Time,ITI,Asynchornies,Tone Time,IOI
0.73,0.45999999999999996,0.0,0.73,
1.19,0.45999999999999996,,,
1.65,0.45999999999999996,0.039999999999999813,1.61,
2.13,0.48,,,
2.57,0.43999999999999995,-0.03000000000000025,2.6,
3.03,0.45999999999999996,,,
3.51,0.48,0.029999999999999805,3.48,
3.93,0.4200000000000004,,,
,,,,
4.9,,,,
5.38,0.47999999999999954,0.009999999999999787,5.37,
5.92,0.54,,,
,,,6.32,
,,,,
7.27,,0.0,7.27,
7.8,0.5300000000000002,,,
,,,8.19,
,,,,
,,,9.14,
,,,,
10.03,,-0.040000000000000924,10.07,
10.51,0.4800000000000004,,,
10.96,0.45000000000000107,-0.02999999999999936,10.99,
11.49,0.5299999999999994,,,
11.94,0.4499999999999993,0.05999999999999872,11.88,
12.4,0.46000000000000085,,,
12.84,0.4399999999999995,0.019999999999999574,12.82,
13.26,0.41999999999999993,,,
13.74,0.4800000000000004,0.0,13.74,
14.24,0.5,,,
14.74,0.5,0.040000000000000924,14.7,
15.18,0.4399999999999995,,,
15.64,0.46000000000000085,0.040000000000000924,15.6,
16.11,0.46999999999999886,,,
16.58,0.46999999999999886,0.04999999999999716,16.53,
17.07,0.490000000000002,,,
17.52,0.4499999999999993,0.030000000000001137,17.49,
17.97,0.4499999999999993,,,
,,,18.51,
,,,,
19.5,,0.030000000000001137,19.47,
,,,,
,,,20.39,
,,,,
21.34,,-0.019999999999999574,21.36,
,,,,
,,,22.3,
,,,,
23.23,,-0.00999999999999801,23.24,
23.67,0.4400000000000013,,,
24.07,0.3999999999999986,-0.05000000000000071,24.12,
24.62,0.5500000000000007,,,
25.05,0.4299999999999997,0.0,25.05,
25.52,0.46999999999999886,,,
25.99,0.46999999999999886,-0.020000000000003126,26.01,
,,,,
26.93,,-0.019999999999999574,26.95,
27.4,0.46999999999999886,,,
,,,27.9,
28.35,,,,
28.83,0.4799999999999969,0.019999999999999574,28.81,
29.33,0.5,,,
29.85,0.5200000000000031,0.07000000000000028,29.78,
30.28,0.4299999999999997,,,
30.69,0.41000000000000014,-0.00999999999999801,30.7,
31.15,0.4599999999999973,,,
31.57,0.4200000000000017,-0.030000000000001137,31.6,
32.19,0.6199999999999974,,,
32.64,0.45000000000000284,,,
33.13,0.490000000000002,,,
33.56,0.4299999999999997,0.010000000000005116,33.55,
33.98,0.4199999999999946,,,
,,,34.45,
,,,,
35.42,,0.03999999999999915,35.38,
35.82,0.3999999999999986,,,
36.28,0.46000000000000085,-0.03999999999999915,36.32,
,,,,
37.31,,0.05000000000000426,37.26,
37.78,0.46999999999999886,,,
38.16,0.37999999999999545,-0.030000000000001137,38.19,
38.62,0.46000000000000085,,,
39.13,0.5100000000000051,-0.00999999999999801,39.14,
,,,,
40.14,,0.060000000000002274,40.08,
,,,,
41.08,,,,
41.59,0.5100000000000051,,,
41.99,0.3999999999999986,0.0,41.99,
42.5,0.509999999999998,,,
43.01,0.509999999999998,,,
,,,,
43.89,,0.00999999999999801,43.88,
44.37,0.4799999999999969,0.02999999999999403,44.34,0.46000000000000085
44.87,0.5,0.02999999999999403,44.84,0.5
,,,,
,,,45.79,
,,,,
46.74,,0.010000000000005116,46.73,
47.21,0.46999999999999886,,,
47.62,0.4099999999999966,-0.09000000000000341,47.71,
48.1,0.480000000000004,,,
48.55,0.44999999999999574,-0.030000000000001137,48.58,
,,,,
49.55,,-0.060000000000002274,49.61,
,,,,
,,,50.53,
51.03,,,,
51.52,0.490000000000002,0.07000000000000028,51.45,
51.97,0.44999999999999574,,,
52.44,0.46999999999999886,0.04999999999999716,52.39,
52.88,0.44000000000000483,,,
,,,53.32,
53.84,,,,
,,,54.29,
,,,,
,,,55.3,
55.67,,,,
56.11,0.4399999999999977,-0.0799999999999983,56.19,
,,,,
57.16,,0.03999999999999915,57.12,
57.51,0.3500000000000014,,,
,,,58.07,
58.51,,,,
58.98,0.46999999999999886,-0.010000000000005116,58.99,
59.46,0.480000000000004,,,
,,,59.88,
,,,,
60.79,,-0.05000000000000426,60.84,
61.23,0.4399999999999977,,,
,,,61.72,
,,,,
