Tap Time,ITI,Asynchornies,Tone Time,IOI
0.52,,,,
0.92,0.4,,,
1.36,0.44000000000000006,0.0,1.36,
,,,,
2.25,,,,
2.71,0.45999999999999996,0.020000000000000018,2.69,
,,,,
,,,,
4.05,,0.06999999999999984,3.98,
,,,,
,,,,
,,,,
5.77,,,,
6.16,0.39000000000000057,,,
6.63,0.46999999999999975,0.03000000000000025,6.6,
7.0,0.3700000000000001,,,
7.44,0.4400000000000004,,,
7.85,0.40999999999999925,-0.010000000000000675,7.86,
8.3,0.45000000000000107,,,
8.71,0.41000000000000014,,,
9.14,0.4299999999999997,0.040000000000000924,9.1,
9.6,0.4599999999999991,,,
10.01,0.41000000000000014,,,
10.45,0.4399999999999995,-0.010000000000001563,10.46,
10.89,0.4400000000000013,,,
11.29,0.3999999999999986,,,
,,,,
12.17,,,,
,,,,
,,,13.04,
,,,13.44,0.40000000000000036
13.91,,-0.02999999999999936,13.94,0.5
14.32,0.41000000000000014,-0.009999999999999787,14.33,0.39000000000000057
14.75,0.4299999999999997,,,
15.16,0.41000000000000014,,,
,,,,
,,,16.07,
16.49,,0.0,16.49,0.41999999999999815
17.03,0.5400000000000027,,,
17.35,0.3200000000000003,-0.04999999999999716,17.4,
,,,17.79,0.39000000000000057
,,,,
18.65,,,,
19.09,0.4400000000000013,,,
19.53,0.4400000000000013,0.0400000000000027,19.49,
,,,19.94,0.45000000000000284
,,,20.39,0.4499999999999993
20.82,,0.019999999999999574,20.8,0.41000000000000014
,,,21.21,0.41000000000000014
,,,21.62,0.41000000000000014
22.07,,,,
22.49,0.41999999999999815,0.019999999999999574,22.47,
22.89,0.40000000000000213,-0.00999999999999801,22.9,0.4299999999999997
23.31,0.41999999999999815,-0.05000000000000071,23.36,0.46000000000000085
23.73,0.4200000000000017,-0.030000000000001137,23.76,0.40000000000000213
24.16,0.4299999999999997,-0.03999999999999915,24.2,0.4399999999999977
24.62,0.46000000000000085,-0.00999999999999801,24.63,0.4299999999999997
25.02,0.3999999999999986,-0.05000000000000071,25.07,0.4400000000000013
25.46,0.4400000000000013,-0.03999999999999915,25.5,0.4299999999999997
25.94,0.4800000000000004,0.030000000000001137,25.91,0.41000000000000014
26.36,0.41999999999999815,0.0,26.36,0.4499999999999993
26.79,0.4299999999999997,,,
,,,27.25,
,,,,
28.15,,,,
,,,28.58,
29.02,,0.030000000000001137,28.99,0.41000000000000014
29.46,0.4400000000000013,0.019999999999999574,29.44,0.45000000000000284
29.91,0.4499999999999993,0.030000000000001137,29.88,0.4399999999999977
,,,30.32,0.4400000000000013
,,,30.75,0.4299999999999997
31.24,,0.03999999999999915,31.2,0.4499999999999993
,,,31.65,0.4499999999999993
,,,32.1,0.45000000000000284
32.55,,0.0,32.55,0.44999999999999574
32.97,0.4200000000000017,,,
,,,,
33.86,,0.0,33.86,
,,,,
,,,,
