Tap Time,ITI,Asynchornies,Tone Time,IOI
0.5,0.2,-0.040000000000000036,0.54,
,,,,
1.04,,,,
,,,,
,,,,
1.81,,,,
2.06,0.25,,,
2.3,0.23999999999999977,,,
2.55,0.25,-0.010000000000000231,2.56,
2.8,0.25,,,
3.04,0.2400000000000002,,,
3.33,0.29000000000000004,,,
3.55,0.21999999999999975,,,
,,,3.8,
4.09,,0.019999999999999574,4.07,0.27000000000000046
,,,4.32,0.25
4.6,,0.009999999999999787,4.59,0.2699999999999996
4.84,0.2400000000000002,-0.009999999999999787,4.85,0.2599999999999998
5.09,0.25,-0.020000000000000462,5.11,0.2600000000000007
5.35,0.2599999999999998,0.0,5.35,0.23999999999999932
5.58,0.23000000000000043,-0.009999999999999787,5.59,0.2400000000000002
5.86,0.28000000000000025,0.010000000000000675,5.85,0.2599999999999998
6.11,0.25,0.010000000000000675,6.1,0.25
6.36,0.25,0.03000000000000025,6.33,0.23000000000000043
6.63,0.2699999999999996,,,
6.86,0.23000000000000043,0.020000000000000462,6.84,
7.12,0.2599999999999998,0.009999999999999787,7.11,0.27000000000000046
7.38,0.2599999999999998,,,
7.62,0.2400000000000002,-0.009999999999999787,7.63,
7.88,0.2599999999999998,,,
8.12,0.23999999999999932,-0.030000000000001137,8.15,
8.37,0.25,,,
8.65,0.28000000000000114,-0.019999999999999574,8.67,
8.93,0.27999999999999936,,,
9.17,0.2400000000000002,-0.009999999999999787,9.18,
9.44,0.2699999999999996,,,
9.68,0.2400000000000002,0.009999999999999787,9.67,
,,,,
10.19,,,,
10.45,0.2599999999999998,0.019999999999999574,10.43,
10.71,0.26000000000000156,0.010000000000001563,10.7,0.2699999999999996
,,,,
11.21,,-0.009999999999999787,11.22,
,,,,
,,,11.7,
11.96,,,,
12.23,0.2699999999999996,0.0,12.23,
12.47,0.2400000000000002,0.009999999999999787,12.46,0.23000000000000043
12.75,0.27999999999999936,0.02999999999999936,12.72,0.2599999999999998
12.98,0.23000000000000043,0.0,12.98,0.2599999999999998
13.22,0.2400000000000002,-0.009999999999999787,13.23,0.25
13.5,0.27999999999999936,,,
,,,,
13.99,,,,
14.24,0.25,,,
14.48,0.2400000000000002,,,
14.75,0.2699999999999996,,,
14.99,0.2400000000000002,,,
15.27,0.27999999999999936,0.05999999999999872,15.21,
15.54,0.2699999999999996,,,
,,,15.72,
,,,16.04,0.3199999999999985
16.28,,-0.00999999999999801,16.29,0.25
16.54,0.259999999999998,0.0,16.54,0.25
16.79,0.25,-0.019999999999999574,16.81,0.2699999999999996
17.02,0.23000000000000043,-0.03999999999999915,17.06,0.25
17.3,0.28000000000000114,0.0,17.3,0.240000000000002
17.55,0.25,-0.00999999999999801,17.56,0.259999999999998
17.79,0.23999999999999844,-0.010000000000001563,17.8,0.240000000000002
18.05,0.26000000000000156,0.010000000000001563,18.04,0.23999999999999844
18.29,0.23999999999999844,-0.010000000000001563,18.3,0.26000000000000156
,,,,
18.8,,0.019999999999999574,18.78,
19.05,0.25,0.019999999999999574,19.03,0.25
19.29,0.23999999999999844,0.00999999999999801,19.28,0.25
19.56,0.2699999999999996,0.029999999999997584,19.53,0.25
19.8,0.240000000000002,0.0,19.8,0.2699999999999996
20.08,0.2799999999999976,,,
20.33,0.25,0.00999999999999801,20.32,
20.56,0.23000000000000043,0.0,20.56,0.23999999999999844
,,,,
,,,,
,,,,
,,,21.52,
21.79,,0.0,21.79,0.2699999999999996
22.03,0.240000000000002,-0.00999999999999801,22.04,0.25
22.27,0.23999999999999844,,,
22.54,0.2699999999999996,0.019999999999999574,22.52,
,,,,
23.03,,0.010000000000001563,23.02,
23.28,0.25,0.0,23.28,0.26000000000000156
23.53,0.25,,,
23.76,0.23000000000000043,-0.019999999999999574,23.78,
24.02,0.259999999999998,-0.010000000000001563,24.03,0.25
24.28,0.26000000000000156,0.08000000000000185,24.2,0.16999999999999815
,,,24.53,0.33000000000000185
,,,,
25.02,,-0.030000000000001137,25.05,
25.27,0.25,0.00999999999999801,25.26,0.21000000000000085
25.52,0.25,,,
25.78,0.26000000000000156,0.0,25.78,
26.04,0.259999999999998,,,
26.28,0.240000000000002,,,
26.49,0.2099999999999973,-0.0400000000000027,26.53,
26.74,0.25,-0.07000000000000028,26.81,0.2799999999999976
27.02,0.28000000000000114,,,
27.26,0.240000000000002,,,
27.53,0.2699999999999996,,,
27.73,0.1999999999999993,,,
,,,,
28.27,,,,
28.52,0.25,,,
28.75,0.23000000000000043,-0.03999999999999915,28.79,
29.01,0.26000000000000156,0.010000000000001563,29.0,0.21000000000000085
29.25,0.23999999999999844,,,
29.5,0.25,0.019999999999999574,29.48,
29.74,0.23999999999999844,,,
29.97,0.23000000000000043,0.0,29.97,
30.23,0.26000000000000156,-0.019999999999999574,30.25,0.28000000000000114
30.46,0.23000000000000043,0.0,30.46,0.21000000000000085
30.71,0.25,-0.019999999999999574,30.73,0.2699999999999996
30.97,0.259999999999998,-0.010000000000001563,30.98,0.25
31.2,0.23000000000000043,-0.010000000000001563,31.21,0.23000000000000043
31.46,0.26000000000000156,0.010000000000001563,31.45,0.23999999999999844
31.72,0.259999999999998,,,
31.98,0.26000000000000156,0.010000000000001563,31.97,
32.2,0.22000000000000242,,,
32.46,0.259999999999998,0.0,32.46,
32.71,0.25,,,
32.96,0.25,0.0,32.96,
33.22,0.259999999999998,-0.00999999999999801,33.23,0.269999999999996
,,,33.46,0.23000000000000398
33.71,,0.00999999999999801,33.7,0.240000000000002
,,,33.95,0.25
,,,34.2,0.25
,,,34.47,0.269999999999996
34.71,,0.00999999999999801,34.7,0.23000000000000398
34.96,0.25,0.030000000000001137,34.93,0.22999999999999687
35.21,0.25,0.0,35.21,0.28000000000000114
35.41,0.19999999999999574,,,
35.67,0.2600000000000051,-0.05999999999999517,35.73,
,,,35.96,0.23000000000000398
36.21,,,,
,,,36.44,
36.67,,0.0,36.67,0.23000000000000398
,,,,
,,,37.16,
37.39,,0.0,37.39,0.23000000000000398
37.64,0.25,0.020000000000003126,37.62,0.22999999999999687
37.89,0.25,0.030000000000001137,37.86,0.240000000000002
38.13,0.240000000000002,,,
,,,38.37,
38.62,,-0.010000000000005116,38.63,0.2600000000000051
,,,,
39.08,,,,
39.36,0.28000000000000114,0.01999999999999602,39.34,
39.61,0.25,0.00999999999999801,39.6,0.259999999999998
39.87,0.259999999999998,,,
40.1,0.23000000000000398,,,
40.32,0.21999999999999886,,,
40.61,0.28999999999999915,,,
,,,40.82,
41.09,,,,
41.33,0.23999999999999488,0.030000000000001137,41.3,
,,,41.59,0.29000000000000625
41.83,,,,
42.06,0.23000000000000398,0.030000000000001137,42.03,
42.3,0.23999999999999488,,,
42.54,0.240000000000002,0.0,42.54,
42.82,0.28000000000000114,,,
42.98,0.1599999999999966,,,
,,,43.3,
43.52,,0.010000000000005116,43.51,0.21000000000000085
43.78,0.259999999999998,,,
44.01,0.22999999999999687,,,
44.24,0.23000000000000398,,,
44.49,0.25,0.03999999999999915,44.45,
44.73,0.23999999999999488,0.02999999999999403,44.7,0.25
44.99,0.2600000000000051,0.03999999999999915,44.95,0.25
,,,45.22,0.269999999999996
45.45,,-0.05999999999999517,45.51,0.28999999999999915
45.73,0.27999999999999403,,,
45.95,0.22000000000000597,-0.01999999999999602,45.97,
46.17,0.21999999999999886,,,
46.48,0.30999999999999517,0.00999999999999801,46.47,
,,,,
46.93,,-0.020000000000003126,46.95,
,,,47.18,0.22999999999999687
,,,47.42,0.240000000000002
,,,,
47.9,,0.0,47.9,
,,,,
,,,48.4,
48.62,,-0.03999999999999915,48.66,0.259999999999998
,,,48.88,0.22000000000000597
,,,,
,,,,
49.59,,-0.02999999999999403,49.62,
49.83,0.23999999999999488,,,
50.08,0.25,0.01999999999999602,50.06,
50.33,0.25,0.030000000000001137,50.3,0.23999999999999488
,,,50.56,0.2600000000000051
50.85,,0.03999999999999915,50.81,0.25
,,,,
51.27,,-0.03999999999999915,51.31,
51.54,0.269999999999996,,,
,,,51.81,
52.0,,0.020000000000003126,51.98,0.1699999999999946
52.24,0.240000000000002,-0.00999999999999801,52.25,0.2700000000000031
52.5,0.259999999999998,0.0,52.5,0.25
52.74,0.240000000000002,-0.01999999999999602,52.76,0.259999999999998
,,,53.02,0.2600000000000051
53.22,,-0.03999999999999915,53.26,0.23999999999999488
53.49,0.2700000000000031,0.030000000000001137,53.46,0.20000000000000284
53.72,0.22999999999999687,,,
,,,53.97,
54.2,,-0.02999999999999403,54.23,0.259999999999998
,,,54.46,0.23000000000000398
54.7,,0.010000000000005116,54.69,0.22999999999999687
,,,54.93,0.240000000000002
55.17,,-0.00999999999999801,55.18,0.25
55.47,0.29999999999999716,0.07000000000000028,55.4,0.21999999999999886
55.64,0.1700000000000017,-0.01999999999999602,55.66,0.259999999999998
55.96,0.3200000000000003,0.05000000000000426,55.91,0.25
,,,,
56.39,,,,
56.59,0.20000000000000284,-0.03999999999999915,56.63,
,,,56.85,0.21999999999999886
57.12,,0.0,57.12,0.269999999999996
,,,,
57.64,,,,
,,,,
58.2,,-0.00999999999999801,58.21,
,,,,
58.73,,,,
58.91,0.17999999999999972,-0.05000000000000426,58.96,
59.16,0.25,-0.030000000000001137,59.19,0.22999999999999687
,,,,
59.63,,-0.03999999999999915,59.67,
59.85,0.21999999999999886,-0.0799999999999983,59.93,0.259999999999998
60.15,0.29999999999999716,-0.020000000000003126,60.17,0.240000000000002
60.36,0.21000000000000085,0.0,60.36,0.18999999999999773
60.61,0.25,-0.030000000000001137,60.64,0.28000000000000114
,,,,
61.17,,0.030000000000001137,61.14,
61.4,0.22999999999999687,0.0,61.4,0.259999999999998
61.63,0.23000000000000398,0.0,61.63,0.23000000000000398
61.88,0.25,0.0,61.88,0.25
62.09,0.21000000000000085,,,
62.32,0.22999999999999687,,,
,,,62.56,
62.79,,,,
,,,,
63.28,,,,
63.56,0.28000000000000114,,,
,,,,
,,,,
,,,,
64.63,,,,
64.85,0.21999999999999886,,,
65.09,0.2400000000000091,,,
65.42,0.3299999999999983,,,
65.67,0.25,,,
65.91,0.23999999999999488,,,
66.16,0.25,,,
66.43,0.27000000000001023,,,
,,,,
