Tap Time,ITI,Asynchornies,Tone Time,IOI
0.6,,,,
0.87,0.27,,,
,,,,
1.62,,0.10000000000000009,1.52,
,,,1.88,0.3599999999999999
2.27,,0.06999999999999984,2.2,0.3200000000000003
2.61,0.33999999999999986,0.08000000000000007,2.53,0.3299999999999996
2.91,0.30000000000000027,0.050000000000000266,2.86,0.33000000000000007
,,,3.21,0.3500000000000001
,,,3.53,0.31999999999999984
,,,3.87,0.3400000000000003
,,,4.18,0.3099999999999996
4.59,,0.08000000000000007,4.51,0.33000000000000007
4.88,0.29000000000000004,0.03000000000000025,4.85,0.33999999999999986
,,,5.16,0.3100000000000005
5.48,,-0.019999999999999574,5.5,0.33999999999999986
5.81,0.3299999999999992,-0.03000000000000025,5.84,0.33999999999999986
6.13,0.3200000000000003,-0.04999999999999982,6.18,0.33999999999999986
,,,6.51,0.33000000000000007
6.8,,-0.04999999999999982,6.85,0.33999999999999986
7.24,0.4400000000000004,0.0600000000000005,7.18,0.33000000000000007
,,,7.5,0.3200000000000003
,,,7.84,0.33999999999999986
8.24,,0.08999999999999986,8.15,0.3100000000000005
8.51,0.2699999999999996,0.02999999999999936,8.48,0.33000000000000007
8.83,0.3200000000000003,0.019999999999999574,8.81,0.33000000000000007
9.18,0.34999999999999964,0.03999999999999915,9.14,0.33000000000000007
,,,9.47,0.33000000000000007
9.86,,0.02999999999999936,9.83,0.35999999999999943
10.18,0.3200000000000003,0.049999999999998934,10.13,0.3000000000000007
10.53,0.34999999999999964,0.10999999999999943,10.42,0.28999999999999915
10.82,0.2900000000000009,0.07000000000000028,10.75,0.33000000000000007
11.13,0.3100000000000005,0.010000000000001563,11.12,0.3699999999999992
11.45,0.3199999999999985,0.009999999999999787,11.44,0.3200000000000003
,,,11.77,0.33000000000000007
,,,12.12,0.34999999999999964
12.51,,0.049999999999998934,12.46,0.34000000000000163
12.83,0.3200000000000003,0.05000000000000071,12.78,0.3199999999999985
13.17,0.33999999999999986,0.08000000000000007,13.09,0.3100000000000005
13.45,0.27999999999999936,0.02999999999999936,13.42,0.33000000000000007
13.76,0.3100000000000005,0.0,13.76,0.33999999999999986
14.09,0.33000000000000007,0.009999999999999787,14.08,0.3200000000000003
14.42,0.33000000000000007,0.0,14.42,0.33999999999999986
14.75,0.33000000000000007,0.009999999999999787,14.74,0.3200000000000003
,,,15.07,0.33000000000000007
15.45,,0.06999999999999851,15.38,0.3100000000000005
,,,15.71,0.33000000000000007
16.12,,0.07000000000000028,16.05,0.33999999999999986
16.44,0.3200000000000003,0.05000000000000071,16.39,0.33999999999999986
,,,16.71,0.3200000000000003
,,,17.04,0.3299999999999983
17.33,,-0.0400000000000027,17.37,0.33000000000000185
17.77,0.4400000000000013,0.0799999999999983,17.69,0.3200000000000003
,,,18.01,0.3200000000000003
18.4,,0.05999999999999872,18.34,0.3299999999999983
18.68,0.28000000000000114,0.00999999999999801,18.67,0.33000000000000185
19.03,0.3500000000000014,0.019999999999999574,19.01,0.33999999999999986
,,,19.32,0.3099999999999987
19.75,,0.07000000000000028,19.68,0.35999999999999943
,,,20.0,0.3200000000000003
,,,20.34,0.33999999999999986
,,,20.68,0.33999999999999986
,,,21.01,0.33000000000000185
21.33,,-0.020000000000003126,21.35,0.33999999999999986
21.67,0.3400000000000034,-0.00999999999999801,21.68,0.3299999999999983
22.0,0.3299999999999983,,,
22.29,0.28999999999999915,-0.07000000000000028,22.36,
,,,22.68,0.3200000000000003
,,,23.01,0.33000000000000185
,,,23.35,0.33999999999999986
,,,23.69,0.33999999999999986
23.99,,0.03999999999999915,23.95,0.259999999999998
24.28,0.2900000000000027,-0.05999999999999872,24.34,0.39000000000000057
,,,24.67,0.33000000000000185
,,,25.02,0.34999999999999787
25.25,,-0.120000000000001,25.37,0.3500000000000014
25.66,0.41000000000000014,,,
25.92,0.26000000000000156,-0.08999999999999986,26.01,
26.23,0.3099999999999987,,,
26.62,0.39000000000000057,,,
26.9,0.2799999999999976,,,
27.24,0.33999999999999986,,,
27.59,0.3500000000000014,,,
27.92,0.33000000000000185,,,
28.24,0.31999999999999673,,,
28.57,0.33000000000000185,,,
28.91,0.33999999999999986,,,
29.2,0.28999999999999915,,,
,,,,
29.81,,,,
30.16,0.3500000000000014,,,
,,,,
30.74,,,,
31.06,0.3200000000000003,,,
,,,,
31.7,,,,
32.02,0.32000000000000384,0.010000000000005116,32.01,
32.34,0.3200000000000003,0.010000000000005116,32.33,0.3200000000000003
32.67,0.3299999999999983,0.030000000000001137,32.64,0.3100000000000023
,,,32.98,0.3399999999999963
33.37,,0.04999999999999716,33.32,0.3400000000000034
,,,33.65,0.3299999999999983
,,,33.98,0.3299999999999983
,,,34.31,0.3300000000000054
34.71,,0.0799999999999983,34.63,0.3200000000000003
35.01,0.29999999999999716,0.00999999999999801,35.0,0.36999999999999744
35.33,0.3200000000000003,0.01999999999999602,35.31,0.3100000000000023
,,,35.65,0.3399999999999963
36.0,,0.020000000000003126,35.98,0.3299999999999983
,,,36.29,0.3100000000000023
,,,36.64,0.3500000000000014
,,,36.96,0.3200000000000003
37.27,,-0.03999999999999915,37.31,0.3500000000000014
37.7,0.4299999999999997,0.10000000000000142,37.6,0.28999999999999915
,,,37.95,0.3500000000000014
38.27,,-0.01999999999999602,38.29,0.3399999999999963
38.6,0.3299999999999983,-0.01999999999999602,38.62,0.3299999999999983
,,,38.96,0.3400000000000034
39.32,,0.03999999999999915,39.28,0.3200000000000003
,,,39.62,0.3399999999999963
39.97,,0.03999999999999915,39.93,0.3100000000000023
40.31,0.3400000000000034,0.03999999999999915,40.27,0.3400000000000034
40.69,0.37999999999999545,0.0899999999999963,40.6,0.3299999999999983
41.02,0.3300000000000054,0.10000000000000142,40.92,0.3200000000000003
41.31,0.28999999999999915,0.020000000000003126,41.29,0.36999999999999744
,,,41.58,0.28999999999999915
41.94,,0.01999999999999602,41.92,0.3400000000000034
42.28,0.3400000000000034,0.03999999999999915,42.24,0.3200000000000003
42.61,0.3299999999999983,0.00999999999999801,42.6,0.35999999999999943
,,,42.93,0.3299999999999983
,,,43.25,0.3200000000000003
43.59,,0.010000000000005116,43.58,0.3299999999999983
43.91,0.3199999999999932,-0.010000000000005116,43.92,0.3400000000000034
44.27,0.36000000000000654,0.030000000000001137,44.24,0.3200000000000003
44.57,0.29999999999999716,0.0,44.57,0.3299999999999983
,,,44.9,0.3299999999999983
,,,45.23,0.3299999999999983
45.6,,0.030000000000001137,45.57,0.3400000000000034
,,,45.89,0.3200000000000003
,,,46.21,0.3200000000000003
46.56,,0.010000000000005116,46.55,0.3399999999999963
46.95,0.39000000000000057,0.0800000000000054,46.87,0.3200000000000003
,,,47.19,0.3200000000000003
47.56,,0.010000000000005116,47.55,0.35999999999999943
47.83,0.269999999999996,-0.030000000000001137,47.86,0.3100000000000023
,,,48.19,0.3299999999999983
48.57,,0.030000000000001137,48.54,0.3500000000000014
,,,48.89,0.3500000000000014
49.22,,0.01999999999999602,49.2,0.3100000000000023
,,,49.55,0.3499999999999943
49.88,,0.010000000000005116,49.87,0.3200000000000003
,,,50.17,0.30000000000000426
,,,50.5,0.3299999999999983
,,,50.83,0.3299999999999983
,,,51.16,0.3299999999999983
,,,51.49,0.3300000000000054
51.85,,0.05000000000000426,51.8,0.30999999999999517
52.19,0.3399999999999963,0.05999999999999517,52.13,0.3300000000000054
52.55,0.35999999999999943,0.09999999999999432,52.45,0.3200000000000003
52.87,0.3200000000000003,,,
53.18,0.3100000000000023,0.04999999999999716,53.13,
,,,53.48,0.3499999999999943
53.84,,0.05000000000000426,53.79,0.3100000000000023
54.17,0.3299999999999983,,,
54.48,0.30999999999999517,0.03999999999999915,54.44,
,,,,
55.17,,0.060000000000002274,55.11,
,,,55.44,0.3299999999999983
,,,55.77,0.3300000000000054
56.18,,0.0799999999999983,56.1,0.3299999999999983
56.45,0.2700000000000031,0.04000000000000625,56.41,0.30999999999999517
,,,56.75,0.3400000000000034
57.04,,-0.030000000000001137,57.07,0.3200000000000003
57.41,0.36999999999999744,0.00999999999999801,57.4,0.3299999999999983
,,,57.73,0.3299999999999983
,,,58.05,0.3200000000000003
58.36,,-0.00999999999999801,58.37,0.3200000000000003
58.8,0.4399999999999977,0.10999999999999943,58.69,0.3200000000000003
59.14,0.3400000000000034,0.0799999999999983,59.06,0.37000000000000455
59.41,0.269999999999996,0.01999999999999602,59.39,0.3299999999999983
59.74,0.3300000000000054,0.020000000000003126,59.72,0.3299999999999983
,,,60.02,0.30000000000000426
,,,60.37,0.3499999999999943
60.69,,0.0,60.69,0.3200000000000003
61.03,0.3400000000000034,0.020000000000003126,61.01,0.3200000000000003
61.34,0.3100000000000023,0.020000000000003126,61.32,0.3100000000000023
61.7,0.35999999999999943,0.05000000000000426,61.65,0.3299999999999983
,,,61.97,0.3200000000000003
,,,62.3,0.3299999999999983
,,,62.63,0.3300000000000054
63.01,,0.030000000000001137,62.98,0.3499999999999943
63.35,0.3400000000000034,0.07000000000000028,63.28,0.30000000000000426
,,,63.63,0.3500000000000014
,,,63.99,0.35999999999999943
64.36,,,,
64.69,0.3299999999999983,0.030000000000001137,64.66,
64.99,0.29999999999999716,0.04999999999999716,64.94,0.28000000000000114
,,,65.31,0.37000000000000455
65.67,,0.030000000000001137,65.64,0.3299999999999983
,,,65.97,0.3299999999999983
,,,66.3,0.3299999999999983
66.7,,0.0799999999999983,66.62,0.3200000000000074
66.95,0.25,-0.009999999999990905,66.96,0.3399999999999892
,,,67.29,0.3300000000000125
67.66,,0.04999999999999716,67.61,0.3199999999999932
,,,67.93,0.3200000000000074
,,,68.25,0.3199999999999932
68.58,,0.010000000000005116,68.57,0.3199999999999932
,,,68.91,0.3400000000000034
,,,69.23,0.3200000000000074
69.62,,0.060000000000002274,69.56,0.3299999999999983
69.98,0.35999999999999943,0.10000000000000853,69.88,0.3199999999999932
70.3,0.3199999999999932,0.0799999999999983,70.22,0.3400000000000034
70.59,0.29000000000000625,0.04999999999999716,70.54,0.3200000000000074
,,,70.87,0.3299999999999983
,,,71.19,0.3199999999999932
71.48,,-0.030000000000001137,71.51,0.3200000000000074
,,,71.83,0.3199999999999932
72.24,,0.05999999999998806,72.18,0.3500000000000085
,,,72.51,0.3299999999999983
72.89,,0.060000000000002274,72.83,0.3199999999999932
,,,73.18,0.3500000000000085
,,,73.48,0.29999999999999716
,,,73.83,0.3499999999999943
,,,74.16,0.3299999999999983
74.54,,0.060000000000002274,74.48,0.3200000000000074
74.85,0.30999999999998806,0.01999999999999602,74.83,0.3499999999999943
75.19,0.3400000000000034,0.030000000000001137,75.16,0.3299999999999983
75.52,0.3299999999999983,0.030000000000001137,75.49,0.3299999999999983
75.87,0.3500000000000085,0.020000000000010232,75.85,0.35999999999999943
76.18,0.3100000000000023,0.010000000000005116,76.17,0.3200000000000074
,,,76.5,0.3299999999999983
76.8,,-0.04000000000000625,76.84,0.3400000000000034
,,,77.16,0.3199999999999932
77.52,,0.04999999999999716,77.47,0.3100000000000023
,,,77.77,0.29999999999999716
78.17,,0.060000000000002274,78.11,0.3400000000000034
